	rxn10158	rxn05312	rxn05318	rJB00240	rxn05158	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-484.4378531666666	648.713804222222	320.16190211111103	484.4378531666666	311.77190211111105	-960.4857063333332	-484.4378531666666	320.16190211111103	320.16190211111103	320.16190211111103	-320.16190211111103	960.4857063333332	0.0	320.16190211111103	648.713804222222	0.0	-320.16190211111103	960.4857063333332	-960.4857063333332	2.2737367544323206e-13	0.0	0.0	8.39	320.1619021111111
1	-586.6638983333333	839.9944633333333	333.33333333333337	586.6638983333333	160.00553666666667	-1000.0	-586.6638983333333	168.3955366666667	168.3955366666667	333.33333333333337	-168.3955366666667	1000.0	164.93779666666666	168.3955366666667	839.9944633333333	0.0	-333.33333333333337	1000.0	-999.9999999999999	1.1368683772161603e-13	0.0	0.0	8.39	333.33333333333326
2	-346.2713134364999	464.49175124866656	228.0508756243333	346.2713134364999	219.66087562433327	-684.1526268729998	-346.2713134364999	228.0508756243333	228.0508756243333	228.0508756243333	-228.0508756243333	684.1526268729998	0.0	228.0508756243333	464.49175124866656	0.0	-228.0508756243333	684.1526268729998	-684.1526268729998	0.0	0.0	0.0	8.39	228.05087562433323
3	-403.76700849999986	340.2966949999994	266.3813389999999	403.76700849999986	458.84732200000025	-1000.0	-403.76700849999986	266.3813389999999	266.3813389999999	266.3813389999999	-266.3813389999999	1000.0	0.0	266.3813389999999	541.1526779999997	200.85598300000026	-266.3813389999999	1000.0	-999.9999999999999	200.8559830000005	-200.85598300000026	200.85598300000032	8.39	266.3813389999998
4	-627.9808163983333	922.6282994633333	333.33333333333337	627.9808163983333	77.3717005366667	-1000.0	-627.9808163983333	85.7617005366667	85.7617005366667	333.33333333333337	-85.7617005366667	1000.0	247.57163279666665	85.7617005366667	922.6282994633333	0.0	-333.33333333333337	1000.0	-999.9999999999999	-3.410605131648481e-13	0.0	0.0	8.39	333.33333333333326
5	-545.3469802683334	757.3606272033334	333.33333333333337	545.3469802683334	242.63937279666666	-1000.0	-545.3469802683334	251.02937279666668	251.02937279666668	333.33333333333337	-251.02937279666668	1000.0	82.30396053666666	251.02937279666668	757.3606272033334	0.0	-333.33333333333337	1000.0	-999.9999999999999	-3.410605131648481e-13	0.0	0.0	8.39	333.33333333333337
6	-302.9364999999999	458.48524593662694	199.16099999999994	302.9364999999999	138.9977540633729	-545.7097540633728	-302.9364999999999	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	545.7097540633728	0.0	199.16099999999994	406.7119999999999	-51.77324593662706	-199.16099999999994	545.7097540633728	-545.7097540633728	-51.77324593662695	51.77324593662706	-51.77324593662706	8.39	199.16099999999994
7	-415.49274984131335	556.7869997884178	274.1984998942089	415.49274984131335	265.8084998942089	-822.5954996826267	-415.49274984131335	274.1984998942089	274.1984998942089	274.1984998942089	-274.1984998942089	822.5954996826267	0.0	274.1984998942089	556.7869997884178	0.0	-274.1984998942089	822.5954996826267	-822.5954996826267	0.0	0.0	0.0	8.39	274.1984998942089
8	-598.2375597737918	988.5318659126392	396.02837318252784	598.2375597737918	199.55325363494433	-1000.0	-598.2375597737918	396.02837318252784	396.02837318252784	396.02837318252784	-396.02837318252784	1000.0	0.0	396.02837318252784	800.4467463650557	-188.08511954758353	-396.02837318252784	1000.0	-999.9999999999999	-188.08511954758376	188.08511954758353	-188.08511954758353	8.39	396.02837318252784
9	-302.93649999999997	172.58194919499925	199.16099999999997	302.93649999999997	424.9010508050007	-831.6130508050006	-302.93649999999997	199.16099999999997	199.16099999999997	199.16099999999997	-199.16099999999997	831.6130508050006	0.0	199.16099999999997	406.712	234.1300508050007	-199.16099999999997	831.6130508050006	-831.6130508050007	234.13005080500068	-234.1300508050007	234.13005080500074	8.39	199.16099999999994
