opt_fraction	R_value	p_value
0.1	0.20113979969946388	0.00011660250608946269
0.2	0.23620765079200448	5.380547273647512e-06
0.3	0.1580259430723844	0.0022677238802176233
0.4	0.22752123480165581	5.512518205303362e-06
0.5	0.20080255611699155	6.369056642536738e-05
0.6	0.19600451924945353	6.32373892484115e-05
0.7	0.12058620352542462	0.012234322711562735
0.8	0.12516347975531214	0.008889277578397027
0.9	0.12466333006819515	0.007051506114189782
0.15	0.24788151949438494	2.6750276858395576e-06
0.25	0.18390107749781048	0.00042865325228830145
0.225	0.20735909249978218	6.878719715739365e-05
0.175	0.2270357616514479	1.289966616512472e-05
0.187	0.2371256917464028	4.933938509795081e-06
0.213	0.20513021494533637	7.54224829332508e-05
