opt_fraction	R_value	p_value
0.1	0.11020391259634058	0.03822283265306679
0.2	0.09984745327269216	0.05911807376737929
0.3	0.04849053277629881	0.35693331606327683
0.4	0.04505212995118734	0.37863897013150627
0.5	0.09215306511342769	0.06559035630832422
0.6	0.0904826224627608	0.06720571934608287
0.7	0.04752743730277148	0.34005621439230127
0.8	0.05324745457351988	0.27114000280153205
0.9	0.07694990200072097	0.0989129976446222
0.05	0.11193921364070614	0.035265583086634356
0.125	0.05774292163743511	0.27452703589213107
0.087	0.10638629534666298	0.04547364308779342
0.075	0.1157198480427424	0.029490010874592413
0.15	0.0798896662272636	0.12922290049558363
0.113	0.10334341228289191	0.05238494450006443
