opt_fraction	R_value	p_value
0.1	0.17213058473220988	0.0009601552147481196
0.2	0.14644035494273205	0.0049388929154814696
0.3	0.1590555939523747	0.001869784571646489
0.4	0.14022996712747246	0.005657778952835363
0.5	0.1705063504916667	0.0006666039072993355
0.6	0.14298265159542642	0.00380209150528607
0.7	0.12817952190713183	0.009197949907043467
0.8	0.12682802596736303	0.00869824205941292
0.9	0.10074043686997106	0.029326700858347845
0.05	0.17244969245990957	0.0009390990891551897
0.125	0.1637652246556245	0.001693993174904467
0.087	0.17203188444900847	0.000966755536188348
0.075	0.17286801445461228	0.0009121415118317018
0.15	0.14491552230758134	0.0049270443130712575
0.113	0.17161168673304353	0.0009953261127306277
