	rxn10125	rxn00083	rxn05312	rxn05318	rxn05158	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
0	-353.89500000000004	-353.89500000000004	474.65666666666675	233.13333333333335	224.74333333333334	-699.4000000000001	233.13333333333335	233.13333333333335	233.13333333333335	-233.13333333333335	699.4000000000001	233.13333333333335	474.65666666666675	-233.13333333333335	699.4000000000001	-699.4000000000001	8.39	233.13333333333333
1	-429.1953	-429.1953	575.0570666666666	283.3335333333333	274.94353333333333	-850.0006	283.3335333333333	283.3335333333333	283.3335333333333	-283.3335333333333	850.0006	283.3335333333333	575.0570666666666	-283.3335333333333	850.0006	-850.0006	8.39	283.3335333333333
2	-279.1946999999999	-279.1946999999999	375.0562666666665	183.3331333333333	174.9431333333333	-549.9993999999998	183.3331333333333	183.3331333333333	183.3331333333333	-183.3331333333333	549.9993999999998	183.3331333333333	375.0562666666665	-183.3331333333333	549.9993999999998	-549.9993999999998	8.39	183.3331333333332
3	-391.6204503	-391.6204503	524.9572670666666	258.28363353333333	249.89363353333334	-774.8509005999999	258.28363353333333	258.28363353333333	258.28363353333333	-258.28363353333333	774.8509005999999	258.28363353333333	524.9572670666666	-258.28363353333333	774.8509005999999	-774.8509005999999	8.39	258.2836335333333
4	-466.77014970000005	-466.77014970000005	625.1568662666667	308.38343313333337	299.9934331333334	-925.1502994000001	308.38343313333337	308.38343313333337	308.38343313333337	-308.38343313333337	925.1502994000001	308.38343313333337	625.1568662666667	-308.38343313333337	925.1502994000001	-925.1502994000001	8.39	308.38343313333337
5	-241.61985029999994	-241.61985029999994	324.9564670666666	158.2832335333333	149.89323353333324	-474.8497005999999	158.2832335333333	158.2832335333333	158.2832335333333	-158.2832335333333	474.8497005999999	158.2832335333333	324.9564670666666	-158.2832335333333	474.8497005999999	-474.8497005999999	8.39	158.28323353333337
6	-316.4701496999999	-316.4701496999999	424.7568662666666	208.18343313333327	199.79343313333328	-624.5502993999999	208.18343313333327	208.18343313333327	208.18343313333327	-208.18343313333327	624.5502993999999	208.18343313333327	424.7568662666666	-208.18343313333327	624.5502993999999	-624.5502993999999	8.39	208.18343313333327
7	-372.71999969969994	-372.71999969969994	499.75666626626656	245.68333313313332	237.29333313313333	-737.0499993993999	245.68333313313332	245.68333313313332	245.68333313313332	-245.68333313313332	737.0499993993999	245.68333313313332	499.75666626626656	-245.68333313313332	737.0499993993999	-737.0499993993999	8.39	245.68333313313326
8	-447.9451500003	-447.9451500003	600.0568666670666	295.8334333335333	287.44343333353333	-887.5003000006	295.8334333335333	295.8334333335333	295.8334333335333	-295.8334333335333	887.5003000006	295.8334333335333	600.0568666670666	-295.8334333335333	887.5003000006	-887.5003000006	8.39	295.8334333335333
9	-260.3697003002999	-260.3697003002999	349.9562670670665	170.78313353353326	162.39313353353327	-512.3494006005998	170.78313353353326	170.78313353353326	170.78313353353326	-170.78313353353326	512.3494006005998	170.78313353353326	349.9562670670665	-170.78313353353326	512.3494006005998	-512.3494006005998	8.39	170.78313353353326
10	-410.3703003002999	-410.3703003002999	549.9570670670665	270.7835335335333	262.3935335335333	-812.3506006005998	270.7835335335333	270.7835335335333	270.7835335335333	-270.7835335335333	812.3506006005998	270.7835335335333	549.9570670670665	-270.7835335335333	812.3506006005998	-812.3506006005998	8.39	270.7835335335333
11	-335.1451499997	-335.1451499997	449.65686666626664	220.63343333313333	212.24343333313334	-661.9002999994	220.63343333313333	220.63343333313333	220.63343333313333	-220.63343333313333	661.9002999994	220.63343333313333	449.65686666626664	-220.63343333313333	661.9002999994	-661.9002999994	8.39	220.63343333313333
12	-222.87000029969988	-222.87000029969988	299.9566670662665	145.78333353313326	137.39333353313327	-437.3500005993998	145.78333353313326	145.78333353313326	145.78333353313326	-145.78333353313326	437.3500005993998	145.78333353313326	299.9566670662665	-145.78333353313326	437.3500005993998	-437.3500005993998	8.39	145.78333353313326
13	-485.4451499997001	-485.4451499997001	650.0568666662668	320.8334333331334	312.44343333313344	-962.5002999994003	320.8334333331334	320.8334333331334	320.8334333331334	-320.8334333331334	962.5002999994003	320.8334333331334	650.0568666662668	-320.8334333331334	962.5002999994003	-962.5002999994003	8.39	320.8334333331335
14	-297.8697002996999	-297.8697002996999	399.95626706626655	195.78313353313325	187.39313353313327	-587.3494005993998	195.78313353313325	195.78313353313325	195.78313353313325	-195.78313353313325	587.3494005993998	195.78313353313325	399.95626706626655	-195.78313353313325	587.3494005993998	-587.3494005993998	8.39	195.78313353313322
15	-382.1891254504503	-382.1891254504503	512.3821672672672	251.99608363363356	243.60608363363355	-755.9882509009008	251.99608363363356	251.99608363363356	251.99608363363356	-251.99608363363356	755.9882509009008	251.99608363363356	512.3821672672672	-251.99608363363356	755.9882509009008	-755.9882509009008	8.39	251.99608363363365
16	-269.7633751504502	-269.7633751504502	362.481166867267	177.04558343363348	168.65558343363344	-531.1367503009004	177.04558343363348	177.04558343363348	177.04558343363348	-177.04558343363348	531.1367503009004	177.04558343363348	362.481166867267	-177.04558343363348	531.1367503009004	-531.1367503009004	8.39	177.0455834336335
17	-419.7639751504503	-419.7639751504503	562.481966867267	277.0459834336335	268.65598343363354	-831.1379503009006	277.0459834336335	277.0459834336335	277.0459834336335	-277.0459834336335	831.1379503009006	277.0459834336335	562.481966867267	-277.0459834336335	831.1379503009006	-831.1379503009006	8.39	277.0459834336335
18	-457.33882485045035	-457.33882485045035	612.5817664672671	302.0958832336336	293.7058832336336	-906.2876497009007	302.0958832336336	302.0958832336336	302.0958832336336	-302.0958832336336	906.2876497009007	302.0958832336336	612.5817664672671	-302.0958832336336	906.2876497009007	-906.2876497009007	8.39	302.0958832336336
19	-363.28867485015024	-363.28867485015024	487.18156646686697	239.39578323343352	231.00578323343353	-718.1873497003005	239.39578323343352	239.39578323343352	239.39578323343352	-239.39578323343352	718.1873497003005	239.39578323343352	487.18156646686697	-239.39578323343352	718.1873497003005	-718.1873497003005	8.39	239.39578323343346
20	-232.22617544984968	-232.22617544984968	312.43156726646623	152.02078363323312	143.63078363323314	-456.06235089969937	152.02078363323312	152.02078363323312	152.02078363323312	-152.02078363323312	456.06235089969937	152.02078363323312	312.43156726646623	-152.02078363323312	456.06235089969937	-456.06235089969937	8.39	152.02078363323312
21	-344.5013251498497	-344.5013251498497	462.1317668664663	226.87088343323316	218.48088343323315	-680.6126502996995	226.87088343323316	226.87088343323316	226.87088343323316	-226.87088343323316	680.6126502996995	226.87088343323316	462.13176686646625	-226.87088343323316	680.6126502996995	-680.6126502996995	8.39	226.8708834332331
22	-494.80132514984984	-494.80132514984984	662.5317668664665	327.07088343323323	318.68088343323325	-981.2126502996997	327.07088343323323	327.07088343323323	327.07088343323323	-327.07088343323323	981.2126502996997	327.07088343323323	662.5317668664665	-327.07088343323323	981.2126502996997	-981.2126502996997	8.39	327.07088343323323
23	-251.01352515015017	-251.01352515015017	337.4813668668669	164.54568343343345	156.15568343343347	-493.63705030030036	164.54568343343345	164.54568343343345	164.54568343343345	-164.54568343343345	493.63705030030036	164.54568343343345	337.4813668668669	-164.54568343343345	493.63705030030036	-493.63705030030036	8.39	164.54568343343345
24	-438.5889748501503	-438.5889748501503	587.581966466867	289.5959832334335	281.2059832334335	-868.7879497003005	289.5959832334335	289.5959832334335	289.5959832334335	-289.5959832334335	868.7879497003005	289.5959832334335	587.581966466867	-289.5959832334335	868.7879497003005	-868.7879497003005	8.39	289.59598323343346
25	-401.0141251501502	-401.0141251501502	537.4821668668669	264.54608343343347	256.1560834334335	-793.6382503003003	264.54608343343347	264.54608343343347	264.54608343343347	-264.54608343343347	793.6382503003003	264.54608343343347	537.4821668668669	-264.54608343343347	793.6382503003003	-793.6382503003003	8.39	264.54608343343347
26	-476.12632485014984	-476.12632485014984	637.6317664668665	314.62088323343323	306.23088323343325	-943.8626497002997	314.62088323343323	314.62088323343323	314.62088323343323	-314.62088323343323	943.8626497002997	314.62088323343323	637.6317664668665	-314.62088323343323	943.8626497002997	-943.8626497002997	8.39	314.62088323343323
27	-325.82632485014966	-325.82632485014966	437.23176646686625	214.4208832334331	206.03088323343306	-643.2626497002993	214.4208832334331	214.4208832334331	214.4208832334331	-214.4208832334331	643.2626497002993	214.4208832334331	437.23176646686625	-214.4208832334331	643.2626497002993	-643.2626497002993	8.39	214.4208832334332
28	-213.5511751501496	-213.5511751501496	287.5315668668661	139.57078343343306	131.18078343343305	-418.71235030029914	139.57078343343306	139.57078343343306	139.57078343343306	-139.57078343343306	418.71235030029914	139.57078343343306	287.5315668668661	-139.57078343343306	418.71235030029914	-418.71235030029914	8.39	139.570783433433
29	-288.55087515014947	-288.55087515014947	387.53116686686593	189.570583433433	181.18058343343301	-568.711750300299	189.570583433433	189.570583433433	189.570583433433	-189.570583433433	568.711750300299	189.570583433433	387.53116686686593	-189.570583433433	568.711750300299	-568.711750300299	8.39	189.570583433433
30	-307.18852544925016	-307.18852544925016	412.3813672656669	201.99568363283345	193.60568363283346	-605.9870508985003	201.99568363283345	201.99568363283345	201.99568363283345	-201.99568363283345	605.9870508985003	201.99568363283345	412.3813672656669	-201.99568363283345	605.9870508985003	-605.9870508985003	8.39	201.99568363283345
31	-377.46403170082596	-377.46403170082596	506.0820422677679	248.846021133884	240.456021133884	-746.5380634016519	248.846021133884	248.846021133884	248.846021133884	-248.846021133884	746.5380634016519	248.846021133884	506.0820422677679	-248.846021133884	746.5380634016519	-746.5380634016519	8.39	248.84602113388397
32	-274.48846890007457	-274.48846890007457	368.7812918667661	180.19564593338305	171.80564593338306	-540.5869378001491	180.19564593338305	180.19564593338305	180.19564593338305	-180.19564593338305	540.5869378001491	180.19564593338305	368.7812918667661	-180.19564593338305	540.5869378001491	-540.5869378001491	8.39	180.19564593338305
33	-368.01376859977466	-368.01376859977466	493.4816914663662	242.5458457331831	234.15584573318313	-727.6375371995493	242.5458457331831	242.5458457331831	242.5458457331831	-242.5458457331831	727.6375371995493	242.5458457331831	493.4816914663662	-242.5458457331831	727.6375371995493	-727.6375371995493	8.39	242.5458457331831
34	-424.4890689000747	-424.4890689000747	568.7820918667662	280.1960459333831	271.80604593338313	-840.5881378001493	280.1960459333831	280.1960459333831	280.1960459333831	-280.1960459333831	840.5881378001493	280.1960459333831	568.7820918667662	-280.1960459333831	840.5881378001493	-840.5881378001493	8.39	280.19604593338306
35	-462.06391860007477	-462.06391860007477	618.8818914667663	305.24594573338317	296.8559457333832	-915.7378372001494	305.24594573338317	305.24594573338317	305.24594573338317	-305.24594573338317	915.7378372001494	305.24594573338317	618.8818914667663	-305.24594573338317	915.7378372001494	-915.7378372001494	8.39	305.2459457333831
36	-386.9142192000747	-386.9142192000747	518.6822922667662	255.14614613338313	246.75614613338314	-765.4384384001494	255.14614613338313	255.14614613338313	255.14614613338313	-255.14614613338313	765.4384384001494	255.14614613338313	518.6822922667662	-255.14614613338313	765.4384384001494	-765.4384384001494	8.39	255.14614613338313
37	-415.07653140022524	-415.07653140022524	556.2320418669669	273.9210209334835	265.5310209334835	-821.7630628004504	273.9210209334835	273.9210209334835	273.9210209334835	-273.9210209334835	821.7630628004504	273.9210209334835	556.2320418669669	-273.9210209334835	821.7630628004504	-821.7630628004504	8.39	273.9210209334834
38	-452.6513811002253	-452.6513811002253	606.331841466967	298.9709207334835	290.58092073348354	-896.9127622004505	298.9709207334835	298.9709207334835	298.9709207334835	-298.9709207334835	896.9127622004505	298.9709207334835	606.331841466967	-298.9709207334835	896.9127622004505	-896.9127622004505	8.39	298.97092073348347
39	-236.93240654977507	-236.93240654977507	318.70654206636675	155.15827103318338	146.7682710331834	-465.47481309955015	155.15827103318338	155.15827103318338	155.15827103318338	-155.15827103318338	465.47481309955015	155.15827103318338	318.70654206636675	-155.15827103318338	465.47481309955015	-465.47481309955015	8.39	155.15827103318335
40	-265.0759314002253	-265.0759314002253	356.231241866967	173.92062093348352	165.53062093348353	-521.7618628004506	173.92062093348352	173.92062093348352	173.92062093348352	-173.92062093348352	521.7618628004506	173.92062093348352	356.231241866967	-173.92062093348352	521.7618628004506	-521.7618628004506	8.39	173.9206209334835
41	-349.20755624977505	-349.20755624977505	468.40674166636677	230.00837083318336	221.61837083318332	-690.02511249955	230.00837083318336	230.00837083318336	230.00837083318336	-230.00837083318336	690.02511249955	230.00837083318336	468.4067416663667	-230.00837083318336	690.02511249955	-690.02511249955	8.39	230.0083708331833
42	-246.3260813999252	-246.3260813999252	331.2314418665669	161.42072093328346	153.03072093328345	-484.2621627998504	161.42072093328346	161.42072093328346	161.42072093328346	-161.42072093328346	484.2621627998504	161.42072093328346	331.2314418665669	-161.42072093328346	484.2621627998504	-484.26216279985033	8.39	161.42072093328346
43	-499.48876890007483	-499.48876890007483	668.7816918667664	330.1958459333832	321.80584593338324	-990.5875378001498	330.1958459333832	330.1958459333832	330.1958459333832	-330.1958459333832	990.5875378001498	330.1958459333832	668.7816918667664	-330.1958459333832	990.5875378001498	-990.5875378001498	8.39	330.19584593338334
44	-433.88274375022496	-433.88274375022496	581.3069916669666	286.4584958334833	278.0684958334833	-859.3754875004499	286.4584958334833	286.4584958334833	286.4584958334833	-286.4584958334833	859.3754875004499	286.4584958334833	581.3069916669667	-286.4584958334833	859.3754875004499	-859.3754875004499	8.39	286.4584958334833
45	-358.5824437502249	-358.5824437502249	480.9065916669665	236.25829583348332	227.86829583348333	-708.77488750045	236.25829583348332	236.25829583348332	236.25829583348332	-236.25829583348332	708.77488750045	236.25829583348332	480.9065916669665	-236.25829583348332	708.77488750045	-708.77488750045	8.39	236.25829583348332
46	-396.30789405022495	-396.30789405022495	531.2071920669666	261.40859603348326	253.01859603348328	-784.2257881004498	261.40859603348326	261.40859603348326	261.40859603348326	-261.40859603348326	784.2257881004498	261.40859603348326	531.2071920669665	-261.40859603348326	784.2257881004498	-784.2257881004499	8.39	261.40859603348326
47	-321.1388810999247	-321.1388810999247	430.98184146656627	211.29592073328314	202.90592073328315	-633.8877621998495	211.29592073328314	211.29592073328314	211.29592073328314	-211.29592073328314	633.8877621998495	211.29592073328314	430.98184146656627	-211.29592073328314	633.8877621998495	-633.8877621998495	8.39	211.29592073328314
48	-227.53873169962466	-227.53873169962466	306.18164226616625	148.8958211330831	140.50582113308306	-446.6874633992493	148.8958211330831	148.8958211330831	148.8958211330831	-148.8958211330831	446.6874633992493	148.8958211330831	306.18164226616614	-148.8958211330831	446.6874633992493	-446.6874633992493	8.39	148.89582113308313
49	-471.43888109992474	-471.43888109992474	631.3818414665664	311.4959207332832	303.1059207332832	-934.4877621998496	311.4959207332832	311.4959207332832	311.4959207332832	-311.4959207332832	934.4877621998496	311.4959207332832	631.3818414665664	-311.4959207332832	934.4877621998496	-934.4877621998496	8.39	311.49592073328324
50	-443.2577062500749	-443.2577062500749	593.8069416667665	292.7084708333833	284.3184708333833	-878.1254125001499	292.7084708333833	292.7084708333833	292.7084708333833	-292.7084708333833	878.1254125001499	292.7084708333833	593.8069416667665	-292.7084708333833	878.1254125001499	-878.1254125001499	8.39	292.7084708333833
51	-339.81388139962473	-339.81388139962473	455.8818418661664	223.74592093308317	215.35592093308313	-671.2377627992495	223.74592093308317	223.74592093308317	223.74592093308317	-223.74592093308317	671.2377627992495	223.74592093308317	455.8818418661664	-223.74592093308317	671.2377627992495	-671.2377627992495	8.39	223.7459209330832
52	-405.6828565500749	-405.6828565500749	543.7071420667667	267.6585710333833	259.26857103338324	-802.9757131001497	267.6585710333833	267.6585710333833	267.6585710333833	-267.6585710333833	802.9757131001497	267.6585710333833	543.7071420667664	-267.6585710333833	802.9757131001497	-802.9757131001497	8.39	267.6585710333833
53	-208.86373139992463	-208.86373139992463	281.2816418665662	136.44582093328307	128.05582093328306	-409.33746279984916	136.44582093328307	136.44582093328307	136.44582093328307	-136.44582093328307	409.33746279984916	136.44582093328307	281.28164186656613	-136.44582093328307	409.33746279984916	-409.3374627998491	8.39	136.44582093328307
54	-490.1138813996248	-490.1138813996248	656.2818418661664	323.9459209330832	315.5559209330832	-971.8377627992495	323.9459209330832	323.9459209330832	323.9459209330832	-323.9459209330832	971.8377627992495	323.9459209330832	656.2818418661664	-323.9459209330832	971.8377627992495	-971.8377627992495	8.39	323.94592093308313
55	-255.6822565500749	-255.6822565500749	343.7063420667665	167.65817103338327	159.26817103338328	-502.9745131001498	167.65817103338327	167.65817103338327	167.65817103338327	-167.65817103338327	502.9745131001498	167.65817103338327	343.70634206676664	-167.65817103338327	502.9745131001498	-502.9745131001498	8.39	167.65817103338327
