reaction	linear_coefficient
rxn03958	[0.6299761544550929]
rxn13906	[0.5905687597846877]
rxn01302	[0.6664859465762035]
rxn00834	[0.6534467351043783]
rxn05293	[0.5627517753114606]
rxn07967	[np.float64(0.41102492161742427)]
rxn00105	[0.6711221106550747]
rxn02373	[0.5975230059029946]
rxn02474	[0.6505491325550837]
rxn03055	[np.float64(0.41102492161742427)]
rxn09953	[0.154479576115866]
rxn02112	[0.8620741186535821]
rxn02632	[0.8620741186535821]
rxn01686	[0.8620741186535821]
rxn13787	[0.9684161322126901]
rxn13896	[0.9684161322126901]
rxn01790	[0.2671963152834219]
rxn00859	[0.6293966339452339]
rxn08352	[0.7594989884085568]
rxn08756	[0.7594989884085568]
rxn00122	[0.7907930959409374]
rxn00184	[0.6847408426367588]
rxn01011	[np.float64(0.41102492161742427)]
rxn06591	[0.5647800970959667]
rxn02186	[0.260821589674974]
rxn08764	[0.260821589674974]
rxn02929	[0.6331635172593167]
rxn00190	[0.7818105280381246]
rxn00138	[0.7818105280381246]
rxn08977	[np.float64(0.41102492161742427)]
rxn36840	[0.18113751956937535]
rxn02003	[np.float64(0.41102492161742427)]
rxn08291	[0.38541849929463734]
rxn13795	[0.08174975212857413]
rxn13788	[0.8620741186535821]
rxn00429	[0.4343879823777143]
rxn02440	[0.8756928506352661]
rxn00868	[0.43728558492700886]
rxn10074	[0.43728558492700886]
rxn01729	[0.43728558492700886]
rxn01068	[0.43728558492700886]
rxn01314	[0.43728558492700886]
rxn05570	[0.1767911157454336]
rxn05159	[0.1767911157454336]
rxn05180	[0.1767911157454336]
rxn10073	[0.1767911157454336]
rxn08087	[0.3005187446003086]
rxn08086	[0.3005187446003086]
rxn08089	[0.3005187446003086]
rxn08088	[0.3005187446003086]
rxn08085	[0.3005187446003086]
rxn08083	[0.3005187446003086]
rxn08084	[0.3005187446003086]
rxn10215	[0.3005187446003086]
rxn10218	[0.3005187446003086]
rxn10214	[0.3005187446003086]
rxn10219	[0.3005187446003086]
rxn10217	[0.3005187446003086]
rxn10216	[0.3005187446003086]
rxn10212	[0.3005187446003086]
rxn10211	[0.3005187446003086]
rxn10213	[0.3005187446003086]
rxn05175	[0.20026169639471905]
rxn03243	[0.40686075815941664]
rxn03248	[0.40686075815941664]
rxn06510	[0.40686075815941664]
rxn02804	[0.40686075815941664]
rxn02680	[0.40686075815941664]
rxn05619	[0.5844837944311693]
rxn05163	[0.20026169639471905]
rxn10158	[0.21098282582710867]
rxn05603	[0.21098282582710867]
rxn05154	[0.2057671412383786]
rxn00727	[0.4001962722960393]
rxn05161	[0.1640416645285378]
rxn05168	[0.1640416645285378]
rxn05155	[0.3260176470341002]
rxn05201	[0.026985063946908146]
rxn02831	[0.14781509025248865]
rxn13885	[0.10261249048349451]
rxn05512	[0.1921484092566944]
rxn08669	[0.3378978174862077]
rxn05156	[0.2057671412383786]
rxn05164	[0.2057671412383786]
rxn13828	[np.float64(0.41102492161742427)]
rxn13829	[np.float64(0.41102492161742427)]
rxn05247	[0.14781509025248865]
rxn05248	[0.14781509025248865]
rxn05249	[0.14781509025248865]
rxn05250	[0.14781509025248865]
rxn05251	[0.14781509025248865]
rxn05252	[0.14781509025248865]
rxn09450	[0.14781509025248865]
rxn09449	[0.14781509025248865]
rxn09448	[0.14781509025248865]
rxn05736	[0.14781509025248865]
rxn00947	[0.14781509025248865]
rxn13892	[0.16606998631304395]
rxn08002	[0.3434032623298672]
rxn05349	[0.3434032623298672]
rxn00187	[0.3810720954706956]
rxn05331	[np.float64(0.41102492161742427)]
rxn05333	[np.float64(0.41102492161742427)]
rxn10221	[0.6563443376536728]
rxn10224	[0.6563443376536728]
rxn08306	[0.6563443376536728]
rxn08307	[0.6563443376536728]
rxn08308	[0.6563443376536728]
rxn08310	[0.6563443376536728]
rxn08311	[0.6563443376536728]
rxn08312	[0.6563443376536728]
rxn10220	[0.6563443376536728]
rxn10225	[0.6563443376536728]
rxn10223	[0.6563443376536728]
rxn10222	[0.6563443376536728]
rxn10481	[0.39237274541294415]
rxn10344	[0.39237274541294415]
rxn10343	[0.39237274541294415]
rxn01629	[0.3378978174862077]
rxn00986	[np.float64(0.41102492161742427)]
rxn00675	[np.float64(0.41102492161742427)]
rxn05206	[0.033649549810285485]
rxn02911	[0.20026169639471905]
rxn03240	[0.20026169639471905]
rxn03241	[0.20026169639471905]
rxn03245	[0.20026169639471905]
rxn03250	[0.20026169639471905]
rxn03247	[0.20026169639471905]
rxn05165	[0.1767911157454336]
rxn05181	[0.1767911157454336]
rxn10978	[0.21098282582710867]
rxn13831	[0.3894751428636496]
rxn10338	[0.21677803092569767]
rxn10341	[0.21677803092569767]
rxn10337	[0.21677803092569767]
rxn10342	[0.21677803092569767]
rxn10340	[0.21677803092569767]
rxn10339	[0.21677803092569767]
rxn10335	[0.21677803092569767]
rxn10334	[0.21677803092569767]
rxn10336	[0.21677803092569767]
rxn13785	[0.3005187446003086]
rPY00162	[0.3005187446003086]
rPY00167	[0.3005187446003086]
rxn02160	[0.19098936823697663]
rxn13872	[0.1043510520130712]
rxn01964	[0.29153617669749565]
rxn00416	[0.5726036239790618]
rxn05651	[0.7960087805296675]
rxn05564	[0.42511565421997194]
rxn01192	[np.float64(0.41102492161742427)]
rxn12206	[np.float64(0.41102492161742427)]
rxn12432	[np.float64(0.41102492161742427)]
rxn00874	[0.3378978174862077]
rxn02483	[np.float64(0.41102492161742427)]
rxn01827	[0.6977800541085841]
rxn03393	[0.024666981907472546]
rxn05176	[0.5844837944311693]
rxn05153	[0.5844837944311693]
rxn00858	[0.12173666730883817]
rxn05237	[0.20026169639471905]
rxn11080	[0.20026169639471905]
rxn09657	[0.05161468561591137]
rxn05202	[0.026985063946908146]
rxn05682	[0.05161468561591137]
rxn05312	[0.42047949014110075]
rxn05527	[0.05161468561591137]
rxn05318	[0.05161468561591137]
rxn05198	[0.05161468561591137]
rxn05317	[0.05161468561591137]
rxn05205	[0.05161468561591137]
rxn05316	[0.05161468561591137]
rxn05200	[0.05161468561591137]
rxn05199	[0.05161468561591137]
rxn09688	[0.05161468561591137]
rxn09687	[0.05161468561591137]
rxn09685	[0.05161468561591137]
rxn02287	[0.3321026123876186]
rxn00567	[0.03596763184972108]
rJB00273	[np.float64(0.41102492161742427)]
rJB00274	[np.float64(0.41102492161742427)]
rxn04092	[0.19649481308063618]
rxn08550	[np.float64(0.41102492161742427)]
rxn08552	[np.float64(0.41102492161742427)]
rxn02503	[np.float64(0.41102492161742427)]
rxn00256	[0.17389351319613913]
rxn00225	[0.7510959410156027]
rxn00799	[0.2544468640665261]
rxn05663	[np.float64(0.41102492161742427)]
rxn00806	[0.14781509025248865]
rxn00493	[0.14781509025248865]
rxn05108	[0.14781509025248865]
rxn12562	[0.21098282582710867]
rJB00237	[0.21098282582710867]
rJB00240	[0.21098282582710867]
rxn05207	[0.21098282582710867]
rJB00238	[0.21098282582710867]
rxn03004	[0.24285645386934815]
rxn13841	[0.17128567090177407]
rxn01644	[0.42888253753405475]
rxn04093	[0.19649481308063618]
rxn05179	[0.1640416645285378]
rxn13794	[np.float64(0.41102492161742427)]
rxn10170	[np.float64(0.41102492161742427)]
rxn05169	[np.float64(0.41102492161742427)]
rxn01352	[0.6847408426367588]
rxn09016	[0.6847408426367588]
rxn05231	[0.5668084188804728]
rxn06076	[0.5668084188804728]
rxn05233	[0.5668084188804728]
rxn06075	[0.5668084188804728]
rxn12498	[0.09276064181589322]
rJB00269	[0.09276064181589322]
rxn05561	[0.6450436877114242]
rxn10154	[0.6450436877114242]
rxn00902	[0.3378978174862077]
rxn00269	[0.19649481308063618]
rxn03541	[0.6664859465762035]
rxn05315	[np.float64(0.41102492161742427)]
rxn10113	[0.044080918987745674]
rJB00267	[0.044080918987745674]
rxn05152	[np.float64(0.41102492161742427)]
rxn05146	[np.float64(0.41102492161742427)]
rxn08861	[0.3434032623298672]
rxn00394	[0.12173666730883817]
rxn05197	[0.026985063946908146]
rxn01225	[0.3378978174862077]
rxn08527	[np.float64(0.41102492161742427)]
rxn01732	[0.7374772090339187]
rxn00285	[0.7374772090339187]
rxn05334	[np.float64(0.41102492161742427)]
rxn05329	[np.float64(0.41102492161742427)]
rxn05330	[np.float64(0.41102492161742427)]
rxn13843	[np.float64(0.41102492161742427)]
rxn13840	[np.float64(0.41102492161742427)]
rxn13846	[np.float64(0.41102492161742427)]
rxn10168	[0.1043510520130712]
rxn13842	[0.1043510520130712]
rxn02276	[0.19388697078627115]
rxn01332	[0.019161537063813003]
rxn01388	[0.23677148851582966]
rxn00974	[0.23677148851582966]
rxn00973	[0.23677148851582966]
rxn13886	[0.20982378480739086]
rxn02177	[0.6375099210832587]
rxn05160	[np.float64(0.41102492161742427)]
rxn05549	[np.float64(0.41102492161742427)]
rxn05644	[np.float64(0.41102492161742427)]
rxn05167	[np.float64(0.41102492161742427)]
rxn05173	[np.float64(0.41102492161742427)]
rxn02143	[0.1921484092566944]
rxn02889	[0.6711221106550747]
rxn05649	[0.8081787112367044]
rxn05307	[0.8081787112367044]
rxn05300	[0.8081787112367044]
rxn13811	[0.026985063946908146]
rxn00649	[np.float64(0.41102492161742427)]
rPY00184	[0.21677803092569767]
rxn08229	[0.21677803092569767]
rxn08230	[0.21677803092569767]
rPY00183	[0.21677803092569767]
rxn08231	[0.21677803092569767]
rxn08232	[0.21677803092569767]
rxn13847	[0.2669065550284925]
rxn00065	[0.2912464164425662]
rxn00342	[np.float64(0.41102492161742427)]
rxn05171	[0.1921484092566944]
rxn13853	[0.27588912293130535]
rxn13849	[0.27588912293130535]
rxn05608	[0.27588912293130535]
rJB00222	[0.27588912293130535]
rxn05614	[0.01336633196522401]
rxn05613	[0.01336633196522401]
rPY00218	[np.float64(0.41102492161742427)]
rxn05149	[np.float64(0.41102492161742427)]
rxn06600	[0.1921484092566944]
rxn00165	[0.2880590536383423]
rxn13803	[0.29153617669749565]
rxn06377	[0.16606998631304395]
rxn12549	[0.421928291415748]
rxn13814	[0.17592183498064526]
rxn13681	[0.17592183498064526]
rxn13919	[0.17592183498064526]
rPY00172	[0.3378978174862077]
rPY00175	[0.3378978174862077]
rxn00175	[np.float64(0.41102492161742427)]
rxn05187	[0.17273447217642135]
rxn05151	[0.2057671412383786]
rxn06216	[0.20026169639471905]
rxn01199	[0.7571809063691212]
rxn08556	[0.20113097715950737]
rxn37440	[0.20113097715950737]
rxn02789	[np.float64(0.41102492161742427)]
rxn02811	[np.float64(0.41102492161742427)]
rxn03884	[0.17389351319613913]
rxn00214	[0.07131838295111394]
rxn03135	[0.1330373172510867]
rxn13877	[0.5841940341762398]
rxn13913	[0.3894751428636496]
rxn00980	[0.4001962722960393]
rxn01639	[0.12144690705390872]
rxn10174	[0.5699957816846968]
rxn05158	[0.5699957816846968]
rxn05147	[0.37237928782281216]
rxn00299	[0.10261249048349451]
rxn05552	[0.1921484092566944]
rxn05585	[0.1921484092566944]
rxn05621	[0.1921484092566944]
rxn05620	[0.1921484092566944]
rxn05656	[0.1921484092566944]
rxn08900	[0.1588259799398077]
rxn36761	[0.1588259799398077]
rxn05215	[0.3300742906031125]
rxn01834	[0.047847802301828515]
rxn01019	[0.6505491325550837]
rxn13805	[np.float64(0.41102492161742427)]
rxn13807	[0.2106930655721792]
rxn13806	[0.17128567090177407]
rJB00225	[0.27328128063694035]
rxn05560	[0.27328128063694035]
rxn00615	[0.2544468640665261]
rxn00533	[0.15766693892008993]
rxn05332	[np.float64(0.41102492161742427)]
rxn05335	[np.float64(0.41102492161742427)]
rxn05373	[np.float64(0.41102492161742427)]
rxn05423	[np.float64(0.41102492161742427)]
rxn05398	[np.float64(0.41102492161742427)]
rxn05377	[np.float64(0.41102492161742427)]
rxn05427	[np.float64(0.41102492161742427)]
rxn05402	[np.float64(0.41102492161742427)]
rxn05381	[np.float64(0.41102492161742427)]
