	rxn01451	rxn01387	rxn00288	rxn10126	rxn13726	rxn00248	rxn00199	rxn08094	rxn00154	rxn01802	rxn00183	rxn13895	rxn00184	rxn05312	rxn05318	rxn00256	rxn00799	rxn10113	rxn00285	rxn00973	rxn05307	rxn00165	rxn01639	rxn05158	rxn05215	rxn00615	rxn13836	rxn00148	rxn10042	rxn05221	rxn00250	rxn02167	rxn00134	rxn00102	rxn05559	rxn00191	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	rxn05493	rxn05467	rxn05468	EX_cpd00024_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00035_e	EX_cpd00129_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	rxn13837	rxn01730	EX_cpd00581_e	ATPM	EX_cpd00047_e	EX_cpd00170_e	EX_cpd00222_e	EX_cpd00379_e	rxn00178	DM_cpd00002_c
0	-58.89562882184896	-6.862445372483433	152.10348450611508	127.52008254668323	390.552379324013	152.10348450611508	-6.862445372483433	152.10348450611508	110.92881227121448	-58.89562882184896	34.312226862417106	34.312226862417106	6.862445372483433	749.6541100781194	500.3563065217395	6.862445372483433	-152.10348450611508	518.0724618706962	-152.10348450611508	-6.862445372483433	-13.724890744966865	-13.724890744966865	6.862445372483433	751.4148094870975	-34.312226862417106	-1000.0	618.8601772089149	500.3563065217395	390.552379324013	34.312226862417106	341.3903766431405	58.89562882184896	500.3563065217395	-341.3903766431405	-6.862445372483433	-34.312226862417106	6.862445372483433	1000.0	500.3563065217395	6.862445372483433	6.862445372483433	-6.862445372483433	248.5851905129025	117.79125764369797	-356.24015246159564	259.0362309353481	-117.79125764369797	-500.3563065217395	356.24015246159564	1000.0	-1000.0	34.312226862417106	-34.312226862417106	13.724890744966865	-259.0362309353481	-501.0689195652192	-58.89562882184896	-58.89562882184896	-6.862445372483433	8.39	6.862445372483433	-618.8601772089149	618.8601772089149	58.89562882184896	58.89562882184896	500.35630652173904
1	-97.01248252952902	-2.2737367544323206e-13	194.02496505905805	97.01248252952905	485.06241264764503	194.02496505905805	-1.1368683772161603e-13	194.02496505905805	194.02496505905805	-97.01248252952902	0.0	0.0	0.0	804.8564919619569	553.3182634514494	2.2737367544323206e-13	-194.02496505905805	582.0748951771741	-194.02496505905805	-2.2737367544323206e-13	-3.410605131648481e-13	-3.410605131648481e-13	0.0	855.0982983923914	0.0	-1000.0	853.9797554134063	553.3182634514494	485.06241264764503	0.0	359.29329839239136	97.01248252952902	553.3182634514494	-359.29329839239136	0.0	0.0	0.0	1000.0	553.3182634514494	0.0	0.0	0.0	144.90170160760863	194.02496505905805	-485.0624126476452	291.03744758858704	-194.02496505905805	-553.3182634514494	485.0624126476452	1000.0	-1000.0	0.0	0.0	2.2737367544323206e-13	-291.03744758858704	-659.9547903543482	-97.01248252952902	-97.01248252952902	0.0	8.39	0.0	-853.9797554134063	853.9797554134063	97.01248252952902	97.01248252952902	553.3182634514494
2	-91.50121289978755	-2.2737367544323206e-13	183.0024257995751	91.50121289978756	457.5060644989377	183.0024257995751	-1.1368683772161603e-13	183.0024257995751	183.0024257995751	-91.50121289978755	0.0	0.0	0.0	780.6606740752865	500.3563065217395	2.2737367544323206e-13	-183.0024257995751	549.0072773987253	-183.0024257995751	-2.2737367544323206e-13	-3.410605131648481e-13	-3.410605131648481e-13	0.0	720.4082454899308	0.0	-814.4987295355334	869.5726158292588	500.3563065217395	457.5060644989377	0.0	317.3538807221639	91.50121289978755	500.3563065217395	-317.3538807221639	0.0	0.0	0.0	814.4987295355334	500.3563065217395	0.0	0.0	0.0	94.09048404560258	183.0024257995751	-457.5060644989378	274.5036386993626	-183.0024257995751	-500.3563065217395	457.5060644989378	814.4987295355334	-814.4987295355334	0.0	0.0	2.2737367544323206e-13	-274.5036386993626	-686.5701900296839	-91.50121289978755	-91.50121289978755	0.0	8.39	0.0	-869.5726158292588	869.5726158292588	91.50121289978755	91.50121289978755	500.35630652173904
3	-28.950991649294604	-15.123034937325986	133.51715798521928	180.1813410225548	356.47744736903735	133.51715798521928	-15.123034937325986	133.51715798521928	42.77894836126322	-28.950991649294604	75.61517468663011	75.61517468663011	15.123034937325986	842.5857426825986	500.3563065217395	15.123034937325986	-133.51715798521928	536.6587883915921	-133.51715798521928	-15.123034937325986	-30.246069874651972	-30.246069874651972	15.123034937325986	658.4831768826184	-75.61517468663011	-1000.0	558.9709028638065	500.3563065217395	356.47744736903735	75.61517468663011	351.71611359919376	28.950991649294604	500.3563065217395	-351.71611359919376	-15.123034937325986	-75.61517468663011	15.123034937325986	1000.0	500.3563065217395	15.123034937325986	15.123034937325986	-15.123034937325986	341.5168231173816	57.90198329858917	-280.86227268240725	268.32939419579606	-57.90198329858917	-500.3563065217395	280.86227268240725	1000.0	-1000.0	75.61517468663011	-75.61517468663011	30.246069874651972	-268.32939419579606	-501.0689195652192	-28.950991649294604	-28.950991649294604	-15.123034937325986	8.39	15.123034937325986	-558.9709028638065	558.9709028638065	28.950991649294604	28.950991649294604	500.35630652173904
4	-41.50127757344201	-15.794853844187625	161.97682436782227	199.44981601531845	428.63434168583717	161.97682436782227	-15.794853844187625	161.97682436782227	67.20770130269639	-41.50127757344201	78.97426922093823	78.97426922093823	15.794853844187625	1000.0	560.2988243678222	15.794853844187625	-161.97682436782227	628.0841577011556	-161.97682436782227	-15.794853844187625	-31.58970768837525	-31.58970768837525	15.794853844187625	680.8964731034669	-78.97426922093823	-1000.0	763.8990282503507	560.2988243678222	428.63434168583717	78.97426922093823	382.5271461558124	41.50127757344201	560.2988243678222	-382.5271461558124	-15.794853844187625	-78.97426922093823	15.794853844187625	1000.0	560.2988243678222	15.794853844187625	15.794853844187625	-15.794853844187625	319.10352689653314	83.00255514688405	-349.6600724648989	314.0420788505778	-83.00255514688405	-560.2988243678222	349.6600724648989	1000.0	-1000.0	78.97426922093823	-78.97426922093823	31.58970768837525	-314.0420788505778	-680.8964731034669	-41.50127757344201	-41.50127757344201	-15.794853844187625	8.39	15.794853844187625	-763.8990282503507	763.8990282503507	41.50127757344201	41.50127757344201	560.2988243678226
5	-76.1973371132457	-8.49042025686033	194.84677551079417	161.10153968185125	499.8525691622765	194.84677551079417	-8.49042025686033	194.84677551079417	143.90425396963107	-76.1973371132457	42.452101284302785	42.452101284302785	8.49042025686033	1000.0	593.1687755107941	8.49042025686033	-194.84677551079417	660.9541088441277	-194.84677551079417	-8.49042025686033	-16.98084051372066	-16.98084051372066	8.49042025686033	779.5063265323826	-42.452101284302785	-1000.0	931.901000758875	593.1687755107941	499.8525691622765	42.452101284302785	389.8315797431396	76.1973371132457	593.1687755107941	-389.8315797431396	-8.49042025686033	-42.452101284302785	8.49042025686033	1000.0	593.1687755107941	8.49042025686033	8.49042025686033	-8.49042025686033	220.49367346761744	152.3946742264914	-457.4004678779737	330.4770544220639	-152.3946742264914	-593.1687755107941	457.4004678779737	1000.0	-1000.0	42.452101284302785	-42.452101284302785	16.98084051372066	-330.4770544220639	-779.5063265323826	-76.1973371132457	-76.1973371132457	-8.49042025686033	8.39	8.49042025686033	-931.901000758875	931.901000758875	76.1973371132457	76.1973371132457	593.1687755107941
6	-70.28640341322517	-8.757853993822232	184.36207679556134	157.86494335144715	474.04197297963657	184.36207679556134	-8.757853993822232	184.36207679556134	131.8149528326281	-70.28640341322517	43.789269969110975	43.789269969110975	8.757853993822232	1000.0	526.9965954021284	8.757853993822232	-184.36207679556134	631.9069163310837	-184.36207679556134	-8.757853993822232	-17.515707987644465	-17.515707987644465	8.757853993822232	580.9897862063852	-43.789269969110975	-721.5625930328355	1000.0	526.9965954021284	474.04197297963657	43.789269969110975	333.87666461274483	70.28640341322517	526.9965954021284	-333.87666461274483	-8.757853993822232	-43.789269969110975	8.757853993822232	721.5625930328355	526.9965954021284	8.757853993822232	8.757853993822232	-8.757853993822232	140.57280682645023	140.57280682645035	-430.2527030105255	315.95345816554186	-140.57280682645035	-526.9965954021284	430.2527030105255	721.5625930328355	-721.5625930328355	43.789269969110975	-43.789269969110975	17.515707987644465	-315.95345816554186	-859.4271931735498	-70.28640341322517	-70.28640341322517	-8.757853993822232	8.39	8.757853993822232	-1000.0	1000.0	70.28640341322517	70.28640341322517	526.9965954021284
7	-83.62071865056888	-6.602813147382822	200.2555030380518	149.64885012439697	510.5429773162033	200.2555030380518	-6.602813147382822	200.2555030380518	160.63862415375493	-83.62071865056888	33.0140657369141	33.0140657369141	6.602813147382822	1000.0	580.064476245698	6.602813147382822	-200.2555030380518	660.1918274406003	-200.2555030380518	-6.602813147382822	-13.205626294765644	-13.205626294765644	6.602813147382822	740.1934287370939	-33.0140657369141	-907.4348660382311	1000.0	580.064476245698	510.5429773162033	33.0140657369141	373.20616006026336	83.62071865056888	580.064476245698	-373.20616006026336	-6.602813147382822	-33.0140657369141	6.602813147382822	907.4348660382311	580.064476245698	6.602813147382822	6.602813147382822	-6.602813147382822	167.24143730113724	167.24143730113772	-477.52891157928974	330.09591372030013	-167.24143730113772	-580.064476245698	477.52891157928974	907.4348660382311	-907.4348660382311	33.0140657369141	-33.0140657369141	13.205626294765644	-330.09591372030013	-832.7585626988628	-83.62071865056888	-83.62071865056888	-6.602813147382822	8.39	6.602813147382822	-1000.0	1000.0	83.62071865056888	83.62071865056888	580.0644762456977
8	-105.11740250634855	-0.7483072393361031	213.97634120937764	112.60047489970964	536.0633138824481	213.97634120937764	-0.7483072393361031	213.97634120937764	209.486497773361	-105.11740250634855	3.7415361966805163	3.7415361966805163	0.7483072393361031	921.4502855986168	596.588398329101	0.7483072393361031	-213.97634120937764	648.6637887821578	-213.97634120937764	-0.7483072393361031	-1.4966144786722062	-1.4966144786722062	0.7483072393361031	868.3149093886861	-3.7415361966805163	-1000.0	1000.0	596.588398329101	536.0633138824481	3.7415361966805163	381.8637498803872	105.11740250634855	596.588398329101	-381.8637498803872	-0.7483072393361031	-3.7415361966805163	0.7483072393361031	1000.0	596.588398329101	0.7483072393361031	0.7483072393361031	-0.7483072393361031	131.68509061131385	210.2348050126971	-532.3217776857678	324.3318943910789	-210.2348050126971	-596.588398329101	532.3217776857678	1000.0	-1000.0	3.7415361966805163	-3.7415361966805163	1.4966144786722062	-324.3318943910789	-789.765194987303	-105.11740250634855	-105.11740250634855	-0.7483072393361031	8.39	0.7483072393361031	-1000.0	1000.0	105.11740250634855	105.11740250634855	596.5883983291008
9	-90.40547840254771	-2.2737367544323206e-13	180.81095680509543	90.40547840254771	452.0273920127386	180.81095680509543	-1.1368683772161603e-13	180.81095680509543	180.81095680509543	-90.40547840254771	0.0	0.0	0.0	738.7864506921442	526.8902469435243	2.2737367544323206e-13	-180.81095680509543	542.4328704152863	-180.81095680509543	-2.2737367544323206e-13	-3.410605131648481e-13	-3.410605131648481e-13	0.0	841.8842901384287	0.0	-1000.0	761.4816976356678	526.8902469435243	452.0273920127386	0.0	346.07929013842886	90.40547840254771	526.8902469435243	-346.07929013842886	0.0	0.0	0.0	1000.0	526.8902469435243	0.0	0.0	0.0	158.1157098615713	180.81095680509543	-452.0273920127386	271.21643520764314	-180.81095680509543	-526.8902469435243	452.0273920127386	1000.0	-1000.0	0.0	0.0	2.2737367544323206e-13	-271.21643520764314	-580.6707408305729	-90.40547840254771	-90.40547840254771	0.0	8.39	0.0	-761.4816976356678	761.4816976356678	90.40547840254771	90.40547840254771	526.8902469435243
