,genes,T5T0_all2metab.log2FoldChange,T5T0_all2metab.padj,T24T0_all2metab.log2FoldChange,T24T0_all2metab.padj,U5U0_all2metab.log2FoldChange,U5U0_all2metab.padj,U24U0_all2metab.log2FoldChange,U24U0_all2metab.padj
1,PA14_00060,-0.034696909,0.815351527,-0.039499276,0.801256145,0.086686175,0.513804014,0.159907727,0.186930349
2,PA14_00070,-0.364448533,0.006720672,-0.052870271,0.842611272,-0.046181023,0.902388963,0.158440939,0.551142695
3,PA14_00120,0.014318994,0.979288835,-0.064710374,0.910936686,-0.09264853,0.887172724,0.089946255,0.984202384
4,PA14_00250,-1.565876458,0.059767547,-1.918930354,0.016108179,-1.578228785,0.069021702,-0.49673791,0.871273151
5,PA14_00280,-0.531319559,0.480880289,-0.060654244,0.967747441,-0.280583877,0.827370795,0.015951319,0.999076502
6,PA14_00290,0.334083571,0.003491908,0.357606804,0.0018167,-0.220826139,0.107029917,0.212908309,0.218544153
7,PA14_00440,0.015757259,0.926955647,0.063096334,0.607019238,0.036358756,0.848640715,0.107672061,0.449209537
8,PA14_00450,0.320487653,6.12E-12,0.229991325,2.60E-06,0.262101483,1.64E-07,0.183840995,0.003377264
9,PA14_00640,-2.029578,1.01E-09,-3.1489732,2.04E-22,-0.318411381,0.625906639,-0.177740524,0.944371322
10,PA14_01250,-0.609153242,0.410381767,0.430618482,0.625302258,0.292137969,0.821948221,0.081393136,0.999076502
11,PA14_01460,-0.397615163,0.000950641,-0.334271877,0.008167102,0.325622927,0.012505122,0.266075557,0.121999357
12,PA14_01580,1.192930369,0.060966647,0.719150864,0.338327491,-0.935099095,0.199984812,-1.425058839,0.063355433
13,PA14_01600,-0.710067692,0.352016051,-0.396748985,0.688673071,-0.078084887,0.971469942,-0.182103514,0.996352322
14,PA14_01620,-0.497132103,0.612698662,-0.558930561,0.572775383,1.096169984,0.179737232,1.10189676,0.28845413
15,PA14_01760,0.282210937,0.842145789,0.147632219,0.940461896,0.667502985,0.622380748,-0.41363425,0.923132543
16,PA14_01830,0.366396009,0.762267371,1.257409548,0.124243466,0.375590396,0.818483797,0.447794113,0.885988954
17,PA14_01900,-0.281113936,0.794758525,-0.596505615,0.491169851,0.170615711,0.924440218,0.586241112,0.687511682
18,PA14_01910,-0.394766192,0.554690588,-0.347175164,0.643899441,-0.799942049,0.164727545,0.016175774,0.999076502
19,PA14_02070,0.01069342,0.990390622,-0.162778688,0.828114325,0.226702503,0.779831912,-0.078389912,0.999076502
20,PA14_02330,0.200078051,0.851290316,0.25993298,0.810557685,0.066352286,0.973863352,0.268384376,0.948689765
21,PA14_02340,-1.590591303,0.082999818,-1.779196052,0.047436433,-0.645159263,0.679305455,-0.487122625,0.905186853
22,PA14_02450,0.464893296,0.780394956,0.596471162,0.715762455,0.490993059,0.826415897,-0.682611759,0.843862979
23,PA14_02470,-0.011533972,0.9334108,0.027567242,0.828404195,0.203960594,0.002027075,0.263164555,0.000358416
24,PA14_02550,-0.205018695,0.882198086,-0.043819649,0.979494677,0.229018732,0.906698307,0.321242498,0.953465299
25,PA14_02570,-1.160540158,0.126860029,-0.435960507,0.695540803,-0.140942895,0.948059568,-0.679707667,0.646168534
26,PA14_02580,-0.363963499,0.688782599,0.012707237,0.995083909,-0.54631378,0.576357514,-0.982254265,0.275397121
27,PA14_02590,-0.467200085,0.522731269,-0.565511698,0.429435422,0.70034111,0.321205254,0.521869129,0.661840944
28,PA14_02630,1.264010856,0.000537225,1.283624601,0.000512605,1.126627506,0.003364445,0.098218474,0.999076502
29,PA14_02640,-0.001063928,0.996734921,0.029373968,0.955810107,0.257232794,0.364605275,0.271100618,0.459869724
30,PA14_02680,0.255098597,0.816540017,-0.049576832,0.977000036,-1.246700848,0.073380379,-0.550988851,0.723190467
31,PA14_02790,0.373372376,0.073927617,0.343937253,0.10944066,0.159569641,0.645701657,0.065664731,0.990151722
32,PA14_02810,-0.226344484,0.680017735,-0.348971123,0.483977316,0.452855836,0.350581593,0.371699308,0.626052478
33,PA14_02830,-2.193414512,0.0027147,-3.089134323,1.01E-05,-0.089186967,0.972331469,0.215383775,0.999076502
34,PA14_02840,0.475281746,0.667783263,0.475186752,0.690161043,0.160857652,0.943932643,-0.113165179,0.999076502
35,PA14_02850,0.290765237,0.440720261,0.291141384,0.458766568,0.513689134,0.127977825,0.241770433,0.756161012
36,PA14_02900,-0.623126206,0.008717876,-0.236926574,0.467104366,0.092463226,0.877838509,-0.169741449,0.835581033
37,PA14_02990,-0.194433789,0.541245507,-0.133237377,0.733915088,-0.266020413,0.415234649,-0.013556262,0.999076502
38,PA14_03000,0.333485497,0.696818755,0.588366643,0.424919565,0.287010524,0.816005068,-1.170575804,0.119290871
39,PA14_03030,0.114263978,0.664324475,-0.026447115,0.951640997,0.29092461,0.165266721,-0.410512103,0.070853545
40,PA14_03050,-1.694036782,0.013706842,-2.426777846,0.000186766,-0.512370551,0.687761171,0.14737274,0.999076502
41,PA14_03130,0.08284922,0.905393432,0.077045532,0.926420291,-0.331043242,0.551463284,-0.006840802,0.999076502
42,PA14_03450,0.733089167,0.047146133,0.747169574,0.04456026,-0.055612781,0.96329296,0.132838022,0.978369267
43,PA14_03550,-0.30169765,0.816697834,-0.394900479,0.761655065,0.688785703,0.569996111,0.70565889,0.676981662
44,PA14_03650,-0.900579298,0.300286435,-1.296552146,0.098071851,-0.71677068,0.520835103,-0.321895973,0.954304455
45,PA14_03670,0.148375647,0.904331461,0.020449554,0.990085152,0.430615476,0.715747574,-0.482308466,0.787959785
46,PA14_03680,0.116636841,0.933356071,0.049542469,0.977514234,0.23122002,0.893269506,-0.821019114,0.479616494
47,PA14_03700,-1.210584229,0.099784345,-2.41000481,0.000157028,-0.069314927,0.976200215,0.21455382,0.994030799
48,PA14_03770,0.10956598,0.932283274,0.087981712,0.951944644,0.020016744,0.991093299,0.133936183,0.999076502
49,PA14_03810,-0.14302202,0.836102211,0.399531977,0.431536046,0.187205794,0.830200989,0.092676285,0.999076502
50,PA14_03830,-0.208467424,0.871534413,-0.051210267,0.977514234,-0.671723078,0.52093047,-0.299813543,0.955526702
51,PA14_03860,-0.027360071,0.963161522,-0.222352703,0.588821712,0.467808782,0.155341676,0.313309202,0.564913279
52,PA14_03880,-1.174115022,0.163235294,-1.475874062,0.06437645,-2.045158081,0.006551407,-1.046561508,0.392609994
53,PA14_03900,0.939139667,4.79E-08,0.90542907,2.14E-07,0.82951009,4.50E-06,0.469366192,0.05451513
54,PA14_03920,-0.013957962,0.937002327,-0.029251181,0.866640056,0.253408149,0.003099908,0.134965106,0.316993566
55,PA14_03930,-1.128488281,0.308429103,-1.31808423,0.217610701,-0.849453636,0.565194918,0.026813734,0.999076502
56,PA14_03950,-0.067620652,0.743232134,-0.158920756,0.318059089,0.154941002,0.37922108,0.125330409,0.660335897
57,PA14_04080,0.022266288,0.939251988,0.0067315,0.984484084,0.082837011,0.782257846,0.149960108,0.613454322
58,PA14_04090,0.019640891,0.8528044,-0.016777511,0.893060798,0.25590365,1.68E-06,0.119100118,0.133664628
59,PA14_04110,0.146314869,0.93570703,-0.133051378,0.951431168,-0.617173301,0.710087094,-0.17434668,0.999076502
60,PA14_04210,0.204695054,0.256883001,0.164664825,0.407407771,0.277898994,0.111550494,0.039405209,0.999076502
61,PA14_04220,-0.440165308,3.11E-08,-0.376245385,4.47E-06,-0.036733447,0.863443454,0.047406668,0.923132543
62,PA14_04230,0.021084943,0.991965994,0.327690139,0.878590728,0.825237962,0.653174116,0.065507479,0.999076502
63,PA14_04240,-0.421713917,0.228943663,-0.383106123,0.296703045,0.068150539,0.940196469,-0.019828214,0.999076502
64,PA14_04250,0.653558208,0.043077131,0.666344148,0.040653854,-0.519700255,0.157846994,-0.635861274,0.137165944
65,PA14_04310,0.131025736,0.29195941,0.105125477,0.44524737,-0.161425859,0.202081831,0.09018197,0.728016129
66,PA14_04480,-0.331985763,0.770345636,-0.713196283,0.433986915,-0.212782394,0.909456426,-0.613484989,0.71083975
67,PA14_04550,0.546785996,0.247179246,0.447723233,0.384426051,0.318730332,0.660452302,0.093685538,0.999076502
68,PA14_04580,0.718742993,0.366513372,0.760352191,0.339397413,0.197508278,0.909456426,-0.200270428,0.994552402
69,PA14_04610,0.629706718,0.012045442,0.578373825,0.025587257,0.12655915,0.825381681,0.372706308,0.360730672
70,PA14_04630,1.440684198,0.007232036,1.296286453,0.019874767,-0.944908559,0.136923195,-1.043572846,0.173898013
71,PA14_04760,-0.351585913,0.0007363,-0.279853949,0.011220874,0.034214334,0.909456426,0.112091541,0.628639797
72,PA14_04780,0.052502066,0.946961796,0.011805513,0.990447585,-0.276299477,0.702178716,-0.104664498,0.999076502
73,PA14_05080,-1.299403731,0.364234594,-0.530962503,0.80186557,0.585865379,0.818078833,-0.586855169,0.926174297
74,PA14_05150,0.030711995,0.987912445,0.578988217,0.699014748,-0.827385996,0.586533323,-1.323270895,0.375361919
75,PA14_05200,-0.11573298,0.901022506,-0.060596638,0.959605348,-0.318847426,0.722330035,-0.090575883,0.999076502
76,PA14_05220,-0.506166383,0.706159787,-0.680255508,0.597612564,-0.897494624,0.494623649,-0.952189312,0.580374065
77,PA14_05230,0.82332747,0.234748467,0.726098686,0.321061672,-0.879458646,0.229756379,-0.504336495,0.738146574
78,PA14_05260,-0.891188566,0.155607403,-0.0141595,0.992331268,-0.179124691,0.907073262,-0.123086822,0.999076502
79,PA14_05270,-0.424152711,0.794058531,-0.378348015,0.83510771,-0.757433061,0.657214832,-0.208715833,0.999076502
80,PA14_05310,-1.232883821,0.083710255,-0.052383164,0.977000036,-0.134265005,0.949119612,-0.006617095,0.999331955
81,PA14_05460,0.119157762,0.001738238,0.024305618,0.711326606,-0.065997348,0.18049549,0.076328375,0.185671635
82,PA14_05590,-0.693358967,0.421460949,-1.518677312,0.028813811,-0.284310186,0.856106968,-0.016388533,0.999076502
83,PA14_05620,-0.689023845,0.286219008,0.355840724,0.676314425,-0.011597323,0.994033252,0.055631521,0.999076502
84,PA14_05690,-0.379453416,0.774577097,-0.735893632,0.504649416,0.482079133,0.77055479,0.45508816,0.905186853
85,PA14_05700,-0.326770189,0.734782386,-0.056584624,0.972676553,0.429628593,0.710087094,0.253552017,0.968523942
86,PA14_05770,-0.10014362,0.911743705,-0.173803125,0.839750111,-0.556584146,0.34458162,0.597556238,0.421887615
87,PA14_05790,0.242061724,0.818849695,0.148772729,0.916017497,-0.888325521,0.234393754,-0.387860001,0.864988892
88,PA14_05840,0.708859135,0.104752822,0.950190152,0.019953974,-0.578640029,0.248389813,-0.081989112,0.999076502
89,PA14_05870,-1.38045786,0.279655354,-1.556772786,0.209739278,-1.509314415,0.258383548,-1.506325492,0.3863224
90,PA14_06230,0.123077923,0.93570703,0.128536976,0.943914498,-1.041761512,0.25787027,-0.197258999,0.999076502
91,PA14_06290,-2.313535976,1.33E-05,-1.718421125,0.002424268,-0.125311707,0.944444636,0.117399587,0.999076502
92,PA14_06500,-0.613337911,0.478679774,-0.092207406,0.955223324,-0.196773104,0.913148688,-0.408044,0.875747147
93,PA14_06510,0.272880279,0.025653394,0.272612987,0.028050543,0.24084633,0.071859648,-0.004710802,0.999076502
94,PA14_06570,0.028862434,0.986319084,0.320962085,0.832514592,2.699388827,0.000408259,2.796599603,0.001738634
95,PA14_06600,0.075999911,0.428430715,0.105618073,0.229664138,0.415287191,7.34E-10,0.205095148,0.024529674
96,PA14_06660,-0.513964368,0.696818755,-1.059210018,0.318755904,-0.147903272,0.960227507,0.094732081,0.999076502
97,PA14_06670,0.124433408,0.936325274,0.121967703,0.949965074,-1.209210079,0.181192789,-1.090409664,0.371260327
98,PA14_06700,-0.093649408,0.93570703,0.007183528,0.996993413,0.436557146,0.668847637,0.05699932,0.999076502
99,PA14_06720,-0.394220815,0.650943128,-0.410850136,0.657333976,-0.254141295,0.854056646,-0.733847318,0.486210605
100,PA14_06750,-1.17954006,0.094856016,0.472701361,0.636633048,-0.515463143,0.661910109,-0.471578101,0.822637677
101,PA14_06810,0.196380621,0.852958878,0.171300157,0.890145077,0.469533575,0.643735466,0.202131458,0.985089454
102,PA14_06830,-0.07181738,0.953413294,-0.269832056,0.801555566,0.323361931,0.79515539,0.244828002,0.968341285
103,PA14_06960,0.03044938,0.985775022,-0.028333801,0.987836945,-0.005615583,0.997600677,-1.01603016,0.424673462
104,PA14_07090,1.009683213,0.007232036,0.847349364,0.032633778,0.386412295,0.516991778,0.399579366,0.616141411
105,PA14_07130,0.401814519,2.88E-08,0.362775236,9.89E-07,-0.230931443,0.006042232,0.086711604,0.614751527
106,PA14_07170,0.053192773,0.942982373,0.19626272,0.75495964,-0.192457184,0.809980585,-0.125234081,0.985793458
107,PA14_07230,0.899566927,8.44E-22,0.763941509,1.11E-15,0.420919364,6.68E-05,0.257625338,0.073320653
108,PA14_07580,-0.028557877,0.808044775,0.002720588,0.986543758,0.091129386,0.307804226,0.097548782,0.387703073
109,PA14_07590,-0.23219935,0.055653161,-0.0495326,0.823351215,-0.057421042,0.826415897,0.209381976,0.206165939
110,PA14_07600,0.296397083,0.679529655,0.318916168,0.670966412,1.40479645,0.002859984,0.421857835,0.71814227
111,PA14_07700,-3.090524597,2.03E-12,-1.493471482,0.002381778,-0.028934799,0.987060762,-0.007237396,0.999076502
112,PA14_07740,0.172980696,0.861652826,0.127552636,0.918944294,1.004205452,0.091959854,-0.764696686,0.372800587
113,PA14_07850,-0.026847492,0.799280287,-0.018881588,0.886107364,-0.16461926,0.0104061,0.049772072,0.777077387
114,PA14_07860,-0.047953086,0.899136246,-0.11587417,0.709720716,0.685960978,0.000158237,0.189718996,0.638997955
115,PA14_07870,-0.08331842,0.928723905,-0.057461891,0.959519423,-0.948256175,0.044894363,0.110231735,0.999076502
116,PA14_07890,-0.823964872,0.505831217,-0.784809657,0.55022046,-1.608460659,0.131720988,-0.35441866,0.978178474
117,PA14_07900,0.181211755,0.871189196,-0.036131743,0.979494677,-0.758994079,0.318961923,0.060409053,0.999076502
118,PA14_07910,0.582812652,0.136436801,0.357929474,0.447666894,-0.303278649,0.615898819,0.391519061,0.571587402
119,PA14_07930,-0.211729631,0.109098731,-0.236773776,0.066842499,-0.463146201,5.85E-05,0.033285645,0.999076502
120,PA14_07940,-0.038261837,0.881058651,0.009525757,0.97758768,-0.818451094,6.38E-12,0.034876085,0.999076502
121,PA14_08340,-1.908044061,0.047923564,-1.654473285,0.101663345,-0.627879305,0.72617386,-0.552905681,0.89079213
122,PA14_08350,-0.172849705,0.116885412,-0.086901802,0.539972784,0.007453988,0.98289545,0.173458902,0.245697826
123,PA14_08360,-2.850616158,0.000697681,-2.947837093,0.00051164,-0.711276723,0.656098744,-0.681103333,0.796104714
124,PA14_08390,-0.594906777,0.636136948,-0.400140534,0.800563161,-0.18739295,0.942632572,0.053927389,0.999076502
125,PA14_08480,0.227216316,0.169454769,0.213670376,0.211137114,-0.459235321,0.001582935,0.33283324,0.0824224
126,PA14_08560,-0.809964074,0.000365088,-0.840472881,0.00024548,-0.155629228,0.752153698,0.145770704,0.889084379
127,PA14_08620,0.21047503,0.880023877,0.129289215,0.942183947,-0.197948449,0.923959783,-0.372975354,0.923132543
128,PA14_08630,-0.13284001,0.024099134,-0.083952811,0.217172885,-0.271620062,6.73E-07,0.039008302,0.856804627
129,PA14_09150,0.215805703,0.798034067,0.318666336,0.687423031,-0.009096694,0.994989969,-0.179439656,0.982483056
130,PA14_09210,0.86869832,0.186740367,0.711716175,0.316450226,-0.06240094,0.974234069,0.315054827,0.917703472
131,PA14_09220,0.360782616,0.570850532,0.007975083,0.996333845,-0.371807709,0.643735466,-0.512832451,0.563051756
132,PA14_09240,0.775343599,0.24736426,0.481866513,0.552752921,-0.138230108,0.935121355,0.019387842,0.999076502
133,PA14_09270,0.13484978,0.936325274,0.003467104,0.999458429,-0.579045956,0.710087094,-1.379636661,0.257700142
134,PA14_09280,0.366423488,0.577091372,0.288939064,0.703673134,-0.925956135,0.073251374,-1.404334953,0.011282555
135,PA14_09290,-0.585633301,0.481146966,-1.154972455,0.090148213,-0.263772376,0.856778346,-0.103706488,0.999076502
136,PA14_09400,-1.371750029,0.149897115,-1.479039011,0.115735111,0.123095626,0.967224919,0.555514139,0.861540126
137,PA14_09410,-1.729399743,0.003426718,-1.848173256,0.0018167,-0.093256986,0.964730544,-0.033352685,0.999076502
138,PA14_09420,1.527047927,0.011404182,1.364444444,0.029467952,1.597797075,0.009563025,0.345838524,0.905860036
139,PA14_09440,0.666411312,0.192611257,0.771267546,0.118335795,-0.297697244,0.736884566,0.323095253,0.823591311
140,PA14_09450,-1.159155672,2.70E-10,-1.588880291,1.08E-18,-0.280298831,0.296599296,-0.104921145,0.928131792
141,PA14_09460,-0.585082766,0.349541145,-0.676770607,0.26399217,0.404191212,0.655967695,0.471464905,0.684627231
142,PA14_09470,0.585049528,0.007487169,0.340210456,0.184365667,0.202743297,0.578738953,-0.178491767,0.772270609
143,PA14_09480,-0.982042946,0.14520025,-1.765027967,0.002793534,0.538424482,0.590475133,-0.109012557,0.999076502
144,PA14_09550,-1.125065365,0.186836399,-1.561240432,0.046717856,-0.170032138,0.940196469,-0.000101777,0.99986545
145,PA14_09600,0.548377433,0.001887518,0.637316027,0.000253176,-0.506062471,0.007101102,0.229288865,0.490486489
146,PA14_09660,-0.898979812,0.390556531,-0.34990032,0.826446632,-1.195706717,0.248398528,-0.924988766,0.567915481
147,PA14_09710,-0.772698445,0.521414922,-0.210393946,0.920557227,-0.292666197,0.904309064,0.002223822,0.999853972
148,PA14_09740,-0.792796065,0.155455103,-1.31551442,0.007985998,0.074616966,0.965684646,0.007839002,0.999076502
149,PA14_10140,-0.557152542,0.646763701,-0.252919391,0.886107364,-0.044770443,0.987060762,0.027576255,0.999076502
150,PA14_10160,-0.221225859,0.855279859,-0.040843401,0.979494677,0.27364667,0.857450474,0.02401518,0.999076502
151,PA14_10170,0.584602589,0.430613135,0.565109335,0.470051127,1.190598368,0.059051924,0.949876264,0.273324212
152,PA14_10180,0.266424842,0.845998851,0.267043275,0.860996811,0.872486348,0.400508198,0.925332309,0.491702142
153,PA14_10200,-0.327543807,0.805116532,-0.088208261,0.964501135,-0.462521914,0.772566817,0.259571695,0.989250561
154,PA14_10230,-0.701389322,0.635195166,-0.585369727,0.728567963,0.074214951,0.98289545,1.046893733,0.616141411
155,PA14_10240,-0.417775645,0.706159787,-0.750190741,0.429432636,-0.096925344,0.970074468,-2.698213038,0.000666996
156,PA14_10250,0.526232675,0.135341726,0.095613826,0.888733023,0.649337502,0.062611188,0.146822717,0.948689765
157,PA14_10260,0.034802298,0.943952891,0.047080332,0.937516229,-0.358330502,0.232291249,-0.012254469,0.999076502
158,PA14_10420,1.250853868,4.10E-09,1.14212964,1.45E-07,-0.02613796,0.97428301,-0.267890588,0.576934586
159,PA14_10530,0.60748669,0.623102526,-1.168329384,0.250609502,0.91724327,0.464799053,1.568482888,0.195270516
160,PA14_10550,0.666075363,0.490639599,0.618863441,0.548948496,1.217051008,0.154177843,-1.370509404,0.179550473
161,PA14_10570,-0.629375244,0.638316881,-1.027752167,0.380467266,0.445445008,0.830200989,0.350113195,0.978178474
162,PA14_10590,0.375515068,0.332923291,0.301008755,0.487803216,0.330154562,0.48800886,-0.055201881,0.999076502
163,PA14_10600,-0.474463995,0.483010975,-0.59737184,0.353091959,-1.559820297,0.001853071,-0.667453676,0.446340807
164,PA14_10610,-0.319414598,0.086586795,-0.466246081,0.006627307,0.121574423,0.712424355,-0.00649978,0.999076502
165,PA14_10620,-1.266733536,0.241974109,-0.497826089,0.754391321,-0.668081479,0.700519836,-0.970156303,0.606109416
166,PA14_10630,0.459781466,0.006024284,0.410838453,0.01815244,0.039905435,0.939012872,0.1053681,0.883356901
167,PA14_10640,-0.019368926,0.98937445,-0.112124016,0.943914498,-0.000994761,0.999547511,-0.009892408,0.999076502
168,PA14_10650,0.01938725,0.98284384,0.022798528,0.981484047,0.092843482,0.941259228,0.12890456,0.996189496
169,PA14_10790,-0.140465301,0.923849714,-0.701050242,0.449336048,-1.881923895,0.006993317,-0.814465907,0.530511976
170,PA14_10850,0.015922286,0.992785881,-0.118664623,0.954272764,0.258712419,0.909456426,0.312905496,0.978335437
171,PA14_10890,0.189172218,0.908123058,0.295988526,0.857251831,-0.094445251,0.972773294,0.245501733,0.996189496
172,PA14_10900,0.746729263,0.666161493,0.873348987,0.61672615,0.554273934,0.835053906,0.194465641,0.999076502
173,PA14_10990,0.062012978,0.953499722,0.027267713,0.982152917,-0.37745521,0.695118254,-0.387991588,0.806181994
174,PA14_11000,-0.348642603,0.83939288,-0.396734553,0.828114325,0.287384666,0.913148688,-0.146935902,0.999076502
175,PA14_11030,0.536799019,0.275068703,0.338052085,0.569926453,0.261075271,0.755359936,0.083568014,0.999076502
176,PA14_11130,0.301173444,0.765460193,-0.368834973,0.716316798,0.881945604,0.251759887,0.230489746,0.978369267
177,PA14_11190,-0.042998981,0.906658461,-0.180830059,0.464135316,0.079606831,0.851106073,0.106574361,0.89917044
178,PA14_11260,0.09134,0.899183643,-0.046045609,0.960414248,-0.243053691,0.73404026,-0.072063976,0.999076502
179,PA14_11400,-0.08691696,0.933356071,0.239232795,0.79105528,-0.229765458,0.83979819,-0.081203456,0.999076502
180,PA14_11410,-0.378040417,0.570698097,-0.427061304,0.519157597,0.654811901,0.279602382,0.420475718,0.718297566
181,PA14_11420,-2.471618527,1.83E-06,-0.458803196,0.585840582,0.205857073,0.890534785,0.113436812,0.999076502
182,PA14_11430,-0.022154594,0.990390622,-0.460958401,0.730925301,-0.71951919,0.584563545,-0.168684356,0.999076502
183,PA14_11460,-0.719127054,0.265757309,-1.000161433,0.089408179,-0.2599206,0.835053906,-0.065988528,0.999076502
184,PA14_11470,-0.250754348,0.022377823,-0.076821809,0.64747614,-0.232552469,0.050906121,0.155006939,0.384752727
185,PA14_11510,-0.508566938,0.232826951,0.060396837,0.948594837,-0.249949897,0.72191249,0.013378117,0.999076502
186,PA14_11530,-0.418436517,0.575555507,-0.671005953,0.303772486,-0.872384171,0.168651118,-0.543629211,0.625083346
187,PA14_11550,0.247353642,0.706864359,0.184825843,0.819907258,-0.072990867,0.960227507,-1.110525804,0.033703147
188,PA14_11560,0.310446061,0.052624805,0.192082107,0.305151152,-0.5246824,0.000419817,-0.113713537,0.815230596
189,PA14_11690,-0.733575879,0.349799935,-1.33052501,0.045660113,-0.316199059,0.824603247,-0.127928908,0.999076502
190,PA14_11760,0.249052606,0.024638911,0.252866124,0.023980897,0.395530819,0.000174781,0.119555008,0.587851614
191,PA14_11770,0.192489565,0.313621388,0.035204277,0.925136471,0.253471576,0.178316935,0.210383378,0.426278567
192,PA14_11790,-0.166733669,0.893065255,-0.17542172,0.900345327,-1.313997902,0.057530821,0.085055356,0.999076502
193,PA14_11810,0.526853431,0.204633358,0.527751798,0.209739278,0.865762627,0.020994097,0.57730696,0.294045156
194,PA14_11860,-0.271126027,0.882093941,-0.537379202,0.734324873,-0.414176825,0.848640715,-0.094441461,0.999076502
195,PA14_12010,-0.685853097,1.45E-09,-0.696493297,1.13E-09,-0.253506836,0.076839482,0.175180902,0.417315246
196,PA14_12060,0.540435267,0.444412996,0.567292918,0.431536046,-0.530959714,0.53741838,-0.224086609,0.968875664
197,PA14_12230,-0.534622807,0.406629995,0.118497265,0.921119276,-0.129449134,0.929957268,0.106934866,0.999076502
198,PA14_12300,0.251942977,0.217589948,0.370897893,0.044886622,0.316900996,0.120385985,-0.013451917,0.999076502
199,PA14_12390,-1.920463529,1.30E-05,-0.970766223,0.057748875,-0.015372461,0.991406949,0.019449801,0.999076502
200,PA14_12400,-0.122058024,0.745841943,0.069552883,0.890324752,0.21568594,0.574639214,0.124950312,0.923132543
201,PA14_12410,-0.511055454,0.499664561,-0.885927507,0.171378054,0.023274101,0.990345188,0.124372867,0.999076502
202,PA14_12490,0.088397299,0.956514401,-0.192482204,0.916017497,-0.415171905,0.808979227,-0.703525053,0.707982115
203,PA14_12890,0.271621879,0.786369438,-0.242430935,0.830822976,0.312036571,0.810282521,-0.379990866,0.865070352
204,PA14_12920,-0.650402009,0.344875671,-0.771272329,0.244322652,0.612511894,0.448449267,0.575783947,0.620273668
205,PA14_12940,-0.494276102,0.577294802,-1.235402495,0.066852286,-0.405709894,0.751398491,-1.224013285,0.16681457
206,PA14_12960,-0.486293493,0.676862853,-0.177822233,0.923133115,0.139810278,0.95773806,-1.135743907,0.362302681
207,PA14_12990,0.014938114,0.986319084,0.267181502,0.666326068,0.13298233,0.89991008,-0.129927405,0.990151722
208,PA14_13090,-0.466581237,0.524104415,0.292681703,0.754293903,0.160015779,0.916796422,0.028575588,0.999076502
209,PA14_13110,0.377939159,0.771741456,0.21467624,0.90259306,0.384963665,0.830200989,-0.234162316,0.996189496
210,PA14_13170,0.14347152,0.926513246,0.062051418,0.975628035,-0.55989997,0.676954438,-0.652465215,0.716677246
211,PA14_13430,0.917818834,0.000392386,0.792264182,0.003386634,0.718900931,0.010916307,0.968985839,0.002043845
212,PA14_13500,0.645820585,0.001010147,0.533928587,0.009964352,0.004785132,0.993849093,0.171252415,0.758582879
213,PA14_13580,-1.401230472,0.001517574,-2.033421165,1.35E-06,-0.104535869,0.940196469,-0.01808998,0.999076502
214,PA14_13590,0.843784449,0.00103025,0.655808769,0.016930565,0.057007359,0.945827631,-0.061323612,0.999076502
215,PA14_13600,0.080401352,0.931730459,0.392255105,0.516043595,0.176560216,0.864842318,0.083487763,0.999076502
216,PA14_13610,0.6079655,8.19E-05,0.585138828,0.000204106,0.366699178,0.04183927,0.241492431,0.374314335
217,PA14_13620,0.309317183,0.094304285,0.339101671,0.061945204,-0.91502626,3.79E-09,-0.339924133,0.153708693
218,PA14_13750,0.115086947,0.893065255,-0.013630163,0.990447585,0.239020799,0.800494246,0.142512437,0.991532402
219,PA14_13770,0.226595465,0.388087125,0.172115313,0.567423241,-0.119411028,0.783943373,-0.202232452,0.659007435
220,PA14_13780,1.034611008,4.56E-05,0.879003405,0.000876421,0.462208878,0.156233392,0.341451652,0.49100067
221,PA14_13800,1.014270623,2.69E-06,0.852657751,0.00015139,0.142019435,0.776541367,0.441883567,0.195762764
222,PA14_13810,0.439296734,0.272885307,0.369349973,0.393473314,0.242182441,0.702178716,0.148506216,0.957086169
223,PA14_13830,0.345569732,0.040177476,0.333015634,0.052908321,0.311306498,0.090746734,0.19664457,0.514692973
224,PA14_14010,0.429449177,0.54695528,0.004046435,0.998574998,-0.002416336,0.998399269,0.746045382,0.377262258
225,PA14_14060,0.144238923,0.262796058,0.180049925,0.138255189,0.289924252,0.008714318,0.109224633,0.636033494
226,PA14_14100,-0.341873226,0.000944691,-0.222075259,0.053654902,-0.290552888,0.008957314,-0.0475279,0.962188625
227,PA14_14110,-0.181892743,0.006664438,-0.208695965,0.001601896,-0.007393084,0.974370866,0.023198058,0.990151722
228,PA14_14700,-0.802444806,1.32E-21,-0.457512717,2.44E-07,-0.027391084,0.923959783,0.209500006,0.114261219
229,PA14_14820,0.329660001,0.008726147,0.227480668,0.10244497,0.063887749,0.826415897,0.077408032,0.889084379
230,PA14_14860,-0.117916927,0.891924021,-0.182765408,0.828639081,0.668941507,0.217312737,-0.159592001,0.983870451
231,PA14_14880,-0.186842115,0.452208608,-0.212337528,0.386719615,-0.692172452,0.000156721,-0.174943188,0.696766615
232,PA14_14890,0.131025781,0.884266397,0.192397479,0.828114325,0.351848578,0.676599267,-0.174951034,0.978335437
233,PA14_14940,0.255059525,0.027215789,0.143733902,0.301159828,0.114114672,0.520592195,0.19301275,0.256316249
234,PA14_15030,0.655863238,3.61E-11,0.538825493,1.36E-07,-0.14104094,0.361533188,0.05427376,0.944280309
