,genes,T5T0_all2metab.log2FoldChange,T5T0_all2metab.padj,T24T0_all2metab.log2FoldChange,T24T0_all2metab.padj,U5U0_all2metab.log2FoldChange,U5U0_all2metab.padj,U24U0_all2metab.log2FoldChange,U24U0_all2metab.padj
985,PA14_66820,0.332104811,0.058650229,0.296629166,0.10307942,0.610067647,0.00012748,0.321863051,0.171641322
986,PA14_66840,-0.227914068,0.77375514,0.296714252,0.7031596,0.113459077,0.937941506,0.288884189,0.886788247
987,PA14_66900,-0.918214092,0.185877798,-1.262464533,0.048537928,-0.02391321,0.990428871,0.028096891,0.999076502
988,PA14_66920,-0.973995057,0.154215344,-1.283534415,0.044886622,-0.61427592,0.513846774,-0.2098521,0.985793458
989,PA14_66940,1.476898176,0.132495646,1.572004299,0.105186538,-0.802257608,0.580680496,-1.430660079,0.28845413
990,PA14_66950,-0.482662689,1.08E-06,-0.521033476,1.45E-07,0.001652438,0.995972668,-0.074790472,0.848261536
991,PA14_67030,0.038743063,0.96892373,0.174169305,0.841945735,0.340116404,0.679302771,-0.161371834,0.984202384
992,PA14_67040,0.71122288,0.227208488,0.800388626,0.164409954,0.212874964,0.856456864,-0.560605519,0.571587402
993,PA14_67050,0.101541168,0.455004402,0.073841961,0.647565881,0.101381939,0.541869418,0.045552699,0.962832235
994,PA14_67240,0.151785771,0.899183643,0.291556288,0.789348738,0.247780461,0.861045517,0.162155092,0.999076502
995,PA14_67250,0.381082294,0.405893088,0.529373766,0.207606568,0.469853915,0.316955504,0.182526889,0.926668646
996,PA14_67260,-0.857496064,0.547780813,-1.780647251,0.123371567,-0.488721583,0.836869357,-0.9547257,0.696109343
997,PA14_67270,-0.089309764,0.887490096,-0.239388256,0.626639187,-0.153673166,0.835809256,0.172754219,0.921584587
998,PA14_67280,0.30178741,0.591433348,0.281353215,0.64747614,-0.114244754,0.919917289,0.131428978,0.990151722
999,PA14_67300,0.075055754,0.907864924,0.098015473,0.886107364,0.221733453,0.718563979,0.123098836,0.978178474
1000,PA14_67310,0.138765743,0.869136138,0.248126409,0.741127609,0.601598879,0.290261479,0.563029178,0.47064785
1001,PA14_67320,0.060187966,0.967085426,0.475332969,0.643899441,0.033116962,0.987142794,0.431518057,0.862782907
1002,PA14_67340,0.381570662,0.506492619,0.389011428,0.511320184,0.364068558,0.622544283,0.519557107,0.508419526
1003,PA14_67350,0.874309884,0.330986886,0.966985632,0.274672236,1.156735646,0.190648262,0.982496959,0.424673462
1004,PA14_67440,-0.190162715,0.893065255,0.142716767,0.936163548,0.225476835,0.908985958,0.014357054,0.999076502
1005,PA14_67490,0.060624302,0.890292734,0.047224149,0.931374374,-0.620821811,0.00627455,0.30137744,0.424673462
1006,PA14_67500,-0.398216307,0.828350641,-0.660681636,0.691306482,-0.363903234,0.893817504,-0.528700364,0.926174297
1007,PA14_67600,1.128322513,6.35E-11,1.054493524,1.83E-09,0.798359002,1.74E-05,0.289452059,0.364749686
1008,PA14_67630,0.202011123,0.706159787,0.290247405,0.558963142,-0.120911799,0.895265014,0.019905176,0.999076502
1009,PA14_67770,0.408187317,0.003365541,0.339302348,0.021056187,-0.100960449,0.717275143,0.091580832,0.871512345
1010,PA14_67880,0.066656143,0.933356071,0.061254233,0.949328735,-0.556206662,0.229290724,-0.08008287,0.999076502
1011,PA14_67890,0.158589657,0.79014424,0.207418777,0.720526978,-0.370040228,0.477348866,0.045137551,0.999076502
1012,PA14_67920,0.247382546,0.874428698,0.001457998,0.999798893,0.312237502,0.877838509,0.001682054,0.999853972
1013,PA14_67930,0.35209641,0.786900489,-0.159844335,0.932290644,0.086920596,0.973863352,0.355021519,0.948689765
1014,PA14_67970,0.313545195,0.061190291,0.215540829,0.254098732,0.052170038,0.904309064,-0.041669733,0.999076502
1015,PA14_68060,-0.203903954,0.621078846,-0.156171567,0.749741396,0.19529794,0.722247597,0.145155882,0.926317135
1016,PA14_68070,-0.186414795,0.340346793,-0.219587196,0.244675305,-1.953701725,1.07E-47,0.045268485,0.999076502
1017,PA14_68080,0.300867068,0.065766615,0.217322347,0.231743375,0.391518625,0.013513463,0.132349636,0.734729933
1018,PA14_68090,-0.535549816,0.441483026,-0.401043262,0.622795293,-0.024398328,0.988143733,0.381472606,0.832777286
1019,PA14_68170,-0.015486275,0.99022405,-0.113926837,0.931386303,0.059949664,0.973863352,-0.979144991,0.208659801
1020,PA14_68190,-0.379278943,0.020816058,-0.311696181,0.073408638,-0.246708238,0.217312737,0.142162875,0.724264949
1021,PA14_68200,-0.073926787,0.79243893,-0.105766034,0.688783605,-0.181138288,0.447844624,0.099765142,0.886613161
1022,PA14_68210,-1.113935385,1.99E-16,-0.835930948,2.27E-09,-0.468002366,0.002591537,0.128141674,0.763910197
1023,PA14_68260,-0.268455678,0.888401129,-0.084012417,0.975179505,-0.109890632,0.973863352,-0.503879623,0.926174297
1024,PA14_68280,-0.296634939,0.747307235,-0.609885851,0.416441494,0.883439843,0.204391389,1.303762171,0.0793383
1025,PA14_68290,0.356252084,0.76078027,0.245069218,0.866640056,-0.292348535,0.862107177,-0.410507492,0.901875907
1026,PA14_68300,0.237139295,0.869136138,-0.728241652,0.48216076,-0.665329178,0.60080974,-0.683149774,0.703961134
1027,PA14_68330,0.197488902,0.787447617,-0.08099661,0.940627861,0.216318175,0.824217315,0.156889265,0.982483056
1028,PA14_68340,0.343377134,0.621392998,0.027392332,0.980883234,0.224293102,0.837930468,0.138071493,0.999076502
1029,PA14_68350,-0.023088488,0.985680754,-0.587159767,0.438942405,0.127148658,0.941259228,0.229681775,0.970878855
1030,PA14_68360,0.400210574,5.39E-05,0.369348707,0.000284878,0.305205229,0.005164604,0.369499637,0.002849609
1031,PA14_68370,0.041659697,0.926513246,0.319198957,0.196708789,-0.194878686,0.580680496,0.269940422,0.47800109
1032,PA14_68390,-0.138974541,0.1627639,-0.041619023,0.797057875,0.256457902,0.004153315,0.129180064,0.375224601
1033,PA14_68530,0.653360484,6.37E-21,0.541529013,2.59E-14,0.43856408,5.05E-09,0.238770065,0.016983861
