opt_fraction	R_value	p_value
0.1	0.09466037381464314	0.5665024972039738
0.2	0.09466037381464314	0.5665024972039738
0.3	0.09466037381464314	0.5665024972039738
0.4	0.07318456213422851	0.6579378285548513
0.5	0.1151195236494417	0.46228222721795276
0.6	0.09157154601478425	0.5404275742568356
0.7	-0.10897086213191982	0.4761214473419506
0.8	-0.16698950254804434	0.21865614591285068
0.9	-0.1622552466133362	0.23218166246008234
0.45	0.07318456213422851	0.6579378285548513
0.55	0.12402299033202041	0.42814226541940004
0.475	0.07787588021975599	0.6374776808513523
0.487	0.06617918265896885	0.6889490884148258
0.525	0.12146232454245841	0.43781336970007423
0.513	0.11954104811557868	0.44514835952159937
