	rxn10125	rJB00264	rxn08094	rxn02465	rxn10158	rxn05154	rxn05312	rxn05318	rxn05561	rxn10154	rJB00267	rxn00394	rxn00285	rxn05158	rxn00615	rxn05466	rxn10042	rxn01637	rxn09653	rxn00134	rxn05581	rxn00097	rxn01636	rxn10165	rxn01917	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00051_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00073_e	ATPM	rxn00182	DM_cpd00002_c
0	-99.88373219999997	399.5349287999999	99.88373219999997	99.88373219999997	327.97565533333295	99.88373219999997	1000.0	333.3333333333333	-327.9756553333329	-99.88373219999997	399.5349287999999	99.88373219999997	-99.88373219999997	0.0	-508.97133900000017	-199.76746439999994	399.5349287999999	99.88373219999997	-99.88373219999997	333.3333333333333	508.97133900000017	333.33333333333337	-99.88373219999997	508.97133900000017	-99.88373219999997	-99.88373219999997	-391.1449287999999	199.76746439999994	-333.3333333333333	99.88373219999997	508.97133900000017	-508.97133900000017	-391.14492879999995	391.1449287999999	-99.88373219999997	199.76746439999994	-199.76746439999994	-491.02866099999983	99.88373219999997	99.88373219999997	8.39	199.76746439999994	333.33333333333337
1	-97.81887353125013	391.27549412500053	97.81887353125013	97.81887353125013	425.3780853125012	97.81887353125013	440.03798087499956	274.30782500000004	-425.3780853125012	-97.81887353125013	391.27549412500053	97.81887353125013	-97.81887353125013	382.88549412500055	-725.1046014687499	-195.63774706250027	391.27549412500053	97.81887353125013	-97.81887353125013	274.30782500000004	725.1046014687499	274.30782500000004	-97.81887353125013	342.2191073437494	-97.81887353125013	-97.81887353125013	0.0	195.63774706250027	-274.30782500000004	97.81887353125013	725.1046014687499	-725.1046014687499	0.0	0.0	-97.81887353125013	195.63774706250027	-195.63774706250027	-97.81887353125018	97.81887353125013	97.81887353125013	8.39	195.63774706250027	274.30782500000004
2	-100.72441019999975	402.897640799999	100.72441019999975	100.72441019999975	171.30508499999752	100.72441019999975	1000.0	415.8720084999998	-171.30508499999752	-100.72441019999975	402.897640799999	100.72441019999975	-100.72441019999975	247.61602549999938	-1000.0	-201.4488203999995	402.897640799999	100.72441019999975	-100.72441019999975	415.8720084999998	1000.0	415.8720084999998	-100.72441019999975	752.3839745000006	-100.72441019999975	-100.72441019999975	-146.89161529999967	201.4488203999995	-415.8720084999998	100.72441019999975	1000.0	-1000.0	-146.891615299999	146.89161529999967	-100.72441019999975	201.4488203999995	-201.4488203999995	-247.6160254999994	100.72441019999975	100.72441019999975	8.39	201.4488203999995	415.87200849999994
3	-183.44760342933748	733.7904137173499	183.44760342933748	183.44760342933748	1000.0	183.44760342933748	581.9950857334364	415.1405171466874	-1000.0	-183.44760342933748	733.7904137173499	183.44760342933748	-183.44760342933748	663.4264657066254	-1000.0	-366.89520685867495	733.7904137173499	183.44760342933748	-183.44760342933748	415.1405171466874	1000.0	415.1405171466874	-183.44760342933748	336.57353429337456	-183.44760342933748	-183.44760342933748	-61.973948010724484	366.89520685867495	-415.1405171466874	183.44760342933748	1000.0	-1000.0	-61.97394801072397	61.973948010724484	-183.44760342933748	366.89520685867495	-366.89520685867495	-245.42155144006188	183.44760342933748	183.44760342933748	8.39	366.89520685867495	415.1405171466873
4	-50.63039391019985	202.5215756407994	50.63039391019985	50.63039391019985	-246.1450507483346	50.63039391019985	1000.0	374.12699492516657	246.1450507483346	-50.63039391019985	202.5215756407994	50.63039391019985	-50.63039391019985	122.38098477549963	-1000.0	-101.2607878203997	202.5215756407994	50.63039391019985	-50.63039391019985	374.12699492516657	1000.0	374.12699492516657	-50.63039391019985	877.6190152245003	-50.63039391019985	-50.63039391019985	-71.75059086529976	101.2607878203997	-374.12699492516657	50.63039391019985	1000.0	-1000.0	-71.75059086529984	71.75059086529976	-50.63039391019985	101.2607878203997	-101.2607878203997	-122.38098477549966	50.63039391019985	50.63039391019985	8.39	101.2607878203997	374.12699492516634
5	-155.28106500000007	621.1242600000003	155.28106500000007	155.28106500000007	1000.0	155.28106500000007	159.49700929337433	274.3078250000003	-1000.0	-155.28106500000007	621.1242600000003	155.28106500000007	-155.28106500000007	663.4264657066269	-718.3346157066271	-310.56213000000014	621.1242600000003	155.28106500000007	-155.28106500000007	274.3078250000003	718.3346157066271	274.3078250000003	-155.28106500000007	54.908150000000205	-155.28106500000007	-155.28106500000007	50.69220570662674	310.56213000000014	-274.3078250000003	155.28106500000007	718.3346157066271	-718.3346157066271	50.69220570662662	-50.69220570662674	-155.28106500000007	310.56213000000014	-310.56213000000014	-104.58885929337413	155.28106500000007	155.28106500000007	8.39	310.56213000000014	274.30782500000004
6	-171.46355230755995	685.8542092302398	171.46355230755995	171.46355230755995	1000.0	171.46355230755995	1000.0	355.2202615377999	-1000.0	-171.46355230755995	685.8542092302398	171.46355230755995	-171.46355230755995	65.66078461339978	-282.39380768899986	-342.9271046151199	685.8542092302398	171.46355230755995	-171.46355230755995	355.2202615377999	282.39380768899986	355.2202615377999	-171.46355230755995	216.73302307560007	-171.46355230755995	-171.46355230755995	-611.8034246168401	342.9271046151199	-355.2202615377999	171.46355230755995	282.3938076889999	-282.39380768899986	-611.8034246168412	611.8034246168401	-171.46355230755995	342.9271046151199	-342.9271046151199	-783.2669769244	171.46355230755995	171.46355230755995	8.39	342.9271046151199	355.2202615378
7	-191.82442191123943	767.2976876449575	191.82442191123943	191.82442191123943	1000.0	191.82442191123943	791.4155477809849	457.024609556197	-1000.0	-191.82442191123943	767.2976876449575	191.82442191123943	-191.82442191123943	579.658280887606	-1000.0	-383.64884382247885	767.2976876449575	191.82442191123943	-191.82442191123943	457.024609556197	1000.0	457.024609556197	-191.82442191123943	420.341719112394	-191.82442191123943	-191.82442191123943	-179.24940675735127	383.64884382247874	-457.024609556197	191.82442191123943	1000.0	-1000.0	-179.24940675735195	179.24940675735127	-191.82442191123943	383.64884382247885	-383.64884382247874	-371.07382866859086	191.82442191123943	191.82442191123943	8.39	383.64884382247885	457.024609556197
8	-165.75943974851262	663.0377589940504	165.75943974851262	165.75943974851262	713.2636645709382	165.75943974851262	1000.0	470.0678664570939	-713.2636645709382	-165.75943974851262	663.0377589940504	165.75943974851262	-165.75943974851262	410.2035993712815	-1000.0	-331.51887949702524	663.0377589940504	165.75943974851262	-165.75943974851262	470.0678664570939	1000.0	470.0678664570939	-165.75943974851262	589.7964006287185	-165.75943974851262	-165.75943974851262	-244.44415962276878	331.5188794970252	-470.0678664570939	165.75943974851262	1000.0	-1000.0	-244.44415962276838	244.44415962276878	-165.75943974851262	331.51887949702524	-331.5188794970252	-410.2035993712815	165.75943974851262	165.75943974851262	8.39	331.51887949702524	470.06786645709377
9	-169.39250075309798	677.5700030123919	169.39250075309795	169.39250075309798	1000.0	169.39250075309795	230.6175188274492	344.8650037654899	-1000.0	-169.39250075309795	677.5700030123919	169.39250075309795	-169.39250075309795	803.9774924690203	-1000.0	-338.7850015061959	677.5700030123919	169.39250075309795	-169.39250075309795	344.8650037654899	1000.0	344.8650037654899	-169.39250075309795	196.02250753097974	-169.39250075309798	-169.39250075309795	134.79748945662823	338.78500150619595	-344.8650037654899	169.39250075309795	1000.0	-1000.0	134.7974894566281	-134.79748945662823	-169.39250075309795	338.7850015061959	-338.78500150619595	-34.595011296469465	169.39250075309795	169.39250075309795	8.39	338.7850015061959	344.8650037654898
