	rxn13726	rxn08094	rxn05312	rxn05318	rxn10154	rxn10113	rxn00285	rxn13803	rxn05158	rxn00615	rxn13836	rxn00148	rxn13689	rxn05466	rxn05229	rxn10042	rxn09566	rxn00250	rxn00134	rxn05581	rxn00251	rxn00014	rxn10165	rxn10053	rxn05297	rxn00124	rxn01807	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	ATPM	rxn00182	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
0	692.2565874558816	302.5228664672458	1000.0	597.1100625000004	-302.5228664672458	517.8348784131017	-302.5228664672458	-87.2108545213899	791.3301875000005	-824.7391495340936	966.5910379659068	597.1100625000003	174.4217090427798	-302.5228664672459	-597.1100625000004	866.6782964986614	87.2108545213899	597.1100625000003	597.1100625000003	824.7391495340936	597.1100625000003	174.4217090427798	33.408962034093065	597.1100625000003	302.5228664672459	-87.2108545213899	87.2108545213899	-302.5228664672458	302.5228664672458	-597.1100625000003	302.5228664672458	824.7391495340936	-824.7391495340936	-302.5228664672459	302.5228664672459	-302.5228664672458	-966.5910379659069	302.5228664672458	8.39	389.73372098863575	-966.5910379659068	966.5910379659068	597.1100625
1	728.5827184460788	304.4807709877453	895.8737635625006	631.9579211875002	-304.4807709877453	489.34036550490237	-304.4807709877453	-119.62117647058824	1000.0	-1000.0	895.8737635625009	631.9579211875002	239.24235294117648	-304.4807709877453	-631.9579211875002	967.8250713872553	119.62117647058824	631.9579211875002	631.9579211875002	1000.0	631.9579211875002	239.24235294117648	0.0	631.9579211875002	304.4807709877453	-119.62117647058824	119.62117647058824	-304.4807709877453	304.4807709877453	-631.9579211875002	304.4807709877453	1000.0	-1000.0	-304.4807709877453	304.4807709877453	-304.4807709877453	-895.8737635625006	304.4807709877453	8.39	424.10194745833354	-895.8737635625009	895.8737635625009	631.9579211875005
2	695.9156638774512	306.52246189828435	1000.0	631.9579211875	-306.52246189828435	530.1741837156862	-306.52246189828435	-82.87074008088246	895.8737635625004	-1000.0	895.8737635625	631.9579211875	165.7414801617649	-306.52246189828435	-631.9579211875	861.6571440392161	82.87074008088246	631.9579211875	631.9579211875	1000.0	631.9579211875	165.7414801617649	104.12623643749964	631.9579211875	306.52246189828435	-82.87074008088246	82.87074008088246	-306.52246189828435	306.52246189828435	-631.9579211875	306.52246189828435	1000.0	-1000.0	-306.52246189828435	306.52246189828435	-306.52246189828435	-895.8737635625004	306.52246189828435	8.39	389.3932019791668	-895.8737635625	895.8737635625	631.9579211875001
3	746.2809266723897	318.4742965351647	1000.0	637.5149452058374	-318.4742965351647	527.6162594682692	-318.4742965351647	-109.33233360206026	912.5448356175126	-912.5448356175126	999.9999999999997	637.5149452058374	218.66466720412052	-318.47429653516474	-637.5149452058374	964.9455938765102	109.33233360206026	637.5149452058374	637.5149452058374	912.5448356175126	637.5149452058374	218.66466720412052	0.0	637.5149452058374	318.47429653516474	-109.33233360206026	109.33233360206026	-318.4742965351647	318.47429653516474	-637.5149452058374	318.4742965351647	912.5448356175126	-912.5448356175126	-318.47429653516474	318.47429653516474	-318.47429653516474	-1000.0	318.4742965351647	8.39	427.806630137225	-999.9999999999997	999.9999999999997	637.5149452058374
4	656.3640275584844	295.9526280544225	1000.0	614.5688397024371	-295.9526280544225	527.446484659206	-295.9526280544225	-64.45877144963919	843.7065191073112	-1000.0	843.7065191073114	614.5688397024371	128.91754289927837	-295.9526280544225	-614.5688397024371	785.2815704577628	64.45877144963919	614.5688397024371	614.5688397024371	1000.0	614.5688397024371	128.91754289927837	156.29348089268876	614.5688397024371	295.9526280544225	-64.45877144963919	64.45877144963919	-295.9526280544225	295.9526280544226	-614.5688397024371	295.9526280544225	1000.0	-1000.0	-295.9526280544225	295.9526280544225	-295.9526280544226	-843.7065191073112	295.9526280544225	8.39	360.4113995040617	-843.7065191073114	843.7065191073114	614.5688397024371
5	703.6911577113066	292.03499062035917	839.8677519092633	613.2892506364211	-292.03499062035917	464.4488047701301	-292.03499062035917	-119.62117647058824	1000.0	-1000.0	839.8677519092633	613.2892506364211	239.24235294117648	-292.03499062035917	-613.2892506364211	942.933510652483	119.62117647058824	613.2892506364211	613.2892506364211	1000.0	613.2892506364211	239.24235294117648	0.0	613.2892506364211	292.03499062035917	-119.62117647058824	119.62117647058824	-292.03499062035917	292.03499062035917	-613.2892506364211	292.03499062035917	1000.0	-1000.0	-292.03499062035917	292.03499062035917	-292.03499062035917	-839.8677519092633	292.03499062035917	8.39	411.6561670909474	-839.8677519092633	839.8677519092633	613.2892506364213
6	751.768160426162	316.0734919777869	948.0410080176879	649.3470026725627	-316.0734919777869	512.5258074849855	-316.0734919777869	-119.62117647058824	1000.0	-1000.0	948.041008017688	649.3470026725627	239.24235294117648	-316.0734919777869	-649.3470026725627	991.0105133673385	119.62117647058824	649.3470026725627	649.3470026725627	1000.0	649.3470026725627	239.24235294117648	0.0	649.3470026725627	316.0734919777869	-119.62117647058824	119.62117647058824	-316.0734919777869	316.0734919777869	-649.3470026725627	316.0734919777869	1000.0	-1000.0	-316.0734919777869	316.0734919777869	-316.0734919777869	-948.0410080176879	316.0734919777869	8.39	435.6946684483751	-948.041008017688	948.041008017688	649.3470026725627
7	731.9622870136884	313.89233184438024	1000.0	622.9099327539623	-313.89233184438024	523.6070403638327	-313.89233184438024	-104.17762332492788	868.7297982618866	-868.7297982618866	1000.0	622.9099327539623	208.35524664985576	-313.89233184438024	-622.9099327539623	940.3175336635442	104.17762332492788	622.9099327539623	622.9099327539623	868.7297982618866	622.9099327539623	208.35524664985576	0.0	622.9099327539623	313.89233184438024	-104.17762332492788	104.17762332492788	-313.89233184438024	313.89233184438024	-622.9099327539623	313.89233184438024	868.7297982618866	-868.7297982618866	-313.89233184438024	313.89233184438024	-313.89233184438024	-1000.0	313.89233184438024	8.39	418.0699551693081	-1000.0	1000.0	622.9099327539623
8	760.5995663310912	323.05626122594913	1000.0	652.1199576577129	-323.05626122594913	531.6254785727057	-323.05626122594913	-114.48704387919275	956.3598729731387	-956.3598729731387	1000.0	652.1199576577129	228.9740877583855	-323.05626122594924	-652.1199576577129	989.5736540894767	114.48704387919275	652.1199576577129	652.1199576577129	956.3598729731387	652.1199576577129	228.9740877583855	0.0	652.1199576577129	323.05626122594924	-114.48704387919275	114.48704387919275	-323.05626122594913	323.05626122594924	-652.1199576577129	323.05626122594913	956.3598729731387	-956.3598729731387	-323.05626122594924	323.05626122594924	-323.05626122594924	-1000.0	323.05626122594913	8.39	437.543305105142	-1000.0	1000.0	652.119957657713
9	736.9926269875563	302.74447024066717	865.7807038838363	621.9269012946121	-302.74447024066717	473.9852539751125	-302.74447024066717	-131.50368650622187	1000.0	-949.499332348557	916.2813715352792	621.9269012946121	263.00737301244374	-302.7444702406672	-621.9269012946121	1000.0	131.50368650622187	621.9269012946121	621.9269012946121	949.499332348557	621.9269012946121	263.00737301244374	-50.500667651442946	621.9269012946121	302.7444702406672	-131.50368650622187	131.50368650622187	-302.74447024066717	302.74447024066717	-621.9269012946121	302.74447024066717	949.499332348557	-949.499332348557	-302.7444702406672	302.7444702406672	-302.74447024066717	-916.2813715352792	302.74447024066717	8.39	434.2481567468891	-916.2813715352792	916.2813715352792	621.9269012946122
10	628.4746447979861	284.60163157512596	962.32127283142	597.1100625000004	-284.60163157512596	509.9318815025175	-284.60163157512596	-59.27138164773431	829.0089146685805	-1000.0	791.3301875000003	597.1100625000001	118.5427632954686	-284.60163157512585	-597.1100625000004	747.0174080934547	59.2713816477343	597.1100625000001	597.1100625000001	1000.0	597.1100625000001	118.5427632954686	170.99108533141953	597.1100625000001	284.60163157512585	-59.27138164773431	59.27138164773431	-284.60163157512596	284.6016315751259	-597.1100625000001	284.60163157512596	1000.0	-1000.0	-284.60163157512585	284.60163157512585	-284.6016315751259	-791.3301875000011	284.60163157512596	8.39	343.87301322286015	-791.3301875000003	791.3301875000003	597.1100625
11	657.7059571003193	282.77467455622997	869.1464648677314	597.1100625000004	-282.77467455622997	473.39274112460055	-282.77467455622997	-92.15660798785939	922.1837226322682	-1000.0	791.3301874999999	597.1100624999999	184.31321597571878	-282.77467455622997	-597.1100625000004	842.0191730760381	92.15660798785939	597.1100624999999	597.1100624999999	1000.0	597.1100624999999	184.31321597571878	77.8162773677318	597.1100624999999	282.77467455622997	-92.15660798785939	92.15660798785939	-282.77467455622997	282.77467455622997	-597.1100624999999	282.77467455622997	1000.0	-1000.0	-282.77467455622997	282.77467455622997	-282.77467455622997	-791.3301875000011	282.77467455622997	8.39	374.93128254408936	-791.3301874999999	791.3301874999999	597.1100625
12	674.8776298488074	281.7014450094495	814.411757981926	597.1100625000004	-281.7014450094495	451.9281501889906	-281.7014450094495	-111.47473982990839	976.9184295180738	-1000.0	791.3301874999997	597.1100624999999	222.94947965981675	-281.7014450094497	-597.1100625000004	897.8271095086242	111.47473982990837	597.1100624999999	597.1100624999999	1000.0	597.1100624999999	222.94947965981675	23.081570481926178	597.1100624999999	281.7014450094496	-111.47473982990839	111.47473982990839	-281.7014450094495	281.7014450094495	-597.1100624999999	281.7014450094495	1000.0	-1000.0	-281.7014450094496	281.7014450094497	-281.7014450094495	-791.3301875000011	281.7014450094495	8.39	393.17618483935803	-791.3301874999997	791.3301874999997	597.1100625
13	691.3433523439744	290.47331067730795	869.7379740904506	597.1100625000004	-290.47331067730795	470.54989036525683	-290.47331067730795	-110.39673098935879	921.5922134095492	-921.5922134095492	869.7379740904505	597.1100624999999	220.79346197871757	-290.4733106773078	-597.1100625000004	912.136814322692	110.39673098935879	597.1100624999999	597.1100624999999	921.5922134095492	597.1100624999999	220.79346197871757	0.0	597.1100624999999	290.4733106773078	-110.39673098935879	110.39673098935879	-290.47331067730795	290.47331067730784	-597.1100624999999	290.47331067730795	921.5922134095492	-921.5922134095492	-290.4733106773078	290.4733106773078	-290.47331067730784	-869.7379740904506	290.47331067730795	8.39	400.87004166666657	-869.7379740904505	869.7379740904505	597.1100625
14	697.4929498668097	296.62290820014306	922.0095530345494	597.1100625000004	-296.62290820014306	488.99868293376244	-296.62290820014306	-104.24713346652362	869.3206344654506	-869.3206344654506	922.0095530345493	597.1100625	208.49426693304724	-296.62290820014306	-597.1100625000004	905.9872167998569	104.24713346652362	597.1100625	597.1100625	869.3206344654506	597.1100625	208.49426693304724	0.0	597.1100625	296.62290820014306	-104.24713346652362	104.24713346652362	-296.62290820014306	296.622908200143	-597.1100625	296.62290820014306	869.3206344654506	-869.3206344654506	-296.62290820014306	296.62290820014306	-296.622908200143	-922.0095530345494	296.62290820014306	8.39	400.8700416666667	-922.0095530345493	922.0095530345493	597.1100625
15	714.5834091961509	308.33109094276836	1000.0	605.1834773800741	-308.33109094276836	518.740954574922	-308.33109094276836	-97.92122731061448	815.5504321402224	-815.5504321402224	999.9999999999998	605.1834773800741	195.84245462122897	-308.3310909427682	-605.1834773800741	910.4258638173799	97.92122731061448	605.1834773800741	605.1834773800741	815.5504321402224	605.1834773800741	195.84245462122897	0.0	605.1834773800741	308.3310909427682	-97.92122731061448	97.92122731061448	-308.33109094276836	308.33109094276824	-605.1834773800741	308.33109094276836	815.5504321402224	-815.5504321402224	-308.3310909427682	308.3310909427682	-308.33109094276824	-1000.0	308.33109094276836	8.39	406.25231825338267	-999.9999999999998	999.9999999999998	605.1834773800742
16	627.143691861155	287.724481104808	1000.0	597.1100625000004	-287.724481104808	523.7542325580769	-287.724481104808	-51.69472965153909	791.3301875000002	-975.6826802309591	815.6475072690411	597.1100625	103.38945930307818	-287.724481104808	-597.1100625000004	730.5331511642332	51.69472965153909	597.1100625	597.1100625	975.6826802309591	597.1100625	103.38945930307818	184.35249273095894	597.1100625	287.724481104808	-51.69472965153909	51.69472965153909	-287.724481104808	287.724481104808	-597.1100625	287.724481104808	975.6826802309591	-975.6826802309591	-287.724481104808	287.724481104808	-287.724481104808	-815.6475072690411	287.724481104808	8.39	339.41921075634707	-815.6475072690411	815.6475072690411	597.1100625
17	720.1627029842341	304.95485450098545	956.9865795502542	597.1100625000004	-304.95485450098545	499.6567150197076	-304.95485450098545	-110.25299398226325	834.3436079497461	-791.3301875000004	1000.0	597.1100625000001	220.5059879645265	-304.9548545009854	-597.1100625000004	940.6686909487605	110.25299398226325	597.1100625000001	597.1100625000001	791.3301875000004	597.1100625000001	220.5059879645265	-43.013420449745695	597.1100625000001	304.9548545009854	-110.25299398226325	110.25299398226325	-304.95485450098545	304.9548545009854	-597.1100625000001	304.95485450098545	791.3301875000004	-791.3301875000004	-304.9548545009854	304.9548545009854	-304.9548545009854	-999.9999999999999	304.95485450098545	8.39	415.20784848324865	-1000.0	1000.0	597.1100625
18	746.9489945456489	310.21174590923664	929.3638971219087	615.5928215155726	-310.21174590923664	493.89798909129775	-310.21174590923664	-126.52550272717556	917.4145674248092	-846.7784645467178	1000.0	615.5928215155726	253.05100545435113	-310.2117459092367	-615.5928215155726	1000.0	126.52550272717556	615.5928215155726	615.5928215155726	846.7784645467178	615.5928215155726	253.05100545435113	-70.63610287809138	615.5928215155726	310.2117459092367	-126.52550272717556	126.52550272717556	-310.21174590923664	310.21174590923664	-615.5928215155726	310.21174590923664	846.7784645467178	-846.7784645467178	-310.2117459092367	310.2117459092367	-310.21174590923664	-1000.0	310.21174590923664	8.39	436.73724863641223	-1000.0	1000.0	615.5928215155726
19	753.7486091142513	315.31145683568843	953.7291826594005	630.3253197475444	-315.31145683568843	507.49721822850256	-315.31145683568843	-123.12569544287436	937.246776583233	-890.9759592426336	1000.0	630.3253197475444	246.25139088574872	-315.3114568356884	-630.3253197475444	1000.0	123.12569544287436	630.3253197475444	630.3253197475444	890.9759592426336	630.3253197475444	246.25139088574872	-46.270817340599365	630.3253197475444	315.3114568356884	-123.12569544287436	123.12569544287436	-315.31145683568843	315.31145683568843	-630.3253197475444	315.31145683568843	890.9759592426336	-890.9759592426336	-315.3114568356884	315.3114568356884	-315.31145683568843	-999.9999999999999	315.31145683568843	8.39	438.43715227856273	-1000.0	1000.0	630.3253197475447
20	676.1793973542866	301.24811481019725	1000.0	623.2807695264536	-301.24811481019725	528.8130618865025	-301.24811481019725	-73.68316773389206	869.8423085793606	-1000.0	869.842308579361	623.2807695264536	147.36633546778413	-301.2481148101972	-623.2807695264536	823.5457328220707	73.68316773389206	623.2807695264536	623.2807695264536	1000.0	623.2807695264536	147.36633546778413	130.1576914206393	623.2807695264536	301.2481148101972	-73.68316773389206	73.68316773389206	-301.24811481019725	301.2481148101973	-623.2807695264536	301.24811481019725	1000.0	-1000.0	-301.2481148101972	301.2481148101972	-301.2481148101973	-869.8423085793606	301.24811481019725	8.39	374.9312825440893	-869.842308579361	869.842308579361	623.2807695264536
21	642.4472255609957	292.2334826930247	1000.0	608.4502457207825	-292.23348269302465	526.4867052111032	-292.23348269302465	-57.98026017494624	825.3507371623476	-1000.0	825.3507371623477	608.4502457207825	115.96052034989248	-292.2334826930247	-608.4502457207825	758.4077459108881	57.98026017494624	608.4502457207825	608.4502457207825	1000.0	608.4502457207825	115.96052034989248	174.64926283765234	608.4502457207825	292.2334826930247	-57.98026017494624	57.98026017494624	-292.2334826930247	292.2334826930247	-608.4502457207825	292.2334826930247	1000.0	-1000.0	-292.2334826930247	292.2334826930247	-292.2334826930247	-825.3507371623476	292.23348269302465	8.39	350.21374286797095	-825.3507371623477	825.3507371623477	608.4502457207827
22	622.5524354453718	284.97176965966435	981.1983151428785	597.1100625000004	-284.97176965966435	517.3346431932861	-284.97176965966435	-52.60889612604285	810.1318723571217	-1000.0	791.3301875000005	597.1100625000001	105.2177922520857	-284.97176965966446	-597.1100625000004	727.7702276974575	52.60889612604285	597.1100625000001	597.1100625000001	1000.0	597.1100625000001	105.2177922520857	189.86812764287833	597.1100625000001	284.97176965966446	-52.60889612604285	52.60889612604285	-284.97176965966435	284.97176965966446	-597.1100625000001	284.97176965966435	1000.0	-1000.0	-284.97176965966446	284.97176965966446	-284.97176965966446	-791.3301875000011	284.97176965966435	8.39	337.5806657857073	-791.3301875000005	791.3301875000005	597.1100625
23	721.9843227113937	313.4890862418379	1000.0	643.4191418817334	-313.4890862418379	531.9720222559583	-313.4890862418379	-95.00615022771768	930.2574256452002	-1000.0	930.2574256452003	643.4191418817334	190.01230045543537	-313.4890862418379	-643.4191418817334	911.9966231668291	95.00615022771768	643.4191418817334	643.4191418817334	1000.0	643.4191418817334	190.01230045543537	69.74257435479981	643.4191418817334	313.4890862418379	-95.00615022771768	95.00615022771768	-313.4890862418379	313.489086241838	-643.4191418817334	313.4890862418379	1000.0	-1000.0	-313.4890862418379	313.4890862418379	-313.489086241838	-930.2574256452002	313.4890862418379	8.39	408.4952364695556	-930.2574256452003	930.2574256452003	643.4191418817334
24	754.640173661483	322.21608089229284	1000.0	657.7764556615141	-322.21608089229284	534.2241499076883	-322.21608089229284	-110.20801187689733	973.3293669845423	-1000.0	973.3293669845423	657.7764556615141	220.41602375379466	-322.2160808922929	-657.7764556615141	975.0561974152777	110.20801187689733	657.7764556615141	657.7764556615141	1000.0	657.7764556615141	220.41602375379466	26.670633015457696	657.7764556615141	322.2160808922929	-110.20801187689733	110.20801187689733	-322.21608089229284	322.21608089229284	-657.7764556615141	322.21608089229284	1000.0	-1000.0	-322.2160808922929	322.2160808922929	-322.21608089229284	-973.3293669845423	322.21608089229284	8.39	432.4240927691902	-973.3293669845423	973.3293669845423	657.7764556615142
25	651.214564493283	283.1803865941698	889.8377788026601	597.1100625000004	-283.1803865941698	481.5069818833961	-283.1803865941698	-84.85379130494346	901.4924086973399	-1000.0	791.3301874999997	597.1100624999999	169.70758260988686	-283.1803865941698	-597.1100625000004	820.92214710317	84.85379130494343	597.1100624999999	597.1100624999999	1000.0	597.1100624999999	169.70758260988686	98.5075913026601	597.1100624999999	283.1803865941698	-84.85379130494346	84.85379130494346	-283.1803865941698	283.18038659416976	-597.1100624999999	283.1803865941698	1000.0	-1000.0	-283.1803865941698	283.1803865941698	-283.18038659416976	-791.3301875000011	283.1803865941698	8.39	368.0341778991133	-791.3301874999997	791.3301874999997	597.1100625
26	713.4020053700153	305.3773981018741	978.5363031955768	597.1100625000004	-305.3773981018741	508.1075870374816	-305.3773981018741	-102.64720916626686	812.7938843044234	-791.3301875000003	1000.0	597.1100625000001	205.29441833253372	-305.3773981018742	-597.1100625000004	918.696423702549	102.64720916626686	597.1100625000001	597.1100625000001	791.3301875000003	597.1100625000001	205.29441833253372	-21.4636968044231	597.1100625000001	305.3773981018742	-102.64720916626686	102.64720916626686	-305.3773981018741	305.37739810187423	-597.1100625000001	305.3773981018741	791.3301875000003	-791.3301875000003	-305.3773981018742	305.3773981018742	-305.37739810187423	-999.9999999999999	305.3773981018741	8.39	408.02460726814104	-1000.0	1000.0	597.1100625
27	753.7884528627824	320.8767049160904	1000.0	645.1726219200381	-320.8767049160904	529.718366801579	-320.8767049160904	-112.03504303060167	935.5178657601142	-935.5178657601142	1000.0	645.1726219200381	224.07008606120334	-320.8767049160903	-645.1726219200381	977.8585389239857	112.03504303060167	645.1726219200381	645.1726219200381	935.5178657601142	645.1726219200381	224.07008606120334	0.0	645.1726219200381	320.8767049160903	-112.03504303060167	112.03504303060167	-320.8767049160904	320.8767049160903	-645.1726219200381	320.8767049160904	935.5178657601142	-935.5178657601142	-320.8767049160903	320.8767049160903	-320.8767049160903	-1000.0	320.8767049160904	8.39	432.911747946692	-1000.0	1000.0	645.1726219200378
28	669.8593514926862	282.0150874067069	830.4075202420604	597.1100625000004	-282.0150874067069	458.20099813414146	-282.0150874067069	-105.82917667927238	960.9226672579385	-1000.0	791.330187499999	597.1100624999997	211.65835335854473	-282.0150874067069	-597.1100625000004	881.517704851231	105.82917667927236	597.1100624999997	597.1100624999997	1000.0	597.1100624999997	211.65835335854473	39.07733274206146	597.1100624999997	282.01508740670687	-105.82917667927238	105.82917667927238	-282.0150874067069	282.0150874067069	-597.1100624999997	282.0150874067069	1000.0	-1000.0	-282.01508740670687	282.0150874067069	-282.0150874067069	-791.3301875000011	282.0150874067069	8.39	387.84426408597926	-791.330187499999	791.330187499999	597.1100625
