	rxn05312	rxn05318	rJB00267	rxn37440	rxn05560	rxn00615	rxn00148	rxn00786	rxn00134	rxn01492	rxn05581	rxn00097	rxn00747	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00082_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	599.1999999999999	199.73333333333332	269.10777777777776	269.10777777777776	-134.55388888888888	-203.92833333333328	134.55388888888888	-134.55388888888888	199.73333333333332	-134.55388888888888	203.92833333333328	65.17944444444443	-134.55388888888888	473.03611111111104	-395.27166666666665	134.55388888888888	-199.73333333333332	134.55388888888888	203.92833333333328	-473.03611111111104	-126.16388888888886	395.27166666666665	-134.55388888888888	-126.16388888888889	8.39	199.7333333333333
1	800.0008000000003	266.6669333333334	358.3525777777779	358.3525777777779	-179.17628888888896	-270.86193333333335	179.17628888888896	-179.17628888888896	266.6669333333334	-179.17628888888896	270.86193333333335	87.49064444444446	-179.17628888888896	629.2145111111113	-529.1388666666669	179.17628888888896	-266.6669333333334	179.17628888888896	270.86193333333335	-629.2145111111113	-170.78628888888886	529.1388666666669	-179.17628888888896	-170.78628888888898	8.39	266.6669333333334
2	399.9991999999991	133.33306666666638	180.5740888888885	180.5740888888885	-90.28704444444425	-137.52806666666643	90.28704444444425	-90.28704444444425	133.33306666666638	-90.28704444444425	137.52806666666643	43.04602222222214	-90.28704444444425	318.10215555555493	-262.4711333333328	90.28704444444425	-133.33306666666638	90.28704444444425	137.52806666666643	-318.10215555555493	-81.89704444444428	262.4711333333328	-90.28704444444425	-81.89704444444419	8.39	133.33306666666638
3	699.3995992	233.13319973333333	313.64093297777777	313.64093297777777	-156.82046648888888	-237.32819973333335	156.82046648888888	-156.82046648888888	233.13319973333333	-156.82046648888888	237.32819973333335	76.31273324444446	-156.82046648888888	550.9691327111111	-462.07139946666666	156.82046648888888	-233.13319973333333	156.82046648888888	237.32819973333335	-550.9691327111111	-148.4304664888889	462.07139946666666	-156.82046648888888	-148.4304664888889	8.39	233.1331997333333
4	900.2003992000004	300.06679973333354	402.885732977778	402.885732977778	-201.442866488889	-304.2617997333335	201.442866488889	-201.442866488889	300.0667997333335	-201.442866488889	304.2617997333335	98.62393324444449	-201.442866488889	707.1475327111115	-595.938599466667	201.442866488889	-300.06679973333354	201.442866488889	304.2617997333335	-707.1475327111115	-193.0528664888891	595.938599466667	-201.442866488889	-193.05286648888898	8.39	300.0667997333335
5	300.19959919999894	100.06653306666632	136.2187107555551	136.2187107555551	-68.10935537777753	-104.26153306666633	68.10935537777753	-68.10935537777755	100.06653306666632	-68.10935537777753	104.26153306666633	31.95717768888877	-68.10935537777755	240.48024382222144	-195.93806613333263	68.10935537777755	-100.06653306666632	68.10935537777753	104.26153306666633	-240.48024382222144	-59.71935537777753	195.93806613333263	-68.10935537777755	-59.719355377777504	8.39	100.0665330666663
6	499.4003991999994	166.46679973333312	224.75239964444418	224.75239964444418	-112.37619982222209	-170.66179973333314	112.37619982222209	-112.37619982222209	166.46679973333312	-112.37619982222209	170.66179973333314	54.090599911111035	-112.37619982222209	395.4141993777773	-328.7385994666663	112.37619982222209	-166.46679973333312	112.37619982222209	170.66179973333314	-395.4141993777773	-103.98619982222209	328.7385994666663	-112.37619982222209	-103.98619982222209	8.39	166.46679973333318
7	749.5995983992003	249.8665327997334	335.95204373297787	335.95204373297787	-167.97602186648894	-254.06153279973347	167.97602186648894	-167.97602186648894	249.8665327997334	-167.97602186648894	254.06153279973347	81.89051093324446	-167.97602186648894	590.0135765327113	-495.5380655994668	167.97602186648894	-249.8665327997334	167.97602186648894	254.06153279973347	-590.0135765327113	-159.58602186648898	495.5380655994668	-167.97602186648894	-159.58602186648898	8.39	249.86653279973342
8	850.0004000008006	283.33346666693353	380.574622222578	380.574622222578	-190.287311111289	-287.5284666669336	190.287311111289	-190.287311111289	283.33346666693353	-190.287311111289	287.5284666669336	93.04615555564453	-190.287311111289	668.1030888895116	-562.471933333867	190.287311111289	-283.33346666693353	190.287311111289	287.5284666669336	-668.1030888895116	-181.89731111128899	562.471933333867	-190.287311111289	-181.897311111289	8.39	283.33346666693353
9	649.1996000007998	216.39986666693326	291.32982222257766	291.32982222257766	-145.66491111128883	-220.5948666669333	145.66491111128883	-145.66491111128883	216.39986666693326	-145.66491111128883	220.5948666669333	70.73495555564443	-145.66491111128883	511.924688889511	-428.6047333338665	145.66491111128883	-216.39986666693326	145.66491111128883	220.5948666669333	-511.924688889511	-137.27491111128896	428.6047333338665	-145.66491111128883	-137.27491111128882	8.39	216.39986666693326
10	249.99960000079886	83.33320000026629	113.90760000035505	113.90760000035505	-56.95380000017752	-87.52820000026628	56.95380000017752	-56.95380000017752	83.33320000026629	-56.95380000017752	87.52820000026628	26.379400000088765	-56.95380000017752	201.43580000062133	-162.47140000053258	56.95380000017752	-83.33320000026629	56.95380000017752	87.52820000026628	-201.43580000062133	-48.56380000017754	162.47140000053258	-56.95380000017752	-48.56380000017754	8.39	83.33320000026629
11	549.3999992007997	183.13333306693323	246.9744440892443	246.9744440892443	-123.48722204462214	-187.3283330669332	123.48722204462216	-123.48722204462214	183.13333306693323	-123.48722204462214	187.3283330669332	59.646111022311075	-123.48722204462214	434.3027771561775	-362.0716661338664	123.48722204462214	-183.13333306693323	123.48722204462214	187.3283330669332	-434.3027771561775	-115.09722204462219	362.0716661338664	-123.48722204462214	-115.09722204462219	8.39	183.13333306693323
