	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00097	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
0	-495.3246666666672	742.9870000000006	247.66233333333355	495.3246666666672	-742.9870000000006	-495.3246666666672	8.389999999999986	-8.389999999999986	8.389999999999986	247.66233333333355	742.9870000000006	239.27233333333356	8.389999999999986	742.9870000000006	8.389999999999986	-247.66233333333355	742.9870000000006	-742.9870000000006	8.39	247.66233333333355
1	-580.8243246666668	871.2364870000002	290.4121623333334	580.8243246666668	-871.2364870000002	-580.8243246666668	8.389999999999986	-8.389999999999986	8.389999999999986	290.4121623333334	871.2364870000002	282.0221623333334	8.389999999999986	871.2364870000002	8.389999999999986	-290.4121623333334	871.2364870000002	-871.2364870000002	8.39	290.4121623333334
2	-409.8250086666669	614.7375130000004	204.91250433333346	409.8250086666669	-614.7375130000004	-409.8250086666669	8.389999999999986	-8.389999999999986	8.389999999999986	204.91250433333346	614.7375130000004	196.52250433333344	8.389999999999986	614.7375130000004	8.389999999999986	-204.91250433333346	614.7375130000004	-614.7375130000004	8.39	204.91250433333346
3	-623.6596533246668	935.4894799870002	311.8298266623334	623.6596533246668	-935.4894799870002	-623.6596533246668	8.389999999999986	-8.389999999999986	8.389999999999986	311.8298266623334	935.4894799870002	303.4398266623334	8.389999999999986	935.4894799870002	8.389999999999986	-311.8298266623334	935.4894799870002	-935.4894799870002	8.39	311.8298266623334
4	-452.48933800866706	678.7340070130003	226.24466900433345	452.48933800866706	-678.7340070130003	-452.48933800866706	8.389999999999986	-8.389999999999986	8.389999999999986	226.24466900433345	678.7340070130003	217.85466900433346	8.389999999999986	678.7340070130003	8.389999999999986	-226.24466900433345	678.7340070130003	-678.7340070130003	8.39	226.24466900433345
5	-537.988996008667	806.9834940130005	268.9944980043335	537.988996008667	-806.9834940130005	-537.988996008667	8.389999999999986	-8.389999999999986	8.389999999999986	268.9944980043335	806.9834940130005	260.6044980043335	8.389999999999986	806.9834940130005	8.389999999999986	-268.9944980043335	806.9834940130005	-806.9834940130005	8.39	268.99449800433354
6	-367.1606793246668	550.7410189870002	183.58033966233342	367.1606793246668	-550.7410189870002	-367.1606793246668	8.389999999999986	-8.389999999999986	8.389999999999986	183.58033966233342	550.7410189870002	175.1903396623334	8.389999999999986	550.7410189870002	8.389999999999986	-183.58033966233342	550.7410189870002	-550.7410189870002	8.39	183.58033966233342
7	-645.1201529823247	967.6802294734871	322.56007649116236	645.1201529823247	-967.6802294734871	-645.1201529823247	8.389999999999986	-8.389999999999986	8.389999999999986	322.56007649116236	967.6802294734871	314.1700764911624	8.389999999999986	967.6802294734871	8.389999999999986	-322.56007649116236	967.6802294734871	-967.6802294734871	8.39	322.56007649116236
8	-473.86416700900895	710.7962505135134	236.93208350450448	473.86416700900895	-710.7962505135134	-473.86416700900895	8.389999999999986	-8.389999999999986	8.389999999999986	236.93208350450448	710.7962505135134	228.5420835045045	8.389999999999986	710.7962505135134	8.389999999999986	-236.93208350450448	710.7962505135134	-710.7962505135134	8.39	236.93208350450448
9	-602.2848243243249	903.4272364864871	301.1424121621624	602.2848243243249	-903.4272364864871	-602.2848243243249	8.389999999999986	-8.389999999999986	8.389999999999986	301.1424121621624	903.4272364864871	292.7524121621624	8.389999999999986	903.4272364864871	8.389999999999986	-301.1424121621624	903.4272364864871	-903.4272364864871	8.39	301.1424121621624
