	rxn10125	rxn00083	rxn05312	rxn05318	rxn00615	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00251	rxn10165	rxn10053	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-303.7950000000005	-303.7950000000005	599.2000000000011	199.7333333333337	-407.85666666666737	199.7333333333337	-199.7333333333337	199.7333333333337	199.7333333333337	407.85666666666737	199.7333333333337	407.85666666666737	199.7333333333337	-191.3433333333337	-199.7333333333337	407.85666666666737	-407.85666666666737	-191.3433333333337	191.3433333333337	-191.3433333333337	8.39	199.7333333333337
1	-403.79460000000023	-403.79460000000023	799.1992000000006	266.39973333333353	-541.189466666667	266.39973333333353	-266.39973333333353	266.39973333333353	266.39973333333353	541.189466666667	266.39973333333353	541.189466666667	266.39973333333353	-258.00973333333354	-266.39973333333353	541.189466666667	-541.189466666667	-258.00973333333366	258.00973333333354	-258.00973333333354	8.39	266.39973333333353
2	-203.79540000000026	-203.79540000000026	399.2008000000005	133.0669333333335	-274.523866666667	133.0669333333335	-133.0669333333335	133.0669333333335	133.0669333333335	274.523866666667	133.0669333333335	274.523866666667	133.0669333333335	-124.67693333333352	-133.0669333333335	274.523866666667	-274.523866666667	-124.67693333333352	124.67693333333352	-124.67693333333352	8.39	133.06693333333348
3	-453.89439960000016	-453.89439960000016	899.3987992000002	299.7995997333334	-607.9891994666668	299.7995997333334	-299.7995997333334	299.7995997333334	299.7995997333334	607.9891994666668	299.7995997333334	607.9891994666668	299.7995997333334	-291.40959973333344	-299.7995997333334	607.9891994666668	-607.9891994666668	-291.4095997333333	291.40959973333344	-291.4095997333334	8.39	299.7995997333334
4	-253.69520040000043	-253.69520040000043	499.0004008000009	166.33346693333363	-341.05693386666724	166.33346693333363	-166.33346693333363	166.33346693333363	166.33346693333363	341.05693386666724	166.33346693333363	341.05693386666724	166.33346693333363	-157.94346693333364	-166.33346693333363	341.05693386666724	-341.05693386666724	-157.94346693333364	157.94346693333364	-157.9434669333336	8.39	166.33346693333363
5	-353.69480040000053	-353.69480040000053	698.9996008000011	232.9998669333337	-474.38973386666737	232.9998669333337	-232.9998669333337	232.9998669333337	232.9998669333337	474.38973386666737	232.9998669333337	474.38973386666737	232.9998669333337	-224.6098669333337	-232.9998669333337	474.38973386666737	-474.38973386666737	-224.60986693333368	224.6098669333337	-224.6098669333337	8.39	232.9998669333337
6	-153.8955996000001	-153.8955996000001	299.40119920000024	99.80039973333342	-207.99079946666683	99.80039973333342	-99.80039973333342	99.80039973333342	99.80039973333342	207.99079946666683	99.80039973333342	207.99079946666683	99.80039973333342	-91.41039973333342	-99.80039973333342	207.99079946666683	-207.99079946666683	-91.41039973333346	91.41039973333342	-91.4103997333334	8.39	99.8003997333334
7	-478.99439919960014	-478.99439919960014	949.5987983992001	316.5329327997334	-641.4558655994667	316.5329327997334	-316.5329327997334	316.5329327997334	316.5329327997334	641.4558655994667	316.5329327997334	641.4558655994667	316.5329327997334	-308.1429327997334	-316.5329327997334	641.4558655994667	-641.4558655994667	-308.1429327997332	308.1429327997334	-308.1429327997334	8.39	316.5329327997334
8	-278.69500040040043	-278.69500040040043	549.000000800801	183.00000026693368	-374.39000053386735	183.00000026693368	-183.00000026693368	183.00000026693368	183.00000026693368	374.39000053386735	183.00000026693368	374.39000053386735	183.00000026693368	-174.6100002669337	-183.00000026693368	374.39000053386735	-374.39000053386735	-174.61000026693387	174.6100002669337	-174.61000026693367	8.39	183.00000026693368
9	-378.69460040040053	-378.69460040040053	748.9992008008011	249.6664002669337	-507.72280053386737	249.6664002669337	-249.6664002669337	249.6664002669337	249.6664002669337	507.72280053386737	249.6664002669337	507.72280053386737	249.6664002669337	-241.2764002669337	-249.6664002669337	507.72280053386737	-507.72280053386737	-241.27640026693368	241.2764002669337	-241.2764002669337	8.39	249.6664002669337
10	-428.79440000040023	-428.79440000040023	849.1988000008005	283.0662666669335	-574.5225333338669	283.0662666669335	-283.0662666669335	283.0662666669335	283.0662666669335	574.5225333338669	283.0662666669335	574.5225333338669	283.0662666669335	-274.6762666669335	-283.0662666669335	574.5225333338669	-574.5225333338669	-274.6762666669335	274.6762666669335	-274.67626666693354	8.39	283.0662666669335
11	-178.79559999960023	-178.79559999960023	349.2011999992004	116.40039999973347	-241.19079999946695	116.40039999973347	-116.40039999973347	116.40039999973347	116.40039999973347	241.19079999946695	116.40039999973347	241.19079999946695	116.40039999973347	-108.01039999973347	-116.40039999973347	241.19079999946695	-241.19079999946695	-108.01039999973341	108.01039999973347	-108.01039999973347	8.39	116.4003999997335
12	-228.69540039960035	-228.69540039960035	449.0008007992007	149.66693359973357	-307.7238671994671	149.66693359973357	-149.66693359973357	149.66693359973357	149.66693359973357	307.7238671994671	149.66693359973357	307.7238671994671	149.66693359973357	-141.27693359973358	-149.66693359973357	307.7238671994671	-307.7238671994671	-141.27693359973358	141.27693359973358	-141.27693359973358	8.39	149.66693359973357
