opt_fraction	R_value	p_value
0.1	0.13173294854288	0.011199147898634049
0.2	0.12232497480768872	0.02060727554137949
0.3	0.14996041032885565	0.0037434540495555565
0.4	0.16307030952008178	0.0011778630072419981
0.5	0.15261284980249012	0.0020711069516858604
0.6	0.14713804492255897	0.002788358088259207
0.7	0.12723241085852469	0.009555596818117703
0.8	0.1431841176409739	0.002888960935576576
0.9	0.13203574060998338	0.004740659619900842
0.35	0.13406330793078683	0.008528113340922164
0.375	0.1117264564121201	0.026971061083050887
0.387	0.1828450157579027	0.0002588910410336711
0.425	0.1554612155274604	0.001969128241164199
0.45	0.16965585067911193	0.0007325540703242746
0.413	0.15498921333230126	0.002006452523842646
