	rJB00264	rxn00154	rxn10158	rxn05312	rxn05318	rxn00256	rJB00240	rJB00267	rxn00974	rxn00175	rxn05158	rxn00615	rxn05209	rxn13836	rxn00148	rxn10042	rxn12788	rxn00134	rxn13299	rxn13643	rxn05581	rxn00251	rxn10165	rxn05467	rxn05319	rxn05468	rxn05488	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	rxn00695	EX_cpd00331_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
0	115.82177314846157	115.82177314846157	-170.17019560365398	514.0730509300004	347.4653194453847	115.82177314846157	170.17019560365398	115.82177314846157	-115.82177314846157	-231.64354629692315	528.3229074061537	-1000.0	-170.17019560365398	-305.0693611092303	115.82177314846157	115.82177314846157	115.82177314846157	347.4653194453847	231.64354629692315	231.64354629692315	1000.0	115.82177314846157	471.6770925938463	-231.64354629692315	-231.64354629692286	57.91088657423079	-231.64354629692315	231.64354629692315	-347.4653194453847	231.64354629692315	1000.0	-1000.0	231.64354629692286	-57.91088657423079	-42.39595833615408	231.64354629692315	-115.82177314846157	8.39	305.0693611092303	-305.0693611092303	347.4653194453847
1	78.59199461538465	78.59199461538465	-125.07085341230794	368.0296987476928	235.77598384615396	78.59199461538469	125.07085341230794	78.59199461538465	-78.59199461538469	-157.1839892307693	339.2982527907691	-662.0562312523076	-125.07085341230794	-190.50426355999974	78.59199461538469	78.59199461538465	78.59199461538469	235.77598384615396	157.1839892307693	157.1839892307693	662.0562312523076	78.59199461538469	322.7579784615385	-157.18398923076938	-157.18398923076927	39.295997307692346	-157.1839892307693	157.1839892307693	-235.77598384615396	157.18398923076938	662.0562312523076	-662.0562312523076	157.18398923076927	-39.295997307692346	-45.27172028615428	157.1839892307693	-78.59199461538469	8.39	190.50426355999974	-190.50426355999974	235.77598384615393
2	143.9685271206206	143.9685271206206	-332.0140309435684	879.9808525680677	431.9055813618618	143.9685271206206	332.0140309435684	143.9685271206206	-143.9685271206206	-287.9370542412412	415.73589151751764	-1000.0	-332.0140309435684	-136.18883727627644	143.9685271206206	143.9685271206206	143.9685271206206	431.9055813618618	287.9370542412412	287.9370542412412	1000.0	143.9685271206206	584.2641084824824	-287.9370542412412	-287.9370542412412	71.9842635603103	-287.9370542412412	287.9370542412412	-431.9055813618618	287.9370542412412	1000.0	-1000.0	287.9370542412412	-71.9842635603103	-295.71674408558533	287.9370542412412	-143.9685271206206	8.39	136.18883727627644	-136.18883727627644	431.9055813618618
3	78.59199461538465	78.59199461538465	-209.7257674836048	537.3395268902866	235.77598384615393	78.59199461538469	209.7257674836048	78.59199461538465	-78.59199461538469	-157.1839892307693	169.9884246481752	-492.74640310971375	-209.7257674836048	-21.194435417406055	78.59199461538469	78.59199461538465	78.59199461538469	235.77598384615393	157.1839892307693	157.1839892307693	492.74640310971375	78.59199461538469	322.7579784615385	-157.18398923076938	-157.18398923076944	39.295997307692346	-157.1839892307693	157.1839892307693	-235.77598384615396	157.18398923076938	492.74640310971375	-492.7464031097137	157.18398923076944	-39.295997307692346	-214.58154842874808	157.1839892307693	-78.59199461538469	8.39	21.194435417406055	-21.194435417406055	235.77598384615393
4	97.24411366045618	97.24411366045618	-125.75014207557024	397.3664546418247	291.73234098136857	97.24411366045618	125.75014207557024	97.24411366045618	-97.24411366045618	-194.48822732091236	477.8305683022809	-875.1970229441056	-125.75014207557024	-291.73234098136857	97.24411366045618	97.24411366045618	97.24411366045618	291.73234098136857	194.48822732091236	194.48822732091236	875.1970229441056	97.24411366045618	397.3664546418247	-194.48822732091236	-194.48822732091244	48.62205683022809	-194.48822732091236	194.48822732091236	-291.73234098136857	194.48822732091236	875.1970229441056	-875.1970229441056	194.48822732091244	-48.62205683022809	0.0	194.48822732091236	-97.24411366045618	8.39	291.73234098136857	-291.73234098136857	291.7323409813685
5	129.86700338056886	129.86700338056886	-250.93026943827098	696.6610439473952	389.6010101417066	129.86700338056886	250.93026943827098	129.86700338056886	-129.86700338056886	-259.7340067611377	472.1419864777246	-1000.0	-250.93026943827098	-220.79797971658684	129.86700338056886	129.86700338056886	129.86700338056886	389.6010101417066	259.7340067611377	259.7340067611377	1000.0	129.86700338056886	527.8580135222754	-259.7340067611377	-259.7340067611377	64.93350169028443	-259.7340067611377	259.7340067611377	-389.6010101417066	259.7340067611377	1000.0	-999.9999999999999	259.7340067611377	-64.93350169028443	-168.8030304251198	259.7340067611377	-129.86700338056886	8.39	220.79797971658684	-220.79797971658684	389.6010101417065
6	93.31458836691456	93.31458836691456	-40.753883109758576	221.47964876988908	279.94376510074363	93.31458836691456	40.753883109758576	93.31458836691456	-93.31458836691456	-186.6291767338291	618.3516465323419	-1000.0	-40.753883109758576	-440.11246979851273	93.31458836691456	93.31458836691456	93.31458836691456	279.94376510074363	186.6291767338291	186.6291767338291	1000.0	93.31458836691456	381.6483534676581	-186.62917673382913	-186.62917673382913	46.65729418345728	-186.6291767338291	186.6291767338291	-279.94376510074363	186.62917673382913	1000.0	-1000.0	186.62917673382913	-46.65729418345728	160.16870469776904	186.6291767338291	-93.31458836691456	8.39	440.11246979851273	-440.11246979851273	279.9437651007436
7	127.93230475074739	127.93230475074739	-404.05077143693944	1000.0	383.7969142522421	127.93230475074739	404.05077143693944	127.93230475074739	-127.93230475074739	-255.86460950149475	151.39074275672647	-671.5099617597159	-404.05077143693944	96.08386674476827	127.93230475074739	127.93230475074739	127.93230475074739	383.7969142522421	255.86460950149475	255.86460950149475	671.5099617597159	127.93230475074739	520.1192190029894	-255.86460950149478	-255.86460950149484	63.966152375373696	-255.86460950149475	255.86460950149475	-383.7969142522421	255.86460950149478	671.5099617597159	-671.5099617597159	255.86460950149484	-63.966152375373696	-479.8807809970105	255.86460950149475	-127.93230475074739	8.39	-96.08386674476827	96.08386674476827	383.7969142522421
8	135.78209072408424	135.78209072408424	-398.16343195693685	1000.0	407.3462721722528	135.78209072408424	398.16343195693685	135.78209072408424	-135.78209072408424	-271.56418144816854	222.0388165167582	-773.5571794130951	-398.16343195693685	41.13536493141021	135.78209072408424	135.78209072408424	135.78209072408424	407.3462721722528	271.56418144816854	271.56418144816854	773.5571794130951	135.78209072408424	551.518362896337	-271.5641814481685	-271.5641814481686	67.89104536204212	-271.56418144816854	271.56418144816854	-407.3462721722528	271.5641814481685	773.5571794130951	-773.5571794130952	271.5641814481686	-67.89104536204212	-448.48163710366305	271.56418144816854	-135.78209072408424	8.39	-41.13536493141021	41.13536493141021	407.3462721722523
9	99.88304480256855	99.88304480256855	-374.5614180096321	898.9474032231169	299.6491344077057	99.88304480256855	374.5614180096321	99.88304480256855	-99.88304480256855	-199.7660896051371	0.0	-407.9221792102742	-374.5614180096321	191.3760896051369	99.88304480256855	99.88304480256855	99.88304480256855	299.6491344077057	199.7660896051371	199.7660896051371	407.9221792102742	99.88304480256855	407.9221792102742	-199.7660896051371	-199.7660896051373	49.941522401284274	-199.7660896051371	199.7660896051371	-299.6491344077057	199.7660896051371	407.9221792102742	-407.9221792102742	199.7660896051373	-49.941522401284274	-491.0252240128427	199.7660896051371	-99.88304480256855	8.39	-191.3760896051369	191.3760896051369	299.6491344077056
