opt_fraction	R_value	p_value
0.1	0.02564193123798345	0.8751999466989273
0.2	0.07649944289213272	0.6389471030835234
0.3	0.07875954203987716	0.6290422599155845
0.4	0.09922577631952798	0.5424148193697915
0.5	0.09997654131508238	0.5339903412984587
0.6	0.09348487760710245	0.5609984887154058
0.7	-0.08449707973241241	0.5679966779238066
0.8	-0.08608879705108792	0.5320045248563239
0.9	-0.0006399602383226952	0.9963713261894769
0.45	0.06848753112437925	0.674550056573216
0.55	0.096016030857525	0.5503925763670541
0.475	0.07649944289213272	0.6389471030835234
0.487	0.07795694129501096	0.6325524280278487
0.525	0.10311914290328544	0.5211465649453046
0.513	0.10401736676231874	0.5175038358456512
