reaction	linear_coefficient
rxn01302	[0.1355750590811246]
rxn00834	[np.float64(0.3036089907931519)]
rxn05293	[0.5706564723459208]
rxn07967	[0.49431764639464343]
rxn00105	[0.6088258853215595]
rxn02373	[0.4369387902874742]
rxn02474	[0.7657445831102961]
rxn03055	[0.543463884016871]
rxn09953	[0.2695422144269936]
rxn02112	[0.7587593310624667]
rxn02632	[0.7587593310624667]
rxn01686	[0.7587593310624667]
rxn13787	[0.2895000774207916]
rxn13896	[0.2895000774207916]
rxn01790	[0.43344616426355953]
rxn00859	[0.4229682861918156]
rxn08352	[np.float64(0.3036089907931519)]
rxn08756	[np.float64(0.3036089907931519)]
rxn00122	[0.1355750590811246]
rxn00184	[0.7495288194278352]
rxn01011	[0.5751469915195253]
rxn06591	[0.2867558712591444]
rxn02186	[0.666953161290996]
rxn08764	[0.666953161290996]
rxn02929	[0.126843494021338]
rxn00190	[np.float64(0.3036089907931519)]
rxn00138	[np.float64(0.3036089907931519)]
rxn08977	[0.389039919102359]
rxn36840	[0.389039919102359]
rxn02003	[0.3551115520129025]
rxn08291	[0.4232177594792381]
rxn13795	[0.2867558712591444]
rxn13788	[np.float64(0.3036089907931519)]
rxn00429	[0.389039919102359]
rxn02440	[0.6594689626683219]
rxn00868	[np.float64(0.3036089907931519)]
rxn10074	[np.float64(0.3036089907931519)]
rxn01729	[np.float64(0.3036089907931519)]
rxn01068	[np.float64(0.3036089907931519)]
rxn01314	[np.float64(0.3036089907931519)]
rxn05570	[0.26031170279236204]
rxn05159	[0.26031170279236204]
rxn05180	[0.26031170279236204]
rxn10073	[0.26031170279236204]
rxn08087	[np.float64(0.3036089907931519)]
rxn08086	[np.float64(0.3036089907931519)]
rxn08089	[np.float64(0.3036089907931519)]
rxn08088	[np.float64(0.3036089907931519)]
rxn08085	[np.float64(0.3036089907931519)]
rxn08083	[np.float64(0.3036089907931519)]
rxn08084	[np.float64(0.3036089907931519)]
rxn10215	[np.float64(0.3036089907931519)]
rxn10218	[np.float64(0.3036089907931519)]
rxn10214	[np.float64(0.3036089907931519)]
rxn10219	[np.float64(0.3036089907931519)]
rxn10217	[np.float64(0.3036089907931519)]
rxn10216	[np.float64(0.3036089907931519)]
rxn10212	[np.float64(0.3036089907931519)]
rxn10211	[np.float64(0.3036089907931519)]
rxn10213	[np.float64(0.3036089907931519)]
rxn05175	[0.126843494021338]
rxn03243	[0.389538865677204]
rxn03248	[0.389538865677204]
rxn06510	[0.389538865677204]
rxn02804	[0.389538865677204]
rxn02680	[0.389538865677204]
rxn05619	[0.126843494021338]
rxn05163	[0.126843494021338]
rxn10158	[0.28002009249873755]
rxn05603	[0.28002009249873755]
rxn05154	[0.11811192896155137]
rxn00727	[0.05324887423170791]
rxn05161	[0.1335792727817448]
rxn05168	[0.1335792727817448]
rxn05155	[0.11761298238670644]
rxn05201	[0.05349834751913038]
rxn02831	[0.008593155783084906]
rxn13885	[0.11137615020114454]
rxn05512	[0.18397287684108474]
rxn08669	[0.23411700761300216]
rxn05156	[0.11811192896155137]
rxn05164	[0.11811192896155137]
rxn13828	[np.float64(0.3036089907931519)]
rxn13829	[np.float64(0.3036089907931519)]
rxn05247	[0.008593155783084906]
rxn05248	[0.008593155783084906]
rxn05249	[0.008593155783084906]
rxn05250	[0.008593155783084906]
rxn05251	[0.008593155783084906]
rxn05252	[0.008593155783084906]
rxn09450	[0.008593155783084906]
rxn09449	[0.008593155783084906]
rxn09448	[0.008593155783084906]
rxn05736	[0.008593155783084906]
rxn00947	[0.008593155783084906]
rxn13892	[0.20368126654746024]
rxn08002	[0.4364398437126293]
rxn05349	[0.4364398437126293]
rxn00187	[0.19769390764932085]
rxn05331	[0.4496619279460205]
rxn05333	[0.4496619279460205]
rxn10221	[0.05898675984242483]
rxn10224	[0.05898675984242483]
rxn08306	[0.05898675984242483]
rxn08307	[0.05898675984242483]
rxn08308	[0.05898675984242483]
rxn08310	[0.05898675984242483]
rxn08311	[0.05898675984242483]
rxn08312	[0.05898675984242483]
rxn10220	[0.05898675984242483]
rxn10225	[0.05898675984242483]
rxn10223	[0.05898675984242483]
rxn10222	[0.05898675984242483]
rxn10481	[0.5037976313166974]
rxn10344	[0.5037976313166974]
rxn10343	[0.5037976313166974]
rxn01629	[0.3518683992764103]
rxn00986	[np.float64(0.3036089907931519)]
rxn00675	[np.float64(0.3036089907931519)]
rxn05206	[0.3965241177250333]
rxn02911	[0.14031505154215163]
rxn03240	[0.14031505154215163]
rxn03241	[0.14031505154215163]
rxn03245	[0.14031505154215163]
rxn03250	[0.14031505154215163]
rxn03247	[0.14031505154215163]
rxn05165	[0.23736016034949436]
rxn05181	[0.23736016034949436]
rxn10978	[0.28002009249873755]
rxn13831	[0.29473901645666356]
rxn10338	[0.016326827693181625]
rxn10341	[0.016326827693181625]
