	rxn00506	rxn13726	rxn00248	rxn08094	rxn01802	rxn02465	rxn00183	rxn13895	rxn01452	rxn09953	rxn02112	rxn05312	rxn05318	rxn00799	rJB00240	rJB00238	rxn10113	rxn00285	rxn05307	rxn00165	rxn05158	rxn00615	rxn13836	rxn00148	rxn05229	rxn13804	rxn10042	rxn05221	rxn01637	rxn00250	rxn02167	rxn05687	rxn10182	rxn00134	rxn05581	rxn00251	rxn01636	rxn01575	rxn10165	rxn01917	rxn10053	rxn05297	rxn05493	rxn05467	rxn05468	rxn05488	rxn05511	rxn09683	EX_cpd00024_e	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00106_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00023_e	EX_cpd00129_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00064_e	EX_cpd00009_e	EX_cpd00036_e	rxn13837	rxn01730	ATPM	rxn01573	EX_cpd00170_e	EX_cpd00222_e	EX_cpd00363_e	EX_cpd00379_e	EX_cpd01947_e	rxn00178	DM_cpd00002_c
0	19.789811355932297	694.942048080457	163.2270379538493	194.13889176434543	-30.911853810496115	30.911853810496115	30.911853810496115	30.911853810496115	-30.911853810496115	61.82370762099223	61.82370762099223	1000.0	621.1483370839288	-163.2270379538493	163.2270379538493	-194.13889176434543	652.9081518153971	-194.13889176434543	-163.22703795384933	-163.22703795384933	863.4450112517864	-1000.0	883.2348226077188	621.1483370839288	-457.9212991300795	-42.03389626505994	694.942048080457	30.911853810496115	30.911853810496115	457.9212991300795	30.911853810496115	30.911853810496115	-30.911853810496115	621.1483370839288	1000.0	621.1483370839288	-30.911853810496115	-163.22703795384933	136.55498874821365	-30.911853810496115	457.9212991300795	70.49147652236098	61.823707620992224	-326.45407590769867	326.45407590769855	-19.789811355932297	61.82370762099223	-42.03389626505994	-61.823707620992224	19.789811355932297	-621.1483370839288	326.45407590769867	-163.2270379538493	1000.0	-1000.0	-70.49147652236098	-30.911853810496115	163.22703795384933	-326.45407590769855	-30.911853810496115	-863.4450112517864	194.13889176434543	-30.911853810496115	-30.911853810496115	8.39	163.22703795384933	-883.2348226077188	883.2348226077188	42.03389626505994	30.911853810496115	-61.82370762099223	30.911853810496115	621.1483370839287
1	22.26794491249973	648.8335538140065	154.08209858644568	181.46865077680732	-27.386552190361652	27.386552190361652	27.386552190361652	27.386552190361652	-27.386552190361652	54.773104380723304	54.773104380723304	941.2907475624987	594.4116310240963	-154.08209858644568	154.08209858644568	-181.46865077680732	616.3283943457828	-181.46865077680732	-154.08209858644574	-154.08209858644574	841.9441455097901	-1000.0	805.5028379847884	594.4116310240963	-440.3295324376506	-32.505159468223574	648.8335538140065	27.386552190361652	27.386552190361652	440.3295324376506	27.386552190361652	27.386552190361652	-27.386552190361652	594.4116310240963	1000.0	594.4116310240963	-27.386552190361652	-154.08209858644574	158.05585449020987	-27.386552190361652	440.3295324376506	71.92244201536079	54.773104380723225	-308.1641971728914	308.1641971728914	-22.26794491249973	54.773104380723304	-32.505159468223574	-54.773104380723225	22.26794491249973	-594.4116310240963	308.1641971728914	-154.08209858644568	1000.0	-1000.0	-71.92244201536079	-27.386552190361652	154.08209858644574	-308.1641971728914	-27.386552190361652	-783.2348930722889	181.46865077680732	-27.386552190361652	-27.386552190361652	8.39	154.08209858644574	-805.5028379847884	805.5028379847884	32.505159468223574	27.386552190361652	-54.773104380723304	27.386552190361652	594.4116310240963
2	0.0	747.0265824863297	166.0059072191844	207.50738402398048	-41.5014768047961	41.5014768047961	41.5014768047961	41.5014768047961	-41.5014768047961	83.0029536095922	83.0029536095922	1000.0	618.5575953870477	-166.0059072191844	166.0059072191844	-207.50738402398048	664.0236288767376	-207.50738402398048	-166.0059072191844	-166.0059072191844	855.6727861611431	-897.6351495961517	958.0376365649913	618.5575953870477	-452.55168816786335	-83.0029536095922	747.0265824863297	41.5014768047961	41.5014768047961	452.55168816786335	41.5014768047961	41.5014768047961	-41.5014768047961	618.5575953870477	897.6351495961517	618.5575953870477	-41.5014768047961	-166.0059072191844	41.96236343500857	-41.5014768047961	452.55168816786335	41.5014768047961	83.00295360959217	-332.0118144383688	332.0118144383688	0.0	83.0029536095922	-83.0029536095922	-83.00295360959217	0.0	-618.5575953870477	332.0118144383688	-166.0059072191844	897.6351495961517	-897.6351495961517	-41.5014768047961	-41.5014768047961	166.0059072191844	-332.0118144383688	-41.5014768047961	-958.0376365649914	207.50738402398048	-41.5014768047961	-41.5014768047961	8.39	166.0059072191844	-958.0376365649913	958.0376365649913	83.0029536095922	41.5014768047961	-83.0029536095922	41.5014768047961	618.5575953870477
3	37.00599107319391	639.9747272964297	158.6637132095149	179.82664597529674	-21.162932765781846	21.162932765781846	21.162932765781846	21.162932765781846	-21.162932765781846	42.32586553156369	42.32586553156369	1000.0	602.480190402561	-158.6637132095149	158.6637132095149	-179.82664597529674	634.6548528380598	-179.82664597529674	-158.6637132095149	-158.6637132095149	807.440571207683	-1000.0	844.4465622808771	602.480190402561	-443.8164771930461	-5.319874458369782	639.9747272964297	21.162932765781846	21.162932765781846	443.8164771930461	21.162932765781846	21.162932765781846	-21.162932765781846	602.480190402561	1000.0	602.480190402561	-21.162932765781846	-158.6637132095149	192.55942879231702	-21.162932765781846	443.8164771930461	95.17491491216936	42.32586553156369	-317.32742641902973	317.3274264190299	-37.00599107319391	42.32586553156369	-5.319874458369782	-42.32586553156369	37.00599107319391	-602.480190402561	317.32742641902973	-158.6637132095149	1000.0	-1000.0	-95.17491491216936	-21.162932765781846	158.6637132095149	-317.3274264190299	-21.162932765781846	-807.440571207683	179.82664597529674	-21.162932765781846	-21.162932765781846	8.39	158.6637132095149	-844.4465622808771	844.4465622808771	5.319874458369782	21.162932765781846	-42.32586553156369	21.162932765781846	602.4801904025611
4	9.875115866610216	726.5974011487746	165.85502952933223	202.38122897836016	-36.52619944902794	36.52619944902794	36.52619944902794	36.52619944902794	-36.52619944902794	73.05239889805588	73.05239889805588	1000.0	631.8992117109046	-165.85502952933223	165.85502952933223	-202.38122897836016	663.420118117329	-202.38122897836016	-165.85502952933223	-165.85502952933223	895.6976351327137	-1000.0	905.5727509993242	631.8992117109046	-466.0441821815724	-63.17728303144567	726.5974011487746	36.52619944902794	36.52619944902794	466.0441821815724	36.52619944902794	36.52619944902794	-36.52619944902794	631.8992117109046	1000.0	631.8992117109046	-36.52619944902794	-165.85502952933223	104.30236486728631	-36.52619944902794	466.0441821815724	56.2764311822484	73.05239889805586	-331.71005905866446	331.7100590586645	-9.875115866610216	73.05239889805588	-63.17728303144567	-73.05239889805586	9.875115866610216	-631.8992117109046	331.71005905866446	-165.85502952933223	1000.0	-1000.0	-56.2764311822484	-36.52619944902794	165.85502952933223	-331.7100590586645	-36.52619944902794	-895.6976351327137	202.38122897836016	-36.52619944902794	-36.52619944902794	8.39	165.85502952933223	-905.5727509993242	905.5727509993242	63.17728303144567	36.52619944902794	-73.05239889805588	36.52619944902794	631.8992117109044
5	0.0	700.79361750519	155.73191500115334	194.66489375144167	-38.932978750288335	38.932978750288335	38.932978750288335	38.932978750288335	-38.932978750288335	77.86595750057667	77.86595750057667	911.8774120913106	606.5087591699345	-155.73191500115334	155.73191500115334	-194.66489375144167	622.9276600046134	-194.66489375144167	-155.73191500115337	-155.73191500115337	907.6488654184928	-1000.0	819.5262775098033	606.5087591699345	-450.7768441687811	-77.86595750057667	700.79361750519	38.932978750288335	38.932978750288335	450.7768441687811	38.932978750288335	38.932978750288335	-38.932978750288335	606.5087591699345	1000.0	606.5087591699345	-38.932978750288335	-155.73191500115337	92.35113458150715	-38.932978750288335	450.7768441687811	38.932978750288356	77.86595750057663	-311.4638300023066	311.4638300023067	0.0	77.86595750057667	-77.86595750057667	-77.86595750057663	0.0	-606.5087591699345	311.4638300023066	-155.73191500115334	1000.0	-1000.0	-38.932978750288356	-38.932978750288335	155.73191500115337	-311.4638300023067	-38.932978750288335	-819.5262775098034	194.66489375144167	-38.932978750288335	-38.932978750288335	8.39	155.73191500115337	-819.5262775098033	819.5262775098033	77.86595750057667	38.932978750288335	-77.86595750057667	38.932978750288335	606.5087591699347
6	0.0	741.4655811553545	164.77012914563426	205.96266143204286	-41.192532286408614	41.192532286408614	41.192532286408614	41.192532286408614	-41.192532286408614	82.38506457281723	82.38506457281723	1000.0	606.5087591699344	-164.77012914563426	164.77012914563426	-205.96266143204286	659.0805165825371	-205.96266143204286	-164.7701291456342	-164.7701291456342	819.5262775098033	-846.3503595438236	973.1759179659798	606.5087591699344	-441.73863002430016	-82.38506457281723	741.4655811553545	41.192532286408614	41.192532286408614	441.73863002430016	41.192532286408614	41.192532286408614	-41.192532286408614	606.5087591699344	846.3503595438236	606.5087591699344	-41.192532286408614	-164.7701291456342	26.824082034020307	-41.192532286408614	441.73863002430016	41.19253228640835	82.38506457281727	-329.5402582912684	329.5402582912686	0.0	82.38506457281723	-82.38506457281723	-82.38506457281727	0.0	-606.5087591699344	329.5402582912684	-164.77012914563426	846.3503595438236	-846.3503595438236	-41.19253228640835	-41.192532286408614	164.7701291456342	-329.5402582912686	-41.192532286408614	-973.1759179659797	205.96266143204286	-41.192532286408614	-41.192532286408614	8.39	164.7701291456342	-973.1759179659798	973.1759179659798	82.38506457281723	41.192532286408614	-82.38506457281723	41.192532286408614	606.5087591699346
7	0.0	752.5875838173049	167.24168529273442	209.05210661591804	-41.81042132318361	41.81042132318361	41.81042132318361	41.81042132318361	-41.81042132318361	83.62084264636722	83.62084264636722	1000.0	630.6064316041609	-167.24168529273442	167.24168529273442	-209.05210661591804	668.9667411709378	-209.05210661591804	-167.24168529273442	-167.24168529273442	891.8192948124827	-948.9199396484797	942.899355164003	630.6064316041609	-463.3647463114265	-83.62084264636722	752.5875838173049	41.81042132318361	41.81042132318361	463.3647463114265	41.81042132318361	41.81042132318361	-41.81042132318361	630.6064316041609	948.9199396484797	630.6064316041609	-41.81042132318361	-167.24168529273442	57.10064483599706	-41.81042132318361	463.3647463114265	41.81042132318359	83.62084264636724	-334.48337058546883	334.4833705854689	0.0	83.62084264636722	-83.62084264636722	-83.62084264636724	0.0	-630.6064316041609	334.48337058546883	-167.24168529273442	948.9199396484797	-948.9199396484797	-41.81042132318359	-41.81042132318361	167.24168529273442	-334.4833705854689	-41.81042132318361	-942.8993551640029	209.05210661591804	-41.81042132318361	-41.81042132318361	8.39	167.24168529273442	-942.899355164003	942.899355164003	83.62084264636722	41.81042132318361	-83.62084264636722	41.81042132318361	630.6064316041611
8	0.0	739.0663913713144	164.2369758602921	205.2962198253651	-41.059243965073016	41.059243965073016	41.059243965073016	41.059243965073016	-41.059243965073016	82.11848793014603	82.11848793014603	970.704083033687	630.6064316041609	-164.2369758602921	164.2369758602921	-205.2962198253651	656.9479034411683	-205.2962198253651	-164.2369758602921	-164.2369758602921	921.1152117787958	-1000.0	891.8192948124827	630.6064316041609	-466.3694557438688	-82.11848793014603	739.0663913713144	41.059243965073016	41.059243965073016	466.3694557438688	41.059243965073016	41.059243965073016	-41.059243965073016	630.6064316041609	1000.0	630.6064316041609	-41.059243965073016	-164.2369758602921	78.88478822120419	-41.059243965073016	466.3694557438688	41.05924396507305	82.11848793014605	-328.4739517205842	328.4739517205841	0.0	82.11848793014603	-82.11848793014603	-82.11848793014605	0.0	-630.6064316041609	328.4739517205842	-164.2369758602921	1000.0	-1000.0	-41.05924396507305	-41.059243965073016	164.2369758602921	-328.4739517205841	-41.059243965073016	-891.8192948124828	205.2962198253651	-41.059243965073016	-41.059243965073016	8.39	164.2369758602921	-891.8192948124827	891.8192948124827	82.11848793014603	41.059243965073016	-82.11848793014603	41.059243965073016	630.6064316041602
9	28.88071728774821	665.916866490924	160.8174002369823	186.58139165235374	-25.76399141537143	25.76399141537143	25.76399141537143	25.76399141537143	-25.76399141537143	51.52798283074286	51.52798283074286	1000.0	611.2907282422007	-160.8174002369823	160.8174002369823	-186.58139165235374	643.2696009479293	-186.58139165235374	-160.81740023698254	-160.81740023698254	833.8721847266019	-1000.0	862.7529020143502	611.2907282422007	-450.4733280052182	-22.647265542994646	665.916866490924	25.76399141537143	25.76399141537143	450.4733280052182	25.76399141537143	25.76399141537143	-25.76399141537143	611.2907282422007	1000.0	611.2907282422007	-25.76399141537143	-160.81740023698254	166.12781527339814	-25.76399141537143	450.4733280052182	83.52542599086826	51.527982830742616	-321.6348004739648	321.6348004739647	-28.88071728774821	51.52798283074286	-22.647265542994646	-51.527982830742616	28.88071728774821	-611.2907282422007	321.6348004739648	-160.8174002369823	1000.0	-1000.0	-83.52542599086826	-25.76399141537143	160.81740023698254	-321.6348004739647	-25.76399141537143	-833.8721847266019	186.58139165235374	-25.76399141537143	-25.76399141537143	8.39	160.81740023698254	-862.7529020143502	862.7529020143502	22.647265542994646	25.76399141537143	-51.52798283074286	25.76399141537143	611.2907282422005
10	14.842378306760578	710.7380692615477	164.5384057500153	198.25181803413884	-33.71341228412353	33.71341228412353	33.71341228412353	33.71341228412353	-33.71341228412353	67.42682456824706	67.42682456824706	1000.0	626.5130235227898	-164.5384057500153	164.5384057500153	-198.25181803413884	658.1536230000611	-198.25181803413884	-164.53840575001527	-164.53840575001527	879.5390705683694	-1000.0	894.3814488751298	626.5130235227898	-461.97461777277454	-52.58444626148648	710.7380692615477	33.71341228412353	33.71341228412353	461.97461777277454	33.71341228412353	33.71341228412353	-33.71341228412353	626.5130235227898	1000.0	626.5130235227898	-33.71341228412353	-164.53840575001527	120.46092943163057	-33.71341228412353	461.97461777277454	63.398168897644695	67.4268245682471	-329.07681150003054	329.07681150003054	-14.842378306760578	67.42682456824706	-52.58444626148648	-67.4268245682471	14.842378306760578	-626.5130235227898	329.07681150003054	-164.5384057500153	1000.0	-1000.0	-63.398168897644695	-33.71341228412353	164.53840575001527	-329.07681150003054	-33.71341228412353	-879.5390705683694	198.25181803413884	-33.71341228412353	-33.71341228412353	8.39	164.53840575001527	-894.3814488751298	894.3814488751298	52.58444626148648	33.71341228412353	-67.42682456824706	33.71341228412353	626.5130235227898
11	5.589276440981621	673.3610074485917	152.11990229567897	187.35523964910786	-35.235337353428896	35.235337353428896	35.235337353428896	35.235337353428896	-35.235337353428896	70.47067470685779	70.47067470685779	897.1413310202453	594.4116310240963	-152.11990229567897	152.11990229567897	-187.35523964910786	608.4796091827155	-187.35523964910786	-152.11990229567897	-152.11990229567897	886.0935620520437	-1000.0	788.8241695132706	594.4116310240963	-442.29172872841735	-64.88139826587617	673.3610074485917	35.235337353428896	35.235337353428896	442.29172872841735	35.235337353428896	35.235337353428896	-35.235337353428896	594.4116310240963	1000.0	594.4116310240963	-35.235337353428896	-152.11990229567897	113.9064379479563	-35.235337353428896	442.29172872841735	46.41389023539227	70.47067470685778	-304.23980459135794	304.23980459135777	-5.589276440981621	70.47067470685779	-64.88139826587617	-70.47067470685778	5.589276440981621	-594.4116310240963	304.23980459135794	-152.11990229567897	1000.0	-1000.0	-46.41389023539227	-35.235337353428896	152.11990229567897	-304.23980459135777	-35.235337353428896	-783.234893072289	187.35523964910786	-35.235337353428896	-35.235337353428896	8.39	152.11990229567897	-788.8241695132706	788.8241695132706	64.88139826587617	35.235337353428896	-70.47067470685779	35.235337353428896	594.4116310240963
