opt_fraction	R_value	p_value
0.1	0.15667351397177995	0.002686234788763507
0.2	0.10526433748728777	0.04564711524198172
0.3	0.13145011323274117	0.010113676117613844
0.4	0.13867415850139286	0.006635449977900541
0.5	0.11828010385710684	0.018997400702842736
0.6	0.11972700508838413	0.015157625024023073
0.7	0.09279017380015432	0.05566223617564347
0.8	0.06811916242081416	0.15851737024448792
0.9	0.0850750176908381	0.0726715447894802
0.05	0.15680726800165898	0.002663431547992621
0.125	0.15302071555059835	0.003426205897131491
0.087	0.15467107087224533	0.0030902974242351658
0.075	0.15724261785992957	0.0025904249828227464
0.15	0.15658424579950944	0.0027015525051587498
0.113	0.1580600904325041	0.0024582410442563246
