	rJB00264	rxn00781	rxn08094	rxn10158	rxn05312	rxn05318	rJB00240	rJB00238	rJB00267	rxn00285	rxn05307	rxn00165	rxn37440	rxn01639	rxn05158	rxn00615	rxn00148	rxn05229	rxn10042	rxn01100	rxn00250	rxn00134	rxn05559	rxn05298	rxn00374	rxn05581	rxn00459	rxn00251	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn10053	rxn05297	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00581_e	ATPM	rxn00182	EX_cpd00047_e	DM_cpd00002_c
0	352.389843571428	176.194921785714	88.097460892857	364.2966752678554	1000.0	429.75275	-364.2966752678554	-88.097460892857	528.584765357142	-88.097460892857	-176.194921785714	-176.194921785714	176.194921785714	88.097460892857	289.25825000000003	-364.276601964287	429.75275	-253.557828214286	352.389843571428	-176.194921785714	253.557828214286	429.75275	-88.097460892857	452.3941361607124	88.097460892857	364.276601964287	176.194921785714	253.557828214286	-176.194921785714	88.097460892857	88.097460892857	-88.097460892857	-176.194921785714	251.21327375000095	253.557828214286	-452.3941361607124	-88.097460892857	-748.7867262499989	264.292382678571	-429.75275	88.097460892857	364.276601964287	-540.471523750001	-572.5918044642849	748.7867262499989	176.194921785714	-264.292382678571	-748.786726249999	88.097460892857	-88.097460892857	8.39	88.097460892857	88.097460892857	429.75275000000005
1	292.4650761428578	146.23253807142885	73.11626903571448	192.01296891071615	645.3398667499988	429.75275	-192.01296891071615	-73.11626903571448	438.69761421428666	-73.11626903571448	-146.23253807142896	-146.23253807142896	146.23253807142885	73.11626903571448	643.9183832500012	-853.7674619285712	429.75275	-283.52021192857114	292.4650761428578	-146.23253807142885	283.52021192857114	429.75275	-73.11626903571448	265.12923794643064	73.11626903571448	853.7674619285712	146.23253807142885	283.52021192857114	-146.23253807142885	73.11626903571448	73.11626903571448	-73.11626903571448	-146.23253807142885	356.08161674999883	283.52021192857114	-265.12923794643064	-73.11626903571448	-289.25824999999975	219.34880710714333	-429.75275	73.11626903571448	853.7674619285712	-1000.0	-143.025711928571	289.25824999999975	146.23253807142896	-219.34880710714333	-289.25825	73.11626903571448	-73.11626903571448	8.39	73.11626903571448	73.11626903571448	429.75275000000005
2	352.3898435714283	176.1949217857141	88.09746089285709	226.43813239285578	1000.0	521.6584452499999	-226.43813239285578	-88.09746089285709	528.5847653571424	-88.09746089285709	-176.19492178571417	-176.19492178571417	176.1949217857141	88.09746089285709	564.9753357499997	-823.8050782142859	521.6584452499999	-345.4635234642858	352.3898435714283	-176.1949217857141	345.4635234642858	521.6584452499999	-88.09746089285709	314.5355932857129	88.09746089285709	823.8050782142859	176.1949217857141	345.4635234642858	-176.1949217857141	88.09746089285709	88.09746089285709	-88.09746089285709	-176.1949217857141	435.02466425000034	345.4635234642858	-314.5355932857129	-88.09746089285709	-564.9753357499997	264.2923826785712	-521.6584452499999	88.09746089285709	823.8050782142859	-1000.0	-388.7804139642843	564.9753357499997	176.19492178571417	-264.2923826785712	-564.9753357499997	88.09746089285709	-88.09746089285709	8.39	88.09746089285709	88.09746089285709	521.6584452499999
3	226.76024983207455	113.38012491603726	56.69006245801865	0.0	1000.0	431.82714551147626	0.0	-56.69006245801865	340.1403747481118	-56.69006245801865	-113.3801249160373	-113.3801249160373	113.38012491603726	56.69006245801865	295.4814365344285	-657.3151654352131	431.82714551147626	-318.44702059543897	226.76024983207455	-113.38012491603726	318.44702059543897	431.82714551147626	-56.69006245801865	56.69006245801865	56.69006245801865	657.3151654352131	113.38012491603726	318.44702059543897	-113.38012491603726	56.69006245801865	56.69006245801865	-56.69006245801865	-113.38012491603726	475.2138538168219	318.44702059543897	-56.69006245801865	-56.69006245801865	-524.786146183178	170.0701873740559	-431.82714551147626	56.69006245801865	657.3151654352131	-770.6952903512504	-411.40602126714083	524.786146183178	113.3801249160373	-170.0701873740559	-524.7861461831781	56.69006245801865	-56.69006245801865	8.39	56.69006245801865	56.69006245801865	431.82714551147603
4	394.40615613814384	197.20307806907192	98.60153903453597	485.0935738971633	466.9429767582482	429.75275	-485.0935738971633	-98.60153903453597	591.6092342072158	-98.60153903453597	-197.20307806907195	-197.20307806907195	197.20307806907192	98.60153903453597	822.3152732417518	-802.7969219309281	429.75275	-232.54967193092807	394.40615613814384	-197.20307806907192	232.54967193092807	429.75275	-98.60153903453597	583.6951129316993	98.60153903453597	802.7969219309281	197.20307806907192	232.54967193092807	-197.20307806907192	98.60153903453597	98.60153903453597	-98.60153903453597	-197.20307806907192	177.6847267582482	232.54967193092807	-583.6951129316993	-98.60153903453596	-289.25824999999986	295.8046171036079	-429.75275	98.60153903453596	802.7969219309281	-1000.0	-92.05517193092737	289.25824999999986	197.20307806907195	-295.8046171036079	-289.25825000000003	98.60153903453597	-98.60153903453597	8.39	98.60153903453597	98.60153903453597	429.75275000000005
5	483.94628162928586	241.97314081464293	120.98657040732147	535.5957618288213	1000.0	567.70319857025	-535.5957618288213	-120.98657040732147	725.9194224439289	-120.98657040732147	-241.97314081464293	-241.97314081464293	241.97314081464293	120.98657040732147	703.1095957107502	-758.0268591853571	567.70319857025	-325.7300577556071	483.94628162928586	-241.97314081464293	325.7300577556071	567.70319857025	-120.98657040732147	656.5823322361427	120.98657040732147	758.0268591853571	241.97314081464293	325.7300577556071	-241.97314081464293	120.98657040732147	120.98657040732147	-120.98657040732147	-241.97314081464293	296.8904042892498	325.7300577556071	-656.5823322361427	-120.98657040732147	-703.1095957107502	362.9597112219644	-567.70319857025	120.98657040732147	758.0268591853571	-1000.0	-461.13645489610644	703.1095957107502	241.97314081464293	-362.9597112219644	-703.1095957107502	120.98657040732147	-120.98657040732147	8.39	120.98657040732147	120.98657040732147	567.7031985702502
6	233.4405864053084	116.72029320265422	58.360146601327116	0.0	823.0245935082494	444.6311239435078	0.0	-58.360146601327116	350.1608796079626	-58.360146601327116	-116.72029320265423	-116.72029320265423	116.72029320265422	58.360146601327116	510.8687783222741	-883.2797067973457	444.6311239435078	-327.9108307408536	233.4405864053084	-116.72029320265422	327.9108307408536	444.6311239435078	-58.360146601327116	58.360146601327116	58.360146601327116	883.2797067973457	116.72029320265422	327.9108307408536	-116.72029320265422	58.360146601327116	58.360146601327116	-58.360146601327116	-116.72029320265422	489.1312216777259	327.9108307408536	-58.360146601327116	-58.360146601327116	-333.8933718305233	175.0804398039813	-444.6311239435078	58.360146601327116	883.2797067973457	-1000.0	-217.17307862786927	333.8933718305233	116.72029320265423	-175.0804398039813	-333.8933718305235	58.360146601327116	-58.360146601327116	8.39	58.360146601327116	58.360146601327116	444.6311239435077
7	253.57485839203144	126.78742919601572	63.39371459800786	0.0	1000.0	483.22181191806015	0.0	-63.39371459800786	380.36228758804714	-63.39371459800786	-126.78742919601572	-126.78742919601572	126.78742919601572	63.39371459800786	449.6654357541807	-853.9556282082306	483.22181191806015	-356.43438272204446	253.57485839203144	-126.78742919601572	356.43438272204446	483.22181191806015	-63.39371459800786	63.39371459800786	63.39371459800786	853.9556282082306	126.78742919601572	356.43438272204446	-126.78742919601572	63.39371459800786	63.39371459800786	-63.39371459800786	-126.78742919601572	531.0776216500656	356.43438272204446	-63.39371459800786	-63.39371459800786	-468.9223783499345	190.18114379402357	-483.22181191806015	63.39371459800786	853.9556282082306	-980.7430574042462	-342.13494915391874	468.9223783499345	126.78742919601572	-190.18114379402357	-468.92237834993443	63.39371459800786	-63.39371459800786	8.39	63.39371459800786	63.39371459800786	483.22181191806027
8	427.5348550248414	213.7674275124207	106.88371375621035	580.3385831964189	1000.0	429.75275000000005	-580.3385831964189	-106.88371375621035	641.3022825372622	-106.88371375621035	-213.7674275124207	-213.7674275124207	213.7674275124207	106.88371375621035	289.2582500000001	-195.20032619410702	429.75275000000005	-215.98532248757934	427.5348550248414	-213.7674275124207	215.98532248757934	429.75275000000005	-106.88371375621035	687.2222969526292	106.88371375621035	195.20032619410702	213.7674275124207	215.98532248757934	-213.7674275124207	106.88371375621035	106.88371375621035	-106.88371375621035	-213.7674275124207	119.70950370652764	215.98532248757934	-687.2222969526292	-106.88371375621035	-880.2904962934726	320.6511412686311	-429.75275000000005	106.88371375621035	195.20032619410702	-408.96775370652773	-666.5230687810515	880.2904962934726	213.7674275124207	-320.6511412686311	-880.2904962934724	106.88371375621035	-106.88371375621035	8.39	106.88371375621035	106.88371375621035	429.75275000000005
9	286.48006810444184	143.2400340522209	71.62001702611047	174.8060708002704	1000.0	429.75275000000005	-174.8060708002704	-71.62001702611047	429.72010215666273	-71.62001702611047	-143.24003405222095	-143.24003405222095	143.2400340522209	71.62001702611047	289.25825000000015	-512.5735967650062	429.75275000000005	-286.51271594777916	286.48006810444184	-143.2400340522209	286.51271594777916	429.75275000000005	-71.62001702611047	246.42608782638086	71.62001702611047	512.5735967650062	143.2400340522209	286.51271594777916	-143.2400340522209	71.62001702611047	71.62001702611047	-71.62001702611047	-143.2400340522209	366.5553808172269	286.51271594777916	-246.42608782638086	-71.62001702611047	-633.4446191827731	214.86005107833137	-429.75275000000005	71.62001702611047	512.5735967650062	-655.813630817227	-490.2045851305527	633.4446191827731	143.24003405222095	-214.86005107833137	-633.4446191827731	71.62001702611047	-71.62001702611047	8.39	71.62001702611047	71.62001702611047	429.75275000000005
