reaction	linear_coefficient
rxn02285	[np.float64(0.3925361041309511)]
rxn00077	[0.3353799240257726]
rxn01268	[0.7695983736622678]
rxn13705	[0.016362287558143514]
rxn09896	[0.2927129561854519]
rxn01045	[0.2927129561854519]
rxn00935	[np.float64(0.3925361041309511)]
rxn00638	[np.float64(0.3925361041309511)]
rxn00763	[0.6202639862211452]
rxn03958	[0.7459674376276286]
rxn13906	[0.5657815503635049]
rxn01302	[0.7883061980230239]
rxn00834	[np.float64(0.3925361041309511)]
rxn05293	[np.float64(0.3925361041309511)]
rxn07967	[0.5638123056939515]
rxn00105	[0.6832798156468497]
rxn02373	[np.float64(0.3925361041309511)]
rxn02474	[0.5989305023009848]
rxn03055	[0.5634840982490259]
rxn09953	[0.20902005772943805]
rxn02112	[0.7748496927810765]
rxn02632	[0.7748496927810765]
rxn01686	[0.7748496927810765]
rxn13787	[0.020628984342175586]
rxn13896	[0.020628984342175586]
rxn01790	[0.5359146728752802]
rxn00859	[0.11416810614595573]
rxn08352	[0.5989305023009848]
rxn08756	[0.5989305023009848]
rxn00122	[0.3573698228357841]
rxn00184	[0.5989305023009848]
rxn01011	[0.6209204011109962]
rxn06591	[0.25037419579005665]
rxn02186	[0.6868900975410307]
rxn08764	[0.6868900975410307]
rxn02929	[0.6829516082019241]
rxn00190	[0.5221299601884074]
rxn00138	[0.5221299601884074]
rxn08977	[np.float64(0.3925361041309511)]
rxn36840	[0.3255337006780063]
rxn02003	[0.24873315856542894]
rxn08291	[np.float64(0.3925361041309511)]
rxn13795	[0.03113162257979301]
rxn13788	[0.7551572460855439]
rxn00429	[0.5359146728752802]
rxn02440	[1.0]
rxn00868	[0.4190728224817865]
rxn10074	[0.4190728224817865]
rxn01729	[0.4190728224817865]
rxn01068	[0.4190728224817865]
rxn01314	[0.4190728224817865]
rxn05570	[0.20672260561495925]
rxn05159	[0.20672260561495925]
rxn05180	[0.20672260561495925]
rxn10073	[0.20672260561495925]
rxn08087	[0.35835444517056075]
rxn08086	[0.35835444517056075]
rxn08089	[0.35835444517056075]
rxn08088	[0.35835444517056075]
rxn08085	[0.35835444517056075]
rxn08083	[0.35835444517056075]
rxn08084	[0.35835444517056075]
rxn10215	[0.35835444517056075]
rxn10218	[0.35835444517056075]
rxn10214	[0.35835444517056075]
rxn10219	[0.35835444517056075]
rxn10217	[0.35835444517056075]
rxn10216	[0.35835444517056075]
rxn10212	[0.35835444517056075]
rxn10211	[0.35835444517056075]
rxn10213	[0.35835444517056075]
rxn05175	[0.09152179244609318]
rxn03243	[0.533945428205727]
rxn03248	[0.533945428205727]
rxn06510	[0.533945428205727]
rxn02804	[0.533945428205727]
rxn02680	[0.533945428205727]
rxn05619	[np.float64(0.3925361041309511)]
rxn05163	[0.09152179244609318]
rxn10158	[0.11351169125610464]
rxn05603	[0.11351169125610464]
rxn05154	[0.12631178160820086]
rxn00727	[np.float64(0.3925361041309511)]
rxn05161	[0.2641589084769295]
rxn05168	[0.2641589084769295]
rxn05155	[0.38395462587475315]
rxn05201	[np.float64(0.3925361041309511)]
rxn02831	[0.05902925539846428]
rxn13885	[0.13648621240089276]
rxn05512	[0.03113162257979301]
rxn08669	[0.3288157751272618]
rxn05156	[0.12631178160820086]
rxn05164	[0.12631178160820086]
rxn13828	[np.float64(0.3925361041309511)]
rxn13829	[np.float64(0.3925361041309511)]
rxn05247	[0.05902925539846428]
rxn05248	[0.05902925539846428]
rxn05249	[0.05902925539846428]
rxn05250	[0.05902925539846428]
rxn05251	[0.05902925539846428]
rxn05252	[0.05902925539846428]
rxn09450	[0.05902925539846428]
rxn09449	[0.05902925539846428]
rxn09448	[0.05902925539846428]
rxn05736	[0.05902925539846428]
rxn00947	[0.05902925539846428]
rxn13892	[0.11416810614595573]
