opt_fraction	R_value	p_value
0.1	0.20336423000282927	0.36402569559280284
0.2	0.19817927177048	0.3766425907999671
0.3	0.2017129289194336	0.36801716595306666
0.4	0.16755629700255675	0.4560739061429413
0.5	0.1646333886364593	0.4528523513518945
0.6	-0.0846363107805705	0.5095667731752934
0.7	-0.09864492380264461	0.44179262036359546
0.8	-0.16011185591265079	0.20264434176720827
0.9	-0.1902797306911906	0.12299475260318148
0.05	0.19835334231064455	0.37621502273932517
0.125	0.20299614964680027	0.36491323658169994
0.087	0.24607175703429934	0.26964095787316683
0.075	0.2307392102537422	0.3015504647108474
0.15	0.2028128573749802	0.365355668387512
0.113	0.19817927177048	0.3766425907999671
