	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-275.48850000000004	542.5870000000001	180.86233333333337	275.48850000000004	-370.1146666666667	-275.48850000000004	180.86233333333337	180.86233333333337	180.86233333333337	-180.86233333333337	370.1146666666667	180.86233333333337	370.1146666666667	-172.47233333333338	-180.86233333333337	370.1146666666667	-370.1146666666667	-172.47233333333338	172.47233333333338	-172.47233333333338	8.39	180.86233333333337
1	-390.0704565000001	771.7509130000003	257.2503043333334	390.0704565000001	-522.8906086666668	-390.0704565000001	257.2503043333334	257.2503043333334	257.2503043333334	-257.2503043333334	522.8906086666668	257.2503043333334	522.8906086666668	-248.86030433333343	-257.2503043333334	522.8906086666668	-522.8906086666668	-248.86030433333343	248.86030433333343	-248.8603043333335	8.39	257.2503043333334
2	-161.8195435	315.24908700000003	105.08302900000001	161.8195435	-218.556058	-161.8195435	105.08302900000001	105.08302900000001	105.08302900000001	-105.08302900000001	218.556058	105.08302900000001	218.556058	-96.69302900000002	-105.08302900000001	218.556058	-218.556058	-96.69302900000002	96.69302900000002	-96.69302900000002	8.39	105.083029
3	-332.6648962935001	656.9397925870003	218.97993086233345	332.6648962935001	-446.3498617246669	-332.6648962935001	218.97993086233345	218.97993086233345	218.97993086233345	-218.97993086233345	446.3498617246669	218.97993086233345	446.3498617246669	-210.58993086233346	-218.97993086233345	446.3498617246669	-446.3498617246669	-210.58993086233357	210.58993086233346	-210.58993086233343	8.39	218.97993086233345
4	-447.2468527935001	886.1037055870001	295.3679018623334	447.2468527935001	-599.1258037246668	-447.2468527935001	295.3679018623334	295.3679018623334	295.3679018623334	-295.3679018623334	599.1258037246668	295.3679018623334	599.1258037246668	-286.9779018623334	-295.3679018623334	599.1258037246668	-599.1258037246668	-286.97790186233345	286.9779018623334	-286.9779018623334	8.39	295.3679018623334
5	-104.8713962935	201.352792587	67.11759752900001	104.8713962935	-142.62519505800003	-104.8713962935	67.11759752900001	67.11759752900001	67.11759752900001	-67.11759752900001	142.62519505800003	67.11759752900001	142.62519505800003	-58.72759752900001	-67.11759752900001	142.62519505800003	-142.62519505800003	-58.72759752899999	58.72759752900001	-58.72759752899998	8.39	67.11759752900002
6	-218.54035279350006	428.69070558700014	142.89690186233338	218.54035279350006	-294.18380372466675	-218.54035279350006	142.89690186233338	142.89690186233338	142.89690186233338	-142.89690186233338	294.18380372466675	142.89690186233338	294.18380372466675	-134.5069018623334	-142.89690186233338	294.18380372466675	-294.18380372466675	-134.50690186233328	134.5069018623334	-134.5069018623334	8.39	142.89690186233335
7	-361.3102708365437	714.2305416730874	238.07684722436244	361.3102708365437	-484.54369444872486	-361.3102708365437	238.07684722436244	238.07684722436244	238.07684722436244	-238.07684722436244	484.54369444872486	238.07684722436244	484.54369444872486	-229.68684722436245	-238.07684722436244	484.54369444872486	-484.54369444872486	-229.68684722436234	229.68684722436245	-229.68684722436245	8.39	238.07684722436244
8	-304.1338745430437	599.8777490860874	199.95924969536247	304.1338745430437	-408.30849939072493	-304.1338745430437	199.95924969536247	199.95924969536247	199.95924969536247	-199.95924969536247	408.30849939072493	199.95924969536247	408.30849939072493	-191.5692496953625	-199.95924969536247	408.30849939072493	-408.30849939072493	-191.5692496953625	191.5692496953625	-191.5692496953625	8.39	199.95924969536247
9	-418.71583104304364	829.0416620860872	276.3472206953624	418.71583104304364	-561.0844413907248	-418.71583104304364	276.3472206953624	276.3472206953624	276.3472206953624	-276.3472206953624	561.0844413907248	276.3472206953624	561.0844413907248	-267.9572206953624	-276.3472206953624	561.0844413907248	-561.0844413907248	-267.9572206953623	267.9572206953624	-267.95722069536237	8.39	276.3472206953624
