	rxn10125	rxn00779	rxn13726	rxn00371	rxn08094	rxn01045	rxn10158	rxn05312	rxn05318	rxn00256	rJB00240	rJB00238	rxn10113	rxn00285	rxn00974	rxn05307	rxn00165	rxn08556	rxn37440	rxn01639	rxn05158	rxn00615	rxn00148	rJB00271	rxn08103	rxn05229	rxn10042	rxn12788	rxn09566	rxn00250	rxn00134	rxn00290	rxn05484	rxn05559	rxn00191	rxn00374	rxn05581	rxn00459	rxn13889	rxn00251	rxn00014	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn10053	rxn00124	rxn01807	rxn05468	EX_cpd00142_e	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00331_e	EX_cpd00581_e	ATPM	rxn06043	rxn00904	EX_cpd00047_e	rxn00178	DM_cpd00002_c
0	-91.22702161567967	91.22702161567967	120.0496070708924	-95.9862868657212	62.404436160466965	62.404436160466965	-62.404436160466965	742.1313700921871	393.31363787628567	33.58185070525434	62.404436160466965	-62.404436160466965	211.27662868657208	-79.19536151309414	-33.58185070525434	-124.80887232093393	-124.80887232093393	91.22702161567967	0.0	62.404436160466965	437.8095435366698	-908.7729783843204	393.31363787628567	0.0	0.0	-268.50476555535164	120.0496070708924	33.58185070525434	0.0	268.50476555535164	393.31363787628567	-16.790925352627177	-16.790925352627177	-158.39072302618817	-62.404436160466965	62.404436160466965	908.7729783843204	91.22702161567967	-43.10038120533734	302.086616260606	0.0	-91.22702161567967	62.404436160466965	62.404436160466965	-62.404436160466965	-91.22702161567967	562.1904564633302	268.50476555535164	0.0	0.0	105.63831434328604	16.790925352627177	-393.31363787628567	908.7729783843204	-1000.0	124.80887232093393	-105.63831434328604	-179.94091362885695	62.404436160466965	-33.58185070525434	-62.404436160466965	8.39	43.10038120533734	-62.404436160466965	158.39072302618817	16.79092535262717	393.3136378762855
1	-108.67992174247632	108.67992174247632	139.14547686965386	-209.8408801078911	106.17360061678914	134.13283461827945	-106.17360061678914	1000.0	489.66969294521533	103.66727949110197	106.17360061678914	-106.17360061678914	191.90693060914958	-158.00724036234016	-103.66727949110197	-212.3472012335783	-212.3472012335783	52.76145373949571	55.91846800298062	106.17360061678914	469.009078835646	-891.3200782575236	489.66969294521533	55.91846800298062	-27.95923400149031	-277.32249171163704	195.0639448726345	103.66727949110197	27.95923400149031	277.32249171163704	489.66969294521533	-51.83363974555101	-51.83363974555101	-316.01448072468025	-106.17360061678914	106.17360061678914	891.3200782575236	108.67992174247632	-305.9891962219307	380.989771202739	55.91846800298062	-108.67992174247632	106.17360061678914	106.17360061678914	-106.17360061678914	-108.67992174247632	530.990921164354	277.32249171163704	-27.95923400149031	27.95923400149031	109.93308230531994	51.83363974555101	-489.66969294521533	891.3200782575236	-1000.0	212.3472012335783	-109.93308230531994	-469.00907883564605	106.17360061678914	-103.66727949110197	-106.17360061678914	8.39	305.9891962219307	-134.13283461827945	316.01448072468025	51.83363974555098	489.6696929452153
2	-85.81111826922165	85.81111826922165	62.62909316236896	-241.1683118590014	108.99314337607434	108.99314337607434	-108.99314337607434	1000.0	394.9443780982574	132.17516848292703	108.99314337607434	-108.99314337607434	148.44021143159063	-175.0807276175379	-132.17516848292703	-217.9862867521487	-217.9862867521487	85.81111826922165	0.0	108.99314337607434	184.8331342947723	-527.4157829592316	394.9443780982574	0.0	0.0	-176.95809134610872	62.62909316236896	132.17516848292703	0.0	176.95809134610872	394.9443780982574	-66.08758424146355	-66.08758424146355	-350.1614552350757	-108.99314337607434	108.99314337607434	527.4157829592316	85.81111826922165	-442.88955566248563	309.13325982903575	0.0	-85.81111826922165	108.99314337607434	108.99314337607434	-108.99314337607434	-85.81111826922165	428.3937669336809	176.95809134610872	0.0	0.0	74.22010571579531	66.08758424146355	-394.9443780982574	527.4157829592316	-613.2269012284532	217.9862867521487	-74.22010571579531	-571.6062330663191	108.99314337607434	-132.17516848292703	-108.99314337607434	8.39	442.88955566248563	-108.99314337607434	350.1614552350757	66.08758424146352	394.9443780982575
3	-88.99144280056811	88.99144280056811	95.82980380167278	-290.95496679867443	126.64880319974752	171.14452460003156	-126.64880319974752	1000.0	423.90945970219354	164.30616359892693	126.64880319974752	-126.64880319974752	95.82980380167278	-208.80188499921098	-164.30616359892693	-253.297606399495	-253.297606399495	0.0	88.99144280056811	126.64880319974752	271.72837910658063	-481.01656051002084	423.90945970219354	88.99144280056811	-44.495721400284054	-170.6118533026985	184.82124660224088	164.30616359892693	44.495721400284054	170.6118533026985	423.90945970219354	-82.15308179946346	-82.15308179946346	-417.60376999842197	-126.64880319974752	126.64880319974752	481.01656051002084	88.99144280056811	-568.2332115951397	334.91801690162544	88.99144280056811	-88.99144280056811	126.64880319974752	126.64880319974752	-126.64880319974752	-88.99144280056811	298.2796242040083	170.6118533026985	-44.495721400284054	44.495721400284054	70.16276260097843	82.15308179946346	-423.90945970219354	481.01656051002084	-570.008003310589	253.297606399495	-70.16276260097843	-701.7203757959917	126.64880319974752	-164.30616359892693	-126.64880319974752	8.39	568.2332115951397	-171.14452460003156	417.60376999842197	82.15308179946346	423.90945970219366
4	-98.28373752571997	98.28373752571997	117.33548556703079	-139.41223092750732	79.2319894844091	79.2319894844091	-79.2319894844091	871.3235536760013	429.9542781784177	60.180241443098225	79.2319894844091	-79.2319894844091	215.61922309275076	-109.32211020595827	-60.180241443098225	-158.4639789688182	-158.4639789688182	98.28373752571997	0.0	79.2319894844091	418.539280859252	-901.71626247428	429.9542781784177	0.0	0.0	-271.4902992095995	117.33548556703079	60.180241443098225	0.0	271.4902992095995	429.9542781784177	-30.09012072154917	-30.09012072154917	-218.64422041191642	-79.2319894844091	79.2319894844091	901.71626247428	98.28373752571997	-142.43722824667287	331.67054065269775	0.0	-98.28373752571997	79.2319894844091	79.2319894844091	-79.2319894844091	-98.28373752571997	581.460719140748	271.4902992095995	0.0	0.0	107.80961154637538	30.09012072154917	-429.9542781784177	901.71626247428	-1000.0	158.4639789688182	-107.80961154637538	-289.86283453525334	79.2319894844091	-60.180241443098225	-79.2319894844091	8.39	142.43722824667287	-79.2319894844091	218.64422041191642	30.090120721549113	429.95427817841755
5	-81.30666306168598	81.30666306168598	139.286010532657	-71.14333017897526	50.81666441355374	78.30601323639257	-50.81666441355374	559.6183752004964	352.419875923994	20.326665765421495	50.81666441355374	-50.81666441355374	165.61397594866537	-60.9799972962645	-20.326665765421495	-101.6333288271075	-101.6333288271075	26.327965416008357	54.97869764567763	50.81666441355374	497.6412525714856	-853.9929701177671	352.419875923994	54.97869764567763	-27.489348822838814	-250.7865470968865	194.26470817833462	20.326665765421495	27.489348822838814	250.7865470968865	352.419875923994	-10.163332882710762	-10.163332882710762	-121.959994592529	-50.81666441355374	50.81666441355374	853.9929701177671	81.30666306168598	0.0	271.113212862308	54.97869764567763	-81.30666306168598	50.81666441355374	50.81666441355374	-50.81666441355374	-81.30666306168598	437.6583806079675	250.7865470968865	-27.489348822838814	27.489348822838814	96.5516623857521	10.163332882710762	-352.419875923994	853.9929701177671	-935.2996331794532	101.6333288271075	-96.5516623857521	-121.95999459252891	50.81666441355374	-20.326665765421495	-50.81666441355374	8.39	0.0	-78.30601323639257	121.959994592529	10.163332882710748	352.41987592399397
6	-81.8389205983137	81.8389205983137	126.24570088527798	-71.60905552352433	51.14932537394601	64.86651043654258	-51.14932537394601	600.4691411366734	352.419875923994	20.45973014957835	51.14932537394601	-51.14932537394601	180.65025135839855	-61.37919044873519	-20.45973014957835	-102.29865074789203	-102.29865074789203	54.404550473120565	27.434370125193137	51.14932537394601	456.79048663530847	-852.662326276198	352.419875923994	27.434370125193137	-13.717185062596569	-250.12122517610194	153.68007101047112	20.45973014957835	13.717185062596569	250.12122517610194	352.419875923994	-10.229865074789174	-10.229865074789174	-122.75838089747035	-51.14932537394601	51.14932537394601	852.662326276198	81.8389205983137	0.0	270.5809553256803	27.434370125193137	-81.8389205983137	51.14932537394601	51.14932537394601	-51.14932537394601	-81.8389205983137	477.7107602392032	250.12122517610194	-13.717185062596569	13.717185062596569	97.18371821049756	10.229865074789174	-352.419875923994	852.662326276198	-934.5012468745117	102.29865074789203	-97.18371821049756	-122.7583808974702	51.14932537394601	-20.45973014957835	-51.14932537394601	8.39	0.0	-64.86651043654258	122.75838089747035	10.229865074789174	352.41987592399397
7	-74.69826791449515	74.69826791449515	36.54959396363041	-263.84255768158454	112.8469418653599	112.8469418653599	-112.8469418653599	978.6713895168066	352.419875923994	150.99561581622464	112.8469418653599	-112.8469418653599	111.24786187812555	-188.34474977347222	-150.99561581622464	-225.6938837307198	-225.6938837307198	74.69826791449515	0.0	112.8469418653599	78.58823825517509	-341.22976263534053	352.419875923994	0.0	0.0	-126.72599219327412	36.54959396363041	150.99561581622464	0.0	126.72599219327412	352.419875923994	-75.49780790811232	-75.49780790811232	-376.68949954694443	-112.8469418653599	112.8469418653599	341.22976263534053	74.69826791449515	-529.2841953504031	277.72160800949877	0.0	-74.69826791449515	112.8469418653599	112.8469418653599	-112.8469418653599	-74.69826791449515	337.3397922946606	126.72599219327412	0.0	0.0	55.623930939062774	75.49780790811232	-352.419875923994	341.22976263534053	-415.92803054983574	225.6938837307198	-55.623930939062774	-641.331597222146	112.8469418653599	-150.99561581622464	-112.8469418653599	8.39	529.2841953504031	-112.8469418653599	376.68949954694443	75.49780790811232	352.41987592399397
8	-79.94841135097175	79.94841135097175	89.05102832839601	-132.58897176967054	70.84579437354743	70.84579437354743	-70.84579437354743	747.6650783118382	352.419875923994	61.743177396123116	70.84579437354743	-70.84579437354743	168.99943967936775	-101.71738307160902	-61.743177396123116	-141.69158874709487	-141.69158874709487	79.94841135097175	0.0	70.84579437354743	309.59454946014375	-690.3643011610318	352.419875923994	0.0	0.0	-210.7282871768991	89.05102832839601	61.743177396123116	0.0	210.7282871768991	352.419875923994	-30.871588698061586	-30.871588698061586	-203.43476614321798	-70.84579437354743	70.84579437354743	690.3643011610318	79.94841135097175	-167.0242982335207	272.4714645730222	0.0	-79.94841135097175	70.84579437354743	70.84579437354743	-70.84579437354743	-79.94841135097175	460.71816305185985	210.7282871768991	0.0	0.0	84.49971983968388	30.871588698061586	-352.419875923994	690.3643011610318	-770.3127125120036	141.69158874709487	-84.49971983968388	-286.94691525997837	70.84579437354743	-61.743177396123116	-70.84579437354743	8.39	167.0242982335207	-70.84579437354743	203.43476614321798	30.871588698061558	352.41987592399397
9	-104.02261005301207	104.02261005301207	115.12822690268757	-174.7283695569972	92.9169932033364	92.9169932033364	-92.9169932033364	976.3890660987335	459.7522701470497	81.8113763536607	92.9169932033364	-92.9169932033364	219.15083695569965	-133.82268138016676	-81.8113763536607	-185.8339864066728	-185.8339864066728	104.02261005301207	0.0	92.9169932033364	402.8677443424157	-895.977389946988	459.7522701470497	0.0	0.0	-273.9182837403769	115.12822690268757	81.8113763536607	0.0	273.9182837403769	459.7522701470497	-40.90568817683035	-40.90568817683035	-267.64536276033357	-92.9169932033364	92.9169932033364	895.977389946988	104.02261005301207	-223.22289536163046	355.7296600940376	0.0	-104.02261005301207	92.9169932033364	92.9169932033364	-92.9169932033364	-104.02261005301207	597.1322556575843	273.9182837403769	0.0	0.0	109.57541847784982	40.90568817683035	-459.7522701470497	895.977389946988	-1000.0	185.8339864066728	-109.57541847784982	-379.2568104411491	92.9169932033364	-81.8113763536607	-92.9169932033364	8.39	223.22289536163046	-92.9169932033364	267.64536276033357	40.90568817683035	459.7522701470497
