reaction	linear_coefficient
rxn03253	[0.22454949094292376]
rxn02720	[0.22454949094292376]
rxn00946	[0.22454949094292376]
rxn02679	[0.22454949094292376]
rxn02803	[0.22454949094292376]
rxn03251	[0.14731116264058283]
rxn00872	[0.14731116264058283]
rxn01451	[0.16404148646058447]
rxn03242	[0.16404148646058447]
rxn03239	[0.16404148646058447]
rxn06777	[0.16404148646058447]
rxn03244	[0.16404148646058447]
rxn03249	[0.16404148646058447]
rxn03246	[0.16404148646058447]
rxn02122	[0.08373593212457657]
rxn01387	[0.5156571254109524]
rxn00616	[np.float64(0.3636057043547024)]
rxn00501	[0.2485296217515928]
rxn10125	[np.float64(0.3636057043547024)]
rxn01851	[0.5973568733986271]
rxn13812	[0.5014363501639509]
rxn01297	[0.2831056243129295]
rxn01522	[0.2831056243129295]
rxn00288	[0.17017593852791843]
rxn10126	[0.17017593852791843]
rJB00270	[0.17017593852791843]
rxn06493	[0.005382248900902213]
rxn13808	[0.008728313664902542]
rxn00623	[0.6283079724656301]
rxn00506	[0.08373593212457657]
rxn00779	[0.17686806805591906]
rxn13726	[0.020439540338903696]
rJB00264	[0.020439540338903696]
rxn10122	[0.020439540338903696]
rxn00604	[0.6037701641962945]
rxn10902	[0.6037701641962945]
rxn00671	[0.2485296217515928]
rxn01115	[0.6556341680382994]
rxn00338	[0.5014363501639509]
rxn00248	[0.5008786727032843]
rxn05353	[0.29174962495326373]
rxn05356	[0.29174962495326373]
rxn05355	[0.29174962495326373]
rxn05354	[0.29174962495326373]
rxn05357	[0.29174962495326373]
rxn05352	[0.29174962495326373]
rxn05351	[0.29174962495326373]
rxn05338	[0.610462293724295]
rxn00611	[0.6556341680382994]
rxn00612	[0.6556341680382994]
rxn05436	[0.7652177890593103]
rxn05448	[0.7652177890593103]
rxn05442	[0.7652177890593103]
rxn05437	[0.7652177890593103]
rxn05449	[0.7652177890593103]
rxn05443	[0.7652177890593103]
rxn05438	[0.7652177890593103]
rxn05450	[0.7652177890593103]
rxn05444	[0.7652177890593103]
rxn05433	[0.7652177890593103]
rxn05445	[0.7652177890593103]
rxn05439	[0.7652177890593103]
rxn05446	[0.7652177890593103]
rxn05434	[0.7652177890593103]
rxn05440	[0.7652177890593103]
rxn05435	[0.7652177890593103]
rxn05447	[0.7652177890593103]
rxn05441	[0.7652177890593103]
rxn05322	[0.7652177890593103]
rxn05327	[0.7652177890593103]
rxn05324	[0.7652177890593103]
rxn13838	[0.7652177890593103]
rxn05328	[0.7652177890593103]
rxn05326	[0.7652177890593103]
rxn13850	[0.7652177890593103]
rxn08396	[0.7652177890593103]
rxn05325	[0.7652177890593103]
rxn05323	[0.7652177890593103]
rxn05464	[0.7652177890593103]
rxn02866	[0.646711328667632]
rxn05339	[np.float64(0.3636057043547024)]
rxn05337	[np.float64(0.3636057043547024)]
rxn13844	[np.float64(0.3636057043547024)]
rxn05341	[np.float64(0.3636057043547024)]
rxn05336	[np.float64(0.3636057043547024)]
rxn05372	[np.float64(0.3636057043547024)]
rxn05422	[np.float64(0.3636057043547024)]
rxn05397	[np.float64(0.3636057043547024)]
rxn05376	[np.float64(0.3636057043547024)]
rxn05426	[np.float64(0.3636057043547024)]
rxn05401	[np.float64(0.3636057043547024)]
rxn05380	[np.float64(0.3636057043547024)]
rxn05430	[np.float64(0.3636057043547024)]
rxn05405	[np.float64(0.3636057043547024)]
rxn05461	[np.float64(0.3636057043547024)]
rxn07993	[np.float64(0.3636057043547024)]
rxn05340	[np.float64(0.3636057043547024)]
rxn05342	[np.float64(0.3636057043547024)]
rxn05360	[np.float64(0.3636057043547024)]
rxn05410	[np.float64(0.3636057043547024)]
rxn05385	[np.float64(0.3636057043547024)]
rxn05414	[np.float64(0.3636057043547024)]
rxn05364	[np.float64(0.3636057043547024)]
rxn05389	[np.float64(0.3636057043547024)]
rxn05368	[np.float64(0.3636057043547024)]
