	rJB00264	rxn08094	rxn05312	rxn05318	rJB00267	rxn00285	rxn13803	rxn05158	rxn00615	rxn13836	rxn00148	rJB00271	rxn05466	rxn05229	rxn05654	rxn10042	rxn09566	rxn00250	rxn00134	rxn05581	rxn00251	rxn00014	rxn10165	rxn10053	rxn05297	rxn00124	rxn01807	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	ATPM	rxn00182	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
0	740.1822222222212	345.0455555555553	1000.0	600.0000000000007	640.0000000000001	-345.0455555555553	-50.09111111111056	800.0000000000005	-822.9800000000031	977.0199999999974	600.0000000000002	100.18222222222111	-345.0455555555553	-600.0000000000007	-345.0455555555553	840.3644444444424	50.09111111111056	600.0000000000002	600.0000000000002	822.9800000000031	600.0000000000002	100.18222222222111	22.980000000002633	600.0000000000002	345.0455555555553	-50.09111111111056	50.09111111111056	-345.0455555555553	345.0455555555553	-600.0000000000002	345.0455555555553	822.9800000000031	-822.9800000000031	-345.0455555555553	345.0455555555553	-345.0455555555553	-977.0199999999974	345.0455555555553	8.39	395.13666666666586	-977.0199999999974	977.0199999999974	600.0
1	771.2311111111115	346.167777777778	900.200000000001	633.4000000000003	613.4400000000004	-346.167777777778	-78.89555555555557	1000.0	-1000.0	900.200000000001	633.4000000000003	157.79111111111115	-346.167777777778	-633.4000000000003	-346.167777777778	929.0222222222227	78.89555555555557	633.4000000000003	633.4000000000003	1000.0	633.4000000000003	157.79111111111115	0.0	633.4000000000003	346.167777777778	-78.89555555555557	78.89555555555557	-346.167777777778	346.167777777778	-633.4000000000003	346.167777777778	1000.0	-1000.0	-346.167777777778	346.167777777778	-346.167777777778	-900.200000000001	346.167777777778	8.39	425.06333333333356	-900.200000000001	900.200000000001	633.4000000000003
2	740.1822222222224	348.3855555555556	1000.0	633.4000000000001	653.3599999999999	-348.3855555555556	-43.41111111111127	900.2000000000003	-1000.0	900.2000000000003	633.4000000000001	86.82222222222254	-348.3855555555556	-633.4000000000001	-348.3855555555556	827.004444444445	43.41111111111127	633.4000000000001	633.4000000000001	1000.0	633.4000000000001	86.82222222222254	99.79999999999973	633.4000000000001	348.3855555555556	-43.41111111111127	43.41111111111127	-348.3855555555556	348.3855555555556	-633.4000000000001	348.3855555555556	1000.0	-1000.0	-348.3855555555556	348.3855555555556	-348.3855555555556	-900.2000000000003	348.3855555555556	8.39	391.79666666666685	-900.2000000000003	900.2000000000003	633.4000000000001
3	788.4450586666671	360.83349866666686	1000.0	637.2223400000006	654.8889360000001	-360.83349866666686	-66.77806133333354	911.6670200000016	-911.6670200000016	1000.0	637.2223400000006	133.55612266666708	-360.8334986666668	-637.2223400000006	-360.83349866666686	922.0011813333342	66.77806133333354	637.2223400000006	637.2223400000006	911.6670200000016	637.2223400000006	133.55612266666708	0.0	637.2223400000006	360.8334986666668	-66.77806133333354	66.77806133333354	-360.83349866666686	360.8334986666668	-637.2223400000006	360.83349866666686	911.6670200000016	-911.6670200000016	-360.8334986666668	360.8334986666668	-360.8334986666668	-1000.0	360.83349866666686	8.39	427.61156000000034	-1000.0	1000.0	637.2223400000004
4	700.765768888888	336.85810222222193	1000.0	616.6665999999997	646.6666399999998	-336.85810222222193	-27.049564444444087	849.9997999999989	-1000.0	849.9997999999988	616.6665999999997	54.099128888888174	-336.858102222222	-616.6665999999997	-336.85810222222193	754.8648977777762	27.049564444444087	616.6665999999997	616.6665999999997	1000.0	616.6665999999997	54.099128888888174	150.0002000000011	616.6665999999997	336.858102222222	-27.049564444444087	27.049564444444087	-336.85810222222193	336.85810222222193	-616.6665999999997	336.85810222222193	1000.0	-1000.0	-336.858102222222	336.858102222222	-336.85810222222193	-849.9997999999989	336.85810222222193	8.39	363.90766666666605	-849.9997999999988	849.9997999999988	616.6665999999994
5	708.1110488888883	322.04778222222217	850.2002000000014	600.0000000000007	580.0800800000004	-322.04778222222217	-64.01548444444393	949.7997999999983	-1000.0	800.0000000000002	600.0	128.03096888888786	-322.04778222222217	-600.0000000000007	-322.04778222222217	836.1420177777761	64.01548444444393	600.0	600.0	1000.0	600.0	128.03096888888786	50.2002000000017	600.0	322.04778222222217	-64.01548444444393	64.01548444444393	-322.04778222222217	322.04778222222217	-600.0	322.04778222222217	1000.0	-1000.0	-322.04778222222217	322.04778222222217	-322.04778222222217	-800.0000000000018	322.04778222222217	8.39	386.0632666666661	-800.0000000000019	800.0000000000002	600.0
6	677.0000622222221	324.26999555555557	950.1998000000004	600.0000000000007	620.0799200000004	-324.26999555555557	-28.460071111110892	849.8001999999997	-1000.0	799.9999999999999	600.0000000000001	56.920142222221784	-324.2699955555556	-600.0000000000007	-324.26999555555557	733.9202044444439	28.460071111110892	600.0000000000001	600.0000000000001	1000.0	600.0000000000001	56.920142222221784	150.19980000000032	600.0000000000001	324.2699955555556	-28.460071111110892	28.460071111110892	-324.26999555555557	324.2699955555556	-600.0000000000001	324.26999555555557	1000.0	-1000.0	-324.2699955555556	324.2699955555556	-324.2699955555556	-800.0000000000018	324.26999555555557	8.39	352.7300666666665	-800.0000000000019	799.9999999999999	600.0
7	720.4345791022212	340.10864477555526	1000.0	600.0000000000007	639.9999999999999	-340.10864477555526	-40.21728955111064	800.0	-867.4121970200023	932.5878029799977	600.0	80.43457910222128	-340.10864477555526	-600.0000000000007	-340.10864477555526	800.8691582044424	40.21728955111064	600.0	600.0	867.4121970200023	600.0	80.43457910222128	67.41219702000228	600.0	340.10864477555526	-40.21728955111064	40.21728955111064	-340.10864477555526	340.10864477555526	-600.0	340.10864477555526	867.4121970200023	-867.4121970200023	-340.10864477555526	340.10864477555526	-340.10864477555526	-932.5878029799977	340.10864477555526	8.39	380.3259343266659	-932.5878029799977	932.5878029799977	600.0
8	783.7954723268155	361.14037398237053	1000.0	651.915059006667	660.7660236026667	-361.14037398237053	-61.51472436207439	955.7451770200009	-1000.0	955.745177020001	651.915059006667	123.02944872414878	-361.14037398237053	-651.915059006667	-361.14037398237053	906.8249210509642	61.51472436207439	651.915059006667	651.915059006667	1000.0	651.915059006667	123.02944872414878	44.25482297999906	651.915059006667	361.14037398237053	-61.51472436207439	61.51472436207439	-361.14037398237053	361.14037398237053	-651.915059006667	361.14037398237053	1000.0	-1000.0	-361.14037398237053	361.14037398237053	-361.14037398237053	-955.7451770200009	361.14037398237053	8.39	422.6550983444449	-955.745177020001	955.745177020001	651.9150590066669
9	681.0969586755552	330.2742396688888	1000.0	600.0000000000007	640.0000000000002	-330.2742396688888	-20.548479337777508	800.0	-955.9218429800009	844.0781570199993	600.0	41.096958675555015	-330.27423966888887	-600.0000000000007	-330.2742396688888	722.1939173511103	20.548479337777508	600.0	600.0	955.9218429800009	600.0	41.096958675555015	155.92184298000086	600.0	330.27423966888887	-20.548479337777508	20.548479337777508	-330.2742396688888	330.27423966888887	-600.0	330.2742396688888	955.9218429800009	-955.9218429800009	-330.27423966888887	330.27423966888887	-330.27423966888887	-844.0781570199991	330.2742396688888	8.39	350.8227190066664	-844.0781570199993	844.0781570199993	600.0
