"","log2FC","p","condition","metab"
"(3'-5')-cytidylyladenosine",1.55620896417799,0.461,"24_0.1-0","(3'-5')-cytidylyladenosine"
"(3'-5')-cytidylyluridine*",1.12111932048359,0.775,"24_0.1-0","(3'-5')-cytidylyluridine*"
"1-carboxyethylisoleucine",-2.69303464610899,1.08e-06,"24_0.1-0","1-carboxyethylisoleucine"
"1-carboxyethylleucine",-1.12620348207639,2.18e-07,"24_0.1-0","1-carboxyethylleucine"
"1-carboxyethylphenylalanine",-3.21463070733846,3.27e-06,"24_0.1-0","1-carboxyethylphenylalanine"
"1-carboxyethyltyrosine",-0.441280008391648,0.049,"24_0.1-0","1-carboxyethyltyrosine"
"1-carboxyethylvaline",-1.98723398760294,0.000274,"24_0.1-0","1-carboxyethylvaline"
"1-methyl-beta-carboline-3-carboxylic acid",-0.282236385696381,0.815,"24_0.1-0","1-methyl-beta-carboline-3-carboxylic acid"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",1.73622577186797,0.417,"24_0.1-0","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"
"1,5-anhydroglucitol (1,5-AG)",-1.55445140854532,1.12e-05,"24_0.1-0","1,5-anhydroglucitol (1,5-AG)"
"10-undecenoate (11:1n1)",-0.663910680495984,0.000113,"24_0.1-0","10-undecenoate (11:1n1)"
"2'-deoxycytidine",-1.56685345836014,0.193,"24_0.1-0","2'-deoxycytidine"
"2'-deoxycytidine 5'-monophosphate",5.09441617722972,0.781,"24_0.1-0","2'-deoxycytidine 5'-monophosphate"
"2'-deoxyuridine",-0.372614555150733,0.575,"24_0.1-0","2'-deoxyuridine"
"2'-O-methyluridine",-4.12618423997675,1.66e-05,"24_0.1-0","2'-O-methyluridine"
"2-aminoadipate",-0.626323044261943,9.33e-05,"24_0.1-0","2-aminoadipate"
"2-heptyl-1H-quinolin-4-one (HHQ)",-3.47087837964287,0.004,"24_0.1-0","2-heptyl-1H-quinolin-4-one (HHQ)"
"2-hydroxy-3-methylvalerate",-0.411352641928799,0.00068,"24_0.1-0","2-hydroxy-3-methylvalerate"
"2-hydroxyphenylacetate",-6.97274035079917,0.206,"24_0.1-0","2-hydroxyphenylacetate"
"2-keto-3-deoxy-gluconate",-1.93936974944591,0.002,"24_0.1-0","2-keto-3-deoxy-gluconate"
"2-ketogluconate",1.83591904395222,0.002,"24_0.1-0","2-ketogluconate"
"2-methylcitrate/homocitrate",-2.02530959449583,0.006,"24_0.1-0","2-methylcitrate/homocitrate"
"2-methylserine",-3.406023515073,0.000294,"24_0.1-0","2-methylserine"
"2-oxoarginine*",0.127362568528397,0.000178,"24_0.1-0","2-oxoarginine*"
"2-piperidinone",-2.83749280975116,0.138,"24_0.1-0","2-piperidinone"
"2,4-diaminobutyrate",-2.08267015049476,5.87e-05,"24_0.1-0","2,4-diaminobutyrate"
"3-(4-hydroxyphenyl)lactate",-2.17018798263452,1.42e-08,"24_0.1-0","3-(4-hydroxyphenyl)lactate"
"3-ethylphenylsulfate",1.0261544203403,0.949,"24_0.1-0","3-ethylphenylsulfate"
"3-hydroxy-2-ethylpropionate",-1.69130799797963,5.24e-06,"24_0.1-0","3-hydroxy-2-ethylpropionate"
"3-hydroxy-3-methylglutarate",-0.0382078963407008,0.999,"24_0.1-0","3-hydroxy-3-methylglutarate"
"3-hydroxydecanoate",1.0618094416312,2.14e-10,"24_0.1-0","3-hydroxydecanoate"
"3-hydroxyhexanoate",0.446799487456967,0.000193,"24_0.1-0","3-hydroxyhexanoate"
"3-hydroxyisobutyrate",-3.60980597576182,5.73e-05,"24_0.1-0","3-hydroxyisobutyrate"
"3-hydroxylaurate",0.778562997358479,1.82e-06,"24_0.1-0","3-hydroxylaurate"
"3-methyl-2-oxobutyrate",1.26630936317434,2.31e-05,"24_0.1-0","3-methyl-2-oxobutyrate"
"3-methyl-2-oxovalerate",-1.24865671680398,1.33e-05,"24_0.1-0","3-methyl-2-oxovalerate"
"3-methylglutaconate",-3.25263330592096,7.37e-09,"24_0.1-0","3-methylglutaconate"
"3-methylhistidine",1.27160379035716,0.185,"24_0.1-0","3-methylhistidine"
"3-phosphoglycerate",-1.64336431513146,0.000824,"24_0.1-0","3-phosphoglycerate"
"3-phosphoserine",0.175765772935164,8.8e-05,"24_0.1-0","3-phosphoserine"
"3-sulfo-L-alanine",1.19443511192476,0.198,"24_0.1-0","3-sulfo-L-alanine"
"3-ureidopropionate",-2.28376583631429,0.000495,"24_0.1-0","3-ureidopropionate"
"3,4-dihydroxy-1,5-cyclohexadiene-1-carboxylic acid",-0.838764504384912,0.006,"24_0.1-0","3,4-dihydroxy-1,5-cyclohexadiene-1-carboxylic acid"
"4-acetamidobutanoate",-1.39602510840901,6.51e-06,"24_0.1-0","4-acetamidobutanoate"
"4-guanidinobutanoate",4.11732982436527,0.033,"24_0.1-0","4-guanidinobutanoate"
"4-hydroxybenzoate",-2.77995688601368,0.000383,"24_0.1-0","4-hydroxybenzoate"
"4-hydroxycinnamate",1.15511803277045,0.959,"24_0.1-0","4-hydroxycinnamate"
"4-hydroxyphenylacetate",-2.03424622487396,6.89e-05,"24_0.1-0","4-hydroxyphenylacetate"
"4-hydroxyphenylpyruvate",1.09178755656011,0.092,"24_0.1-0","4-hydroxyphenylpyruvate"
"4-imidazoleacetate",-5.73834989045679,4.85e-07,"24_0.1-0","4-imidazoleacetate"
"4-methyl-2-oxopentanoate",-1.23040011923063,5.06e-07,"24_0.1-0","4-methyl-2-oxopentanoate"
"5-(2-Hydroxyethyl)-4-methylthiazole",4.43027368822691,0.985,"24_0.1-0","5-(2-Hydroxyethyl)-4-methylthiazole"
"5-methylthioadenosine (MTA)",1.50240666391903,1.19e-08,"24_0.1-0","5-methylthioadenosine (MTA)"
"5-oxoproline",-2.70597619601075,0.014,"24_0.1-0","5-oxoproline"
"5,6-dihydrouridine",-1.73967923936467,4.74e-10,"24_0.1-0","5,6-dihydrouridine"
"6-hydroxynicotinate",0.0262935365822722,0.003,"24_0.1-0","6-hydroxynicotinate"
"6-oxopiperidine-2-carboxylate",1.08516652936362,0.009,"24_0.1-0","6-oxopiperidine-2-carboxylate"
"7-methylguanine",-4.04362191391656,0.169,"24_0.1-0","7-methylguanine"
"8-hydroxyguanine",-2.58334355580799,7.84e-05,"24_0.1-0","8-hydroxyguanine"
"aconitate [cis or trans]",-0.418245891369163,0.948,"24_0.1-0","aconitate [cis or trans]"
"adenosine 3'-monophosphate (3'-AMP)",-0.276396094697832,0.025,"24_0.1-0","adenosine 3'-monophosphate (3'-AMP)"
"adenosine 5'-monophosphate (AMP)",4.59868422072597,0.004,"24_0.1-0","adenosine 5'-monophosphate (AMP)"
"alanine",-0.38716393672534,1.81e-07,"24_0.1-0","alanine"
"alanyl-glutamyl-meso-diaminopimelate",2.68840855610628,0.002,"24_0.1-0","alanyl-glutamyl-meso-diaminopimelate"
"alanylleucine",0.200252126366114,2.16e-07,"24_0.1-0","alanylleucine"
"alpha-hydroxyisocaproate",0.252463352921894,0.002,"24_0.1-0","alpha-hydroxyisocaproate"
"alpha-hydroxyisovalerate",-4.25605737543015,0.554,"24_0.1-0","alpha-hydroxyisovalerate"
"alpha-ketoglutaramate*",0.561607043678215,0.007,"24_0.1-0","alpha-ketoglutaramate*"
"alpha-ketoglutarate",0.696331511898786,2.88e-10,"24_0.1-0","alpha-ketoglutarate"
"anthranilate",-4.33240341346172,0.13,"24_0.1-0","anthranilate"
"arabonate/xylonate",-2.5478471238061,0.006,"24_0.1-0","arabonate/xylonate"
"arginine",0.469062098809566,2.12e-08,"24_0.1-0","arginine"
"asparagine",-2.12439459560954,3.78e-05,"24_0.1-0","asparagine"
"aspartate",0.0912935915130488,1.25e-10,"24_0.1-0","aspartate"
"azelate (C9-DC)",-9.44085438652876,0.516,"24_0.1-0","azelate (C9-DC)"
"benzoate",-4.93646244665364,0.09,"24_0.1-0","benzoate"
"beta-guanidinopropanoate",0.169402355077012,0.923,"24_0.1-0","beta-guanidinopropanoate"
"cadaverine",-0.74979922288412,0.000413,"24_0.1-0","cadaverine"
"carnitine",0.699615843064217,0.328,"24_0.1-0","carnitine"
"catechol sulfate",1.81034410636511,0.228,"24_0.1-0","catechol sulfate"
"cholate",-0.012600262123439,0.057,"24_0.1-0","cholate"
"choline",-0.130967188974856,0.000101,"24_0.1-0","choline"
"choline phosphate",4.5948992716165,0.185,"24_0.1-0","choline phosphate"
"cis-urocanate",0.804711324096438,2.94e-07,"24_0.1-0","cis-urocanate"
"cyano-alanine",-1.99327042976865,1.03e-06,"24_0.1-0","cyano-alanine"
"cysteine-glutathione disulfide",-3.98436857675094,0.000128,"24_0.1-0","cysteine-glutathione disulfide"
"cysteine s-sulfate",-1.84931871603178,0.236,"24_0.1-0","cysteine s-sulfate"
"cysteinylglycine disulfide*",-0.855169332911723,0,"24_0.1-0","cysteinylglycine disulfide*"
"cytidine 2' or 3'-monophosphate (2' or 3'-CMP)",-0.387279413336788,0.838,"24_0.1-0","cytidine 2' or 3'-monophosphate (2' or 3'-CMP)"
"cytidine 2',3'-cyclic monophosphate",0.881662466135675,0.116,"24_0.1-0","cytidine 2',3'-cyclic monophosphate"
"cytidine 5'-monophosphate (5'-CMP)",2.73193751883105,0.024,"24_0.1-0","cytidine 5'-monophosphate (5'-CMP)"
"dihydroorotate",-1.43989085297775,0.007,"24_0.1-0","dihydroorotate"
"dimethylarginine (SDMA + ADMA)",-2.74170566076417,0.031,"24_0.1-0","dimethylarginine (SDMA + ADMA)"
"dimethylglycine",-2.31572830508281,0.024,"24_0.1-0","dimethylglycine"
"ectoine",-0.245750765450097,0.542,"24_0.1-0","ectoine"
"erucate (22:1n9)",0.915998921783449,0.912,"24_0.1-0","erucate (22:1n9)"
"erythritol",-2.06771824400924,3.55e-06,"24_0.1-0","erythritol"
"erythronate*",1.27157253246493,0.789,"24_0.1-0","erythronate*"
"flavin adenine dinucleotide (FAD)",-1.92989478686023,0.002,"24_0.1-0","flavin adenine dinucleotide (FAD)"
"fructose",1.79487701632945,0.608,"24_0.1-0","fructose"
"fumarate",0.450524770356562,0.807,"24_0.1-0","fumarate"
"gamma-glutamylglutamate",-0.785851537641255,0.706,"24_0.1-0","gamma-glutamylglutamate"
"gamma-glutamylglutamine",-3.92658899734165,2.62e-10,"24_0.1-0","gamma-glutamylglutamine"
"gamma-glutamylglycine",-3.23144960808734,3.72e-09,"24_0.1-0","gamma-glutamylglycine"
"gamma-glutamylisoleucine*",-2.13694552301622,4.82e-06,"24_0.1-0","gamma-glutamylisoleucine*"
"gamma-glutamylleucine",-1.20129253232069,3.19e-07,"24_0.1-0","gamma-glutamylleucine"
"gamma-glutamylmethionine",0.92799115002947,0.001,"24_0.1-0","gamma-glutamylmethionine"
"gamma-glutamylphenylalanine",-0.980647559260211,5.91e-05,"24_0.1-0","gamma-glutamylphenylalanine"
"gamma-glutamyltryptophan",-0.144287851119595,0.00038,"24_0.1-0","gamma-glutamyltryptophan"
"gamma-glutamyltyrosine",-0.718030670373742,8.94e-07,"24_0.1-0","gamma-glutamyltyrosine"
"gluconate",1.36713399007761,0.000139,"24_0.1-0","gluconate"
"glucose",-5.1289967794883,0.006,"24_0.1-0","glucose"
"glutamate",-0.210404134118684,3.1e-06,"24_0.1-0","glutamate"
"glutamine",-1.85736303915784,7.34e-06,"24_0.1-0","glutamine"
"glutaminylleucine",0.735412040781019,2.22e-07,"24_0.1-0","glutaminylleucine"
"glutarate (C5-DC)",-0.0289185281632064,0.000572,"24_0.1-0","glutarate (C5-DC)"
"glycerate",-0.638971157760142,0.009,"24_0.1-0","glycerate"
"glycerol 3-phosphate",2.57818470504183,0.000117,"24_0.1-0","glycerol 3-phosphate"
"glycerophosphoethanolamine",-2.02516112171311,0.029,"24_0.1-0","glycerophosphoethanolamine"
"glycerophosphoglycerol",1.05794466950506,0.224,"24_0.1-0","glycerophosphoglycerol"
"glycerophosphorylcholine (GPC)",-0.88594190873656,0.029,"24_0.1-0","glycerophosphorylcholine (GPC)"
"glycine",-2.67940389712269,1.72e-06,"24_0.1-0","glycine"
"glycylisoleucine",-0.408771863803525,1.33e-06,"24_0.1-0","glycylisoleucine"
"glycylleucine",-0.041474456049893,5.75e-07,"24_0.1-0","glycylleucine"
"glycylvaline",0.453208604607505,4.23e-12,"24_0.1-0","glycylvaline"
"guanosine 2'-monophosphate (2'-GMP)*",-2.65584162543401,0.015,"24_0.1-0","guanosine 2'-monophosphate (2'-GMP)*"
"guanosine 3'-monophosphate (3'-GMP)",-1.85242800523043,0.004,"24_0.1-0","guanosine 3'-monophosphate (3'-GMP)"
"gulonate*",-0.261051217580629,0.786,"24_0.1-0","gulonate*"
"harmane",-7.1337486010115,0.052,"24_0.1-0","harmane"
"hippurate",-2.24419909070897,0.003,"24_0.1-0","hippurate"
"histamine",-1.64712291856571,0.333,"24_0.1-0","histamine"
"histidine",-2.43604473407526,0.028,"24_0.1-0","histidine"
"histidylalanine",-0.74282928100194,4.36e-06,"24_0.1-0","histidylalanine"
"homoserine",-3.07411933988847,0.000468,"24_0.1-0","homoserine"
"indole-3-carboxylate",-2.63576753388053,0.114,"24_0.1-0","indole-3-carboxylate"
