"","log2FC","p","condition","metab"
"choline",2.72643955394329,5.94e-05,"untreated_24-0","choline"
"cis-urocanate",2.34083778210385,0.676,"untreated_24-0","cis-urocanate"
"citrate",1.54381245292643,0.022,"untreated_24-0","citrate"
"cyano-alanine",2.05724314957418,0.000332,"untreated_24-0","cyano-alanine"
"cysteine-glutathione disulfide",1.90879225419944,0.005,"untreated_24-0","cysteine-glutathione disulfide"
"cysteine s-sulfate",0.676797378952038,1.16e-05,"untreated_24-0","cysteine s-sulfate"
"cysteinylglycine disulfide*",3.60438328403241,0.056,"untreated_24-0","cysteinylglycine disulfide*"
"dimethylarginine (SDMA + ADMA)",2.71597575186785,0.01,"untreated_24-0","dimethylarginine (SDMA + ADMA)"
"dimethylglycine",2.0483377980272,0.252,"untreated_24-0","dimethylglycine"
"erythritol",4.61525090342061,0.762,"untreated_24-0","erythritol"
"flavin adenine dinucleotide (FAD)",1.13824938517129,0.003,"untreated_24-0","flavin adenine dinucleotide (FAD)"
"fumarate",0.117452673470598,0.339,"untreated_24-0","fumarate"
"gamma-glutamylglutamate",-0.751648549525237,0.758,"untreated_24-0","gamma-glutamylglutamate"
"gamma-glutamylglutamine",1.75502489278974,0.004,"untreated_24-0","gamma-glutamylglutamine"
"gamma-glutamylglycine",3.1406591912702,0.872,"untreated_24-0","gamma-glutamylglycine"
"gamma-glutamylisoleucine*",2.78358575772836,0.008,"untreated_24-0","gamma-glutamylisoleucine*"
"gamma-glutamylleucine",4.02202903579488,0.013,"untreated_24-0","gamma-glutamylleucine"
"gamma-glutamylmethionine",0.256927001033004,0.003,"untreated_24-0","gamma-glutamylmethionine"
"gamma-glutamylphenylalanine",4.62515740845947,0.008,"untreated_24-0","gamma-glutamylphenylalanine"
"gamma-glutamyltryptophan",3.01387374495528,0.105,"untreated_24-0","gamma-glutamyltryptophan"
"gamma-glutamyltyrosine",3.1180524596013,0.003,"untreated_24-0","gamma-glutamyltyrosine"
"glucose",2.21601533783639,0.295,"untreated_24-0","glucose"
"glutamate",6.0339047306217,0.118,"untreated_24-0","glutamate"
"glutamine",4.36854043921749,2.55e-05,"untreated_24-0","glutamine"
"glutaminylleucine",4.1710167245913,0.000831,"untreated_24-0","glutaminylleucine"
"glycerophosphoethanolamine",1.28987185433938,0.321,"untreated_24-0","glycerophosphoethanolamine"
"glycine",2.70710895833096,2.01e-07,"untreated_24-0","glycine"
"glycylisoleucine",4.19584749596596,2.04e-05,"untreated_24-0","glycylisoleucine"
"glycylleucine",2.90623260039726,0.004,"untreated_24-0","glycylleucine"
"glycylvaline",1.50949224441365,0.003,"untreated_24-0","glycylvaline"
"guanosine-2',3'-cyclic monophosphate",0.471564846774205,0.000287,"untreated_24-0","guanosine-2',3'-cyclic monophosphate"
"guanosine 2'-monophosphate (2'-GMP)*",3.64097788698944,0.838,"untreated_24-0","guanosine 2'-monophosphate (2'-GMP)*"
