reaction	linear_coefficient
rxn03253	[np.float64(0.3644502197725159)]
rxn02720	[np.float64(0.3644502197725159)]
rxn00946	[np.float64(0.3644502197725159)]
rxn02679	[np.float64(0.3644502197725159)]
rxn02803	[np.float64(0.3644502197725159)]
rxn03251	[0.31548772824777466]
rxn00872	[0.31548772824777466]
rxn01451	[0.12313900114561345]
rxn03242	[0.12313900114561345]
rxn03239	[0.12313900114561345]
rxn06777	[0.12313900114561345]
rxn03244	[0.12313900114561345]
rxn03249	[0.12313900114561345]
rxn03246	[0.12313900114561345]
rxn02122	[0.09432562906958121]
rxn01387	[0.5117301542791294]
rxn00616	[0.3879105283307746]
rxn00501	[0.1013342871421296]
rxn10125	[0.3910254874741294]
rxn01851	[0.31548772824777466]
rxn13812	[0.4665632467004842]
rxn01297	[0.21658777544625854]
rxn01522	[0.21658777544625854]
rxn00288	[0.19166810229941986]
rxn10126	[0.19166810229941986]
rJB00270	[0.19166810229941986]
rxn06493	[0.2376137496639037]
rxn13808	[0.40893650254841973]
rxn00623	[0.046822502133419944]
rxn00506	[0.09432562906958121]
rxn00779	[0.13248387857567798]
rxn13726	[0.19166810229941986]
rJB00264	[0.19166810229941986]
rxn10122	[0.19166810229941986]
rxn00604	[0.579480515647097]
rxn10902	[0.579480515647097]
rxn00671	[0.1013342871421296]
rxn01115	[0.5927190920063552]
rxn00338	[0.4665632467004842]
rxn00248	[0.41906011976432295]
rxn05353	[np.float64(0.3644502197725159)]
rxn05356	[np.float64(0.3644502197725159)]
rxn05355	[np.float64(0.3644502197725159)]
rxn05354	[np.float64(0.3644502197725159)]
rxn05357	[np.float64(0.3644502197725159)]
rxn05352	[np.float64(0.3644502197725159)]
rxn05351	[np.float64(0.3644502197725159)]
rxn05338	[0.5382073069976455]
rxn00611	[0.558454541429452]
rxn00612	[0.558454541429452]
rxn05436	[0.6394434791566777]
rxn05448	[0.6394434791566777]
rxn05442	[0.6394434791566777]
rxn05437	[0.6394434791566777]
rxn05449	[0.6394434791566777]
rxn05443	[0.6394434791566777]
rxn05438	[0.6394434791566777]
rxn05450	[0.6394434791566777]
rxn05444	[0.6394434791566777]
rxn05433	[0.6394434791566777]
rxn05445	[0.6394434791566777]
rxn05439	[0.6394434791566777]
rxn05446	[0.6394434791566777]
rxn05434	[0.6394434791566777]
rxn05440	[0.6394434791566777]
rxn05435	[0.6394434791566777]
rxn05447	[0.6394434791566777]
rxn05441	[0.6394434791566777]
rxn05322	[0.6394434791566777]
rxn05327	[0.6394434791566777]
rxn05324	[0.6394434791566777]
rxn13838	[0.6394434791566777]
rxn05328	[0.6394434791566777]
rxn05326	[0.6394434791566777]
rxn13850	[0.6394434791566777]
rxn08396	[0.6394434791566777]
rxn05325	[0.6394434791566777]
rxn05323	[0.6394434791566777]
rxn05464	[0.6394434791566777]
rxn02866	[0.5132876338508068]
rxn05339	[0.49226165963316165]
rxn05337	[0.49226165963316165]
rxn13844	[0.49226165963316165]
rxn05341	[0.49226165963316165]
rxn05336	[0.49226165963316165]
rxn05372	[0.49226165963316165]
rxn05422	[0.49226165963316165]
rxn05397	[0.49226165963316165]
rxn05376	[0.49226165963316165]
rxn05426	[0.49226165963316165]
rxn05401	[0.49226165963316165]
rxn05380	[0.49226165963316165]
rxn05430	[0.49226165963316165]
rxn05405	[0.49226165963316165]
rxn05461	[0.49226165963316165]
rxn07993	[0.49226165963316165]
rxn05340	[0.49226165963316165]
rxn05342	[0.49226165963316165]
rxn05360	[0.49226165963316165]
rxn05410	[0.49226165963316165]
rxn05385	[0.49226165963316165]
rxn05414	[0.49226165963316165]
rxn05364	[0.49226165963316165]
rxn05389	[0.49226165963316165]
rxn05368	[0.49226165963316165]
rxn05418	[0.49226165963316165]
rxn05393	[0.49226165963316165]
rxn00083	[0.24851610666564564]
rxn11245	[0.16830590872425857]
rxn00781	[0.5709143780028713]
rxn00199	[0.5117301542791294]
rxn08398	[0.31548772824777466]
rxn03532	[0.046822502133419944]
rxn13839	[0.6300986017266131]
rxn13790	[0.28511687660006496]
rxn03897	[0.19166810229941986]
rxn05289	[0.32093890674864556]
rxn02842	[0.11535160328722636]
rxn13909	[0.10912168500051668]
rxn01643	[0.5428797457126778]
rJB00277	[0.3684420336848068]
rxn00211	[0.03747762470335543]
rxn01480	[0.5062789757782584]
rxn01053	[0.31548772824777466]
rxn01867	[0.09432562906958121]
