opt_fraction	R_value	p_value
0.1	0.23173712663299065	0.3121257314544233
0.2	0.23173712663299065	0.3121257314544233
0.3	0.23222448180143881	0.31108041739791015
0.4	0.23173712663299065	0.3121257314544233
0.5	0.2104814080088634	0.3471101451196633
0.6	-0.15167780137219952	0.2735740966730034
0.7	-0.16096954008062944	0.2449092845232043
0.8	-0.18752549858256612	0.13161415143759503
0.9	-0.1783472769537912	0.1585425551989273
0.25	0.23373383276991064	0.3078565298815452
0.35	0.27924543090300324	0.22024615440535752
0.287	0.23149459686834126	0.31264671772914054
0.325	0.23222448180143881	0.31108041739791015
0.275	0.23149459686834126	0.31264671772914054
0.313	0.23173712663299065	0.3121257314544233
