reaction	linear_coefficient
rxn02285	[np.float64(0.43596044261509914)]
rxn00077	[0.4056894588841902]
rxn01268	[0.8613757994839494]
rxn13705	[0.07885485557872363]
rxn09896	[0.27213246152016235]
rxn01045	[0.27213246152016235]
rxn00935	[np.float64(0.43596044261509914)]
rxn00638	[np.float64(0.43596044261509914)]
rxn00763	[0.6851095184100157]
rxn03958	[0.8613757994839494]
rxn13906	[0.6463816086052704]
rxn01302	[0.9634437486889789]
rxn00834	[0.5870229431101468]
rxn05293	[0.576526593723814]
rxn07967	[0.6887289492328889]
rxn00105	[0.7408487530822657]
rxn02373	[np.float64(0.43596044261509914)]
rxn02474	[0.7234754851324734]
rxn03055	[0.6362472023012249]
rxn09953	[0.23123289322169313]
rxn02112	[0.0035706944629572295]
rxn02632	[0.0035706944629572295]
rxn01686	[0.0035706944629572295]
rxn13787	[0.9880558782845179]
rxn13896	[0.9880558782845179]
rxn01790	[0.5790601952998253]
rxn00859	[0.15993010601108748]
rxn08352	[0.6851095184100157]
rxn08756	[0.6851095184100157]
rxn00122	[0.3495882811296528]
rxn00184	[0.6503629825104311]
rxn01011	[0.6796803721757055]
rxn06591	[0.27213246152016235]
rxn02186	[0.7871774676150449]
rxn08764	[0.7871774676150449]
rxn02929	[0.7404868099999783]
rxn00190	[0.606567869553663]
rxn00138	[0.606567869553663]
rxn08977	[np.float64(0.43596044261509914)]
rxn36840	[0.3057931681728848]
rxn02003	[0.2844385263179319]
rxn08291	[np.float64(0.43596044261509914)]
rxn13795	[0.06618684769866678]
rxn13788	[0.9674251225941396]
rxn00429	[0.596795406331905]
rxn02440	[1.0]
rxn00868	[np.float64(0.43596044261509914)]
rxn10074	[np.float64(0.43596044261509914)]
rxn01729	[np.float64(0.43596044261509914)]
rxn01068	[np.float64(0.43596044261509914)]
rxn01314	[np.float64(0.43596044261509914)]
rxn05570	[0.21711711301248693]
rxn05159	[0.21711711301248693]
rxn05180	[0.21711711301248693]
rxn10073	[0.21711711301248693]
rxn08087	[0.38759230476982337]
rxn08086	[0.38759230476982337]
rxn08089	[0.38759230476982337]
rxn08088	[0.38759230476982337]
rxn08085	[0.38759230476982337]
rxn08083	[0.38759230476982337]
rxn08084	[0.38759230476982337]
rxn10215	[0.38759230476982337]
rxn10218	[0.38759230476982337]
rxn10214	[0.38759230476982337]
rxn10219	[0.38759230476982337]
rxn10217	[0.38759230476982337]
rxn10216	[0.38759230476982337]
rxn10212	[0.38759230476982337]
rxn10211	[0.38759230476982337]
rxn10213	[0.38759230476982337]
rxn05175	[0.03976500269169107]
rxn03243	[0.5812318537935494]
rxn03248	[0.5812318537935494]
rxn06510	[0.5812318537935494]
rxn02804	[0.5812318537935494]
rxn02680	[0.5812318537935494]
rxn05619	[np.float64(0.43596044261509914)]
rxn05163	[0.03976500269169107]
rxn10158	[0.1443665534727319]
rxn05603	[0.1443665534727319]
rxn05154	[0.17621754471401768]
rxn00727	[np.float64(0.43596044261509914)]
rxn05161	[0.13785157799155978]
rxn05168	[0.13785157799155978]
rxn05155	[0.3441591348953427]
rxn05201	[np.float64(0.43596044261509914)]
rxn02831	[0.09803783893995256]
rxn13885	[0.16716896765683423]
rxn05512	[0.1935908126638099]
rxn08669	[np.float64(0.43596044261509914)]
rxn05156	[0.17621754471401768]
rxn05164	[0.17621754471401768]
rxn13828	[np.float64(0.43596044261509914)]
rxn13829	[np.float64(0.43596044261509914)]
rxn05247	[0.09803783893995256]
rxn05248	[0.09803783893995256]
rxn05249	[0.09803783893995256]
rxn05250	[0.09803783893995256]
rxn05251	[0.09803783893995256]
rxn05252	[0.09803783893995256]
rxn09450	[0.09803783893995256]
rxn09449	[0.09803783893995256]
rxn09448	[0.09803783893995256]
rxn05736	[0.09803783893995256]
rxn00947	[0.09803783893995256]
rxn13892	[np.float64(0.43596044261509914)]
rxn08002	[0.5870229431101468]
rxn05349	[0.5870229431101468]
rxn00187	[np.float64(0.43596044261509914)]
rxn05331	[0.33692027324959595]
rxn05333	[0.33692027324959595]
rxn10221	[np.float64(0.43596044261509914)]
rxn10224	[np.float64(0.43596044261509914)]
rxn08306	[np.float64(0.43596044261509914)]
rxn08307	[np.float64(0.43596044261509914)]
rxn08308	[np.float64(0.43596044261509914)]
rxn08310	[np.float64(0.43596044261509914)]
rxn08311	[np.float64(0.43596044261509914)]
rxn08312	[np.float64(0.43596044261509914)]
rxn10220	[np.float64(0.43596044261509914)]
rxn10225	[np.float64(0.43596044261509914)]
rxn10223	[np.float64(0.43596044261509914)]
rxn10222	[np.float64(0.43596044261509914)]
rxn10481	[0.22869929164568176]
rxn10344	[0.22869929164568176]
rxn10343	[0.22869929164568176]
rxn01629	[0.4259582714922812]
rxn00986	[0.6087395280473872]
rxn00675	[0.6087395280473872]
rxn05206	[0.16753091073912155]
rxn02911	[0.011895385355566016]
rxn03240	[0.011895385355566016]
rxn03241	[0.011895385355566016]
rxn03245	[0.011895385355566016]
rxn03250	[0.011895385355566016]
rxn03247	[0.011895385355566016]
rxn05165	[0.21711711301248693]
rxn05181	[0.21711711301248693]
rxn10978	[0.1443665534727319]
rxn13831	[np.float64(0.43596044261509914)]
rxn10338	[0.23955758411430192]
rxn10341	[0.23955758411430192]
rxn10337	[0.23955758411430192]
rxn10342	[0.23955758411430192]
rxn10340	[0.23955758411430192]
rxn10339	[0.23955758411430192]
rxn10335	[0.23955758411430192]
rxn10334	[0.23955758411430192]
rxn10336	[0.23955758411430192]
rxn13785	[0.38759230476982337]
rPY00162	[0.38759230476982337]
rPY00167	[0.38759230476982337]
rxn02160	[np.float64(0.43596044261509914)]
rxn13872	[0.21530739760105022]
rxn01964	[0.30868871283118354]
rxn00416	[0.30036402193857475]
rxn05651	[np.float64(0.43596044261509914)]
rxn05564	[0.4056894588841902]
rxn01192	[0.07849291249643629]
rxn12206	[np.float64(0.43596044261509914)]
rxn12432	[np.float64(0.43596044261509914)]
rxn00874	[0.5790601952998253]
rxn02483	[0.5881087723570089]
rxn01827	[0.6887289492328889]
rxn03393	[0.2768377215898978]
rxn05176	[0.5902804308507329]
rxn05153	[np.float64(0.43596044261509914)]
rxn00858	[0.2844385263179319]
rxn05237	[0.4125663774476497]
rxn11080	[0.4125663774476497]
rxn09657	[0.09803783893995256]
rxn05202	[0.09803783893995256]
rxn05682	[0.09803783893995256]
rxn05312	[0.6072917557182378]
rxn05527	[0.09803783893995256]
rxn05318	[0.09803783893995256]
rxn05198	[0.09803783893995256]
rxn05317	[0.09803783893995256]
rxn05205	[0.09803783893995256]
rxn05316	[0.09803783893995256]
rxn05200	[0.09803783893995256]
rxn05199	[0.09803783893995256]
rxn09688	[0.09803783893995256]
rxn09687	[0.09803783893995256]
rxn09685	[0.09803783893995256]
rxn02287	[0.2091543652021655]
rxn00567	[np.float64(0.43596044261509914)]
rJB00273	[0.576526593723814]
rJB00274	[0.576526593723814]
rxn04092	[0.0879034326359071]
rxn08550	[np.float64(0.43596044261509914)]
rxn08552	[np.float64(0.43596044261509914)]
rxn02503	[0.27213246152016235]
rxn00256	[0.6337136007252134]
rxn00225	[0.23123289322169313]
rxn00799	[0.3441591348953427]
rxn05663	[0.4056894588841902]
rxn00806	[0.3325769562621479]
rxn00493	[0.3325769562621479]
rxn05108	[0.3325769562621479]
rxn12562	[np.float64(0.43596044261509914)]
rJB00237	[0.1443665534727319]
rJB00240	[0.1443665534727319]
rxn05207	[0.1443665534727319]
rJB00238	[0.1443665534727319]
rxn03004	[0.28299075398878254]
rxn13841	[0.5881087723570089]
rxn01644	[0.6579637872384652]
rxn04093	[0.0879034326359071]
rxn05179	[0.13785157799155978]
rxn13794	[np.float64(0.43596044261509914)]
rxn10170	[np.float64(0.43596044261509914)]
rxn05169	[np.float64(0.43596044261509914)]
rxn01352	[0.1360418625801231]
rxn09016	[0.1360418625801231]
rxn05231	[0.6807662014225674]
rxn06076	[0.6807662014225674]
rxn05233	[0.6807662014225674]
rxn06075	[0.6807662014225674]
rxn12498	[0.5996909509902036]
rJB00269	[0.5996909509902036]
rxn05561	[0.5873848861924341]
rxn10154	[0.5873848861924341]
rxn00902	[0.5881087723570089]
rxn00269	[0.0879034326359071]
rxn03541	[0.8414689299581457]
rxn05315	[0.5696496751603546]
rxn10113	[0.04266054734998978]
rJB00267	[0.04266054734998978]
rxn05152	[0.3441591348953427]
rxn05146	[0.3441591348953427]
rxn08861	[0.5870229431101468]
rxn00394	[0.2844385263179319]
rxn05197	[0.09803783893995256]
rxn01225	[0.13785157799155978]
rxn08527	[np.float64(0.43596044261509914)]
rxn01732	[np.float64(0.43596044261509914)]
rxn00285	[np.float64(0.43596044261509914)]
rxn05334	[0.33692027324959595]
rxn05329	[0.33692027324959595]
rxn05330	[0.33692027324959595]
rxn13843	[0.33692027324959595]
rxn13840	[0.33692027324959595]
rxn13846	[0.33692027324959595]
rxn10168	[0.3365583301673086]
rxn13842	[0.3365583301673086]
rxn02276	[0.21494545451876293]
rxn01332	[np.float64(0.43596044261509914)]
rxn01388	[np.float64(0.43596044261509914)]
rxn00974	[np.float64(0.43596044261509914)]
rxn00973	[np.float64(0.43596044261509914)]
rxn13886	[0.12228802545320426]
rxn02177	[0.33692027324959595]
rxn05160	[0.27358023384931174]
rxn05549	[0.27358023384931174]
rxn05644	[0.27358023384931174]
rxn05167	[0.27358023384931174]
rxn05173	[0.27358023384931174]
rxn02143	[0.6072917557182378]
rxn02889	[0.07849291249643629]
rxn05649	[0.29203933104596597]
rxn05307	[0.29203933104596597]
rxn05300	[0.29203933104596597]
rxn13811	[0.09803783893995256]
rxn00649	[0.7354196068479557]
rPY00184	[0.23955758411430192]
rxn08229	[0.23955758411430192]
rxn08230	[0.23955758411430192]
rPY00183	[0.23955758411430192]
rxn08231	[0.23955758411430192]
rxn08232	[0.23955758411430192]
rxn13847	[0.0035706944629572295]
rxn00065	[np.float64(0.43596044261509914)]
rxn00342	[0.1248216270292156]
rxn05171	[0.1935908126638099]
rxn13853	[0.43319713313802793]
rxn13849	[0.43319713313802793]
rxn05608	[np.float64(0.43596044261509914)]
rJB00222	[0.43319713313802793]
rxn05614	[0.3781817846303525]
rxn05613	[0.3781817846303525]
rPY00218	[0.09803783893995256]
rxn05149	[0.045194148926001154]
rxn06600	[0.606567869553663]
rxn00165	[np.float64(0.43596044261509914)]
rxn13803	[np.float64(0.43596044261509914)]
rxn06377	[0.3314911270152859]
rxn12549	[np.float64(0.43596044261509914)]
rxn13814	[0.09297063578792981]
rxn13681	[0.09297063578792981]
rxn13919	[0.09297063578792981]
rPY00172	[0.3441591348953427]
rPY00175	[0.3441591348953427]
rxn00175	[0.6087395280473872]
rxn05187	[0.21349768218961354]
rxn05151	[0.17621754471401768]
rxn06216	[0.5881087723570089]
rxn01199	[0.16753091073912155]
rxn08556	[0.045194148926001154]
rxn37440	[0.045194148926001154]
rxn02789	[0.7694422565829654]
rxn02811	[0.7694422565829654]
rxn03884	[0.23195677938626777]
rxn00214	[0.13785157799155978]
rxn03135	[0.41690969443509773]
rxn13877	[np.float64(0.43596044261509914)]
rxn13913	[0.27213246152016235]
rxn00980	[np.float64(0.43596044261509914)]
rxn01639	[0.3441591348953427]
rxn10174	[0.11106778990229675]
rxn05158	[0.11106778990229675]
rxn05147	[0.11106778990229675]
rxn00299	[np.float64(0.43596044261509914)]
rxn05552	[0.1935908126638099]
rxn05585	[0.1935908126638099]
rxn05621	[0.1935908126638099]
rxn05620	[0.1935908126638099]
rxn05656	[0.1935908126638099]
rxn08900	[np.float64(0.43596044261509914)]
rxn36761	[np.float64(0.43596044261509914)]
rxn05215	[0.5931759755090316]
rxn01834	[0.2062588205438668]
rxn01019	[0.6087395280473872]
rxn13805	[np.float64(0.43596044261509914)]
rxn13807	[0.41401414977679907]
rxn13806	[0.42378661299855713]
rJB00225	[np.float64(0.43596044261509914)]
rxn05560	[np.float64(0.43596044261509914)]
rxn00615	[0.43319713313802793]
rxn00533	[0.5703735613249292]
rxn05332	[0.33692027324959595]
rxn05335	[0.33692027324959595]
rxn05373	[0.33692027324959595]
rxn05423	[0.33692027324959595]
rxn05398	[0.33692027324959595]
