	rxn10125	rxn00779	rxn13726	rxn00781	rxn08094	rxn00184	rxn05312	rxn05318	rxn10113	rJB00267	rxn00285	rxn05307	rxn00165	rxn13681	rxn37440	rxn01639	rxn05158	rxn00615	rxn00148	rxn05654	rxn10042	rxn01100	rxn10474	rxn00250	rxn00134	rxn00102	rxn05559	rxn00374	rxn05581	rxn00459	rxn00251	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
0	-374.1620944326923	369.3493614747596	19.250931831730725	-359.7238955588943	4.812732957932695	4.812732957932695	983.9246538461537	327.97488461538455	19.250931831730725	9.625465915865334	-4.812732957932695	-9.62546591586539	-9.62546591586539	-502.646968423077	9.625465915865334	4.812732957932695	0.0	-990.3745340841347	327.97488461538455	-4.812732957932695	19.250931831730725	359.7238955588943	502.646968423077	318.34941869951916	327.97488461538455	-318.34941869951916	-4.812732957932695	4.812732957932695	990.3745340841347	9.625465915865277	318.34941869951916	-9.625465915865334	4.812732957932695	4.812732957932695	-4.812732957932695	-9.625465915865277	1000.0	-4.812732957932724	16.075346153846453	14.43819887379803	-327.974884615385	4.812732957932724	990.3745340841347	-1000.0	25.700812069711617	-16.075346153844748	9.62546591586539	-14.43819887379803	16.075346153845658	4.812732957932695	-4.812732957932695	8.39	4.812732957932695	327.9748846153846
1	-15.742918260000042	0.0	62.97167304000017	31.485836520000078	15.742918260000042	15.742918260000042	538.063995256923	327.97488461538467	62.97167304000017	31.48583652000002	-15.742918260000042	-31.485836520000085	-31.485836520000085	-598.7416973461529	31.48583652000002	15.742918260000042	445.860658589231	-968.51416348	327.97488461538467	-15.742918260000042	62.97167304000017	-31.485836520000078	598.7416973461529	296.4890480953846	327.97488461538467	-296.4890480953846	-15.742918260000042	15.742918260000042	968.51416348	31.485836520000078	296.4890480953846	-31.48583652000002	15.742918260000042	15.742918260000042	-15.742918260000042	-31.485836520000078	554.139341410769	-15.742918260000067	16.07534615384607	47.228754780000095	-327.974884615385	15.742918260000067	968.51416348	-1000.0	47.561182673845906	-16.075346153844748	31.485836520000085	-47.228754780000095	16.075346153845658	15.742918260000042	-15.742918260000042	8.39	15.742918260000042	327.9748846153846
2	-184.56141130769169	137.26673724999932	189.17869623076945	-42.6773891346146	47.29467405769236	47.29467405769236	1000.0	437.0811962307694	189.17869623076945	94.58934811538472	-47.29467405769236	-94.58934811538472	-94.58934811538472	0.0	94.58934811538472	47.29467405769236	311.2435886923083	-905.4106518846153	437.0811962307694	-47.29467405769236	189.17869623076945	42.6773891346146	0.0	342.4918481153847	437.0811962307694	-342.4918481153847	-47.29467405769236	47.29467405769236	905.4106518846153	94.58934811538472	342.4918481153847	-94.58934811538472	47.29467405769236	47.29467405769236	-47.29467405769236	-94.58934811538472	688.7564113076917	-47.29467405769236	-311.2435886923083	141.88402217307708	-437.0811962307694	47.29467405769236	905.4106518846153	-1000.0	-216.65424057692337	311.2435886923083	94.58934811538472	-141.88402217307708	-311.2435886923083	47.29467405769236	-47.29467405769236	8.39	47.29467405769236	437.0811962307694
3	-116.97995060580772	77.98663373720514	155.97326747441025	0.0	38.99331686860257	38.99331686860257	1000.0	348.14318515075644	155.97326747441025	77.98663373720514	-38.99331686860257	-77.98663373720514	-77.98663373720514	0.0	77.98663373720514	38.99331686860257	44.42955545226932	-476.15270767356424	348.14318515075644	-38.99331686860257	155.97326747441025	0.0	0.0	270.1565514135513	348.14318515075644	-270.1565514135513	-38.99331686860257	38.99331686860257	476.15270767356424	77.98663373720514	270.1565514135513	-77.98663373720514	38.99331686860257	38.99331686860257	-38.99331686860257	-77.98663373720514	509.70978595850005	-38.99331686860256	-490.2902140414997	116.97995060580769	-348.14318515075644	38.99331686860256	476.15270767356424	-554.1393414107694	-412.30358030429477	490.2902140414997	77.98663373720514	-116.97995060580769	-490.29021404149995	38.99331686860257	-38.99331686860257	8.39	38.99331686860257	348.14318515075644
4	-229.6619687625576	153.1079791750384	306.2159583500768	0.0	76.55398958751921	76.55398958751921	1000.0	474.8759895875192	306.2159583500768	153.1079791750384	-76.55398958751921	-153.10797917503842	-153.10797917503842	633.9397501004614	153.1079791750384	76.55398958751921	424.6279687625576	-846.8920208249616	474.8759895875192	-76.55398958751921	306.2159583500768	0.0	-633.9397501004614	321.7680104124808	474.8759895875192	-321.7680104124808	-76.55398958751921	76.55398958751921	846.8920208249616	153.1079791750384	321.7680104124808	-153.1079791750384	76.55398958751921	76.55398958751921	-76.55398958751921	-153.1079791750384	575.3720312374423	-76.55398958751921	-424.62796876255754	229.6619687625576	-474.8759895875192	76.55398958751921	846.8920208249616	-1000.0	-271.5199895875199	424.62796876255754	153.10797917503842	-229.6619687625576	-424.6279687625576	76.55398958751921	-76.55398958751921	8.39	76.55398958751921	474.8759895875193
5	-88.29853000939858	0.0	353.19412003759425	176.59706001879718	88.29853000939858	88.29853000939858	1000.0	399.69108341165474	353.19412003759425	176.59706001879718	-88.29853000939858	-176.59706001879715	-176.59706001879715	1000.0	176.59706001879718	88.29853000939858	199.07325023496423	-212.1586469736865	399.69108341165474	-88.29853000939858	353.19412003759425	-176.59706001879718	-1000.0	223.09402339285757	399.69108341165474	-223.09402339285757	-88.29853000939858	88.29853000939858	212.1586469736865	176.59706001879718	223.09402339285757	-176.59706001879718	88.29853000939858	88.29853000939858	-88.29853000939858	-176.59706001879718	189.6824567575194	-88.29853000939855	-810.3175432424806	264.8955900281957	-399.69108341165474	88.29853000939855	212.1586469736865	-388.7557069924836	-633.7204832236835	810.3175432424806	176.59706001879715	-264.8955900281957	-810.3175432424806	88.29853000939858	-88.29853000939858	8.39	88.29853000939858	399.69108341165463
6	-562.3686272276826	494.47455449665614	271.57629092410576	-358.68640903460323	67.89407273102647	67.89407273102647	1000.0	394.4787909241058	271.57629092410576	135.7881454620529	-67.89407273102647	-135.78814546205294	-135.78814546205294	1000.0	135.7881454620529	67.89407273102647	183.4363727723174	-864.211854537947	394.4787909241058	-67.89407273102647	271.57629092410576	358.68640903460323	-1000.0	258.6906454620529	394.4787909241058	-258.6906454620529	-67.89407273102647	67.89407273102647	864.211854537947	135.7881454620529	258.6906454620529	-135.7881454620529	67.89407273102647	67.89407273102647	-67.89407273102647	-135.7881454620529	816.5636272276826	-67.89407273102648	-183.43637277231718	203.68221819307934	-394.4787909241058	67.89407273102648	864.211854537947	-1000.0	-47.64822731026453	183.4363727723172	135.78814546205294	-203.68221819307934	-183.4363727723174	67.89407273102647	-67.89407273102647	8.39	67.89407273102647	394.47879092410574
7	-102.89308463354114	0.0	411.5723385341645	205.78616926708224	102.89308463354114	102.89308463354114	894.7002672960916	521.312371946176	411.5723385341645	205.78616926708224	-102.89308463354114	-205.78616926708227	-205.78616926708227	1000.0	205.78616926708224	102.89308463354114	669.2368485424357	-794.2138307329178	521.312371946176	-102.89308463354114	411.5723385341645	-205.78616926708224	-1000.0	315.5262026790938	521.312371946176	-315.5262026790938	-102.89308463354114	102.89308463354114	794.2138307329178	205.78616926708224	315.5262026790938	-205.78616926708224	102.89308463354114	102.89308463354114	-102.89308463354114	-205.78616926708224	330.76315145756416	-102.89308463354115	-563.9371158385279	308.6792539006234	-521.312371946176	102.89308463354115	794.2138307329178	-1000.0	-358.1509465714454	563.9371158385279	205.78616926708227	-308.6792539006234	-563.9371158385275	102.89308463354114	-102.89308463354114	8.39	102.89308463354114	521.3123719461762
8	-578.9416485229804	519.3813005447712	238.24139191283655	-400.26060458835286	59.560347978209116	59.560347978209116	1000.0	333.33333333333337	238.24139191283655	119.12069595641833	-59.560347978209116	-119.12069595641823	-119.12069595641823	1000.0	119.12069595641833	59.560347978209116	0.0	-658.3948354075555	333.33333333333337	-59.560347978209116	238.24139191283655	400.26060458835286	-1000.0	214.21263737691515	333.33333333333337	-214.21263737691515	-59.560347978209116	59.560347978209116	658.3948354075555	119.12069595641822	214.21263737691515	-119.12069595641833	59.560347978209116	59.560347978209116	-59.560347978209116	-119.12069595641822	777.5155313639739	-59.56034797820911	-222.48446863602624	178.68104393462744	-333.33333333333337	59.56034797820911	658.3948354075555	-777.5155313639739	-103.36377267960802	222.48446863602624	119.12069595641823	-178.68104393462744	-222.48446863602612	59.560347978209116	-59.560347978209116	8.39	59.560347978209116	333.3333333333332
9	-224.0210853977788	149.34739026518585	298.6947805303717	0.0	74.67369513259293	74.67369513259293	314.68780530371674	335.9332561933363	298.6947805303717	149.34739026518585	-74.67369513259293	-149.34739026518585	-149.34739026518585	1000.0	149.34739026518585	74.67369513259293	693.111963276292	-850.6526097348142	335.9332561933363	-74.67369513259293	298.6947805303717	0.0	-1000.0	186.58586592815047	335.9332561933363	-186.58586592815047	-74.67369513259293	74.67369513259293	850.6526097348142	149.34739026518585	186.58586592815047	-149.34739026518585	74.67369513259293	74.67369513259293	-74.67369513259293	-149.34739026518585	306.88803672370796	-74.67369513259294	-7.79976858000893	224.0210853977788	-335.9332561933363	74.67369513259294	850.6526097348142	-1000.0	141.54762168517715	7.7997685800089585	149.34739026518585	-224.0210853977788	-7.799768580008731	74.67369513259293	-74.67369513259293	8.39	74.67369513259293	335.9332561933363
