	rxn10158	rxn05312	rxn05318	rJB00240	rxn01639	rxn00615	rxn05209	rxn00148	rxn05466	rxn00250	rxn00134	rxn00102	rxn05559	rxn05298	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00009_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
0	-325.8020833333332	699.3999999999997	233.13333333333324	325.8020833333332	56.18583333333331	-474.6566666666665	-269.61624999999987	233.13333333333324	-56.18583333333331	233.13333333333324	233.13333333333324	-233.13333333333324	-56.18583333333331	-56.18583333333331	56.18583333333331	474.6566666666665	233.13333333333324	56.18583333333331	56.18583333333331	-56.18583333333331	474.6566666666665	-233.13333333333324	474.6566666666665	-474.6566666666665	-224.7433333333331	56.18583333333331	56.18583333333331	-224.74333333333323	-56.18583333333331	8.39	56.18583333333331	233.13333333333327
1	-394.5518083333334	849.3994000000002	283.13313333333343	394.5518083333334	68.68578333333336	-574.6562666666669	-325.86602500000004	283.13313333333343	-68.68578333333336	283.13313333333343	283.13313333333343	-283.13313333333343	-68.68578333333336	-68.68578333333336	68.68578333333336	574.6562666666669	283.13313333333343	68.68578333333336	68.68578333333336	-68.68578333333336	574.6562666666669	-283.13313333333343	574.6562666666669	-574.6562666666669	-274.7431333333336	68.68578333333336	68.68578333333336	-274.7431333333334	-68.68578333333336	8.39	68.68578333333336	283.13313333333343
2	-257.0523583333332	549.4005999999996	183.1335333333332	257.0523583333332	43.6858833333333	-374.6570666666664	-213.36647499999987	183.1335333333332	-43.6858833333333	183.1335333333332	183.1335333333332	-183.1335333333332	-43.6858833333333	-43.6858833333333	43.6858833333333	374.6570666666664	183.1335333333332	43.6858833333333	43.6858833333333	-43.6858833333333	374.6570666666664	-183.1335333333332	374.6570666666664	-374.6570666666664	-174.74353333333306	43.6858833333333	43.6858833333333	-174.74353333333318	-43.6858833333333	8.39	43.6858833333333	183.13353333333322
3	-428.9954205583335	924.5490994000004	308.1830331333335	428.9954205583335	74.94825828333337	-624.756066266667	-354.0471622750001	308.1830331333335	-74.94825828333337	308.1830331333335	308.1830331333335	-308.1830331333335	-74.94825828333337	-74.94825828333337	74.94825828333337	624.756066266667	308.1830331333335	74.94825828333337	74.94825828333337	-74.94825828333337	624.756066266667	-308.1830331333335	624.756066266667	-624.756066266667	-299.79303313333367	74.94825828333337	74.94825828333337	-299.79303313333344	-74.94825828333337	8.39	74.94825828333337	308.1830331333335
4	-360.24569555833335	774.5496994000001	258.1832331333334	360.24569555833335	62.44830828333335	-524.7564662666667	-297.797387275	258.1832331333334	-62.44830828333335	258.1832331333334	258.1832331333334	-258.1832331333334	-62.44830828333335	-62.44830828333335	62.44830828333335	524.7564662666667	258.1832331333334	62.44830828333335	62.44830828333335	-62.44830828333335	524.7564662666667	-258.1832331333334	524.7564662666667	-524.7564662666667	-249.79323313333336	62.44830828333335	62.44830828333335	-249.7932331333334	-62.44830828333335	8.39	62.44830828333335	258.1832331333334
5	-291.4959705583332	624.5502993999997	208.18343313333324	291.4959705583332	49.948358283333306	-424.7568662666665	-241.54761227499992	208.18343313333324	-49.948358283333306	208.18343313333324	208.18343313333324	-208.18343313333324	-49.948358283333306	-49.948358283333306	49.948358283333306	424.7568662666665	208.18343313333324	49.948358283333306	49.948358283333306	-49.948358283333306	424.7568662666665	-208.18343313333324	424.7568662666665	-424.7568662666665	-199.79343313333325	49.948358283333306	49.948358283333306	-199.79343313333322	-49.948358283333306	8.39	49.948358283333306	208.18343313333327
6	-222.8831961083331	474.84970059999944	158.28323353333315	222.8831961083331	37.47330838333329	-324.9564670666663	-185.4098877249998	158.28323353333315	-37.47330838333329	158.28323353333315	158.28323353333315	-158.28323353333315	-37.47330838333329	-37.47330838333329	37.47330838333329	324.9564670666663	158.28323353333315	37.47330838333329	37.47330838333329	-37.47330838333329	324.9564670666663	-158.28323353333315	324.9564670666663	-324.9564670666663	-149.8932335333331	37.47330838333329	37.47330838333329	-149.89323353333316	-37.47330838333329	8.39	37.47330838333329	158.28323353333315
7	-446.32083360860855	962.3500006006004	320.7833335335335	446.32083360860855	78.09833338338338	-649.956667067067	-368.2225002252252	320.7833335335335	-78.09833338338338	320.7833335335335	320.7833335335335	-320.7833335335335	-78.09833338338338	-78.09833338338338	78.09833338338338	649.956667067067	320.7833335335335	78.09833338338338	78.09833338338338	-78.09833338338338	649.956667067067	-320.7833335335335	649.956667067067	-649.956667067067	-312.39333353353345	78.09833338338338	78.09833338338338	-312.39333353353345	-78.09833338338338	8.39	78.09833338338338	320.7833335335335
8	-343.0583330580582	737.0499993993998	245.68333313313326	343.0583330580582	59.32333328328332	-499.7566662662665	-283.73499977477496	245.68333313313326	-59.32333328328332	245.68333313313326	245.68333313313326	-245.68333313313326	-59.32333328328332	-59.32333328328332	59.32333328328332	499.7566662662665	245.68333313313326	59.32333328328332	59.32333328328332	-59.32333328328332	499.7566662662665	-245.68333313313326	499.7566662662665	-499.7566662662665	-237.29333313313325	59.32333328328332	59.32333328328332	-237.29333313313327	-59.32333328328332	8.39	59.32333328328332	245.68333313313326
9	-274.30860805805804	587.0505993993993	195.6835331331331	274.30860805805804	46.82338328328328	-399.7570662662662	-227.48522477477476	195.6835331331331	-46.82338328328328	195.6835331331331	195.6835331331331	-195.6835331331331	-46.82338328328328	-46.82338328328328	46.82338328328328	399.7570662662662	195.6835331331331	46.82338328328328	46.82338328328328	-46.82338328328328	399.7570662662662	-195.6835331331331	399.7570662662662	-399.7570662662662	-187.29353313313314	46.82338328328328	46.82338328328328	-187.2935331331331	-46.82338328328328	8.39	46.82338328328328	195.6835331331331
