	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
0	-370.4086666666666	555.6129999999997	185.20433333333324	370.4086666666666	-555.6129999999997	-370.4086666666666	8.389999999999986	8.389999999999986	185.20433333333324	-8.389999999999986	555.6129999999997	176.81433333333325	8.389999999999986	555.6129999999997	-185.20433333333324	555.6129999999997	-555.6129999999997	8.39	185.20433333333324
1	-518.2414086666666	777.3621129999999	259.1207043333333	518.2414086666666	-777.3621129999999	-518.2414086666666	8.389999999999986	8.389999999999986	259.1207043333333	-8.389999999999986	777.3621129999999	250.7307043333333	8.389999999999986	777.3621129999999	-259.1207043333333	777.3621129999999	-777.3621129999999	8.39	259.12070433333326
2	-222.57592466666654	333.8638869999998	111.28796233333328	222.57592466666654	-333.8638869999998	-222.57592466666654	8.389999999999986	8.389999999999986	111.28796233333328	-8.389999999999986	333.8638869999998	102.89796233333328	8.389999999999986	333.8638869999998	-111.28796233333328	333.8638869999998	-333.8638869999998	8.39	111.28796233333324
3	-592.3056124086667	888.458418613	296.15280620433333	592.3056124086667	-888.458418613	-592.3056124086667	8.389999999999986	8.389999999999986	296.15280620433333	-8.389999999999986	888.458418613	287.76280620433334	8.389999999999986	888.458418613	-296.15280620433333	888.458418613	-888.458418613	8.39	296.15280620433333
4	-444.1772049246665	666.2658073869998	222.08860246233326	444.1772049246665	-666.2658073869998	-444.1772049246665	8.389999999999986	8.389999999999986	222.08860246233326	-8.389999999999986	666.2658073869998	213.69860246233324	8.389999999999986	666.2658073869998	-222.08860246233326	666.2658073869998	-666.2658073869998	8.39	222.08860246233326
5	-296.34446292466646	444.5166943869997	148.17223146233323	296.34446292466646	-444.5166943869997	-296.34446292466646	8.389999999999986	8.389999999999986	148.17223146233323	-8.389999999999986	444.5166943869997	139.78223146233321	8.389999999999986	444.5166943869997	-148.17223146233323	444.5166943869997	-444.5166943869997	8.39	148.17223146233323
6	-148.80738640866645	223.2110796129997	74.40369320433322	148.80738640866645	-223.2110796129997	-148.80738640866645	8.389999999999986	8.389999999999986	74.40369320433322	-8.389999999999986	223.2110796129997	66.01369320433322	8.389999999999986	223.2110796129997	-74.40369320433322	223.2110796129997	-223.2110796129997	8.39	74.40369320433324
7	-629.4117784834087	944.1176677251132	314.70588924170437	629.4117784834087	-944.1176677251132	-629.4117784834087	8.389999999999986	8.389999999999986	314.70588924170437	-8.389999999999986	944.1176677251132	306.3158892417044	8.389999999999986	944.1176677251132	-314.70588924170437	944.1176677251132	-944.1176677251132	8.39	314.7058892417044
8	-555.1994463339247	832.799169500887	277.59972316696235	555.1994463339247	-832.799169500887	-555.1994463339247	8.389999999999986	8.389999999999986	277.59972316696235	-8.389999999999986	832.799169500887	269.20972316696236	8.389999999999986	832.799169500887	-277.59972316696235	832.799169500887	-832.799169500887	8.39	277.59972316696235
9	-481.13524259192457	721.7028638878868	240.56762129596225	481.13524259192457	-721.7028638878868	-481.13524259192457	8.389999999999986	8.389999999999986	240.56762129596225	-8.389999999999986	721.7028638878868	232.17762129596224	8.389999999999986	721.7028638878868	-240.56762129596225	721.7028638878868	-721.7028638878868	8.39	240.56762129596228
