	rxn10125	rxn13726	rxn00248	rxn08094	rxn02465	rxn00184	rxn05312	rxn05318	rxn00799	rJB00240	rJB00238	rxn10113	rxn00285	rxn05307	rxn00165	rxn05158	rxn00615	rxn13836	rxn00148	rxn05466	rxn10042	rxn01637	rxn05687	rxn10182	rxn00134	rxn05581	rxn00097	rxn00251	rxn01636	rxn10165	rxn01917	rxn05493	rxn05467	rxn05468	EX_cpd00024_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00106_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00054_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00064_e	EX_cpd00009_e	EX_cpd00036_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
0	-169.17450464788735	289.42658944281516	60.12604239746391	60.12604239746391	56.39150154929578	112.78300309859156	696.584846331626	369.0651774193548	-60.12604239746391	60.12604239746391	-60.12604239746391	289.42658944281516	-60.12604239746391	-60.12604239746391	-60.12604239746391	410.6106859264383	-1000.0	107.19553225806435	60.12604239746391	-52.65696070112765	289.42658944281516	56.39150154929578	56.39150154929578	-56.39150154929578	369.0651774193548	1000.0	308.93913502189093	60.12604239746391	-56.39150154929578	589.3893140735618	-56.39150154929578	3.7345408481681304	-120.25208479492782	144.71329472140792	-3.7345408481681304	-369.0651774193548	120.25208479492782	-60.12604239746391	1000.0	-1000.0	-3.7345408481682014	60.12604239746391	52.65696070112765	-144.71329472140758	-56.39150154929578	-107.19553225806419	60.12604239746391	8.39	-107.19553225806465	107.19553225806435	369.06517741935494
1	-215.05156281818188	402.2810045366569	93.61472085923751	93.61472085923751	71.68385427272729	143.36770854545458	1000.0	457.7365035645161	-93.61472085923751	93.61472085923751	-93.61472085923751	402.2810045366569	-93.61472085923751	-93.61472085923751	-93.61472085923751	373.2095106935484	-1000.0	373.2095106935484	93.61472085923751	-49.75298768621707	402.2810045366569	71.68385427272729	71.68385427272729	-71.68385427272729	457.7365035645161	1000.0	364.12178270527863	93.61472085923751	-71.68385427272729	626.7904893064516	-71.68385427272729	21.93086658651022	-187.22944171847502	201.14050226832845	-21.93086658651022	-457.7365035645161	187.22944171847502	-93.61472085923751	1000.0	-1000.0	-21.93086658651015	93.61472085923751	49.75298768621707	-201.14050226832845	-71.68385427272729	-373.2095106935484	93.61472085923751	8.39	-373.2095106935484	373.2095106935484	457.73650356451583
2	-220.95451352576376	370.4283038797657	74.73689517700097	74.73689517700097	73.65150450858792	147.30300901717584	1000.0	369.06517741935494	-74.73689517700097	74.73689517700097	-74.73689517700097	370.4283038797657	-74.73689517700097	-74.73689517700097	-74.73689517700097	107.19553225806462	-554.4905705967727	552.7049616612918	74.73689517700097	-72.56611384017486	370.4283038797657	73.65150450858792	73.65150450858792	-73.65150450858792	369.06517741935494	554.4905705967727	294.32828224235396	74.73689517700097	-73.65150450858792	447.2950383387081	-73.65150450858792	1.085390668413055	-149.47379035400195	185.21415193988284	-1.085390668413055	-369.06517741935494	149.47379035400195	-74.73689517700097	554.4905705967727	-554.4905705967726	-1.0853906684131402	74.73689517700097	72.56611384017486	-185.21415193988284	-73.65150450858792	-552.7049616612919	74.73689517700097	8.39	-552.7049616612918	552.7049616612918	369.06517741935494
3	-107.31072984627224	459.0476799734695	175.86847506359862	175.86847506359862	35.770243282090746	71.54048656418149	1000.0	502.33889140772607	-175.86847506359862	175.86847506359862	-175.86847506359862	459.0476799734695	-175.86847506359862	-175.86847506359862	-175.86847506359862	507.01667422317803	-1000.0	507.01667422317803	175.86847506359862	104.32798849941713	459.0476799734695	35.770243282090746	35.770243282090746	-35.770243282090746	502.33889140772607	1000.0	326.47041634412744	175.86847506359862	-35.770243282090746	492.98332577682197	-35.770243282090746	140.09823178150788	-351.73695012719725	229.52383998673474	-140.09823178150788	-502.33889140772607	351.73695012719725	-175.86847506359862	1000.0	-1000.0	-140.0982317815078	175.86847506359862	-104.32798849941713	-229.52383998673474	-35.770243282090746	-507.01667422317803	175.86847506359862	8.39	-507.01667422317803	507.01667422317803	502.33889140772567
4	-156.35595943390305	364.8305720124405	104.23730628926873	104.23730628926873	52.118653144634365	104.23730628926873	848.5958383194815	428.3111637240604	-104.23730628926873	104.23730628926873	-104.23730628926873	364.8305720124405	-104.23730628926873	-104.23730628926873	-104.23730628926873	436.33765285269976	-1000.0	284.9334911721812	104.23730628926873	0.0	364.8305720124405	52.118653144634365	52.118653144634365	-52.118653144634365	428.3111637240604	1000.0	324.07385743479165	104.23730628926873	-52.118653144634365	563.6623471473002	-52.118653144634365	52.118653144634365	-208.47461257853746	182.41528600622024	-52.118653144634365	-428.3111637240604	208.47461257853746	-104.23730628926873	1000.0	-999.9999999999999	-52.11865314463466	104.23730628926873	0.0	-182.41528600622024	-52.118653144634365	-284.9334911721812	104.23730628926873	8.39	-284.9334911721812	284.9334911721812	428.31116372406063
5	0.0	493.6643135972585	246.83215679862926	246.83215679862926	0.0	0.0	1000.0	480.99294079177525	-246.83215679862926	246.83215679862926	-246.83215679862926	493.6643135972585	-246.83215679862926	-246.83215679862926	-246.83215679862926	442.9788223753257	-660.1868607575052	782.7919616178206	246.83215679862926	246.83215679862926	493.6643135972585	0.0	0.0	0.0	480.99294079177525	660.1868607575052	234.160783993146	246.83215679862926	0.0	217.20803838217944	0.0	246.83215679862926	-493.6643135972585	246.83215679862926	-246.83215679862926	-480.99294079177525	493.6643135972585	-246.83215679862926	660.1868607575052	-660.1868607575052	-246.8321567986291	246.83215679862926	-246.83215679862926	-246.83215679862926	0.0	-782.7919616178206	246.83215679862926	8.39	-782.7919616178206	782.7919616178206	480.99294079177525
6	-116.6011619839897	411.0101628126779	147.20450041434407	147.20450041434407	38.86705399466323	77.73410798932646	1000.0	369.0651774193548	-147.20450041434407	147.20450041434407	-147.20450041434407	411.0101628126779	-147.20450041434407	-147.20450041434407	-147.20450041434407	107.19553225806462	-331.2903464657559	775.9051857923088	147.20450041434407	69.47039242501761	411.0101628126779	38.86705399466323	38.86705399466323	-38.86705399466323	369.0651774193548	331.2903464657559	221.86067700501076	147.20450041434407	-38.86705399466323	224.09481420769123	-38.86705399466323	108.33744641968084	-294.40900082868814	205.50508140633895	-108.33744641968084	-369.0651774193548	294.40900082868814	-147.20450041434407	331.2903464657559	-331.29034646575576	-108.33744641968082	147.20450041434407	-69.47039242501761	-205.50508140633895	-38.86705399466323	-775.9051857923088	147.20450041434407	8.39	-775.9051857923088	775.9051857923088	369.06517741935494
7	-229.21451542995908	382.02419238326513	76.40483847665303	76.40483847665303	76.40483847665303	152.80967695330605	1000.0	413.4895118180807	-76.40483847665303	76.40483847665303	-76.40483847665303	382.02419238326513	-76.40483847665303	-76.40483847665303	-76.40483847665303	240.468535454242	-801.6835246186071	438.78501083563526	76.40483847665303	-76.40483847665303	382.02419238326513	76.40483847665303	76.40483847665303	-76.40483847665303	413.4895118180807	801.6835246186071	337.0846733414277	76.40483847665303	-76.40483847665303	561.214989164365	-76.40483847665303	0.0	-152.80967695330605	191.01209619163257	0.0	-413.4895118180807	152.80967695330605	-76.40483847665303	801.6835246186071	-801.6835246186071	0.0	76.40483847665303	76.40483847665303	-191.01209619163257	-76.40483847665303	-438.78501083563503	76.40483847665303	8.39	-438.78501083563526	438.78501083563526	413.4895118180809
8	0.0	333.9049315196483	166.95246575982415	166.95246575982415	0.0	0.0	597.7023483649355	404.0124461940093	-166.95246575982415	166.95246575982415	-166.95246575982415	333.9049315196483	-166.95246575982415	-166.95246575982415	-166.95246575982415	614.3349902170926	-1000.0	212.03733858202816	166.95246575982415	166.95246575982415	333.90493151964824	0.0	0.0	0.0	404.0124461940093	1000.0	237.05998043418518	166.95246575982415	0.0	385.6650097829074	0.0	166.95246575982415	-333.9049315196483	166.95246575982415	-166.95246575982415	-404.0124461940093	333.9049315196483	-166.95246575982415	1000.0	-1000.0	-166.95246575982407	166.95246575982415	-166.95246575982415	-166.95246575982415	0.0	-212.03733858202804	166.95246575982415	8.39	-212.03733858202816	212.03733858202816	404.0124461940094
9	-283.3356295543533	366.3033779767386	41.483874211192656	41.483874211192656	94.4452098514511	188.8904197029022	1000.0	429.46836841029454	-41.483874211192656	41.483874211192656	-41.483874211192656	366.3033779767386	-41.483874211192656	-41.483874211192656	-41.483874211192656	288.4051052308838	-1000.0	288.4051052308839	41.483874211192656	-147.40654549170955	366.3033779767386	94.4452098514511	94.4452098514511	-94.4452098514511	429.46836841029454	1000.0	387.9844941991019	41.483874211192656	-94.4452098514511	711.5948947691162	-94.4452098514511	-52.96133564025844	-82.96774842238531	183.1516889883693	52.96133564025844	-429.46836841029454	82.96774842238531	-41.483874211192656	1000.0	-999.9999999999999	52.9613356402585	41.483874211192656	147.40654549170955	-183.1516889883693	-94.4452098514511	-288.4051052308838	41.483874211192656	8.39	-288.4051052308839	288.4051052308839	429.46836841029466
