opt_fraction	R_value	p_value
0.1	0.10453225805809824	0.474733884418039
0.2	0.10940109006445747	0.4542862134301071
0.3	0.09963126970053503	0.4958002988991742
0.4	0.09963126970053503	0.4958002988991742
0.5	0.11570408893253921	0.42854475938127523
0.6	0.20672880473532732	0.15410167181300538
0.7	0.24237024918966393	0.04814083143582657
0.8	0.1678351396264821	0.19604242910410205
0.9	0.06768741748256897	0.6136641733639723
0.65	0.15800860068950487	0.2782156822682844
0.75	0.22709238547945132	0.06459136462863387
0.725	0.22992215340330846	0.061242856027671586
0.687	0.28868512237908367	0.039929058838982685
0.675	0.2896161279817039	0.03926426556039037
0.713	0.2628665352993004	0.03162536846159853
