	rxn10125	rxn13726	rxn00083	rxn00154	rxn00986	rxn00675	rxn05312	rxn05318	rxn00256	rxn10113	rxn00974	rxn00175	rxn00148	rxn10042	rxn12788	rxn00670	rxn00985	rxn00134	rxn13299	rxn13643	rxn00251	rxn05467	rxn05319	rxn05468	rxn05488	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	rxn00695	EX_cpd00331_e	ATPM	DM_cpd00002_c
0	-8.619616666666966	120.2154000000037	-8.619616666666966	120.2154000000037	-163.0838666666716	163.0838666666716	592.6870000000185	197.56233333333952	120.2154000000037	120.2154000000037	-120.2154000000037	-240.4308000000074	120.2154000000037	120.2154000000037	120.2154000000037	163.0838666666717	-163.0838666666716	197.56233333333952	77.34693333333578	77.34693333333578	120.2154000000037	-240.4308000000074	-472.47160000001475	60.10770000000185	-240.4308000000074	240.4308000000074	-197.56233333333952	240.4308000000074	-232.04080000000747	472.47160000001475	-60.10770000000185	-592.6870000000185	77.34693333333578	-120.2154000000037	8.39	197.56233333333947
1	-12.00710311666684	160.86523740000223	-12.00710311666684	160.86523740000223	-217.28364986666963	217.28364986666963	795.9361870000112	265.31206233333705	160.86523740000223	160.86523740000223	-160.86523740000223	-321.73047480000446	160.86523740000223	160.86523740000223	160.86523740000223	217.28364986666963	-217.28364986666963	265.31206233333705	104.44682493333482	104.44682493333482	160.86523740000223	-321.73047480000446	-635.0709496000089	80.43261870000111	-321.73047480000446	321.73047480000446	-265.31206233333705	321.73047480000446	-313.34047480000453	635.0709496000089	-80.43261870000111	-795.9361870000112	104.44682493333482	-160.86523740000223	8.39	265.31206233333705
2	-5.232130216666775	79.56556260000156	-5.232130216666775	79.56556260000156	-108.88408346666874	108.88408346666874	389.4378130000078	129.81260433333594	79.56556260000156	79.56556260000156	-79.56556260000156	-159.1311252000031	79.56556260000156	79.56556260000156	79.56556260000156	108.88408346666874	-108.88408346666874	129.81260433333594	50.24704173333436	50.24704173333436	79.56556260000156	-159.1311252000031	-309.87225040000624	39.78278130000078	-159.1311252000031	159.1311252000031	-129.81260433333594	159.1311252000031	-150.7411252000031	309.87225040000624	-39.78278130000078	-389.4378130000078	50.24704173333436	-79.56556260000156	8.39	129.81260433333594
3	-13.71103595521695	181.31243146260357	-13.71103595521695	181.31243146260357	-244.54657528347144	244.54657528347144	898.1721573130178	299.3907191043393	181.31243146260357	181.31243146260357	-181.31243146260357	-362.62486292520714	181.31243146260357	181.31243146260357	181.31243146260357	244.54657528347138	-244.54657528347144	299.3907191043393	118.0782876417357	118.0782876417357	181.31243146260357	-362.62486292520714	-716.8597258504144	90.65621573130178	-362.62486292520714	362.62486292520714	-299.3907191043393	362.62486292520714	-354.2348629252071	716.8597258504144	-90.65621573130178	-898.1721573130178	118.0782876417357	-181.31243146260357	8.39	299.39071910433927
4	-6.929260928116871	99.93113113740255	-6.929260928116871	99.93113113740255	-136.03817484987007	136.03817484987007	491.2656556870128	163.75521856233757	99.93113113740255	99.93113113740255	-99.93113113740255	-199.8622622748051	99.93113113740255	99.93113113740255	99.93113113740255	136.03817484987013	-136.03817484987007	163.75521856233757	63.824087424935016	63.824087424935016	99.93113113740255	-199.8622622748051	-391.33452454961014	49.96556556870127	-199.8622622748051	199.8622622748051	-163.75521856233757	199.8622622748051	-191.47226227480516	391.33452454961014	-49.96556556870127	-491.2656556870128	63.824087424935016	-99.93113113740255	8.39	163.7552185623376
5	-10.316747378116903	140.5809685374028	-10.316747378116903	140.5809685374028	-190.23795804987043	190.23795804987043	694.5148426870142	231.50494756233803	140.5809685374028	140.5809685374028	-140.5809685374028	-281.1619370748056	140.5809685374028	140.5809685374028	140.5809685374028	190.23795804987043	-190.23795804987043	231.50494756233803	90.92397902493522	90.92397902493522	140.5809685374028	-281.1619370748056	-553.9338741496111	70.2904842687014	-281.1619370748056	281.1619370748056	-231.50494756233803	281.1619370748056	-272.77193707480563	553.9338741496111	-70.2904842687014	-694.5148426870142	90.92397902493522	-140.5809685374028	8.39	231.504947562338
6	-3.548522405216687	59.36226886260045	-3.548522405216687	59.36226886260045	-81.94635848346726	81.94635848346726	288.42134431300224	96.1404481043341	59.36226886260045	59.36226886260045	-59.36226886260045	-118.7245377252009	59.36226886260045	59.36226886260045	59.36226886260045	81.94635848346726	-81.94635848346726	96.1404481043341	36.778179241733625	36.778179241733625	59.36226886260045	-118.7245377252009	-229.0590754504018	29.681134431300226	-118.7245377252009	118.7245377252009	-96.1404481043341	118.7245377252009	-110.3345377252009	229.0590754504018	-29.681134431300226	-288.42134431300224	36.778179241733625	-59.36226886260045	8.39	96.14044810433407
7	-12.857365603103345	171.0683872372403	-12.857365603103345	171.0683872372403	-230.88784964965373	230.88784964965373	846.9519361862015	282.3173120620672	171.0683872372403	171.0683872372403	-171.0683872372403	-342.1367744744806	171.0683872372403	171.0683872372403	171.0683872372403	230.88784964965373	-230.88784964965373	282.3173120620672	111.24892482482687	111.24892482482687	171.0683872372403	-342.1367744744806	-675.8835489489611	85.53419361862015	-342.1367744744806	342.1367744744806	-282.3173120620672	342.1367744744806	-333.74677447448056	675.8835489489611	-85.53419361862015	-846.9519361862015	111.24892482482687	-171.0683872372403	8.39	282.3173120620671
8	-6.0789984416803735	89.72798130016449	-6.0789984416803735	89.72798130016449	-122.43397506688598	122.43397506688598	440.2499065008224	146.74996883360745	89.72798130016449	89.72798130016449	-89.72798130016449	-179.45596260032897	89.72798130016449	89.72798130016449	89.72798130016449	122.43397506688598	-122.43397506688598	146.74996883360745	57.02198753344299	57.02198753344299	89.72798130016449	-179.45596260032897	-350.52192520065796	44.86399065008224	-179.45596260032897	179.45596260032897	-146.74996883360745	179.45596260032897	-171.06596260032887	350.52192520065796	-44.86399065008224	-440.2499065008224	57.02198753344299	-89.72798130016449	8.39	146.7499688336075
9	-14.557904180230553	191.4748501627668	-14.557904180230553	191.4748501627668	-258.0964668836891	258.0964668836891	948.984250813834	316.3280836046114	191.4748501627668	191.4748501627668	-191.4748501627668	-382.9497003255336	191.4748501627668	191.4748501627668	191.4748501627668	258.09646688368906	-258.0964668836891	316.3280836046114	124.85323344184451	124.85323344184451	191.4748501627668	-382.9497003255336	-757.5094006510674	95.7374250813834	-382.9497003255336	382.9497003255336	-316.3280836046114	382.9497003255336	-374.55970032553364	757.5094006510674	-95.7374250813834	-948.984250813834	124.85323344184451	-191.4748501627668	8.39	316.3280836046114
