opt_fraction	R_value	p_value
0.1	0.07388075727726463	0.6684863395202723
0.2	0.09712714383466799	0.5730731454722938
0.3	0.07895755434152514	0.6471379347945048
0.4	0.07895755434152514	0.6471379347945048
0.5	0.061706696379433705	0.7015253971947661
0.6	0.03247288149947486	0.8402679992824832
0.7	0.03401538785294274	0.8327857909186932
0.8	0.041684639756126116	0.7958127061971604
0.9	0.07006274066820938	0.6012460417640703
0.15	0.07895755434152514	0.6471379347945048
0.25	0.07895755434152514	0.6471379347945048
0.225	0.07895755434152514	0.6471379347945048
0.175	0.07895755434152514	0.6471379347945048
0.187	0.09954752484415239	0.5635046138892091
0.213	0.07895755434152514	0.6471379347945048
