term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
ribosome	6	457	55	5976	0.24179704795500875	1.0
rna degradation	3	457	16	5976	0.11832230910143843	1.0
rna polymerase	1	457	4	5976	0.2726170779070261	1.0
selenocompound metabolism	0	457	10	5976	1.0	1.0
sphingolipid metabolism	0	457	2	5976	1.0	1.0
starch and sucrose metabolism	0	457	16	5976	1.0	1.0
streptomycin biosynthesis	1	457	8	5976	0.47103151307325963	1.0
styrene degradation	0	457	11	5976	1.0	1.0
sulfur metabolism	1	457	49	5976	0.980050889785829	1.0
sulfur relay system	0	457	18	5976	1.0	1.0
synthesis and degradation of ketone bodies	0	457	10	5976	1.0	1.0
taurine and hypotaurine metabolism	1	457	9	5976	0.5115373104133268	1.0
terpenoid backbone biosynthesis	0	457	16	5976	1.0	1.0
thiamine metabolism	0	457	13	5976	1.0	1.0
toluene degradation	0	457	3	5976	1.0	1.0
tryptophan metabolism	2	457	26	5976	0.602081135809583	1.0
two-component system	13	457	203	5976	0.7883686814033446	1.0
tyrosine metabolism	1	457	27	5976	0.8838481827966828	1.0
ubiquinone and other terpenoid-quinone biosynthesis	2	457	17	5976	0.37746528834676024	1.0
valine, leucine and isoleucine biosynthesis	0	457	19	5976	1.0	1.0
valine, leucine and isoleucine degradation	2	457	47	5976	0.8846637248889716	1.0
vancomycin resistance	3	457	9	5976	0.026349581171565592	0.7904874351469677
vitamin b6 metabolism	1	457	9	5976	0.5115373104133268	1.0
xylene degradation	0	457	5	5976	1.0	1.0
