term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	10	421	30	5976	2.2576106328753035e-05	0.0003386415949312955
abc transporters	13	421	191	5976	0.5941131182079952	0.9901885303466587
acarbose and validamycin biosynthesis	0	421	2	5976	1.0	1.0
alanine, aspartate and glutamate metabolism	3	421	36	5976	0.47076985010497724	0.8691135694245734
alpha-linolenic acid metabolism	3	421	3	5976	0.00034732151962048335	0.003788962032223455
amino sugar and nucleotide sugar metabolism	5	421	31	5976	0.06314168309931882	0.2769746780444856
aminoacyl-trna biosynthesis	6	421	27	5976	0.009799881899038562	0.07349911424278922
aminobenzoate degradation	2	421	17	5976	0.33910246701020164	0.7398599280222582
arachidonic acid metabolism	1	421	4	5976	0.2534466679477063	0.6611652207331469
arginine and proline metabolism	4	421	46	5976	0.40855843745048204	0.8561537204401847
arginine biosynthesis	3	421	29	5976	0.33525795037228756	0.7398599280222582
ascorbate and aldarate metabolism	0	421	6	5976	1.0	1.0
bacterial chemotaxis	2	421	46	5976	0.8453043593160559	1.0
bacterial secretion system	4	421	92	5976	0.8973134723343176	1.0
base excision repair	1	421	13	5976	0.6135218520765822	1.0
benzoate degradation	6	421	35	5976	0.03344264820650116	0.1672132410325058
beta-alanine metabolism	0	421	27	5976	1.0	1.0
beta-lactam resistance	1	421	27	5976	0.8615016341423272	1.0
biofilm formation - pseudomonas aeruginosa	9	421	103	5976	0.3000950013700044	0.727921440638507
biosynthesis of amino acids	24	421	141	5976	3.968312722519229e-05	0.0005291083630025639
biosynthesis of antibiotics	37	421	247	5976	7.478210248277757e-06	0.00014956420496555514
biosynthesis of secondary metabolites	46	421	335	5976	6.386193932986218e-06	0.00014956420496555514
biosynthesis of siderophore group nonribosomal peptides	1	421	8	5976	0.44277133981780226	0.8569767867441334
biosynthesis of unsaturated fatty acids	0	421	13	5976	1.0	1.0
biotin metabolism	3	421	21	5976	0.18076831973428711	0.5290780089784013
butanoate metabolism	5	421	40	5976	0.14751245410190195	0.4538844741596983
c5-branched dibasic acid metabolism	2	421	13	5976	0.23192435909717282	0.6472307695735056
caprolactam degradation	0	421	8	5976	1.0	1.0
carbapenem biosynthesis	0	421	2	5976	1.0	1.0
carbon metabolism	26	421	128	5976	6.162515434727154e-07	7.395018521672585e-05
cationic antimicrobial peptide (camp) resistance	3	421	28	5976	0.31543262427668634	0.727921440638507
chloroalkane and chloroalkene degradation	1	421	8	5976	0.44277133981780226	0.8569767867441334
chlorocyclohexane and chlorobenzene degradation	0	421	5	5976	1.0	1.0
citrate cycle (tca cycle)	3	421	33	5976	0.41380763154608924	0.8561537204401847
cyanoamino acid metabolism	5	421	11	5976	0.0005485040653906897	0.005063114449760212
cysteine and methionine metabolism	5	421	39	5976	0.13644841423563453	0.4425353975209768
d-alanine metabolism	1	421	4	5976	0.2534466679477063	0.6611652207331469
d-arginine and d-ornithine metabolism	0	421	2	5976	1.0	1.0
d-glutamine and d-glutamate metabolism	0	421	5	5976	1.0	1.0
degradation of aromatic compounds	1	421	26	5976	0.8509558189811623	1.0
dna replication	1	421	17	5976	0.7116641906718266	1.0
ether lipid metabolism	0	421	3	5976	1.0	1.0
fatty acid biosynthesis	6	421	26	5976	0.008091314093386108	0.06473051274708887
fatty acid degradation	6	421	33	5976	0.025676428315362588	0.14519610265806146
fatty acid metabolism	11	421	49	5976	0.0004693514933304927	0.004693514933304927
flagellar assembly	3	421	35	5976	0.45203845877114246	0.861025635754557
fluorobenzoate degradation	0	421	8	5976	1.0	1.0
folate biosynthesis	1	421	25	5976	0.8396090558330737	1.0
fructose and mannose metabolism	5	421	18	5976	0.006737211648618143	0.05774752841672694
galactose metabolism	1	421	4	5976	0.2534466679477063	0.6611652207331469
geraniol degradation	4	421	16	5976	0.022405301116299674	0.13443180669779806
glutathione metabolism	4	421	26	5976	0.10623534513878977	0.38631034595923547
glycerolipid metabolism	0	421	14	5976	1.0	1.0
glycerophospholipid metabolism	3	421	28	5976	0.31543262427668634	0.727921440638507
glycine, serine and threonine metabolism	8	421	50	5976	0.02226166969243817	0.13443180669779806
glycolysis / gluconeogenesis	7	421	37	5976	0.013303960489526903	0.09391030933783696
glyoxylate and dicarboxylate metabolism	6	421	56	5976	0.19940743166039782	0.5697355190297081
histidine metabolism	0	421	23	5976	1.0	1.0
homologous recombination	1	421	24	5976	0.8274006690143653	1.0
inositol phosphate metabolism	0	421	7	5976	1.0	1.0
limonene and pinene degradation	0	421	7	5976	1.0	1.0
