term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
phosphotransferase system (pts)	2	388	5	5976	0.036876601296751126	0.22125960778050677
polyketide sugar unit biosynthesis	0	388	5	5976	1.0	1.0
porphyrin and chlorophyll metabolism	6	388	43	5976	0.05730624051760027	0.29728224104541723
propanoate metabolism	4	388	48	5976	0.3796969517504314	0.7819019620609817
protein export	2	388	17	5976	0.30353504007428805	0.7142000942924425
purine metabolism	9	388	79	5976	0.06877196014291774	0.3256717060928524
pyrimidine metabolism	4	388	47	5976	0.3646114275257838	0.7813102018409652
pyruvate metabolism	13	388	61	5976	0.00011171747607546281	0.00998129056040193
quorum sensing	5	388	101	5976	0.7943840651773741	1.0
riboflavin metabolism	0	388	10	5976	1.0	1.0
ribosome	2	388	55	5976	0.8810753682525939	1.0
rna degradation	1	388	16	5976	0.658864960457163	1.0
rna polymerase	2	388	4	5976	0.023110446409930215	0.17863367111349085
selenocompound metabolism	1	388	10	5976	0.4892236667370565	0.8393189494568353
sphingolipid metabolism	0	388	2	5976	1.0	1.0
starch and sucrose metabolism	2	388	16	5976	0.2788602367030029	0.7119835830714968
streptomycin biosynthesis	1	388	8	5976	0.4157145681578145	0.7819019620609817
styrene degradation	2	388	11	5976	0.15703925958649995	0.5234641986216665
sulfur metabolism	2	388	49	5976	0.8370500689497807	1.0
sulfur relay system	0	388	18	5976	1.0	1.0
synthesis and degradation of ketone bodies	1	388	10	5976	0.4892236667370565	0.8393189494568353
taurine and hypotaurine metabolism	1	388	9	5976	0.4537009534719512	0.8125987226363305
terpenoid backbone biosynthesis	1	388	16	5976	0.658864960457163	1.0
thiamine metabolism	0	388	13	5976	1.0	1.0
toluene degradation	0	388	3	5976	1.0	1.0
tryptophan metabolism	3	388	26	5976	0.23648999020886532	0.6449727005696327
two-component system	12	388	203	5976	0.6758185379391002	1.0
tyrosine metabolism	1	388	27	5976	0.8374225740157096	1.0
ubiquinone and other terpenoid-quinone biosynthesis	1	388	17	5976	0.6810730804810926	1.0
valine, leucine and isoleucine biosynthesis	4	388	19	5976	0.03113742456161082	0.20218790503032563
valine, leucine and isoleucine degradation	6	388	47	5976	0.08152576546510576	0.3493961377075961
vancomycin resistance	1	388	9	5976	0.4537009534719512	0.8125987226363305
vitamin b6 metabolism	0	388	9	5976	1.0	1.0
xylene degradation	0	388	5	5976	1.0	1.0
