term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
protein export	4	394	17	5976	0.02228458629322227	0.1910107396561909
purine metabolism	7	394	79	5976	0.2637761286238073	0.8671213393093034
pyrimidine metabolism	8	394	47	5976	0.01077680578914634	0.1077680578914634
pyruvate metabolism	2	394	61	5976	0.9182985257344168	1.0
quorum sensing	4	394	101	5976	0.9082232754360235	1.0
riboflavin metabolism	0	394	10	5976	1.0	1.0
ribosome	18	394	55	5976	5.649773847779047e-09	6.779728617334857e-07
rna degradation	6	394	16	5976	0.00035882098075079404	0.010764629422523821
rna polymerase	0	394	4	5976	1.0	1.0
selenocompound metabolism	0	394	10	5976	1.0	1.0
sphingolipid metabolism	0	394	2	5976	1.0	1.0
starch and sucrose metabolism	0	394	16	5976	1.0	1.0
streptomycin biosynthesis	1	394	8	5976	0.4207177857149242	1.0
styrene degradation	0	394	11	5976	1.0	1.0
sulfur metabolism	3	394	49	5976	0.6361316758890216	1.0
sulfur relay system	0	394	18	5976	1.0	1.0
synthesis and degradation of ketone bodies	0	394	10	5976	1.0	1.0
taurine and hypotaurine metabolism	1	394	9	5976	0.4589612831057287	1.0
terpenoid backbone biosynthesis	2	394	16	5976	0.28498142227834017	0.8671213393093034
thiamine metabolism	0	394	13	5976	1.0	1.0
toluene degradation	0	394	3	5976	1.0	1.0
tryptophan metabolism	3	394	26	5976	0.24357401968558232	0.8671213393093034
two-component system	16	394	203	5976	0.26324622790102753	0.8671213393093034
tyrosine metabolism	1	394	27	5976	0.8420812981837802	1.0
ubiquinone and other terpenoid-quinone biosynthesis	2	394	17	5976	0.31001901184980785	0.9073727176091937
valine, leucine and isoleucine biosynthesis	0	394	19	5976	1.0	1.0
valine, leucine and isoleucine degradation	3	394	47	5976	0.6076025446823025	1.0
vancomycin resistance	2	394	9	5976	0.11476980658849054	0.5297067996391871
vitamin b6 metabolism	1	394	9	5976	0.4589612831057287	1.0
xylene degradation	0	394	5	5976	1.0	1.0
