	rxn10125	rxn00288	rxn10126	rxn00779	rxn13726	rxn00248	rxn00781	rxn08094	rxn00154	rxn05312	rxn05318	rxn00799	rxn10113	rxn00285	rxn00175	rxn08556	rxn05158	rxn00615	rxn00148	rxn10042	rxn01100	rxn00134	rxn13299	rxn13643	rxn05581	rxn00459	rxn00097	rxn00251	rxn00747	rxn01106	rxn10165	rxn05493	rxn05467	rxn05319	rxn05468	rxn05488	EX_cpd00024_e	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	rxn00695	ATPM	DM_cpd00002_c
0	-180.27118636363628	79.18991911157025	79.18991911157025	180.27118636363628	237.56975733471074	79.18991911157025	-180.27118636363628	79.18991911157025	79.18991911157025	792.7115908057849	359.72997303719006	-79.18991911157025	316.759676446281	-79.18991911157025	-79.18991911157025	0.0	286.4783283057852	-1000.0	79.18991911157025	237.56975733471074	180.27118636363628	359.72997303719006	79.18991911157025	79.18991911157025	1000.0	0.0	201.35013481404957	79.18991911157025	0.0	0.0	713.5216716942148	79.18991911157025	-237.56975733471074	-158.3798382231405	158.3798382231405	-79.18991911157025	-79.18991911157025	79.18991911157025	-359.72997303719006	237.56975733471074	1000.0	-1000.0	158.3798382231405	-158.3798382231405	-79.18991911157013	79.18991911157025	8.39	359.7299730371902
1	-131.58357036783292	44.94631739271544	44.94631739271544	131.58357036783292	304.35498536963564	44.94631739271544	-46.82555377208827	44.94631739271544	129.7043339884601	1000.0	433.07345572664974	-44.94631739271544	434.0593193580957	-44.94631739271544	-129.7043339884601	84.75801659574465	299.22036717994916	-915.2419834042554	129.7043339884601	304.35498536963564	46.82555377208827	433.07345572664974	129.7043339884601	129.7043339884601	915.2419834042554	84.75801659574465	173.66478774972953	44.94631739271544	-84.75801659574465	-84.75801659574465	700.7796328200509	44.94631739271544	-219.59696877389098	-513.6827177641541	217.02965967904785	-129.7043339884601	-44.94631739271544	129.7043339884601	-433.07345572664974	219.59696877389098	915.2419834042554	-1000.0	513.6827177641541	-217.02965967904785	-299.2203671799491	129.7043339884601	8.39	433.07345572664997
2	-283.6634970908795	30.659420869978238	30.659420869978238	283.6634970908795	200.07523448094457	30.659420869978238	-229.61501115537448	30.659420869978238	84.70790680548315	1000.0	333.33333333333326	-30.659420869978238	284.78314128642785	-30.659420869978238	-84.70790680548315	54.04848593550503	0.0	-753.1466353880021	84.70790680548315	200.07523448094457	229.61501115537448	333.33333333333326	84.70790680548315	84.70790680548315	753.1466353880021	54.048485935504914	163.91751972236693	30.659420869978238	-54.04848593550503	-54.048485935504914	807.1951213235071	30.659420869978238	-146.02674854543963	-331.56127141748095	142.39157064321392	-84.70790680548315	-30.659420869978238	84.70790680548315	-333.33333333333326	146.02674854543963	753.1466353880021	-807.1951213235071	331.56127141748095	-142.39157064321392	-192.80487867649288	84.70790680548315	8.39	333.3333333333335
3	-213.20677638145557	2.2494528419848066	2.2494528419848066	213.20677638145557	214.84841785550117	2.2494528419848066	-109.15674671668228	2.2494528419848066	106.29948250675818	1000.0	333.3333333333333	-2.2494528419848066	321.14790036225935	-2.2494528419848066	-106.29948250675818	104.05002966477332	0.0	-581.5504284989216	106.29948250675818	214.84841785550117	109.15674671668228	333.3333333333333	106.29948250675818	106.29948250675818	581.5504284989216	104.05002966477338	120.73436831981695	2.2494528419848066	-104.05002966477332	-104.05002966477338	685.600458163695	2.2494528419848066	-110.79838819072779	-524.7490540078365	160.57395018112967	-106.29948250675818	-2.2494528419848066	106.29948250675818	-333.3333333333333	110.79838819072779	581.5504284989216	-685.600458163695	524.7490540078365	-160.57395018112967	-314.39954183630505	106.29948250675818	8.39	333.33333333333326
4	-105.6354202093204	76.8472062987549	76.8472062987549	105.6354202093204	230.5416188962647	76.8472062987549	-105.6354202093204	76.8472062987549	76.8472062987549	648.04272315884	331.70018024735	-76.8472062987549	307.3888251950196	-76.8472062987549	-76.8472062987549	0.0	347.05781758320916	-918.2533344432944	76.8472062987549	230.5416188962647	105.6354202093204	331.7001802473497	76.8472062987549	76.8472062987549	918.2533344432944	0.0	178.0057676498399	76.8472062987549	0.0	0.0	571.1955168600853	76.8472062987549	-230.5416188962647	-153.69441259750965	153.6944125975098	-76.8472062987549	-76.8472062987549	76.8472062987549	-331.7001802473497	230.5416188962647	918.2533344432944	-918.2533344432944	153.69441259750965	-153.6944125975098	-76.84720629875471	76.8472062987549	8.39	331.7001802473498
5	-269.35227386804337	61.01121921429481	61.01121921429481	269.35227386804337	237.66130204974579	61.01121921429481	-242.03845166461267	61.01121921429481	88.32504141772549	1000.0	380.98422860819556	-61.01121921429481	325.9863434674713	-61.01121921429481	-88.32504141772549	27.313822203430703	142.95268582458684	-972.6861777965693	88.32504141772549	237.66130204974579	242.03845166461267	380.98422860819556	88.32504141772549	88.32504141772549	972.6861777965693	27.313822203430703	204.33414577274462	61.01121921429481	-27.313822203430703	-27.313822203430703	857.0473141754131	61.01121921429481	-210.3474798463151	-258.591549445743	162.99317173373564	-88.32504141772549	-61.01121921429481	88.32504141772549	-380.98422860819556	210.3474798463151	972.6861777965693	-1000.0	258.591549445743	-162.99317173373564	-142.95268582458687	88.32504141772549	8.39	380.9842286081956
6	-109.16714464682123	0.0	0.0	109.16714464682123	274.6757436146597	0.0	28.170727160508612	0.0	137.33787180732986	1000.0	385.7061996559462	0.0	412.0136154219896	0.0	-137.33787180732986	137.33787180732983	157.11859896783847	-607.767111738519	137.33787180732986	274.6757436146597	-28.170727160508612	385.7061996559462	137.33787180732986	137.33787180732986	607.767111738519	137.33787180732986	111.03045604128647	0.0	-137.33787180732983	-137.33787180732986	587.9863845780104	0.0	-137.33787180732986	-686.6893590366493	206.0068077109948	-137.33787180732986	0.0	137.33787180732986	-385.7061996559462	137.33787180732986	607.767111738519	-745.1049835458489	686.6893590366493	-206.0068077109948	-412.0136154219896	137.33787180732986	8.39	385.7061996559461
7	-117.3069618114212	0.0	0.0	117.3069618114212	234.6139236228424	0.0	0.0	0.0	117.3069618114212	896.5630838120867	335.16001520783595	0.0	351.9208854342636	0.0	-117.3069618114212	117.3069618114212	108.91696181142117	-536.252198377823	117.3069618114212	234.6139236228424	0.0	335.16001520783595	117.3069618114212	117.3069618114212	536.252198377823	117.3069618114212	100.54609158499353	0.0	-117.3069618114212	-117.3069618114212	544.642198377823	0.0	-117.3069618114212	-586.534809057106	175.9604427171318	-117.3069618114212	0.0	117.3069618114212	-335.16001520783595	117.3069618114212	536.252198377823	-653.5591601892442	586.534809057106	-175.9604427171318	-351.9208854342637	117.3069618114212	8.39	335.16001520783595
8	-114.07234010148392	21.350151121030855	21.350151121030855	114.07234010148392	292.1951335660604	21.350151121030855	0.0	21.350151121030855	135.4224912225148	1000.0	411.2610822758897	-21.350151121030855	427.6176247885752	-21.350151121030855	-135.4224912225148	114.07234010148392	233.78324682766893	-756.143735300702	135.4224912225148	292.1951335660604	0.0	411.2610822758897	135.4224912225148	135.4224912225148	756.143735300702	114.07234010148392	140.4160998308601	21.350151121030855	-114.07234010148392	-114.07234010148392	636.4328285745171	21.350151121030855	-178.1227934645765	-613.0620027494815	213.8088123942876	-135.4224912225148	-21.350151121030855	135.4224912225148	-411.2610822758897	178.1227934645765	756.143735300702	-870.216075402186	613.0620027494815	-213.8088123942876	-363.5671714254829	135.4224912225148	8.39	411.26108227588935
9	-46.67194172684684	67.61480252604426	67.61480252604426	46.67194172684684	296.18829103182645	67.61480252604426	0.0	67.61480252604426	114.28674425289108	763.6598708234727	402.5435425688617	-67.61480252604426	410.47503528471753	-67.61480252604426	-114.28674425289108	46.67194172684684	443.97075688311213	-953.3280582731531	114.28674425289108	296.18829103182645	0.0	402.5435425688617	114.28674425289108	114.28674425289108	953.3280582731531	46.67194172684684	173.97005406307954	67.61480252604426	-46.67194172684684	-46.67194172684684	556.0292431168879	67.61480252604426	-249.5163493049796	-368.58931368632295	205.23751764235877	-114.28674425289108	-67.61480252604426	114.28674425289108	-402.5435425688617	249.5163493049796	953.3280582731531	-1000.0	368.58931368632295	-205.23751764235877	-207.63062770658485	114.28674425289108	8.39	402.54354256886165
