reaction	linear_coefficient
rxn00638	[np.float64(0.2727073461447807)]
rxn00763	[0.47585147690521507]
rxn03958	[0.5956925950734261]
rxn13906	[0.4077997354819304]
rxn01302	[0.12958820436908985]
rxn00834	[0.43832294303208014]
rxn05293	[0.3715221527378999]
rxn07967	[0.40379669186879596]
rxn00105	[0.3880347076420793]
rxn02373	[np.float64(0.2727073461447807)]
rxn02474	[0.46859596035640905]
rxn03055	[0.37077158206043725]
rxn09953	[0.20439508188953892]
rxn02112	[0.6297184657850684]
rxn02632	[0.6297184657850684]
rxn01686	[0.6297184657850684]
rxn13787	[0.07054331107535755]
rxn13896	[0.07054331107535755]
rxn01790	[0.3935388926101391]
rxn00859	[0.14459961791834386]
rxn08352	[0.48986212955118547]
rxn08756	[0.48986212955118547]
rxn00122	[0.1991410871473]
rxn00184	[0.46859596035640905]
rxn01011	[0.4408248452902892]
rxn06591	[0.12733649233670177]
rxn02186	[0.09856461636729831]
rxn08764	[0.09856461636729831]
rxn02929	[0.3655175873181983]
rxn00190	[0.4550856881620805]
rxn00138	[0.4550856881620805]
rxn08977	[0.3457525594783472]
rxn36840	[np.float64(0.2727073461447807)]
rxn02003	[0.2011426089538672]
rxn08291	[np.float64(0.2727073461447807)]
rxn13795	[0.055031517074461765]
rxn13788	[0.46859596035640905]
rxn00429	[0.45333435658133414]
rxn02440	[np.float64(0.2727073461447807)]
rxn00868	[np.float64(0.2727073461447807)]
rxn10074	[np.float64(0.2727073461447807)]
rxn01729	[np.float64(0.2727073461447807)]
rxn01068	[np.float64(0.2727073461447807)]
rxn01314	[np.float64(0.2727073461447807)]
rxn05570	[0.22090763679371828]
rxn05159	[0.22090763679371828]
rxn05180	[0.22090763679371828]
rxn10073	[0.22090763679371828]
rxn08087	[0.26594187744148023]
rxn08086	[0.26594187744148023]
rxn08089	[0.26594187744148023]
rxn08088	[0.26594187744148023]
rxn08085	[0.26594187744148023]
rxn08083	[0.26594187744148023]
rxn08084	[0.26594187744148023]
rxn10215	[0.26594187744148023]
rxn10218	[0.26594187744148023]
rxn10214	[0.26594187744148023]
rxn10219	[0.26594187744148023]
rxn10217	[0.26594187744148023]
rxn10216	[0.26594187744148023]
rxn10212	[0.26594187744148023]
rxn10211	[0.26594187744148023]
rxn10213	[0.26594187744148023]
rxn05175	[0.15235551491879176]
rxn03243	[0.35325826625297424]
rxn03248	[0.35325826625297424]
rxn06510	[0.35325826625297424]
rxn02804	[0.35325826625297424]
rxn02680	[0.35325826625297424]
rxn05619	[0.17412206456521004]
rxn05163	[0.15235551491879176]
rxn10158	[0.2103996473092405]
rxn05603	[0.2103996473092405]
rxn05154	[0.14985361266058275]
rxn00727	[0.12633573143341817]
rxn05161	[0.07479654491431284]
rxn05168	[0.07479654491431284]
rxn05155	[np.float64(0.2727073461447807)]
rxn05201	[0.13484219911132878]
rxn02831	[0.03701782081535698]
rxn13885	[0.07079350130117844]
rxn05512	[0.016001841846401407]
rxn08669	[0.3850324249322285]
rxn05156	[0.14985361266058275]
rxn05164	[0.14985361266058275]
rxn13828	[0.24892894208565905]
rxn13829	[0.24892894208565905]
rxn05247	[0.08955776823774592]
rxn05248	[0.08955776823774592]
rxn05249	[0.08955776823774592]
rxn05250	[0.08955776823774592]
rxn05251	[0.08955776823774592]
rxn05252	[0.08955776823774592]
rxn09450	[0.08955776823774592]
rxn09449	[0.08955776823774592]
rxn09448	[0.08955776823774592]
rxn05736	[0.08955776823774592]
rxn00947	[0.08955776823774592]
rxn13892	[np.float64(0.2727073461447807)]
rxn08002	[0.39529022419088533]
rxn05349	[0.39529022419088533]
rxn00187	[0.04577447871908848]
rxn05331	[0.16086198259670237]
rxn05333	[0.16086198259670237]
rxn10221	[0.34199970609103375]
rxn10224	[0.34199970609103375]
rxn08306	[0.34199970609103375]
rxn08307	[0.34199970609103375]
rxn08308	[0.34199970609103375]
rxn08310	[0.34199970609103375]
rxn08311	[0.34199970609103375]
rxn08312	[0.34199970609103375]
rxn10220	[0.34199970609103375]
rxn10225	[0.34199970609103375]
rxn10223	[0.34199970609103375]
rxn10222	[0.34199970609103375]
rxn10481	[0.06353798475237236]
rxn10344	[0.06353798475237236]
rxn10343	[0.06353798475237236]
rxn01629	[np.float64(0.2727073461447807)]
rxn00986	[0.37177234296372075]
rxn00675	[0.37177234296372075]
rxn05206	[0.07304521333356653]
rxn02911	[0.024258119298491095]
rxn03240	[0.024258119298491095]
rxn03241	[0.024258119298491095]
rxn03245	[0.024258119298491095]
rxn03250	[0.024258119298491095]
rxn03247	[0.024258119298491095]
rxn05165	[0.2261616315359572]
rxn05181	[0.22090763679371828]
rxn10978	[0.2103996473092405]
rxn13831	[np.float64(0.2727073461447807)]
rxn10338	[0.20439508188953892]
rxn10341	[0.20439508188953892]
rxn10337	[0.20439508188953892]
rxn10342	[0.20439508188953892]
rxn10340	[0.20439508188953892]
rxn10339	[0.20439508188953892]
rxn10335	[0.20439508188953892]
rxn10334	[0.20439508188953892]
rxn10336	[0.20439508188953892]
rxn13785	[0.26594187744148023]
rPY00162	[0.26594187744148023]
rPY00167	[0.26594187744148023]
rxn02160	[np.float64(0.2727073461447807)]
rxn13872	[0.16086198259670237]
rxn01964	[0.23116543605237513]
rxn00416	[0.15085437356386636]
rxn05651	[0.34250008654267555]
rxn05564	[np.float64(0.2727073461447807)]
rxn01192	[0.39529022419088533]
rxn12206	[0.1255851607559555]
rxn12432	[np.float64(0.2727073461447807)]
rxn00874	[0.40154497983640797]
rxn02483	[0.4108020181917812]
rxn01827	[0.46859596035640905]
rxn03393	[0.13409162843386607]
rxn05176	[0.17412206456521004]
rxn05153	[0.08730605620535782]
rxn00858	[np.float64(0.2727073461447807)]
rxn05237	[0.07079350130117844]
rxn11080	[0.07079350130117844]
rxn09657	[0.13859505249864226]
rxn05202	[0.13484219911132878]
rxn05682	[0.13859505249864226]
rxn05312	[0.08080111033401444]
rxn05527	[0.13859505249864226]
rxn05318	[0.13859505249864226]
rxn05198	[0.13859505249864226]
rxn05317	[0.13859505249864226]
rxn05205	[0.13859505249864226]
rxn05316	[0.13859505249864226]
rxn05200	[0.13859505249864226]
rxn05199	[0.13859505249864226]
rxn09688	[0.13859505249864226]
rxn09687	[0.13859505249864226]
rxn09685	[0.13859505249864226]
rxn02287	[0.07955015920490993]
rxn00567	[0.14860266153147825]
rJB00273	[0.04927714188058107]
rJB00274	[0.04927714188058107]
rxn04092	[0.14484980814416476]
rxn08550	[0.24892894208565905]
rxn08552	[0.24892894208565905]
rxn02503	[0.06954255017207395]
rxn00256	[0.4230613392570052]
rxn00225	[0.18212815179147882]
rxn00799	[0.08680567575371602]
rxn05663	[np.float64(0.2727073461447807)]
rxn00806	[0.12958820436908985]
rxn00493	[0.12958820436908985]
rxn05108	[0.12958820436908985]
rxn12562	[0.2103996473092405]
rJB00237	[0.2103996473092405]
rJB00240	[0.2103996473092405]
rxn05207	[0.2103996473092405]
rJB00238	[0.2103996473092405]
rxn03004	[0.18212815179147882]
rxn13841	[0.08780643665699962]
rxn01644	[0.4638423460658119]
rxn04093	[0.14484980814416476]
rxn05179	[0.07479654491431284]
rxn13794	[0.09731366523819382]
rxn10170	[0.09731366523819382]
rxn05169	[0.09731366523819382]
rxn01352	[0.1728711134361055]
rxn09016	[0.1728711134361055]
rxn05231	[0.406048403901184]
rxn06076	[0.406048403901184]
rxn05233	[0.406048403901184]
rxn06075	[0.406048403901184]
rxn12498	[0.06729083813968585]
rJB00269	[0.06729083813968585]
rxn05561	[0.3965411753199899]
rxn10154	[0.3965411753199899]
rxn00902	[0.4108020181917812]
rxn00269	[0.14484980814416476]
rxn03541	[0.5939412634926798]
rxn05315	[0.47585147690521507]
rxn10113	[0.019254314782073102]
rJB00267	[0.019254314782073102]
rxn05152	[np.float64(0.2727073461447807)]
rxn05146	[np.float64(0.2727073461447807)]
rxn08861	[0.39529022419088533]
rxn00394	[0.16086198259670237]
rxn05197	[0.13484219911132878]
rxn01225	[0.21014945708341956]
rxn08527	[0.09731366523819382]
rxn01732	[0.40554802344954227]
rxn00285	[0.40554802344954227]
rxn05334	[0.16086198259670237]
rxn05329	[0.16086198259670237]
rxn05330	[0.16086198259670237]
rxn13843	[0.16086198259670237]
rxn13840	[0.16086198259670237]
rxn13846	[0.16086198259670237]
rxn10168	[0.23341714808476327]
rxn13842	[0.23341714808476327]
rxn02276	[0.024258119298491095]
rxn01332	[0.1978901360181955]
rxn01388	[0.16986883072625472]
rxn00974	[0.16986883072625472]
rxn00973	[0.16986883072625472]
rxn13886	[0.15160494424132903]
rxn02177	[np.float64(0.2727073461447807)]
rxn05160	[0.23717000147207676]
rxn05549	[0.23717000147207676]
rxn05644	[0.23717000147207676]
rxn05167	[0.23717000147207676]
rxn05173	[0.23717000147207676]
rxn02143	[0.12058135623953749]
rxn02889	[0.0017409989746101208]
rxn05649	[0.44532826935506525]
rxn05307	[0.44532826935506525]
rxn05300	[0.44532826935506525]
rxn13811	[0.13859505249864226]
rxn00649	[0.4733495746470061]
rPY00184	[np.float64(0.2727073461447807)]
rxn08229	[np.float64(0.2727073461447807)]
rxn08230	[np.float64(0.2727073461447807)]
rPY00183	[np.float64(0.2727073461447807)]
rxn08231	[np.float64(0.2727073461447807)]
rxn08232	[np.float64(0.2727073461447807)]
rxn13847	[0.1848802442755087]
rxn00065	[0.08955776823774592]
rxn00342	[0.20439508188953892]
rxn05171	[0.016001841846401407]
rxn13853	[0.36726891889894464]
rxn13849	[0.36726891889894464]
rxn05608	[0.36726891889894464]
rJB00222	[0.36726891889894464]
rxn05614	[np.float64(0.2727073461447807)]
rxn05613	[np.float64(0.2727073461447807)]
rPY00218	[0.1848802442755087]
rxn05149	[0.07079350130117844]
rxn06600	[0.3610141632534221]
rxn00165	[np.float64(0.2727073461447807)]
rxn13803	[np.float64(0.2727073461447807)]
rxn06377	[0.38928565877118376]
rxn12549	[0.16086198259670237]
rxn13814	[0.07079350130117844]
rxn13681	[0.07079350130117844]
rxn13919	[0.07079350130117844]
rPY00172	[0.16086198259670237]
rPY00175	[0.16086198259670237]
rxn00175	[0.37177234296372075]
rxn05187	[0.08780643665699962]
rxn05151	[0.14985361266058275]
rxn06216	[0.07079350130117844]
rxn01199	[0.4733495746470061]
rxn08556	[0.03926953284774508]
rxn37440	[0.03926953284774508]
rxn02789	[0.5656697679749181]
rxn02811	[0.5656697679749181]
rxn03884	[0.17512282546849361]
rxn00214	[0.17587339614595632]
rxn03135	[0.20439508188953892]
rxn13877	[0.34250008654267555]
rxn13913	[0.1848802442755087]
rxn00980	[0.23516847966550958]
rxn01639	[0.16086198259670237]
rxn10174	[np.float64(0.2727073461447807)]
rxn05158	[np.float64(0.2727073461447807)]
rxn05147	[np.float64(0.2727073461447807)]
rxn00299	[0.08505434417296973]
rxn05552	[0.016001841846401407]
rxn05585	[0.016001841846401407]
rxn05621	[0.016001841846401407]
rxn05620	[0.016001841846401407]
rxn05656	[0.016001841846401407]
rxn08900	[np.float64(0.2727073461447807)]
rxn36761	[np.float64(0.2727073461447807)]
rxn05215	[0.4553358783879013]
rxn01834	[0.2196566856646138]
rxn01019	[0.3935388926101391]
rxn13805	[0.4108020181917812]
rxn13807	[0.21840573453550927]
rxn13806	[0.1856308149529714]
rJB00225	[np.float64(0.2727073461447807)]
rxn05560	[np.float64(0.2727073461447807)]
rxn00615	[0.24967951276312178]
rxn00533	[0.37027120160879545]
rxn05332	[0.16086198259670237]
rxn05335	[0.16086198259670237]
rxn05373	[0.16086198259670237]
rxn05423	[0.16086198259670237]
rxn05398	[0.16086198259670237]
rxn05377	[0.16086198259670237]
rxn05427	[0.16086198259670237]
rxn05402	[0.16086198259670237]
rxn05381	[0.16086198259670237]
rxn05431	[0.16086198259670237]
rxn05406	[0.16086198259670237]
rxn07980	[0.16086198259670237]
rxn05361	[0.16086198259670237]
rxn05411	[0.16086198259670237]
rxn05386	[0.16086198259670237]
rxn05415	[0.16086198259670237]
rxn05365	[0.16086198259670237]
rxn05390	[0.16086198259670237]
rxn05369	[0.16086198259670237]
rxn05419	[0.16086198259670237]
