	rxn01451	rxn10125	rxn01452	rxn05312	rxn05318	rJB00267	rxn37440	rxn05560	rxn00615	rxn00148	rxn00786	rxn00134	rxn01492	rxn05581	rxn00097	rxn00747	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00082_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00007_e	ATPM	DM_cpd00002_c
0	-383.8829999999999	-383.8829999999999	383.8829999999999	607.2869999999999	202.42899999999997	16.779999999999973	16.779999999999973	-8.389999999999986	-590.507	8.389999999999986	-8.389999999999986	202.42899999999997	-8.389999999999986	590.507	194.039	-8.389999999999986	607.2869999999999	-16.779999999999973	8.389999999999986	-202.42899999999997	8.389999999999986	590.507	-607.2869999999999	16.779999999999973	-8.389999999999986	8.39	202.42899999999997
1	-252.71685799999986	-252.71685799999986	252.71685799999986	410.53778699999975	136.84592899999993	16.779999999999973	16.779999999999973	-8.389999999999986	-393.7577869999998	8.389999999999986	-8.389999999999986	136.84592899999993	-8.389999999999986	393.7577869999998	128.4559289999999	-8.389999999999986	410.53778699999975	-16.779999999999973	8.389999999999986	-136.84592899999993	8.389999999999986	393.7577869999998	-410.53778699999975	16.779999999999973	-8.389999999999986	8.39	136.8459289999999
2	-515.049142	-515.049142	515.049142	804.036213	268.012071	16.779999999999973	16.779999999999973	-8.389999999999986	-787.256213	8.389999999999986	-8.389999999999986	268.012071	-8.389999999999986	787.256213	259.622071	-8.389999999999986	804.036213	-16.779999999999973	8.389999999999986	-268.012071	8.389999999999986	787.256213	-804.036213	16.779999999999973	-8.389999999999986	8.39	268.012071
3	-187.00262085799983	-187.00262085799983	187.00262085799983	311.96643128699975	103.98881042899991	16.779999999999973	16.779999999999973	-8.389999999999986	-295.1864312869998	8.389999999999986	-8.389999999999986	103.98881042899991	-8.389999999999986	295.1864312869998	95.59881042899991	-8.389999999999986	311.96643128699975	-16.779999999999973	8.389999999999986	-103.98881042899991	8.389999999999986	295.1864312869998	-311.96643128699975	16.779999999999973	-8.389999999999986	8.39	103.98881042899995
4	-318.43109514199983	-318.43109514199983	318.43109514199983	509.10914271299976	169.70304757099996	16.779999999999973	16.779999999999973	-8.389999999999986	-492.3291427129998	8.389999999999986	-8.389999999999986	169.70304757099996	-8.389999999999986	492.3291427129998	161.31304757099994	-8.389999999999986	509.10914271299976	-16.779999999999973	8.389999999999986	-169.70304757099996	8.389999999999986	492.3291427129998	-509.10914271299976	16.779999999999973	-8.389999999999986	8.39	169.70304757099984
5	-449.5972371419999	-449.5972371419999	449.5972371419999	705.8583557129999	235.28611857099997	16.779999999999973	16.779999999999973	-8.389999999999986	-689.078355713	8.389999999999986	-8.389999999999986	235.28611857099997	-8.389999999999986	689.078355713	226.896118571	-8.389999999999986	705.8583557129999	-16.779999999999973	8.389999999999986	-235.28611857099997	8.389999999999986	689.078355713	-705.8583557129999	16.779999999999973	-8.389999999999986	8.39	235.28611857099997
6	-580.501046858	-580.501046858	580.501046858	902.214070287	300.738023429	16.779999999999973	16.779999999999973	-8.389999999999986	-885.434070287	8.389999999999986	-8.389999999999986	300.738023429	-8.389999999999986	885.434070287	292.348023429	-8.389999999999986	902.214070287	-16.779999999999973	8.389999999999986	-300.738023429	8.389999999999986	885.434070287	-902.214070287	16.779999999999973	-8.389999999999986	8.39	300.738023429
7	-154.07978804985783	-154.07978804985783	154.07978804985783	262.5821820747867	87.52739402492887	16.779999999999973	16.779999999999973	-8.389999999999986	-245.80218207478674	8.389999999999986	-8.389999999999986	87.52739402492891	-8.389999999999986	245.80218207478674	79.13739402492891	-8.389999999999986	262.5821820747867	-16.779999999999973	8.389999999999986	-87.52739402492887	8.389999999999986	245.80218207478674	-262.5821820747867	16.779999999999973	-8.389999999999986	8.39	87.52739402492892
8	-285.63969080814195	-285.63969080814195	285.63969080814195	459.9220362122129	153.30734540407096	16.779999999999973	16.779999999999973	-8.389999999999986	-443.14203621221293	8.389999999999986	-8.389999999999986	153.30734540407096	-8.389999999999986	443.14203621221293	144.91734540407094	-8.389999999999986	459.9220362122129	-16.779999999999973	8.389999999999986	-153.30734540407096	8.389999999999986	443.14203621221293	-459.9220362122129	16.779999999999973	-8.389999999999986	8.39	153.307345404071
9	-219.92545366614183	-219.92545366614183	219.92545366614183	361.3506804992128	120.45022683307093	16.779999999999973	16.779999999999973	-8.389999999999986	-344.5706804992128	8.389999999999986	-8.389999999999986	120.45022683307093	-8.389999999999986	344.5706804992128	112.06022683307093	-8.389999999999986	361.3506804992128	-16.779999999999973	8.389999999999986	-120.45022683307093	8.389999999999986	344.5706804992128	-361.3506804992128	16.779999999999973	-8.389999999999986	8.39	120.45022683307097
10	-416.805832808142	-416.805832808142	416.805832808142	656.671249212213	218.89041640407098	16.779999999999973	16.779999999999973	-8.389999999999986	-639.891249212213	8.389999999999986	-8.389999999999986	218.89041640407098	-8.389999999999986	639.891249212213	210.50041640407096	-8.389999999999986	656.671249212213	-16.779999999999973	8.389999999999986	-218.89041640407098	8.389999999999986	639.891249212213	-656.671249212213	16.779999999999973	-8.389999999999986	8.39	218.890416404071
11	-351.22249947585783	-351.22249947585783	351.22249947585783	558.2962492137867	186.09874973792898	16.779999999999973	16.779999999999973	-8.389999999999986	-541.5162492137868	8.389999999999986	-8.389999999999986	186.09874973792893	-8.389999999999986	541.5162492137868	177.70874973792894	-8.389999999999986	558.2962492137867	-16.779999999999973	8.389999999999986	-186.09874973792898	8.389999999999986	541.5162492137868	-558.2962492137867	16.779999999999973	-8.389999999999986	8.39	186.0987497379289
12	-482.3886414758579	-482.3886414758579	482.3886414758579	755.0454622137869	251.68182073792897	16.779999999999973	16.779999999999973	-8.389999999999986	-738.2654622137869	8.389999999999986	-8.389999999999986	251.68182073792897	-8.389999999999986	738.2654622137869	243.29182073792896	-8.389999999999986	755.0454622137869	-16.779999999999973	8.389999999999986	-251.68182073792897	8.389999999999986	738.2654622137869	-755.0454622137869	16.779999999999973	-8.389999999999986	8.39	251.68182073792894
13	-547.840546333858	-547.840546333858	547.840546333858	853.223319500787	284.407773166929	16.779999999999973	16.779999999999973	-8.389999999999986	-836.4433195007871	8.389999999999986	-8.389999999999986	284.407773166929	-8.389999999999986	836.4433195007871	276.01777316692903	-8.389999999999986	853.223319500787	-16.779999999999973	8.389999999999986	-284.407773166929	8.389999999999986	836.4433195007871	-853.223319500787	16.779999999999973	-8.389999999999986	8.39	284.407773166929
14	-613.161547382142	-613.161547382142	613.161547382142	951.204821073213	317.068273691071	16.779999999999973	16.779999999999973	-8.389999999999986	-934.424821073213	8.389999999999986	-8.389999999999986	317.068273691071	-8.389999999999986	934.424821073213	308.678273691071	-8.389999999999986	951.204821073213	-16.779999999999973	8.389999999999986	-317.068273691071	8.389999999999986	934.424821073213	-951.204821073213	16.779999999999973	-8.389999999999986	8.39	317.068273691071
15	-137.58544881297865	-137.58544881297865	137.58544881297865	237.84067321946802	79.28022440648931	16.779999999999973	16.779999999999973	-8.389999999999986	-221.06067321946801	8.389999999999986	-8.389999999999986	79.28022440648934	-8.389999999999986	221.06067321946801	70.89022440648934	-8.389999999999986	237.84067321946802	-16.779999999999973	8.389999999999986	-79.28022440648931	8.389999999999986	221.06067321946801	-237.84067321946802	16.779999999999973	-8.389999999999986	8.39	79.28022440648935
16	-269.2111972368785	-269.2111972368785	269.2111972368785	435.27929585531786	145.09309861843929	16.779999999999973	16.779999999999973	-8.389999999999986	-418.4992958553179	8.389999999999986	-8.389999999999986	145.09309861843929	-8.389999999999986	418.4992958553179	136.7030986184393	-8.389999999999986	435.27929585531786	-16.779999999999973	8.389999999999986	-145.09309861843929	8.389999999999986	418.4992958553179	-435.27929585531786	16.779999999999973	-8.389999999999986	8.39	145.0930986184395
17	-170.57412728673685	-170.57412728673685	170.57412728673685	287.3236909301053	95.77456364336845	16.779999999999973	16.779999999999973	-8.389999999999986	-270.5436909301053	8.389999999999986	-8.389999999999986	95.77456364336842	-8.389999999999986	270.5436909301053	87.38456364336842	-8.389999999999986	287.3236909301053	-16.779999999999973	8.389999999999986	-95.77456364336845	8.389999999999986	270.5436909301053	-287.3236909301053	16.779999999999973	-8.389999999999986	8.39	95.77456364336847
18	-400.3773392368785	-400.3773392368785	400.3773392368785	632.0285088553179	210.6761696184393	16.779999999999973	16.779999999999973	-8.389999999999986	-615.2485088553179	8.389999999999986	-8.389999999999986	210.6761696184393	-8.389999999999986	615.2485088553179	202.28616961843932	-8.389999999999986	632.0285088553179	-16.779999999999973	8.389999999999986	-210.6761696184393	8.389999999999986	615.2485088553179	-632.0285088553179	16.779999999999973	-8.389999999999986	8.39	210.67616961843956
19	-203.49696009487903	-203.49696009487903	203.49696009487903	336.70794014231853	112.23598004743948	16.779999999999973	16.779999999999973	-8.389999999999986	-319.92794014231856	8.389999999999986	-8.389999999999986	112.23598004743951	-8.389999999999986	319.92794014231856	103.84598004743951	-8.389999999999986	336.70794014231853	-16.779999999999973	8.389999999999986	-112.23598004743948	8.389999999999986	319.92794014231856	-336.70794014231853	16.779999999999973	-8.389999999999986	8.39	112.23598004743955
