	rxn10158	rxn05312	rxn05318	rxn05561	rxn05158	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-491.92132774166663	737.8819916125	245.96066387083332	491.92132774166663	0.0	-737.8819916125	8.39	8.39	245.96066387083332	-8.39	737.8819916125	237.57066387083333	8.39	737.8819916125	0.0	-245.96066387083332	737.8819916125	-737.8819916125	0.0	0.0	0.0	8.39	245.9606638708333
1	-445.94886715000007	597.3951562000001	294.50257810000005	445.94886715000007	286.1125781000001	-883.5077343000003	294.50257810000005	294.50257810000005	294.50257810000005	-294.50257810000005	883.5077343000003	0.0	294.50257810000005	597.3951562000001	0.0	-294.50257810000005	883.5077343000003	-883.5077343000003	0.0	0.0	0.0	8.39	294.50257810000005
2	-377.147455635773	545.1758612715458	209.11904999999996	377.147455635773	82.18128872845413	-627.3571499999999	90.57128872845414	90.57128872845414	209.11904999999996	-90.57128872845414	627.3571499999999	118.54776127154584	90.57128872845414	545.1758612715458	0.0	-209.11904999999996	627.3571499999999	-627.3571499999999	0.0	0.0	0.0	8.39	209.11904999999996
3	-523.6577044421501	739.9323481405002	346.30846962810006	523.6577044421501	298.9930607437999	-1000.0	346.30846962810006	346.30846962810006	346.30846962810006	-346.30846962810006	1000.0	0.0	346.30846962810006	701.0069392562001	-38.92540888430017	-346.30846962810006	1000.0	-1000.0	-38.92540888429994	38.92540888430017	-38.925408884300055	8.39	346.30846962810006
4	-411.22060892499974	365.1420297499995	271.35040594999987	411.22060892499974	448.9091881000002	-1000.0	271.35040594999987	271.35040594999987	271.35040594999987	-271.35040594999987	1000.0	0.0	271.35040594999987	551.0908118999998	185.9487821500003	-271.35040594999987	1000.0	-1000.0	185.94878215000006	-185.9487821500003	185.94878215000034	8.39	271.35040594999987
5	-601.006105565598	868.6788777978625	333.33333333333337	601.006105565598	131.32112220213753	-1000.0	139.71112220213752	139.71112220213752	333.33333333333337	-139.71112220213752	1000.0	193.62221113119583	139.71112220213752	868.6788777978625	0.0	-333.33333333333337	1000.0	-1000.0	0.0	0.0	0.0	8.39	333.33333333333326
6	-595.0191765921838	977.803921973946	393.8827843947892	595.0191765921838	203.8444312104216	-1000.0	393.88278439478916	393.88278439478916	393.8827843947892	-393.88278439478916	1000.0	0.0	393.88278439478916	796.1555687895784	-181.64835318436758	-393.8827843947892	1000.0	-1000.0	-181.64835318436758	181.64835318436758	-181.64835318436758	8.39	393.8827843947892
7	-533.7726664372506	734.2119995411679	333.3333333333333	533.7726664372506	265.788000458832	-1000.0	274.178000458832	274.178000458832	333.3333333333333	-274.178000458832	1000.0	59.155332874501376	274.178000458832	734.211999541168	0.0	-333.3333333333333	1000.0	-1000.0	0.0	0.0	0.0	8.39	333.3333333333333
8	-317.8735750000001	526.79189595	209.11904999999996	317.8735750000001	100.56525404999991	-527.1933540499998	209.11904999999996	209.11904999999996	209.11904999999996	-209.11904999999996	527.1933540499998	0.0	209.11904999999996	426.6280999999999	-100.16379595000006	-209.11904999999996	527.1933540499998	-527.1933540499998	-100.16379594999984	100.16379595000006	-100.16379595000012	8.39	209.11904999999996
9	-317.8735750000002	209.87479665474945	209.11904999999996	317.8735750000002	417.48235334525054	-844.1104533452504	209.11904999999996	209.11904999999996	209.11904999999996	-209.11904999999996	844.1104533452504	0.0	209.11904999999996	426.62809999999996	216.75330334525057	-209.11904999999996	844.1104533452504	-844.1104533452506	216.75330334525103	-216.75330334525057	216.75330334525052	8.39	209.11904999999996
10	-658.4701398531909	1000.0	341.52986014680914	658.4701398531909	24.589580440427586	-1000.0	57.56916088085501	57.56916088085501	341.52986014680914	-57.56916088085501	1000.0	283.96069926595413	57.56916088085501	975.4104195595725	-24.589580440427426	-341.52986014680914	1000.0	-1000.0	-24.589580440427426	24.589580440427426	-24.58958044042754	8.39	341.5298601468091
11	-457.800778853575	520.4092628452499	302.40385256904995	457.800778853575	386.80229486190007	-1000.0	302.40385256904995	302.40385256904995	302.40385256904995	-302.40385256904995	1000.0	0.0	302.40385256904995	613.1977051381	92.78844229285015	-302.40385256904995	1000.0	-1000.0	92.78844229285005	-92.78844229285015	92.78844229285005	8.39	302.40385256905006
12	-559.267079045017	858.6302634833899	370.048052696678	559.267079045017	251.51389460664404	-1000.0	370.048052696678	370.048052696678	370.048052696678	-370.048052696678	1000.0	0.0	370.048052696678	748.486105393356	-110.14415809003395	-370.048052696678	1000.0	-1000.0	-110.1441580900339	110.14415809003395	-110.1441580900339	8.39	370.04805269667804
13	-582.1999558757557	831.066578418178	333.3333333333333	582.1999558757557	168.93342158182213	-1000.0	177.32342158182212	177.32342158182212	333.3333333333333	-177.32342158182212	1000.0	156.0099117515112	177.32342158182212	831.0665784181779	0.0	-333.3333333333333	1000.0	-1000.0	0.0	0.0	0.0	8.39	333.33333333333337
14	-356.9239064370147	184.15302145671535	235.15260429134304	356.9239064370147	521.3047914173139	-1000.0	235.15260429134304	235.15260429134304	235.15260429134304	-235.15260429134304	1000.0	0.0	235.15260429134304	478.69520858268606	294.5421871259708	-235.15260429134304	1000.0	-1000.0	294.542187125971	-294.5421871259708	294.5421871259707	8.39	235.1526042913431
15	-558.0380887909739	1000.0	369.22872586064926	558.0380887909739	107.68617758194779	-854.5336293032462	369.22872586064926	369.22872586064926	369.22872586064926	-369.22872586064926	854.5336293032462	0.0	369.22872586064926	746.8474517212985	-253.15254827870154	-369.22872586064926	854.5336293032462	-854.5336293032462	-253.15254827870143	253.15254827870154	-253.15254827870152	8.39	369.2287258606492
