	rxn10125	rxn00779	rxn13726	rxn08094	rxn00184	rxn05312	rxn05318	rxn10154	rxn10113	rxn00285	rxn05307	rxn00165	rxn08556	rxn01639	rxn05158	rxn00615	rxn00148	rxn10042	rxn00250	rxn00134	rxn00102	rxn05559	rxn00374	rxn05581	rxn00459	rxn00251	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
0	-84.53940771016465	56.35960514010978	112.71921028021953	28.179802570054875	28.179802570054875	444.28024026419325	260.2148239871789	-28.179802570054875	169.0788154203293	-28.179802570054875	-56.35960514010975	-56.35960514010975	56.35960514010978	28.179802570054875	336.36423169734337	-667.925261681317	260.2148239871789	112.71921028021953	203.85521884706912	260.2148239871789	-203.85521884706912	-28.179802570054875	28.179802570054875	667.925261681317	56.35960514010978	203.85521884706912	-56.35960514010978	28.179802570054875	28.179802570054875	-28.179802570054875	-56.35960514010978	387.92063512408345	-28.179802570054875	-56.35960514010989	84.53940771016465	-260.2148239871789	28.179802570054875	667.925261681317	-724.2848668214268	56.35960514010989	56.35960514010975	-84.53940771016465	-56.35960514010981	28.179802570054875	-28.179802570054875	8.39	28.179802570054875	260.2148239871789
1	-100.47786329352607	66.98524219568405	133.97048439136813	33.492621097842026	33.492621097842026	527.5143971995251	309.80113024652564	-33.492621097842026	200.95572658705217	-33.492621097842026	-66.98524219568405	-66.98524219568405	66.98524219568405	33.492621097842026	401.8889935400518	-795.4329063482088	309.80113024652564	133.97048439136813	242.81588805084158	309.80113024652564	-242.81588805084158	-33.492621097842026	33.492621097842026	795.4329063482088	66.98524219568405	242.81588805084158	-66.98524219568405	33.492621097842026	33.492621097842026	-33.492621097842026	-66.98524219568405	460.529155003841	-33.492621097842004	-66.98524219568412	100.47786329352608	-309.80113024652564	33.492621097842004	795.4329063482088	-862.4181485438928	66.98524219568412	66.98524219568405	-100.47786329352608	-66.98524219568407	33.492621097842026	-33.492621097842026	8.39	33.492621097842026	309.8011302465256
2	-68.72795126691241	45.81863417794161	91.63726835588322	22.909317088970806	22.909317088970806	361.70930106054266	211.0236261637275	-22.909317088970806	137.45590253382483	-22.909317088970806	-45.81863417794161	-45.81863417794161	45.81863417794161	22.909317088970806	271.36157743063984	-541.4336101352992	211.0236261637275	91.63726835588322	165.20499198578588	211.0236261637275	-165.20499198578588	-22.909317088970806	22.909317088970806	541.4336101352992	45.81863417794161	165.20499198578588	-45.81863417794161	22.909317088970806	22.909317088970806	-22.909317088970806	-45.81863417794161	315.89066688260095	-22.909317088970795	-45.81863417794165	68.72795126691241	-211.0236261637275	22.909317088970795	541.4336101352992	-587.2522443132408	45.81863417794165	45.81863417794161	-68.72795126691241	-45.8186341779417	22.909317088970806	-22.909317088970806	8.39	22.909317088970806	211.0236261637275
3	-92.49269704626198	61.661798030841325	123.32359606168266	30.830899015420663	30.830899015420663	485.81408457492375	284.95839081059285	-30.830899015420663	184.985394092524	-30.830899015420663	-61.661798030841325	-61.661798030841325	61.661798030841325	30.830899015420663	369.06108785685484	-731.551576370096	284.95839081059285	123.32359606168266	223.2965927797515	284.95839081059285	-223.2965927797515	-30.830899015420663	30.830899015420663	731.551576370096	61.661798030841325	223.2965927797515	-61.661798030841325	30.830899015420663	30.830899015420663	-30.830899015420663	-61.661798030841325	424.1522865440825	-30.83089901542067	-61.66179803084138	92.492697046262	-284.95839081059285	30.83089901542067	731.551576370096	-793.2133744009373	61.66179803084138	61.661798030841325	-92.492697046262	-61.66179803084128	30.830899015420663	-30.830899015420663	8.39	30.830899015420663	284.95839081059296
4	-60.774661930814645	40.516441287209766	81.03288257441953	20.258220643604883	20.258220643604883	320.1754567498099	186.28005934031225	-20.258220643604883	121.5493238616293	-20.258220643604883	-40.516441287209766	-40.516441287209766	40.516441287209766	20.258220643604883	238.66472127112684	-477.8072954465171	186.28005934031225	81.03288257441953	145.76361805310248	186.28005934031225	-145.76361805310248	-20.258220643604883	20.258220643604883	477.8072954465171	40.516441287209766	145.76361805310248	-40.516441287209766	20.258220643604883	20.258220643604883	-20.258220643604883	-40.516441287209766	279.65901546260005	-20.258220643604886	-40.5164412872098	60.77466193081465	-186.28005934031225	20.258220643604886	477.8072954465171	-518.323736733727	40.5164412872098	40.516441287209766	-60.77466193081465	-40.51644128720983	20.258220643604883	-20.258220643604883	8.39	20.258220643604883	186.28005934031222
5	-108.43115262962348	72.28743508641566	144.5748701728313	36.14371754320783	36.14371754320783	569.048241510256	334.5446970699398	-36.14371754320783	216.86230525924697	-36.14371754320783	-72.28743508641566	-72.28743508641566	72.28743508641566	36.14371754320783	434.5858496995633	-859.0592210369882	334.5446970699398	144.5748701728313	262.25726198352413	334.5446970699398	-262.25726198352413	-36.14371754320783	36.14371754320783	859.0592210369882	72.28743508641566	262.25726198352413	-72.28743508641566	36.14371754320783	36.14371754320783	-36.14371754320783	-72.28743508641566	496.76080642384045	-36.1437175432078	-72.28743508641577	108.43115262962348	-334.5446970699398	36.1437175432078	859.0592210369882	-931.3466561234038	72.28743508641577	72.28743508641566	-108.43115262962348	-72.2874350864156	36.14371754320783	-36.14371754320783	8.39	36.14371754320783	334.54469706993996
6	-76.61786803209529	51.078578688063516	102.15715737612706	25.539289344031772	25.539289344031772	402.9121997231644	235.57003387762978	-25.539289344031772	153.23573606419058	-25.539289344031772	-51.078578688063544	-51.078578688063544	51.078578688063516	25.539289344031772	303.797901909725	-604.5529442567622	235.57003387762978	102.15715737612706	184.49145518956627	235.57003387762978	-184.49145518956627	-25.539289344031772	25.539289344031772	604.5529442567622	51.078578688063516	184.49145518956627	-51.078578688063516	25.539289344031772	25.539289344031772	-25.539289344031772	-51.078578688063516	351.8336210351007	-25.539289344031772	-51.07857868806357	76.61786803209529	-235.57003387762978	25.539289344031772	604.5529442567622	-655.6315229448257	51.07857868806357	51.078578688063544	-76.61786803209529	-51.078578688063715	25.539289344031772	-25.539289344031772	8.39	25.539289344031772	235.57003387762973
7	-96.49326533614132	64.32884355742755	128.6576871148551	32.16442177871377	32.16442177871377	506.7059411998491	297.40460326799524	-32.16442177871377	192.98653067228264	-32.16442177871377	-64.32884355742755	-64.32884355742755	64.32884355742755	32.16442177871377	385.50786860413655	-763.5561226891307	297.40460326799524	128.6576871148551	233.0757597105677	297.40460326799524	-233.0757597105677	-32.16442177871377	32.16442177871377	763.5561226891307	64.32884355742755	233.0757597105677	-64.32884355742755	32.16442177871377	32.16442177871377	-32.16442177871377	-64.32884355742755	442.37709764242163	-32.164421778713745	-64.3288435574276	96.49326533614132	-297.40460326799524	32.164421778713745	763.5561226891307	-827.8849662465582	64.3288435574276	64.32884355742755	-96.49326533614132	-64.32884355742752	32.16442177871377	-32.16442177871377	8.39	32.16442177871377	297.40460326799536
8	-64.75925988819962	43.17283992546642	86.34567985093283	21.586419962733203	21.586419962733203	340.98391274948693	198.67658631884325	-21.586419962733203	129.51851977639924	-21.586419962733203	-43.172839925466405	-43.172839925466405	43.17283992546642	21.586419962733203	255.04584620704287	-509.684079105597	198.67658631884325	86.34567985093283	155.50374639337684	198.67658631884325	-155.50374639337684	-21.586419962733203	21.586419962733203	509.684079105597	43.17283992546642	155.50374639337684	-43.17283992546642	21.586419962733203	21.586419962733203	-21.586419962733203	-43.17283992546642	297.8110728240205	-21.586419962733203	-43.17283992546646	64.75925988819962	-198.67658631884325	21.586419962733203	509.684079105597	-552.8569190310634	43.17283992546646	43.172839925466405	-64.75925988819962	-43.172839925466405	21.586419962733203	-21.586419962733203	8.39	21.586419962733203	198.6765863188433
9	-104.44655467223873	69.63103644815915	139.2620728963183	34.815518224079575	34.815518224079575	548.23978551058	322.1481700914094	-34.815518224079575	208.89310934447747	-34.815518224079575	-69.63103644815915	-69.63103644815915	69.63103644815915	34.815518224079575	418.2047247636481	-827.1824373779098	322.1481700914094	139.2620728963183	252.51713364325025	322.1481700914094	-252.51713364325025	-34.815518224079575	34.815518224079575	827.1824373779098	69.63103644815915	252.51713364325025	-69.63103644815915	34.815518224079575	34.815518224079575	-34.815518224079575	-69.63103644815915	478.6087490624208	-34.8155182240796	-69.63103644815908	104.44655467223873	-322.1481700914094	34.8155182240796	827.1824373779098	-896.813473826069	69.63103644815908	69.63103644815915	-104.44655467223873	-69.63103644815914	34.815518224079575	-34.815518224079575	8.39	34.815518224079575	322.1481700914094
