"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"1","PA14_00010",1119.82068129082,-0.258783431952007,0.0645059326373821,-4.01177723306087,6.02633528695084e-05,0.000687094089913933,"T5T0"
"2","PA14_00030",799.083326803196,-0.516815880707799,0.152406540302339,-3.39103479209328,0.000696292612743922,0.0055059938604978,"T5T0"
"3","PA14_00130",984.272579614495,-0.650224209572509,0.149108118105538,-4.36075659617865,1.29613485877504e-05,0.00018302318092013,"T5T0"
"4","PA14_00520",1091.46953210768,-1.11915403909773,0.2030422423802,-5.51192710432196,3.54925925385143e-08,8.92451899225012e-07,"T5T0"
"5","PA14_00530",1497.59338598228,-0.242441550908159,0.0657613817739065,-3.68668577770605,0.00022719360063416,0.00210878251770416,"T5T0"
"6","PA14_00570",1330.1529106974,-1.51919436276574,0.429566948869872,-3.53657181205984,0.00040535628175708,0.00349459783956893,"T5T0"
"7","PA14_00640",1109.2566539054,-3.14598518684882,0.317404805804075,-9.91158649560822,3.70712124094108e-23,8.17420233627509e-21,"T5T0"
"8","PA14_00660",1184.11993853812,-1.67739824005005,0.521316879161284,-3.2176173592321,0.00129260133714808,0.00916005372789858,"T5T0"
"9","PA14_00980",704.526881702771,-1.88546485443179,0.209421802009467,-9.0031927733415,2.19246908788939e-19,2.99272030496902e-17,"T5T0"
"10","PA14_01240",1151.70567000934,-2.62698946968571,0.483652243378222,-5.43156680373623,5.58613960676113e-08,1.32885221433865e-06,"T5T0"
"11","PA14_01310",836.19708849429,-0.830351798658351,0.208709730344297,-3.97850065393964,6.93512206312834e-05,0.000778063694479742,"T5T0"
"12","PA14_01400",1045.41726939636,-0.530676181653814,0.0862452725563607,-6.15310458097308,7.59806651375775e-10,2.77708757946419e-08,"T5T0"
"13","PA14_01460",793.842422456993,-0.335056903411091,0.0951258908837789,-3.52224720628846,0.000427904924512166,0.00365010488565617,"T5T0"
"14","PA14_02750",1269.1801688653,-0.530872100924746,0.0576574868069612,-9.20734028352848,3.34305540695441e-20,5.3238157355749e-18,"T5T0"
"15","PA14_02830",1235.86633023593,-3.11165522387867,0.567006623287934,-5.48786397914532,4.06823131467843e-08,9.96716672096215e-07,"T5T0"
"16","PA14_03010",1415.90834998073,-0.309844685424679,0.0548217048400394,-5.65186154514447,1.58719419371166e-08,4.35377239834878e-07,"T5T0"
"17","PA14_03050",1213.58387298478,-2.42693451874541,0.557525978039574,-4.35304293313691,1.34260844401558e-05,0.000188194968448443,"T5T0"
"18","PA14_03080",994.16123225103,-1.39509753608871,0.325327751660972,-4.28828321274775,1.8005941775194e-05,0.000241751906784982,"T5T0"
"19","PA14_03180",1473.69619969316,-0.828791285684575,0.0729357550795981,-11.3633057583359,6.36881386739374e-30,3.04270082514736e-27,"T5T0"
"20","PA14_03285",894.89978220667,-0.852179871026137,0.103928742336427,-8.19965537798532,2.41077137754105e-16,2.22918585603916e-14,"T5T0"
"21","PA14_03320",1407.56079845211,-0.578846412381881,0.062571980559701,-9.25088845205394,2.22634311766754e-20,3.64675002673943e-18,"T5T0"
"22","PA14_03420",1261.88725128882,-0.532056839782221,0.117474639522318,-4.52912085489857,5.92296149409245e-06,9.48501068313743e-05,"T5T0"
"23","PA14_03490",989.81149285495,-2.09080528035998,0.443963117309818,-4.7094121084408,2.48432312769479e-06,4.35554265782086e-05,"T5T0"
"24","PA14_03700",1237.23555624038,-2.40553329462032,0.536487227092887,-4.48385939709208,7.33049736868153e-06,0.000113583084904463,"T5T0"
"25","PA14_04220",1548.26234267681,-0.376410144216167,0.0750196547545098,-5.01748702320627,5.23517364560356e-07,1.04941435350508e-05,"T5T0"
"26","PA14_04390",1299.49409156568,-0.593384540800276,0.0513021004935337,-11.5664765202951,6.0933989226994e-31,3.49334560238356e-28,"T5T0"
"27","PA14_04530",1336.63116360765,-0.298462458853247,0.0798379552066679,-3.7383529936438,0.000185229751580682,0.00176106495159544,"T5T0"
"28","PA14_04750",1426.356861448,-0.741800781804169,0.0606956176802834,-12.221653064174,2.38191422048841e-34,1.95078774658001e-31,"T5T0"
"29","PA14_04790",1300.42331556062,-2.14207257145159,0.635906654829471,-3.36853303104058,0.000755693415152599,0.00590243916767009,"T5T0"
"30","PA14_04930",964.323037977936,-1.1307202962935,0.158826819024949,-7.11920255807606,1.08553278470245e-12,6.41583448938057e-11,"T5T0"
"31","PA14_05190",1123.96048945458,-0.463603048245925,0.113938198124009,-4.06889924431968,4.7235766758211e-05,0.000554923464804966,"T5T0"
"32","PA14_05210",853.969756316642,-0.646157657669516,0.171195100100885,-3.7743934101428,0.000160397469586721,0.00157458680332307,"T5T0"
"33","PA14_05320",913.745614172293,-1.28517777313643,0.251158610029488,-5.11699667785841,3.1043908732138e-07,6.44835973772997e-06,"T5T0"
"34","PA14_05500",1318.70841153523,-0.469147947775045,0.0683543333251499,-6.8634704627048,6.72074262838512e-12,3.60093621388148e-10,"T5T0"
"35","PA14_05600",1266.70034673142,-1.68176213145755,0.436312091707664,-3.85449352291697,0.000115969453532671,0.0011771176642648,"T5T0"
"36","PA14_05880",1223.60153971488,-1.99526223062885,0.575609168382002,-3.46634893991941,0.000527578100050692,0.004364509736783,"T5T0"
"37","PA14_05990",1633.2688535811,-0.233245764110681,0.0334326564697863,-6.97658483469508,3.02441743474838e-12,1.68339661683616e-10,"T5T0"
"38","PA14_06150",1155.06616730076,-2.0350078801246,0.626205213961223,-3.24974598542805,0.00115508132592855,0.00837178412332288,"T5T0"
"39","PA14_06250",1247.78982117254,-0.371690845123427,0.0788469056270135,-4.71408284405879,2.42801871470513e-06,4.26988689920383e-05,"T5T0"
"40","PA14_06290",1237.86809416122,-1.72578359706507,0.46451071008492,-3.71527191859489,0.00020298528988964,0.00191400438641005,"T5T0"
"41","PA14_06300",1057.66566226314,-0.583052643504906,0.134749267085238,-4.32694482216431,1.51191816665607e-05,0.000209874742117173,"T5T0"
"42","PA14_06430",894.016031826526,-0.926221393941586,0.169845363485229,-5.45332162701125,4.94375341398705e-08,1.19086295472218e-06,"T5T0"
"43","PA14_06580",510.828942398992,-0.90133087269584,0.259242925592992,-3.47678097920758,0.000507472182513388,0.00422868898597275,"T5T0"
"44","PA14_07060",782.589788271575,-0.770288793209234,0.169591462064856,-4.54202578261077,5.57162249236288e-06,8.97250330020124e-05,"T5T0"
"45","PA14_07280",1323.87676922419,-0.264368830493846,0.0595695636959944,-4.43798500595067,9.08049430212334e-06,0.000137463432007854,"T5T0"
"46","PA14_07380",957.718855406668,-0.342757818289724,0.0811771147056029,-4.22234541758192,2.41773210142275e-05,0.000314305173184957,"T5T0"
"47","PA14_07700",1289.7986311039,-1.52660695501739,0.387778413071735,-3.93680231688137,8.25745747747866e-05,0.000894896100536582,"T5T0"
"48","PA14_07980",1453.38015293125,-3.45547788643551,0.441198407596562,-7.83202710376788,4.80066003984297e-15,3.77016219293421e-13,"T5T0"
"49","PA14_08000",1102.28618085558,-2.24022070135337,0.685127487421925,-3.26978663457677,0.00107628633124541,0.0078803953218773,"T5T0"
"50","PA14_08360",972.294507357657,-2.94888091124097,0.704213423776397,-4.18748182252388,2.82066603885784e-05,0.000356186748915682,"T5T0"
"51","PA14_08380",1572.04758406234,-0.18740815341214,0.0390921227299274,-4.79401322631855,1.63477488980509e-06,2.98476574625878e-05,"T5T0"
"52","PA14_08420",1555.05747874243,-0.189653538301603,0.0588139804461252,-3.22463361369206,0.00126133981614517,0.00899410592781124,"T5T0"
"53","PA14_08510",1272.47769751789,-0.651648242577447,0.105258712011274,-6.19091978351067,5.98141453514058e-10,2.2560164164448e-08,"T5T0"
"54","PA14_08560",584.289499376888,-0.840338785963521,0.193147901855317,-4.35075285774008,1.35670901268267e-05,0.000189707628529506,"T5T0"
"55","PA14_08640",1321.018378596,-0.61685117402912,0.133768009631691,-4.61135046957432,4.00061384786926e-06,6.66804225206805e-05,"T5T0"
"56","PA14_08710",991.448965676925,-0.788475293988367,0.225603697366457,-3.4949573220319,0.000474137563681236,0.0039740214219072,"T5T0"
"57","PA14_08980",1137.40201599772,-0.413723609277343,0.114574287698243,-3.61096383480887,0.000305061202936519,0.00272841790395485,"T5T0"
"58","PA14_09130",1086.78704856481,-0.406883553919076,0.104128989325216,-3.90749546841653,9.32577900355691e-05,0.000979206795373476,"T5T0"
"59","PA14_09410",1284.79852240695,-1.86251982085566,0.468255725348297,-3.97756977657942,6.96231955670656e-05,0.000779589414425756,"T5T0"
"60","PA14_09450",1302.97634609747,-1.58697623040703,0.174759751641051,-9.08090229875475,1.07678447188059e-19,1.50565984811987e-17,"T5T0"
"61","PA14_09480",680.368293953863,-1.76769097290411,0.483195038883172,-3.6583384154561,0.000253855709437554,0.00233229933045752,"T5T0"
"62","PA14_09740",1409.49995075595,-1.32909224850176,0.406474068874533,-3.26980821232169,0.00107620423939174,0.0078803953218773,"T5T0"
"63","PA14_09810",1161.35757347411,-1.76513190964905,0.336771685305759,-5.24133110551283,1.59422355923227e-07,3.50179450769295e-06,"T5T0"
"64","PA14_09870",1369.19279129868,-0.599561033640693,0.177298271090086,-3.38165189064958,0.00072051387244861,0.00565498894244136,"T5T0"
"65","PA14_10040",966.016474480463,-2.28912620402088,0.66613289496473,-3.43644071824749,0.000589411326256493,0.00477273323930576,"T5T0"
"66","PA14_10540",1354.05849947754,-0.316235523467931,0.0948378535193013,-3.33448630196561,0.000854571093849699,0.0065410628585318,"T5T0"
"67","PA14_10610",1111.47676488116,-0.463400146323225,0.143293257112072,-3.23392848807109,0.00122100024429327,0.00876094418089276,"T5T0"
"68","PA14_10800",1406.85186044066,-0.165253955489616,0.0497981879499649,-3.31847326765497,0.000905109856455773,0.00687284080405423,"T5T0"
"69","PA14_11210",536.088212320172,-2.19805021846736,0.587629644356444,-3.7405366451085,0.00018362777026301,0.00174873423076053,"T5T0"
"70","PA14_11960",1230.80967527738,-1.76319296048321,0.550164674540725,-3.20484582539785,0.00135134843878336,0.00951754373408479,"T5T0"
"71","PA14_12010",1023.77694804292,-0.698036844151869,0.0981455251855766,-7.11226357831394,1.14154980306489e-12,6.67806634792962e-11,"T5T0"
"72","PA14_12090",1172.89072257483,-0.249488571444176,0.0595908486720411,-4.1866927054058,2.83048626482197e-05,0.000356625795447213,"T5T0"
"73","PA14_12280",1730.83084955902,-0.157550641930373,0.0379039469134318,-4.15657615525371,3.23052518369751e-05,0.000400012977929542,"T5T0"
"74","PA14_12810",1563.30953229464,-0.296291667771625,0.044347853171032,-6.68108254595652,2.37183573382283e-11,1.1237796910749e-09,"T5T0"
"75","PA14_12900",1174.23333757796,-0.489923679087274,0.139204540786841,-3.51945185349577,0.000432439517145038,0.00367285296561852,"T5T0"
"76","PA14_13220",482.71851103335,-2.41830985694325,0.562918069095099,-4.29602457215616,1.73888316471175e-05,0.000236232634675177,"T5T0"
"77","PA14_13260",1131.15200840694,-2.64367966759173,0.737354775117661,-3.58535640753106,0.000336618177171111,0.00297813581747219,"T5T0"
"78","PA14_13490",1207.55115024889,-3.00071972959936,0.611895364473767,-4.90397526083564,9.39163229555592e-07,1.82516026950583e-05,"T5T0"
"79","PA14_13580",1214.37573012675,-2.03209998017955,0.38374760419537,-5.29540760115075,1.18751228436128e-07,2.68031808119812e-06,"T5T0"
"80","PA14_14110",1599.87091540367,-0.208823317518085,0.0555789345688312,-3.75723858577155,0.000171798684509199,0.00165533085427099,"T5T0"
"81","PA14_14430",1156.2941958475,-0.843992777615724,0.15958399971891,-5.28870550369916,1.23185037291378e-07,2.76948948545675e-06,"T5T0"
"82","PA14_14450",1049.76144589989,-0.487616260642293,0.107002457711473,-4.5570566421673,5.18754382342355e-06,8.47298824492513e-05,"T5T0"
"83","PA14_14490",1015.41533357853,-0.27805739276474,0.0805620102995462,-3.45147038574217,0.00055754093818136,0.0045793441240598,"T5T0"
"84","PA14_14660",585.450050127505,-0.961001130133529,0.17883840100416,-5.37357259256177,7.71917075823286e-08,1.77726931554012e-06,"T5T0"
"85","PA14_14700",1194.12853149258,-0.457457003079622,0.0788713266000833,-5.80004195186364,6.6298331135978e-09,1.96808725891037e-07,"T5T0"
"86","PA14_15000",859.624179134308,-1.15764339297143,0.186214223434278,-6.21672916075612,5.07624827445719e-10,1.96020405795596e-08,"T5T0"
"87","PA14_15140",1173.33985325926,-2.48366162407752,0.605067690911197,-4.10476655981626,4.04723359773724e-05,0.000486431660709174,"T5T0"
"88","PA14_15400",1304.60940267205,-0.493319182507599,0.0676960610382215,-7.28726568343568,3.16308761769731e-13,2.08436566807571e-11,"T5T0"
"89","PA14_15480",1185.02341159878,-0.822545530789805,0.0794546733949642,-10.3523870358259,4.08179822321659e-25,1.11433091493813e-22,"T5T0"
"90","PA14_15490",801.468667364896,-0.881823798867124,0.144423206401068,-6.10583174852296,1.02266696041056e-09,3.6643435525211e-08,"T5T0"
"91","PA14_15500",617.103480192427,-1.23457160310989,0.353654081860576,-3.49090160818956,0.000481393501845789,0.00402894736654293,"T5T0"
"92","PA14_15510",1139.8292813061,-1.15243540842573,0.110543729756212,-10.4251540179371,1.90350686696602e-25,5.45640243415811e-23,"T5T0"
"93","PA14_15580",974.070801128603,-0.5016402347501,0.0900286177690319,-5.57200862549124,2.51818950375409e-08,6.53247983032679e-07,"T5T0"
"94","PA14_15590",996.901424056813,-0.264799529349469,0.0668114160981342,-3.96338746899969,7.38937029995498e-05,0.000816247782844738,"T5T0"
"95","PA14_15610",1253.17542139713,-0.236423740494542,0.0501166930778479,-4.71746489991463,2.38801583326215e-06,4.21245992987444e-05,"T5T0"
"96","PA14_15630",1247.73731755471,-0.227696698895836,0.070163558540215,-3.2452273464056,0.00117356888590848,0.00848432588009247,"T5T0"
"97","PA14_15850",1128.465252246,-0.988284430042453,0.132450906461556,-7.46151503560533,8.55331996826525e-14,5.98002236317862e-12,"T5T0"
"98","PA14_15890",1109.48050847623,-2.63263499329285,0.33237717371949,-7.92062512546263,2.36319426839534e-15,1.93545610581578e-13,"T5T0"
"99","PA14_16090",1269.74218587486,-2.40126135338106,0.426903517995464,-5.62483383752901,1.85686624088842e-08,5.02142177311948e-07,"T5T0"
"100","PA14_16430",1203.8897112487,-0.160395027161799,0.0420702833515789,-3.81254924815664,0.00013754081227698,0.00137134169875465,"T5T0"
"101","PA14_16950",1215.65347538556,-2.67556395967814,0.318217870463491,-8.40796261938757,4.17194057741079e-17,4.34867915096292e-15,"T5T0"
"102","PA14_17140",1270.46518653791,-0.36285273404778,0.0665186124267431,-5.45490533867328,4.89989411767123e-08,1.18527818466705e-06,"T5T0"
"103","PA14_17460",487.103130899594,-0.825342268332899,0.230886508981453,-3.57466649729283,0.000350674601194614,0.00307403285726104,"T5T0"
"104","PA14_17480",1132.38743496573,-0.296344719256187,0.0891245888112301,-3.32506127892336,0.000883991034347468,0.0067303062415857,"T5T0"
"105","PA14_17960",1215.59953125746,-1.12169547112404,0.331111404153029,-3.38766788777117,0.000704895615936188,0.00555868853667423,"T5T0"
"106","PA14_18100",1127.30850052406,-1.15268119524996,0.278580793721871,-4.13769082875388,3.50818646669466e-05,0.000428836524809392,"T5T0"
"107","PA14_18110",820.438405773349,-0.835704256178171,0.179856734686101,-4.64649965783434,3.37614693132044e-06,5.72646460273966e-05,"T5T0"
"108","PA14_18360",1187.7328554794,-2.37739120331395,0.164949211281167,-14.4128679661373,4.29498377502355e-47,8.20771399407001e-44,"T5T0"
"109","PA14_18630",1239.70912480901,-1.61462472461022,0.488314526158084,-3.30652609766418,0.000944605508502632,0.00712555707927051,"T5T0"
"110","PA14_18650",1474.62591855173,-0.297704843230925,0.0517502013232705,-5.75272821396845,8.78146034398116e-09,2.52985488201226e-07,"T5T0"
"111","PA14_19030",1213.45251442803,-1.57605362232404,0.262948579771075,-5.99377119167618,2.0502979864517e-09,6.79442679556507e-08,"T5T0"
"112","PA14_19630",1328.37195654308,-0.292045608279189,0.0665971773819222,-4.38525504773818,1.15849958775635e-05,0.000167674788231241,"T5T0"
"113","PA14_19750",1025.1840763105,-1.51552415493928,0.139855465379703,-10.8363598864348,2.31499932160057e-27,7.37327283929782e-25,"T5T0"
"114","PA14_19800",710.527659725893,-0.880590486076879,0.160408418069055,-5.48967751616246,4.02668244512111e-08,9.91299740025457e-07,"T5T0"
"115","PA14_19860",926.359392847307,-0.47444863336731,0.130635081810047,-3.63186233585549,0.000281383224408017,0.00255225158110494,"T5T0"
"116","PA14_19870",1160.21905483647,-2.46146295715383,0.635328189909841,-3.87431723673891,0.000106924052262188,0.00109855840791958,"T5T0"
"117","PA14_19960",1221.48758737237,-1.42006580050256,0.127758218105387,-11.1152599148742,1.05742263521134e-28,4.04146931177776e-26,"T5T0"
"118","PA14_20360",991.607269550566,-2.37576103334775,0.511749450704322,-4.64243006040942,3.44335212750019e-06,5.82322647402908e-05,"T5T0"
"119","PA14_20520",1191.70874099618,-0.518164369216148,0.0886394986574577,-5.84575022494841,5.04290254992979e-09,1.55435270530901e-07,"T5T0"
"120","PA14_20680",746.223325097651,-0.833699966281613,0.110707822225802,-7.53063288139822,5.04949740568336e-14,3.71138059317727e-12,"T5T0"
"121","PA14_20770",1472.92179153365,-0.897068998314949,0.228804672367458,-3.92067604665986,8.83009010492362e-05,0.000940946218801619,"T5T0"
"122","PA14_20800",1489.32126304541,-0.446284191730749,0.0847537783715962,-5.26565541153872,1.39690088441335e-07,3.11612170052207e-06,"T5T0"
"123","PA14_21070",1350.76751180793,-0.276699158202759,0.061216378905659,-4.52001838640574,6.18342608897274e-06,9.8745353114431e-05,"T5T0"
"124","PA14_21210",1086.31922594919,-0.780114467887595,0.0807143975630413,-9.66512160706264,4.24115911680358e-22,7.59830163019841e-20,"T5T0"
"125","PA14_21580",1320.52170927609,-1.98353684461715,0.245914538540862,-8.06596005419809,7.26625674712768e-16,6.31173483807318e-14,"T5T0"
"126","PA14_22020",1065.08534399001,-0.696829778072112,0.116422951047592,-5.98532996975193,2.15951611027947e-09,7.11523325300701e-08,"T5T0"
"127","PA14_22190",464.98795419499,-1.17272177867639,0.299961054569955,-3.90958012985281,9.24566831420701e-05,0.000974364272892441,"T5T0"
"128","PA14_22290",1220.36993423871,-0.416286062761529,0.0930019395591274,-4.4761008720347,7.60185789119787e-06,0.000117154438952251,"T5T0"
"129","PA14_23030",991.573645749714,-0.690512468205366,0.143439988803092,-4.81394675199864,1.47978252549274e-06,2.72784347866555e-05,"T5T0"
"130","PA14_23190",1147.57214441004,-2.61576001625392,0.660228704438972,-3.96189986692059,7.43557255138143e-05,0.000819771873789803,"T5T0"
"131","PA14_23290",1393.80841284549,-1.20032901328122,0.36354666493145,-3.30171922635448,0.000960942085941636,0.00721083897736047,"T5T0"
"132","PA14_23390",1050.67561885374,-1.25759694194848,0.273544455079254,-4.5974133951431,4.27768344096668e-06,7.06742339108414e-05,"T5T0"
"133","PA14_23430",1615.63669093649,-0.381351804208075,0.111046929000889,-3.43414993678054,0.000594415299801104,0.00479969424473201,"T5T0"
"134","PA14_23480",1019.23930689598,-0.464272526344686,0.071065489985902,-6.53302364392039,6.44549634720565e-11,2.81569664862534e-09,"T5T0"
"135","PA14_23540",1424.26869794472,-0.192189835003916,0.0431013730661015,-4.4590188509579,8.23356803261968e-06,0.000126431577413226,"T5T0"
"136","PA14_23850",1339.58573811935,-0.286263012485534,0.0648130541850497,-4.41674931207864,1.00196320371413e-05,0.000149201429789432,"T5T0"
"137","PA14_24245",1032.687479173,-0.341200325142222,0.0830445848559781,-4.10864026515342,3.97995453579247e-05,0.000480359565341016,"T5T0"
"138","PA14_24370",1646.62431609902,-0.172273671472477,0.051526964182645,-3.34336932526875,0.000827676648270353,0.00638636638564459,"T5T0"
"139","PA14_24630",842.00180417027,-0.609194030574254,0.134845919121315,-4.51770461089142,6.25136096408822e-06,9.93789927596746e-05,"T5T0"
"140","PA14_24650",1288.71731293425,-1.27939875036234,0.387981437372307,-3.29757722180567,0.000975228537637323,0.00728942008640779,"T5T0"
"141","PA14_25030",986.148835152837,-0.458809583229892,0.106931051954481,-4.29070484993638,1.78106904120766e-05,0.000240303323694538,"T5T0"
"142","PA14_25110",1428.24660704237,-0.310209704836359,0.062691507932744,-4.94819338480668,7.49054695733461e-07,1.47066115432874e-05,"T5T0"
"143","PA14_25130",650.96873289885,-0.876088994640725,0.133034836431977,-6.58541039428184,4.53630612283706e-11,2.04776716552952e-09,"T5T0"
"144","PA14_25220",1309.13738400417,-0.224522167897096,0.0486579592948477,-4.61429478652366,3.94432271158588e-06,6.61193044021106e-05,"T5T0"
"145","PA14_25370",848.288801828968,-0.915525217249192,0.166169066012608,-5.50960078923309,3.59648418161599e-08,9.00377459091897e-07,"T5T0"
"146","PA14_25420",1498.27448017064,-0.547359800624906,0.0376430521524183,-14.5407922399231,6.68148813449926e-48,1.91524857375421e-44,"T5T0"
"147","PA14_25450",1381.63221458559,-0.425295351436492,0.101650862371668,-4.18388335832781,2.86571188587817e-05,0.000358714546762872,"T5T0"
"148","PA14_25520",862.326207517484,-0.994179614941606,0.0878939688831233,-11.3111243874266,1.15598554455325e-29,5.09789625147985e-27,"T5T0"
"149","PA14_25660",1076.94250376422,-0.384355077938985,0.0883594754692654,-4.34990221363048,1.36198253430252e-05,0.000189981651317673,"T5T0"
"150","PA14_25670",1577.09411340269,-0.5617675947017,0.108232579519852,-5.19037425878464,2.0987181030581e-07,4.4398342748458e-06,"T5T0"
"151","PA14_25710",1172.66476819133,-1.73428342353701,0.168478195208512,-10.2938152999005,7.51387750551261e-25,1.95804816995926e-22,"T5T0"
"152","PA14_25910",1528.67394202481,-0.191607798632016,0.0456696005426083,-4.19552166770654,2.7224425752633e-05,0.000346070139334468,"T5T0"
"153","PA14_26560",781.401029016394,-0.414655019531689,0.125425070637583,-3.30599789518827,0.000946387986011705,0.00712962197609081,"T5T0"
"154","PA14_26580",1316.33713034647,-1.67491639433804,0.523906851271678,-3.19697364192226,0.0013887761624921,0.00974523101538216,"T5T0"
"155","PA14_26590",1580.3680014198,-0.209133515212196,0.0498133894619705,-4.19833939169822,2.68879449053939e-05,0.000343315341074884,"T5T0"
