"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"1","PA14_00020",690.807859394379,0.407430258051616,0.120267813997064,3.38769155695774,0.000704834793968565,0.00555868853667423,"T5T0"
"2","PA14_00050",1178.21488079228,0.504264048935499,0.0767910367404404,6.56670453141491,5.14409744909627e-11,2.30399302153664e-09,"T5T0"
"3","PA14_00090",495.104486802126,1.19153613279644,0.269860455603866,4.4153787931994,1.00833266002177e-05,0.00014937393126369,"T5T0"
"4","PA14_00190",1106.43304293892,0.523117597154779,0.149645088413064,3.49572179549804,0.000472781349778756,0.00396845604433618,"T5T0"
"5","PA14_00240",1359.66616613924,0.181800777606814,0.0537062785182027,3.38509356117827,0.000711539970748953,0.00560337726964801,"T5T0"
"6","PA14_00290",1117.76352026123,0.356753792928456,0.098446791979211,3.62382344570244,0.000290279793302868,0.0026166258726499,"T5T0"
"7","PA14_00400",716.480834082916,0.755685061161944,0.191675250880716,3.94252809212299,8.06272028084304e-05,0.000875446503221082,"T5T0"
"8","PA14_00450",1336.56934008877,0.22989977249643,0.0427759311690786,5.37451240015595,7.67901989544398e-08,1.7751540750234e-06,"T5T0"
"9","PA14_00760",1254.61624774475,0.249710785055415,0.0581986767201488,4.29066087286077,1.78142181353878e-05,0.000240303323694538,"T5T0"
"10","PA14_00820",1204.36611439782,0.562752160309069,0.0765947333485865,7.34713910090861,2.02494109538511e-13,1.38202229760034e-11,"T5T0"
"11","PA14_00860",847.815456483014,0.885993306311565,0.262016073607197,3.38144639034552,0.000721053011848009,0.00565498894244136,"T5T0"
"12","PA14_01020",1339.11028570192,0.239683502858193,0.065015775627469,3.68654377410714,0.000227320355126665,0.00210878251770416,"T5T0"
"13","PA14_01100",1485.80540635521,0.264514366769555,0.0541367184334304,4.88604360263943,1.02882423061194e-06,1.98275182731351e-05,"T5T0"
"14","PA14_01140",375.400469102523,1.06970535718605,0.290006156056385,3.68856086274965,0.000225526081604165,0.00209893023674786,"T5T0"
"15","PA14_01270",1016.76087563145,0.51397943574054,0.0994395320490132,5.16876362096316,2.35647717251412e-07,4.93054147081147e-06,"T5T0"
"16","PA14_01320",858.589537952993,2.33070239420799,0.637477325401383,3.65613379697934,0.000256047750127246,0.00234727352107952,"T5T0"
"17","PA14_01480",687.804182866896,0.780886531806475,0.128546403894336,6.07474428027063,1.24185457804712e-09,4.34119042435618e-08,"T5T0"
"18","PA14_01550",525.047721430259,1.34816268505038,0.287702415178581,4.6859623483298,2.78647490991543e-06,4.79725545301657e-05,"T5T0"
"19","PA14_01640",872.283853430867,0.49946481134405,0.143520421065968,3.48009577755123,0.000501234560499497,0.00418888882703151,"T5T0"
"20","PA14_01790",1261.35366482898,0.224957518515269,0.0651910647426994,3.45074159170657,0.000559048560487582,0.00458515793601618,"T5T0"
"21","PA14_01890",758.00735527618,0.58451358661431,0.140706770690002,4.1541255175423,3.26533906436991e-05,0.000403452346035188,"T5T0"
"22","PA14_02020",893.675555718821,0.507440187364181,0.108106315809919,4.69389955214459,2.68045687644135e-06,4.64261609445265e-05,"T5T0"
"23","PA14_02630",801.84845117774,1.28704211247684,0.316429640737834,4.06738796490677,4.75430534239854e-05,0.00055625372506063,"T5T0"
"24","PA14_03580",1306.75620670973,0.432399213118729,0.0652865337316281,6.62309956439383,3.51743924087053e-11,1.60043485459609e-09,"T5T0"
"25","PA14_03900",1203.65148471536,0.900910124999392,0.151976613984688,5.92795234331355,3.06735482758331e-09,9.87929507108715e-08,"T5T0"
"26","PA14_03980",1417.88835539573,0.145626020448217,0.0441258291361876,3.30024439877979,0.000966006636729241,0.00723936738348854,"T5T0"
"27","PA14_04370",775.7921475271,0.745261127060782,0.207742461595932,3.58742801705289,0.000333955885322085,0.00295914851708117,"T5T0"
"28","PA14_04430",1325.11945115163,0.18054993809565,0.0469044219092619,3.84931592259957,0.000118448158108545,0.00119975846366835,"T5T0"
"29","PA14_04490",1039.15431709602,0.324574595803087,0.0893269298953933,3.63355816866405,0.000279539389757803,0.00253977705464578,"T5T0"
"30","PA14_04830",840.495101562352,0.59500951724912,0.167257977620578,3.55743579896015,0.000374492588116196,0.00325791503440084,"T5T0"
"31","PA14_05050",690.930653775067,0.866807920654444,0.241558568641396,3.58839649336248,0.000332718035379402,0.00295274380314259,"T5T0"
"32","PA14_05440",1161.57309387586,0.255309298699896,0.065156473362852,3.91840266243534,8.91377114240507e-05,0.000948101112419449,"T5T0"
"33","PA14_05450",1007.73776063288,0.394871285343546,0.100349144428889,3.93497411055025,8.32056648152658e-05,0.000900034106388526,"T5T0"
"34","PA14_05530",712.431577312039,0.925587316419544,0.205405203465842,4.50615320742575,6.6013432449173e-06,0.000104257578025099,"T5T0"
"35","PA14_06060",831.54458458335,0.503792430133067,0.133626523352353,3.77015294190244,0.000163147536046582,0.00159611744736357,"T5T0"
"36","PA14_06120",742.142760839706,1.00562953271607,0.244743396438893,4.10891385568868,3.97524312681833e-05,0.000480359565341016,"T5T0"
"37","PA14_06460",587.614548499466,0.669041873905994,0.168515728397668,3.97020432613369,7.18110217085937e-05,0.000799403082437607,"T5T0"
"38","PA14_06620",913.760920923334,0.489318995086218,0.120190519981494,4.07119459306406,4.67726559035098e-05,0.000550611162823042,"T5T0"
"39","PA14_07130",1244.15200278403,0.362632799275779,0.0660583468562551,5.48958332343494,4.02883027081687e-08,9.91299740025457e-07,"T5T0"
"40","PA14_07230",986.989005145388,0.763282569775659,0.087823976380245,8.69104999836185,3.59104948499705e-18,4.28905972864335e-16,"T5T0"
"41","PA14_07240",955.780916770592,0.559821372884253,0.12428979484039,4.50416201590132,6.66353566046053e-06,0.000104950686652253,"T5T0"
"42","PA14_07250",1354.00183048435,0.453819078180311,0.0808311433801454,5.6144087439914,1.97235484753761e-08,5.28388333688464e-07,"T5T0"
"43","PA14_07430",1015.99866287625,0.89498924018057,0.213539483902488,4.1912119661639,2.77468280957363e-05,0.000351930454585966,"T5T0"
"44","PA14_07680",1056.77389226005,0.618540142733002,0.107045225893592,5.77830666963008,7.54561815071708e-09,2.21841173631082e-07,"T5T0"
"45","PA14_07990",1629.0465494434,0.239880550830258,0.0601969127151171,3.98493112039644,6.74997025345854e-05,0.000761763375257437,"T5T0"
"46","PA14_08180",781.662267355999,0.578721533206273,0.141768516047868,4.08215836166944,4.46193750084148e-05,0.0005285183407505,"T5T0"
"47","PA14_08210",1096.8834906826,0.420291925229838,0.118202340533128,3.55569884093831,0.000376975706442592,0.00327454806823542,"T5T0"
"48","PA14_08760",778.336471700819,1.13207091367279,0.302449859278656,3.74300360520179,0.000181833619047747,0.00173452934775496,"T5T0"
"49","PA14_08780",858.704250046193,0.965079907888148,0.183108621807051,5.27053231226378,1.36028675328709e-07,3.04629842054488e-06,"T5T0"
"50","PA14_08830",632.143556474657,1.61561111427916,0.215541056116878,7.49560730278265,6.59920922002617e-14,4.67077363684074e-12,"T5T0"
"51","PA14_08880",1114.14144591371,0.326723284228189,0.0600051060630552,5.44492470165553,5.18273049806618e-08,1.24320476759052e-06,"T5T0"
"52","PA14_09100",988.405123591842,0.618992705083756,0.121728248817032,5.08503745925199,3.67553519911508e-07,7.55263200592356e-06,"T5T0"
"53","PA14_09600",842.933955073154,0.633681905626311,0.145359899713306,4.35939971667651,1.30419702520742e-05,0.00018325886140966,"T5T0"
"54","PA14_09610",1122.26074321012,0.325864977602681,0.073269995142754,4.44745460904957,8.68938128423025e-06,0.000132843261073312,"T5T0"
"55","PA14_09630",641.670477656373,1.69589733676758,0.396445391928001,4.2777577222428,1.88785328967191e-05,0.000250602337371461,"T5T0"
"56","PA14_09950",518.487028579892,1.17555822171054,0.291357683363758,4.03475964024214,5.46582204341192e-05,0.000630494120218924,"T5T0"
"57","PA14_10010",639.362399843592,0.905616427420312,0.276589467784257,3.27422600244021,0.00105951834956499,0.0077974566085444,"T5T0"
"58","PA14_10190",1130.67403309666,0.332621551043847,0.0884388803847525,3.76103303882613,0.000169213075551009,0.00163868000360462,"T5T0"
