"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PA14_00010",1119.82068129082,0.0848949842607453,0.0672737134616108,1.26193396933841,0.206972547423271,0.393948743153259
"PA14_00020",690.807859394379,0.156251079646154,0.123855310566095,1.26156140525579,0.207106651218919,0.394073160118839
"PA14_00030",799.083326803196,-0.320696534442047,0.158199266089375,-2.02716828193671,0.0426452057082914,0.124992313049916
"PA14_00050",1178.21488079228,0.86054567146881,0.0796740430672951,10.8008284547825,3.41111755021241e-27,6.7434265225406e-25
"PA14_00060",1412.96648470534,-0.0183646369103161,0.0684473937790018,-0.268302938890713,0.788466144223469,0.905923142150376
"PA14_00070",930.261472105178,-0.0944780239409876,0.111007825071887,-0.851093370037697,0.394717488059451,0.600561401020391
"PA14_00080",1272.93039688465,-0.00971933922589502,0.218349428011551,-0.0445127762156577,0.964495668124432,0.985115564824046
"PA14_00090",495.104486802126,1.37170340571767,0.279482854585026,4.90800556533016,9.20072444100065e-07,1.08089658238231e-05
"PA14_00100",1171.29259979443,-0.203006429893175,0.381002558565025,-0.532821697202667,0.594157012859556,0.772579304768391
"PA14_00110",934.942226460937,0.885567694443302,0.573136664090838,1.54512483658338,NA,NA
"PA14_00120",1665.43621527153,0.0841994622623119,0.219554369875582,0.383501646129961,0.701347849947785,0.850718322019913
"PA14_00130",984.272579614495,-0.260018899008632,0.154430266418701,-1.68373017180228,0.0922338275572547,0.222642750899259
"PA14_00140",895.703896658849,0.649973784665886,0.502456977703105,1.29359092123096,0.195806760058309,0.380013593572879
"PA14_00150",577.974946136396,-0.653224233770913,0.628969766281641,-1.03856221521212,0.299008386298562,0.501819402415004
"PA14_00160",1392.22390507482,0.289227075044747,0.0669027354012402,4.32309790190411,1.53853417985796e-05,0.00013631339853907
"PA14_00170",358.314646720828,0.817612458559199,0.354774935105068,2.30459476602275,0.0211892793832142,0.0726109615684201
"PA14_00180",1217.5245853623,-0.0515197045762404,0.538891322133306,-0.0956031438255299,0.923835768228578,0.968081527996805
"PA14_00190",1106.43304293892,1.23255530441928,0.155350065318388,7.93405076395155,2.12111331032996e-15,9.28270428100889e-14
"PA14_00200",808.778209147075,-0.0220828646587471,0.104663584469085,-0.210988996514541,0.832895857599119,0.927561159896191
"PA14_00210",473.401031328207,-0.896829290161655,0.797724549425797,-1.12423428714485,0.260913647379825,0.457856731076994
"PA14_00230",1480.97168084801,-0.106958146794785,0.537626984260907,-0.198944900323082,0.842305846079449,0.932227686404147
"PA14_00240",1359.66616613924,0.110145097059598,0.0554914177863288,1.98490327790353,0.0471552336340589,0.134900675860309
"PA14_00250",1006.16652324356,-0.499569385201579,0.68068769393463,-0.73391863794963,0.462998327104499,0.664422880923678
"PA14_00280",1214.10612481056,-0.18211648827922,0.490883986350897,-0.37099700406409,0.710639763146355,0.857475335439659
"PA14_00290",1117.76352026123,0.904843197911202,0.10251011525998,8.82686743270549,1.07648269279727e-18,7.3469943783414e-17
"PA14_00300",799.496371074567,0.148482993491239,0.154588597395212,0.960504176848416,0.336801529840776,0.541774178051955
"PA14_00310",992.896580009716,1.36975584027593,0.226282627220434,6.05329652170593,1.41911295990969e-09,2.75788969463127e-08
"PA14_00320",1272.12715977623,0.863015117854119,0.322985449083002,2.67199380128217,0.00754020412939435,0.0315302627817781
"PA14_00340",616.017659468598,-1.00563517474196,0.776066020929391,-1.29581137122541,0.195040479465525,0.379095697381199
"PA14_00360",537.405707810476,-0.00711324397544884,0.628358280387165,-0.011320363234596,0.99096784986546,0.996180726508624
"PA14_00380",559.271739594883,-0.051674870422022,0.749912245756005,-0.0689078898424006,0.94506293826376,0.976659814630628
"PA14_00400",716.480834082916,0.468568651944745,0.198373789955293,2.36204920040266,0.0181742300244896,0.0643563068130936
"PA14_00410",1610.69169538894,0.00975965004037938,0.463284504170478,0.0210662129912035,0.983192837037654,0.993585490469576
"PA14_00420",884.341339385022,0.310214265661361,0.207307773409221,1.4963947591536,0.134550814475176,0.291416629915444
"PA14_00430",1229.03495495473,-0.063999388059624,0.172194509504368,-0.371669156257276,0.710139192221983,0.857100629264975
"PA14_00440",1586.71327422513,-0.0410901641158188,0.067664612366017,-0.607262240616269,0.543676892701344,0.732698548626423
"PA14_00450",1336.56934008877,0.0431458231907074,0.0438395369737068,0.984176069573558,0.32502894983535,0.529673385277447
"PA14_00460",585.100861018351,0.229428421588423,0.30219455311821,0.759207666786359,0.447728340520281,0.650672249566452
"PA14_00470",1350.37335121701,-0.590672971359891,0.243722772907127,-2.42354444073625,0.0153698725796048,0.0564119587060655
"PA14_00480",873.52611977094,1.64052216740289,0.548108920321152,2.9930586906735,0.00276196629568488,0.0135568088811313
"PA14_00490",1119.44704982028,-0.353529190573079,0.468356780031416,-0.754828809245304,0.450351705546705,0.652862206535214
"PA14_00510",380.394701049023,0.700245749440162,0.252338516725912,2.77502522613607,0.00551974262249489,0.0242403895723047
"PA14_00520",1091.46953210768,-0.37941240083363,0.210380663014442,-1.80345662665577,0.0713165313200344,0.184419338772105
"PA14_00530",1497.59338598228,-0.159533364824593,0.0683799297524978,-2.33304370744496,0.019645851466423,0.0684678823446825
"PA14_00550",1089.84792835119,0.125811815762181,0.111096721203273,1.13245300490897,0.257444031357252,0.454410908796529
"PA14_00560",1191.6382425625,0.310177739346379,0.584183652753433,0.530959293168199,0.595446987989547,0.773598602536199
"PA14_00570",1330.1529106974,-1.90971784564456,0.445207624814273,-4.28949941376506,1.79076286038892e-05,0.000156262457817499
"PA14_00580",1466.70406724175,0.0680238127902756,0.347173717402198,0.195935951889672,0.84466029709044,0.932934648451533
"PA14_00590",1323.58422962221,-2.2264819397299,0.604930813970523,-3.6805563352215,0.000232725633503135,0.00155684487383135
"PA14_00600",1143.59238289369,-1.50933242611861,0.702216422356667,-2.1493835490962,0.0316040084245168,0.0987983724611578
"PA14_00620",1133.76737237088,-1.04467452631888,0.555797324312311,-1.87959617763806,0.0601631346090215,0.162010013741594
"PA14_00630",866.495469656956,-0.260298528068247,0.761304322596015,-0.341911270358535,0.732417667730781,0.87368924034552
"PA14_00640",1109.2566539054,-1.94159150860132,0.327860297284264,-5.92200862588098,3.18032937882794e-09,5.99764089763834e-08
"PA14_00650",735.338470863827,-0.11717738331655,0.498499045336118,-0.235060396630333,0.814161856445072,0.918997819058791
"PA14_00660",1184.11993853812,-0.7164721764136,0.539965539582912,-1.32688500263744,0.184546726142514,0.364201852314986
"PA14_00670",732.543440622713,0.219499419189743,0.24210773627286,0.906618774636606,0.364608429928584,0.570975344297097
"PA14_00680",1068.78537829009,1.06311389019652,0.836929999763824,1.27025425124745,0.203994078524401,0.390353154933375
"PA14_00690",1419.42818591213,-1.46684380880476,0.506612378729045,-2.89539669852656,NA,NA
"PA14_00700",1555.3982386173,-0.042647555036451,0.44964080584416,-0.0948480531173856,0.924435518018702,0.968526522105386
"PA14_00710",1098.11142538462,0.712350107288486,0.239779501574124,2.97085490048979,0.00296972054213097,0.0143795674561122
"PA14_00720",1035.75933925676,-0.735166594043602,0.654165408749345,-1.12382370607018,0.26108782254134,0.458022180731182
"PA14_00730",1415.62995160196,0.0707717706383867,0.798205066364971,0.0886636449962434,0.929349225794496,0.969777777844894
"PA14_00740",1085.68847274062,0.328511398179597,0.144513083383008,2.27322945777118,0.0230123559925969,0.0773782034636704
"PA14_00750",1434.07698144443,-0.228453853724396,0.0594949729101288,-3.83988499447661,0.000123091958905267,0.000887655597992319
"PA14_00760",1254.61624774475,0.254895942389374,0.0602960812767593,4.22740478306377,2.36402161002005e-05,0.000201082134870103
"PA14_00770",446.928698403072,0.722530025585464,0.354126227613713,2.04031774334888,0.0413186886939848,0.121914586867017
"PA14_00780",1398.22037709981,-0.0764306100254817,0.0523328817059305,-1.46047012000909,0.144160913738402,0.305761938017854
"PA14_00790",1090.46802616951,-0.715634579108104,0.556290298365089,-1.28644087666335,0.198289240261118,0.383662576583527
"PA14_00800",1325.44932860343,0.484462328711188,0.370399489727411,1.30794545388742,0.190891810914443,0.373387566113969
"PA14_00810",1549.2731674661,-0.0281052266437014,0.377829531606005,-0.074385997632946,0.940703250204612,0.975059073119334
"PA14_00820",1204.36611439782,0.291117601670729,0.0791182251135143,3.67952644606284,0.000233667457695373,0.00156132346732817
"PA14_00830",852.461172266567,0.109576326401579,0.70097174962886,0.156320602734127,0.875780317335436,0.947872130367997
"PA14_00850",1078.68791028503,0.0602917484240382,0.17034735049176,0.353934171855257,0.723388217052183,0.866705255665656
"PA14_00860",847.815456483014,0.242927038252081,0.271399365762296,0.895090663052057,0.370738624741057,0.577566449902304
"PA14_00875",1065.40638635866,-1.03179101731579,0.75126660777913,-1.37340194097796,0.169627426709162,0.342299907540874
"PA14_00890",932.05868899403,0.251340003809524,0.488796967959432,0.514201233405326,0.607111305521841,0.784441991110371
"PA14_00900",1543.13587613415,0.212039080221602,0.237329672525366,0.893436871864129,0.371623264404842,0.578630139824269
"PA14_00910",881.517225536997,0.176778141994279,0.140301452063144,1.25998797157651,0.207673701436957,0.394759061783182
"PA14_00925",1419.04390360871,-1.51495193169988,0.567834337305702,-2.66794702639527,0.00763162898115005,0.031783850956133
"PA14_00940",1276.25073831774,-1.95083128250275,0.685761920058877,-2.84476467041982,0.00444442451930654,0.0201145266742309
"PA14_00960",1441.76569854431,0.0649897301834917,0.080705255762875,0.805272588125388,0.420662396528,0.624715880372751
"PA14_00970",506.324273268445,0.0423726031363213,0.585650733872934,0.072351319114909,0.942322324924961,0.97603141622309
"PA14_00980",704.526881702771,-1.85755236904931,0.216942145296653,-8.56243200927713,1.10511213366588e-17,6.74000836415582e-16
"PA14_00990",1453.55481146774,-0.791643584232357,0.630659126162876,-1.25526382064581,0.20938300427189,0.396824054046526
"PA14_01010",1126.46542712457,-0.709447102034286,0.734138160270783,-0.966367286741518,0.333860427369837,0.538571629636955
"PA14_01020",1339.11028570192,0.113786556477868,0.0672387281658413,1.69227704898312,0.0905931617227243,0.219707377752252
"PA14_01030",1211.95851100463,-0.0181882851832129,0.0789080922614061,-0.230499618758478,0.817703559698765,0.921906491200201
"PA14_01040",503.356074787453,1.12146154967524,0.566907026729138,1.9782107061641,0.0479049414467018,0.136432702093364
"PA14_01060",934.527302019203,0.278895780522607,0.287370466129851,0.970509545669821,0.331792569152869,0.536452191008734
"PA14_01070",1536.9095593254,-0.0206969451837976,0.441370654443412,-0.0468924360408542,0.962598956629133,0.984318313825829
"PA14_01080",1193.31242495497,-0.101200279361842,0.152973678486368,-0.661553545441218,0.508257387677435,0.705018050702816
"PA14_01100",1485.80540635521,0.145154518811546,0.0560764521679244,2.58851109868492,0.0096391840686958,0.0383227754964168
"PA14_01110",411.69061359478,0.536320292623899,0.552748610783867,0.970278861240972,0.331907511061666,0.536460603585151
"PA14_01120",1417.38157417637,-0.112013982000124,0.412223294465097,-0.2717313249982,0.785828613373521,0.904288599077508
"PA14_01130",1622.75612279878,0.292310057180155,0.497565988614002,0.587479980282415,0.556881392059073,0.742155630069064
"PA14_01140",375.400469102523,0.457990939912551,0.299925790677425,1.5270141953385,0.126757481551197,0.279607788277419
"PA14_01150",533.866773989672,-0.493078434748126,0.261521952193635,-1.88541891268479,0.0593733025954459,0.160711588186823
"PA14_01160",1139.52387265743,-0.0185998623988546,0.0804387026291506,-0.231230263429361,0.817135920177827,0.921447724307529
