"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"1","PA14_00720",1035.75933925676,-2.50714964264962,0.685171102491102,-3.65915846937252,0.00025304483413812,0.00797091227535078,"U5U0"
"2","PA14_05060",657.595474338605,-2.69438978215162,0.527265014743051,-5.11012433370847,3.21946868539662e-07,8.07102429449635e-05,"U5U0"
"3","PA14_07790",730.568055694174,-2.42589843800727,0.618124814668179,-3.92460936762349,8.6870586485622e-05,0.00447470030115662,"U5U0"
"4","PA14_07960",411.060709075889,-1.68813315200269,0.458058601321441,-3.68540869472299,0.000228335931992887,0.00739576213624418,"U5U0"
"5","PA14_09280",952.350845976178,-1.43665996863649,0.388812902139422,-3.69499047159017,0.000219895033469055,0.00728704177386179,"U5U0"
"6","PA14_11110",587.939547535103,-2.96034105132118,0.796693740414911,-3.71578299307267,0.000202575392337012,0.00687198061697093,"U5U0"
"7","PA14_11210",536.088212320172,-2.64584157853694,0.637589072501223,-4.14975992006492,3.32824168940724e-05,0.00219319650636456,"U5U0"
"8","PA14_11250",588.848255961952,-2.18021122807504,0.560566730525213,-3.88929829287644,0.000100534487221764,0.00473546334285014,"U5U0"
"9","PA14_11290",619.919724202869,-2.82110242224306,0.746764514813718,-3.77776710901533,0.000158240748869592,0.00574173552702135,"U5U0"
"10","PA14_13410",1342.6318007785,-2.30359803974567,0.479624915560802,-4.80291570560338,1.56371726742245e-06,0.000237676695493343,"U5U0"
"11","PA14_18350",828.479868838127,-2.14866297764902,0.447990580696992,-4.7962235596697,1.6168482686622e-06,0.000237676695493343,"U5U0"
"12","PA14_18830",534.431348939945,-1.48825763227315,0.351491484183288,-4.23412144886301,2.29446927596325e-05,0.00164427404488716,"U5U0"
"13","PA14_20180",942.234782786988,-1.92174208493718,0.504754539859495,-3.80728043668934,0.000140503387255016,0.00535808337501733,"U5U0"
"14","PA14_21120",1128.30507836681,-1.82500322179929,0.492426889861151,-3.7061404634379,0.000210441618399609,0.00704556728768121,"U5U0"
"15","PA14_22380",630.262692146857,-2.57251252035921,0.574043033240122,-4.48139315590845,7.41573560195054e-06,0.000742741565102676,"U5U0"
"16","PA14_22890",738.585809981433,-2.40242945120553,0.644084711696089,-3.72998987179674,0.000191487467738779,0.00657363863800253,"U5U0"
"17","PA14_26610",610.135365837166,-2.44166233617241,0.631414683363271,-3.86697110552885,0.000110195478421519,0.00485962059838898,"U5U0"
"18","PA14_28050",855.242610735634,-2.34452421788398,0.617919425975538,-3.79422319371586,0.000148106405120978,0.0055135975360946,"U5U0"
"19","PA14_28070",1166.48236980612,-2.18913258253174,0.508959887282619,-4.30118883085209,1.69884210922074e-05,0.00139135168745178,"U5U0"
"20","PA14_28895",1063.98613835199,-0.528103427856297,0.138277176934383,-3.81916553088799,0.000133903887281159,0.00535808337501733,"U5U0"
"21","PA14_29680",646.364656281592,-3.22454730458325,0.70777832602852,-4.55587178358061,5.21687528550238e-06,0.000543788109305184,"U5U0"
"22","PA14_31960",894.417360750366,-2.43488556539231,0.567740421442229,-4.28873033067997,1.79697388002595e-05,0.00144490540991629,"U5U0"
"23","PA14_33500",861.584027282006,-1.83690244475476,0.497539156556022,-3.69197563759574,0.000222518784396156,0.00728971537681806,"U5U0"
"24","PA14_33830",1097.8660005304,-2.26163655290534,0.423431294375156,-5.34121257202486,9.23269145525237e-08,4.81191091936017e-05,"U5U0"
"25","PA14_34770",1132.84210101147,-2.36832542427959,0.471529909158856,-5.02264093597871,5.09657724847124e-07,0.000104352419162449,"U5U0"
"26","PA14_38360",550.206757172414,-2.33814489594886,0.615989587737299,-3.79575392586994,0.000147195446401966,0.0055135975360946,"U5U0"
"27","PA14_38950",930.534807517709,-1.03804368363984,0.277710906549917,-3.73785709944113,0.000185595377960813,0.0064485957687839,"U5U0"
"28","PA14_40630",1406.48267417121,-0.254633563146333,0.0667272173723045,-3.81603749075291,0.000135611908410655,0.00535808337501733,"U5U0"
"29","PA14_44700",765.36988425523,-2.23230982698359,0.488777156604813,-4.56713206993931,4.9444250470955e-06,0.000542245342685761,"U5U0"
"30","PA14_45470",631.626971468643,-1.68512124310465,0.38400349057036,-4.38829668084979,1.14241865157793e-05,0.00103960097293591,"U5U0"
"31","PA14_45790",574.991565484874,-2.33057267253521,0.482119299989571,-4.83401654442298,1.3380545869974e-06,0.000213085192979336,"U5U0"
"32","PA14_46610",702.624274854076,-1.83068507742618,0.494060852436025,-3.70538379715731,0.000211070881881102,0.00704556728768121,"U5U0"
"33","PA14_48460",458.729546475648,-3.17171184413413,0.718409792046337,-4.41490619873059,1.01053798534422e-05,0.00095567988898289,"U5U0"
"34","PA14_49050",727.03322746453,-2.64684364544675,0.672102376731507,-3.93815546125366,8.2110390619574e-05,0.00434025706901415,"U5U0"
"35","PA14_50430",1002.42322016203,-3.01595468707224,0.512468511354932,-5.88515122441037,3.97690195053825e-09,3.67864223659108e-06,"U5U0"
"36","PA14_50530",581.547503382175,-2.23804386564384,0.438055579556924,-5.10904088450953,3.23798288458775e-07,8.07102429449635e-05,"U5U0"
"37","PA14_50550",738.274267581706,-3.50693110450714,0.795215736199167,-4.41003735825068,1.03352787575334e-05,0.00095567988898289,"U5U0"
"38","PA14_53950",989.998526980289,-1.69964355699512,0.337372105241568,-5.03789000509727,4.70691790951477e-07,9.99435569453636e-05,"U5U0"
"39","PA14_59270",554.796516997285,-2.464919001525,0.474668468348567,-5.19292762399147,2.07012676582292e-07,7.25475656750386e-05,"U5U0"
"40","PA14_60900",1266.73180221529,-2.36699512768285,0.609290486684348,-3.88483847920164,0.000102397942216442,0.00473546334285014,"U5U0"
"41","PA14_61120",679.587929285581,-1.80963294036221,0.467389463967427,-3.87178804802568,0.000108039881519725,0.00480149333916731,"U5U0"
"42","PA14_61920",798.259733862229,-3.96599866568639,0.885548790344461,-4.47857724941806,7.51421782242373e-06,0.000742741565102676,"U5U0"
"43","PA14_63480",701.286019600188,-0.995863294321287,0.275672699576506,-3.61248428245217,0.000303277494582077,0.00903574865648187,"U5U0"
"44","PA14_66220",838.713939621354,-0.939271383893746,0.238577796388339,-3.93696059781217,8.25201500998679e-05,0.00434025706901415,"U5U0"
"45","PA14_66490",656.305599977943,-1.53969036209088,0.400076508020537,-3.84848980438473,0.000118848242527956,0.0050099777530351,"U5U0"
"46","PA14_67520",1779.31471085002,-0.152879255247663,0.0393603990705979,-3.88408803918513,0.000102714687070845,0.00473546334285014,"U5U0"
"47","PA14_70710",785.643040999438,-2.78189931628801,0.651986660290343,-4.26680404020717,1.98293190268178e-05,0.00149580902606245,"U5U0"
"48","PA14_71750",703.153241697874,-1.80828941535378,0.503334408404595,-3.59262030403498,0.000327369433428771,0.0096117426357123,"U5U0"
"49","PA14_72580",664.412812221615,-1.7396166495702,0.475756660657811,-3.65652610551978,0.000255656386049215,0.00799852025087652,"U5U0"
