	rxn00872	rxn01387	rxn00616	rJB00264	rxn00781	rxn00199	rxn00154	rxn01802	rxn00184	rxn10074	rxn05312	rxn05318	rxn00256	rJB00267	rxn00974	rxn00973	rxn05307	rxn00165	rxn01639	rxn05158	rxn00615	rxn00148	rJB00271	rxn05466	rxn10042	rxn01100	rxn12788	rxn09566	rxn00208	rxn00134	rxn05559	rxn00374	rxn05581	rxn00459	rxn00251	rxn00014	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn00124	rxn01807	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00054_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	rxn13837	rxn01730	EX_cpd00331_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	EX_cpd00379_e	rxn00178	DM_cpd00002_c
0	271.8326274509801	-261.78205392156804	271.8326274509801	199.6827156862743	271.8326274509801	-261.78205392156804	199.68271568627426	-271.8326274509801	261.78205392156804	-271.8326274509801	847.4454999999982	615.8151666666661	343.98253921568596	46.992892156862666	-82.20048529411793	-261.78205392156804	-416.1324509803918	-416.1324509803918	261.78205392156804	1000.0	-728.1673725490199	615.8151666666661	152.68982352941163	-107.43165686274426	352.37253921568595	-271.8326274509801	82.20048529411793	50.89660784313721	50.89660784313721	615.8151666666661	-261.78205392156804	261.78205392156804	728.1673725490199	271.8326274509801	343.98253921568596	152.68982352941163	-271.8326274509801	261.78205392156804	261.78205392156804	-261.78205392156804	-271.8326274509801	0.0	-50.89660784313721	50.89660784313721	-10.050573529412077	99.84135784313716	-615.8151666666661	10.050573529412077	728.1673725490199	-1000.0	-657.8133578431356	416.1324509803918	107.43165686274426	-99.84135784313716	-847.4454999999982	-271.8326274509801	-271.8326274509801	-82.20048529411793	-261.78205392156804	8.39	261.78205392156804	271.8326274509801	271.8326274509801	615.8151666666661
1	270.17109803921574	-278.6681568627454	270.17109803921574	201.84662745098044	270.17109803921574	-278.6681568627454	201.84662745098044	-270.17109803921574	278.6681568627454	-270.17109803921574	912.8260000000012	608.666666666667	338.49556862745106	56.80768627450988	-59.82741176470569	-278.6681568627454	-406.8200392156863	-406.8200392156863	278.6681568627454	913.1739999999992	-643.0029019607834	608.6666666666667	145.03894117647056	-150.51627450980448	346.885568627451	-270.17109803921574	59.82741176470569	48.346313725490184	48.346313725490184	608.6666666666667	-278.6681568627454	278.6681568627454	643.0029019607834	270.17109803921574	338.49556862745106	145.03894117647056	-270.17109803921574	278.6681568627454	278.6681568627454	-278.6681568627454	-270.17109803921574	0.0	-48.346313725490184	48.346313725490184	8.497058823529642	100.9233137254902	-608.666666666667	-8.497058823529642	643.0029019607834	-913.1739999999992	-702.4823137254913	406.8200392156863	150.51627450980448	-100.9233137254902	-912.8260000000012	-270.17109803921574	-270.17109803921574	-59.82741176470569	-278.6681568627454	8.39	278.6681568627454	270.17109803921574	270.17109803921574	608.6666666666666
2	283.8216163921567	-283.5120963774507	283.8216163921567	210.17308100980375	283.8216163921567	-283.5120963774507	210.17308100980375	-283.8216163921567	283.5120963774507	-283.8216163921567	923.8753044999992	641.2917681666664	357.4701517745097	54.48601024509787	-73.95805539705901	-283.5120963774507	-431.1186871568627	-431.1186871568627	283.5120963774507	1000.0	-716.1783836078432	641.2917681666664	155.68707076470588	-135.9055055980387	365.86015177450963	-283.8216163921567	73.95805539705901	51.89569025490196	51.89569025490196	641.2917681666664	-283.5120963774507	283.5120963774507	716.1783836078432	283.8216163921567	357.4701517745097	155.68707076470588	-283.8216163921567	283.5120963774507	283.5120963774507	-283.5120963774507	-283.8216163921567	0.0	-51.89569025490196	51.89569025490196	-0.3095200147060382	105.08654050490188	-641.2917681666664	0.3095200147060382	716.1783836078432	-1000.0	-714.0117435049015	431.1186871568627	135.9055055980387	-105.08654050490188	-923.8753044999992	-283.8216163921567	-283.8216163921567	-73.95805539705901	-283.5120963774507	8.39	283.5120963774507	283.8216163921567	283.8216163921567	641.2917681666663
3	286.3564859215688	-301.68215427451025	286.3564859215688	250.40279109803976	286.3564859215688	-301.68215427451025	250.40279109803976	-286.3564859215688	301.68215427451025	-286.3564859215688	826.0000000000011	608.666666666667	322.31018074509785	39.77957545098042	-20.6280264705876	-301.68215427451025	-358.2638755686269	-358.2638755686269	301.68215427451025	1000.0	-583.3176880784299	608.6666666666666	210.62321564705934	-245.10043298039363	461.0260067450991	-286.3564859215688	20.6280264705876	70.20773854901978	70.20773854901978	608.6666666666666	-301.68215427451025	301.68215427451025	583.3176880784299	286.3564859215688	322.31018074509785	210.62321564705934	-286.3564859215688	301.68215427451025	301.68215427451025	-301.68215427451025	-286.3564859215688	-130.32582600000126	-70.20773854901978	70.20773854901978	15.325668352941364	125.20139554901988	-608.666666666667	-15.325668352941364	583.3176880784299	-869.6741739999987	-690.5973665490196	358.2638755686269	245.10043298039363	-125.20139554901988	-956.325826000001	-286.3564859215688	-286.3564859215688	-20.6280264705876	-301.68215427451025	8.39	301.68215427451025	286.3564859215688	286.35648592156883	608.6666666666666
4	271.0240358039216	-290.1828166862748	271.0240358039216	204.405440745098	271.0240358039216	-290.1828166862748	204.405440745098	-271.0240358039216	290.1828166862748	-271.0240358039216	956.3258260000011	608.666666666667	337.64263086274514	62.77825062745097	-47.45981417647033	-290.1828166862748	-404.26122592156867	-404.26122592156867	290.1828166862748	869.6741739999989	-598.6501381960773	608.6666666666666	141.62719011764702	-176.10440745098094	346.032630862745	-271.0240358039216	47.45981417647033	47.209063372549004	47.209063372549004	608.6666666666666	-290.1828166862748	290.1828166862748	598.6501381960773	271.0240358039216	337.64263086274514	141.62719011764702	-271.0240358039216	290.1828166862748	290.1828166862748	-290.1828166862748	-271.0240358039216	0.0	-47.209063372549004	47.209063372549004	19.158780882353312	102.20272037254898	-608.666666666667	-19.158780882353312	598.6501381960773	-869.6741739999989	-732.76160437255	404.26122592156867	176.10440745098094	-102.20272037254898	-956.3258260000011	-271.0240358039216	-271.0240358039216	-47.45981417647033	-290.1828166862748	8.39	290.1828166862748	271.0240358039216	271.02403580392155	608.6666666666666
5	259.0722133333332	-259.07221333333325	259.0722133333332	168.549973333333	259.0722133333332	-259.07221333333325	168.549973333333	-259.0722133333332	259.07221333333325	-259.0722133333332	954.5648800000006	608.666666666667	349.59445333333343	65.94149333333343	-90.52224000000018	-259.07221333333325	-440.1166933333336	-440.1166933333336	259.07221333333325	871.4351199999992	-699.1889066666668	608.6666666666666	102.60847999999959	-78.02773333333289	271.1584533333326	-259.0722133333332	90.52224000000018	34.20282666666653	34.20282666666653	608.6666666666666	-259.07221333333325	259.07221333333325	699.1889066666668	259.0722133333332	349.59445333333343	102.60847999999959	-259.0722133333332	259.07221333333325	259.07221333333325	-259.07221333333325	-259.0722133333332	86.82600000000079	-34.20282666666653	34.20282666666653	0.0	84.27498666666652	-608.666666666667	0.0	699.1889066666668	-958.26112	-699.1889066666665	440.1166933333336	78.02773333333289	-84.27498666666652	-867.7388799999998	-259.0722133333332	-259.0722133333332	-90.52224000000018	-259.07221333333325	8.39	259.07221333333325	259.0722133333332	259.07221333333325	608.6666666666666
6	269.32156521568623	-267.1994637450981	269.32156521568623	199.29802898039208	269.32156521568623	-267.1994637450981	199.29802898039208	-269.32156521568623	267.1994637450981	-269.32156521568623	869.4998260000004	608.666666666667	339.34510145098045	50.86095650980377	-72.14563770588234	-267.1994637450981	-409.36863768627455	-409.36863768627455	267.1994637450981	956.5001739999996	-687.1786087843134	608.6666666666666	148.4370724705883	-125.03028980392168	347.7351014509804	-269.32156521568623	72.14563770588234	49.47902415686277	49.47902415686277	608.6666666666666	-267.1994637450981	267.1994637450981	687.1786087843134	269.32156521568623	339.34510145098045	148.4370724705883	-269.32156521568623	267.1994637450981	267.1994637450981	-267.1994637450981	-269.32156521568623	0.0	-49.47902415686277	49.47902415686277	-2.122101470588234	99.64901449019604	-608.666666666667	2.122101470588234	687.1786087843134	-956.5001739999996	-672.323898490197	409.36863768627455	125.03028980392168	-99.64901449019604	-869.4998260000004	-269.32156521568623	-269.32156521568623	-72.14563770588234	-267.1994637450981	8.39	267.1994637450981	269.32156521568623	269.3215652156863	608.6666666666666
7	278.2303159586731	-278.2303159586732	278.2303159586731	206.16295706085316	278.2303159586731	-278.2303159586732	206.1629570608531	-278.2303159586731	278.2303159586732	-278.2303159586731	906.7583067738399	628.5279908151663	350.2976748564932	53.638239265213144	-72.06735889781999	-278.2303159586732	-422.3650337543132	-422.3650337543132	278.2303159586732	978.8256656716592	-700.595349712986	628.5279908151663	152.52471779564002	-134.09559816303323	358.6876748564932	-278.2303159586731	72.06735889781999	50.84157259854667	50.84157259854667	628.5279908151663	-278.2303159586732	278.2303159586732	700.595349712986	278.2303159586731	350.2976748564932	152.52471779564002	-278.2303159586731	278.2303159586732	278.2303159586732	-278.2303159586732	-278.2303159586731	0.0	-50.84157259854667	50.84157259854667	0.0	103.08147853042658	-628.5279908151663	0.0	700.595349712986	-978.8256656716592	-700.5953497129872	422.3650337543132	134.09559816303323	-103.08147853042658	-906.7583067738399	-278.2303159586731	-278.2303159586731	-72.06735889781999	-278.2303159586732	8.39	278.2303159586732	278.2303159586731	278.23031595867315	628.5279908151662
8	289.7802396163921	-294.3121009713774	289.7802396163921	215.38687633100972	289.7802396163921	-294.3121009713774	215.38687633100972	-289.7802396163921	294.3121009713774	-289.7802396163921	961.8615275545	653.9538425181667	364.17360290177453	58.21014976024492	-69.86150193039714	-294.3121009713774	-438.56696618715694	-438.56696618715694	294.3121009713774	1000.0	-710.2197603836079	653.9538425181667	157.1767265707648	-150.05723575559784	372.5636029017745	-289.7802396163921	69.86150193039714	52.39224219025493	52.39224219025493	653.9538425181667	-294.3121009713774	294.3121009713774	710.2197603836079	289.7802396163921	364.17360290177453	157.1767265707648	-289.7802396163921	294.3121009713774	294.3121009713774	-294.3121009713774	-289.7802396163921	0.0	-52.39224219025493	52.39224219025493	4.531861354985267	107.69343816550486	-653.9538425181667	-4.531861354985267	710.2197603836079	-1000.0	-741.9427898685052	438.56696618715694	150.05723575559784	-107.69343816550486	-961.8615275545	-289.7802396163921	-289.7802396163921	-69.86150193039714	-294.3121009713774	8.39	294.3121009713774	289.7802396163921	289.7802396163921	653.9538425181667
9	294.4875963299215	-309.6184128452744	294.4875963299215	238.47365138109797	294.4875963299215	-309.6184128452744	238.47365138109797	-294.4875963299215	309.6184128452744	-294.4875963299215	934.9674128259994	644.9891376086663	350.501541278745	53.02317430945055	-40.883128433470574	-309.6184128452744	-406.5154862275683	-406.5154862275683	309.6184128452744	1000.0	-640.479816496078	644.9891376086663	185.4504770716474	-212.7213394629805	423.9241284527454	-294.4875963299215	40.883128433470574	61.81682569054914	61.81682569054914	644.9891376086663	-309.6184128452744	309.6184128452744	640.479816496078	294.4875963299215	350.501541278745	185.4504770716474	-294.4875963299215	309.6184128452744	309.6184128452744	-309.6184128452744	-294.4875963299215	-65.03258717400062	-61.81682569054914	61.81682569054914	15.130816515352933	119.23682569054898	-644.9891376086663	-15.130816515352933	640.479816496078	-934.9674128259994	-746.3955321035496	406.5154862275683	212.7213394629805	-119.23682569054898	-1000.0	-294.4875963299215	-294.4875963299215	-40.883128433470574	-309.6184128452744	8.39	309.6184128452744	294.4875963299215	294.4875963299215	644.9891376086663
