	rxn10125	rxn00083	rxn10158	rxn05312	rxn05318	rJB00240	rxn01639	rxn00615	rxn00148	rxn05466	rxn00250	rxn00134	rxn00102	rxn05559	rxn05298	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00009_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
0	-203.85999999999973	-203.85999999999973	-41.573333333333274	524.0499999999993	174.68333333333308	41.573333333333274	41.573333333333274	-357.7566666666662	174.68333333333308	-41.573333333333274	174.68333333333308	174.68333333333308	-174.68333333333308	-41.573333333333274	-41.573333333333274	41.573333333333274	357.7566666666662	174.68333333333308	41.573333333333274	41.573333333333274	-41.573333333333274	357.7566666666662	-174.68333333333308	357.7566666666662	-357.7566666666662	-166.29333333333304	41.573333333333274	41.573333333333274	-166.29333333333307	-41.573333333333274	8.39	41.573333333333274	174.6833333333331
1	-292.9221437499998	-292.9221437499998	-61.3649208333333	761.5490499999995	253.84968333333316	61.3649208333333	61.3649208333333	-516.0893666666664	253.84968333333316	-61.364920833333315	253.84968333333316	253.84968333333316	-253.84968333333316	-61.364920833333315	-61.3649208333333	61.364920833333315	516.0893666666664	253.84968333333316	61.3649208333333	61.3649208333333	-61.3649208333333	516.0893666666664	-253.84968333333316	516.0893666666664	-516.0893666666664	-245.45968333333312	61.3649208333333	61.364920833333315	-245.45968333333315	-61.3649208333333	8.39	61.364920833333315	253.8496833333332
2	-114.79785624999973	-114.79785624999973	-21.78174583333327	286.55094999999926	95.51698333333309	21.78174583333327	21.78174583333327	-199.42396666666616	95.51698333333309	-21.78174583333327	95.51698333333309	95.51698333333309	-95.51698333333309	-21.78174583333327	-21.78174583333327	21.78174583333327	199.42396666666616	95.51698333333309	21.78174583333327	21.78174583333327	-21.78174583333327	199.42396666666616	-95.51698333333309	199.42396666666616	-199.42396666666616	-87.12698333333309	21.78174583333327	21.78174583333327	-87.1269833333331	-21.78174583333327	8.39	21.78174583333327	95.51698333333307
3	-337.54227776875007	-337.54227776875007	-71.28050617083336	880.5360740500003	293.51202468333344	71.28050617083336	71.28050617083336	-595.4140493666669	293.51202468333344	-71.28050617083336	293.51202468333344	293.51202468333344	-293.51202468333344	-71.28050617083336	-71.28050617083336	71.28050617083336	595.4140493666669	293.51202468333344	71.28050617083336	71.28050617083336	-71.28050617083336	595.4140493666669	-293.51202468333344	595.4140493666669	-595.4140493666669	-285.1220246833334	71.28050617083336	71.28050617083336	-285.1220246833334	-71.28050617083336	8.39	71.28050617083336	293.51202468333344
4	-248.3020097312497	-248.3020097312497	-51.44933549583327	642.5620259499992	214.18734198333308	51.44933549583327	51.44933549583327	-436.7646839666662	214.18734198333308	-51.44933549583327	214.18734198333308	214.18734198333308	-214.18734198333308	-51.44933549583327	-51.44933549583327	51.44933549583327	436.7646839666662	214.18734198333308	51.44933549583327	51.44933549583327	-51.44933549583327	436.7646839666662	-214.18734198333308	436.7646839666662	-436.7646839666662	-205.79734198333307	51.44933549583327	51.44933549583327	-205.797341983333	-51.44933549583327	8.39	51.44933549583327	214.1873419833331
5	-159.23986598124975	-159.23986598124975	-31.657747995833272	405.06297594999927	135.0209919833331	31.657747995833272	31.657747995833272	-278.43198396666617	135.0209919833331	-31.657747995833276	135.0209919833331	135.0209919833331	-135.0209919833331	-31.657747995833276	-31.657747995833272	31.657747995833276	278.43198396666617	135.0209919833331	31.657747995833272	31.657747995833272	-31.657747995833272	278.43198396666617	-135.0209919833331	278.43198396666617	-278.43198396666617	-126.63099198333306	31.657747995833272	31.657747995833276	-126.6309919833331	-31.657747995833272	8.39	31.657747995833276	135.0209919833331
6	-70.35584651874971	-70.35584651874971	-11.905743670833267	168.03892404999922	56.01297468333308	11.905743670833267	11.905743670833267	-120.41594936666615	56.01297468333308	-11.905743670833267	56.01297468333308	56.01297468333308	-56.01297468333308	-11.905743670833267	-11.905743670833267	11.905743670833267	120.41594936666615	56.01297468333308	11.905743670833267	11.905743670833267	-11.905743670833267	120.41594936666615	-56.01297468333308	120.41594936666615	-120.41594936666615	-47.62297468333308	11.905743670833267	11.905743670833267	-47.62297468333307	-11.905743670833267	8.39	11.905743670833267	56.012974683333084
7	-359.89696491214397	-359.89696491214397	-76.24821442492087	940.1485730990506	313.38285769968354	76.24821442492087	76.24821442492087	-635.1557153993671	313.38285769968354	-76.24821442492087	313.38285769968354	313.38285769968354	-313.38285769968354	-76.24821442492087	-76.24821442492087	76.24821442492087	635.1557153993671	313.38285769968354	76.24821442492087	76.24821442492087	-76.24821442492087	635.1557153993671	-313.38285769968354	635.1557153993671	-635.1557153993671	-304.99285769968355	76.24821442492087	76.24821442492087	-304.99285769968355	-76.24821442492087	8.39	76.24821442492087	313.38285769968354
8	-315.18759062535617	-315.18759062535617	-66.31279791674582	820.9235750009498	273.6411916669833	66.31279791674582	66.31279791674582	-555.6723833339665	273.6411916669833	-66.31279791674582	273.6411916669833	273.6411916669833	-273.6411916669833	-66.31279791674582	-66.31279791674582	66.31279791674582	555.6723833339665	273.6411916669833	66.31279791674582	66.31279791674582	-66.31279791674582	555.6723833339665	-273.6411916669833	555.6723833339665	-555.6723833339665	-265.2511916669833	66.31279791674582	66.31279791674582	-265.25119166698323	-66.31279791674582	8.39	66.31279791674582	273.6411916669833
9	-270.567456606606	-270.567456606606	-56.39721257924579	701.9365509509494	233.97885031698314	56.39721257924579	56.39721257924579	-476.34770063396627	233.97885031698314	-56.39721257924579	233.97885031698314	233.97885031698314	-233.97885031698314	-56.39721257924579	-56.39721257924579	56.39721257924579	476.34770063396627	233.97885031698314	56.39721257924579	56.39721257924579	-56.39721257924579	476.34770063396627	-233.97885031698314	476.34770063396627	-476.34770063396627	-225.5888503169831	56.39721257924579	56.39721257924579	-225.5888503169831	-56.39721257924579	8.39	56.39721257924579	233.97885031698314
