reaction	linear_coefficient
rxn03253	[0.08984134771909316]
rxn02720	[0.08984134771909316]
rxn00946	[0.08984134771909316]
rxn02679	[0.08984134771909316]
rxn02803	[0.08984134771909316]
rxn03251	[0.08984134771909316]
rxn00872	[0.08984134771909316]
rxn01451	[np.float64(0.35948195363569563)]
rxn03242	[np.float64(0.35948195363569563)]
rxn03239	[np.float64(0.35948195363569563)]
rxn06777	[np.float64(0.35948195363569563)]
rxn03244	[np.float64(0.35948195363569563)]
rxn03249	[np.float64(0.35948195363569563)]
rxn03246	[np.float64(0.35948195363569563)]
rxn02122	[0.03685967139115511]
rxn01387	[0.5290517659738839]
rxn00616	[np.float64(0.35948195363569563)]
rxn00501	[0.19887610190122654]
rxn10125	[0.24597092530383813]
rxn01851	[0.03941917266303617]
rxn13812	[np.float64(0.35948195363569563)]
rxn01297	[0.21500095991407725]
rxn01522	[0.21500095991407725]
rxn00288	[np.float64(0.35948195363569563)]
rxn10126	[np.float64(0.35948195363569563)]
rJB00270	[np.float64(0.35948195363569563)]
rxn06493	[0.2802682423470444]
rxn13808	[0.21500095991407725]
rxn00623	[0.5287958158466959]
rxn00506	[0.03941917266303617]
rxn00779	[0.12746601641574482]
rxn13726	[0.19554875024778118]
rJB00264	[0.19554875024778118]
rxn10122	[0.19554875024778118]
rxn00604	[0.5802417914115052]
rxn10902	[0.5802417914115052]
rxn00671	[0.19887610190122654]
rxn01115	[0.5802417914115052]
rxn00338	[np.float64(0.35948195363569563)]
rxn00248	[0.6964431491549056]
rxn05353	[0.26030413242637207]
rxn05356	[0.26030413242637207]
rxn05355	[0.26030413242637207]
rxn05354	[0.26030413242637207]
rxn05357	[0.26030413242637207]
rxn05352	[0.26030413242637207]
rxn05351	[0.26030413242637207]
rxn05338	[0.5313553171185769]
rxn00611	[0.5935511980252868]
rxn00612	[0.5935511980252868]
rxn05436	[0.6608660814757588]
rxn05448	[0.6608660814757588]
rxn05442	[0.6608660814757588]
rxn05437	[0.6608660814757588]
rxn05449	[0.6608660814757588]
rxn05443	[0.6608660814757588]
rxn05438	[0.6608660814757588]
rxn05450	[0.6608660814757588]
rxn05444	[0.6608660814757588]
rxn05433	[0.6608660814757588]
rxn05445	[0.6608660814757588]
rxn05439	[0.6608660814757588]
rxn05446	[0.6608660814757588]
rxn05434	[0.6608660814757588]
rxn05440	[0.6608660814757588]
rxn05435	[0.6608660814757588]
rxn05447	[0.6608660814757588]
rxn05441	[0.6608660814757588]
rxn05322	[0.6608660814757588]
rxn05327	[0.6608660814757588]
rxn05324	[0.6608660814757588]
rxn13838	[0.6608660814757588]
rxn05328	[0.6608660814757588]
rxn05326	[0.6608660814757588]
rxn13850	[0.6608660814757588]
rxn08396	[0.6608660814757588]
rxn05325	[0.6608660814757588]
rxn05323	[0.6608660814757588]
rxn05464	[0.6608660814757588]
rxn02866	[0.5584860306005162]
rxn05339	[np.float64(0.35948195363569563)]
rxn05337	[np.float64(0.35948195363569563)]
rxn13844	[np.float64(0.35948195363569563)]
rxn05341	[np.float64(0.35948195363569563)]
rxn05336	[np.float64(0.35948195363569563)]
rxn05372	[np.float64(0.35948195363569563)]
rxn05422	[np.float64(0.35948195363569563)]
rxn05397	[np.float64(0.35948195363569563)]
rxn05376	[np.float64(0.35948195363569563)]
rxn05426	[np.float64(0.35948195363569563)]
rxn05401	[np.float64(0.35948195363569563)]
rxn05380	[np.float64(0.35948195363569563)]
rxn05430	[np.float64(0.35948195363569563)]
rxn05405	[np.float64(0.35948195363569563)]
rxn05461	[np.float64(0.35948195363569563)]
rxn07993	[np.float64(0.35948195363569563)]
rxn05340	[np.float64(0.35948195363569563)]
rxn05342	[np.float64(0.35948195363569563)]
rxn05360	[np.float64(0.35948195363569563)]
