	rxn05206	rxn05312	rxn05318	rxn00615	rxn13836	rxn00148	rxn05229	rxn00250	rxn00134	rxn05595	rxn05581	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00009_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
0	599.200000000001	449.4000000000007	149.80000000000024	-307.99000000000046	141.41000000000025	149.80000000000024	-149.80000000000024	149.80000000000024	149.80000000000024	-599.200000000001	307.99000000000046	149.80000000000024	307.99000000000046	149.80000000000024	-149.80000000000024	307.99000000000046	-307.99000000000046	-141.41000000000025	8.39	-141.41000000000025	141.41000000000025	149.80000000000024
1	799.1992000000007	599.3994000000005	199.79980000000018	-407.98960000000034	191.4098000000002	199.79980000000018	-199.79980000000018	199.79980000000018	199.79980000000018	-799.1992000000007	407.98960000000034	199.79980000000018	407.98960000000034	199.79980000000018	-199.79980000000018	407.98960000000034	-407.98960000000034	-191.4098000000002	8.39	-191.4098000000002	191.4098000000002	199.79980000000018
2	399.2008000000005	299.4006000000004	99.80020000000013	-207.99040000000025	91.41020000000013	99.80020000000013	-99.80020000000013	99.80020000000013	99.80020000000013	-399.2008000000005	207.99040000000025	99.80020000000013	207.99040000000025	99.80020000000013	-99.80020000000013	207.99040000000025	-207.99040000000025	-91.41020000000015	8.39	-91.41020000000013	91.41020000000013	99.80020000000012
3	899.3987992000004	674.5490994000004	224.84969980000014	-458.08939960000026	216.45969980000012	224.84969980000014	-224.84969980000014	224.84969980000014	224.84969980000014	-899.3987992000004	458.08939960000026	224.84969980000014	458.08939960000026	224.84969980000014	-224.84969980000014	458.08939960000026	-458.08939960000026	-216.45969980000015	8.39	-216.45969980000012	216.45969980000012	224.8496998000001
4	499.0004008000008	374.2503006000006	124.7501002000002	-257.8902004000004	116.3601002000002	124.7501002000002	-124.7501002000002	124.7501002000002	124.7501002000002	-499.0004008000008	257.8902004000004	124.7501002000002	257.8902004000004	124.7501002000002	-124.7501002000002	257.8902004000004	-257.8902004000004	-116.3601002000002	8.39	-116.3601002000002	116.3601002000002	124.75010020000022
5	698.9996008000008	524.2497006000007	174.7499002000002	-357.88980040000047	166.3599002000002	174.7499002000002	-174.7499002000002	174.7499002000002	174.7499002000002	-698.9996008000008	357.88980040000047	174.7499002000002	357.88980040000047	174.7499002000002	-174.7499002000002	357.88980040000047	-357.88980040000047	-166.3599002000002	8.39	-166.3599002000002	166.3599002000002	174.74990020000024
6	299.4011992000003	224.55089940000022	74.85029980000007	-158.09059960000013	66.46029980000007	74.85029980000007	-74.85029980000007	74.85029980000007	74.85029980000007	-299.4011992000003	158.09059960000013	74.85029980000007	158.09059960000013	74.85029980000007	-74.85029980000007	158.09059960000013	-158.09059960000013	-66.46029980000009	8.39	-66.46029980000007	66.46029980000007	74.85029980000006
7	949.5987983992004	712.1990987994004	237.39969959980016	-483.1893991996003	229.00969959980017	237.39969959980016	-237.39969959980016	237.39969959980016	237.39969959980016	-949.5987983992004	483.1893991996003	237.39969959980016	483.1893991996003	237.39969959980016	-237.39969959980016	483.1893991996003	-483.1893991996003	-229.00969959980014	8.39	-229.00969959980017	229.00969959980017	237.39969959980016
8	549.000000800801	411.75000060060074	137.25000020020025	-282.8900004004005	128.86000020020023	137.25000020020025	-137.25000020020025	137.25000020020025	137.25000020020025	-549.000000800801	282.8900004004005	137.25000020020025	282.8900004004005	137.25000020020025	-137.25000020020025	282.8900004004005	-282.8900004004005	-128.86000020020026	8.39	-128.86000020020023	128.86000020020023	137.25000020020025
9	748.9992008008007	561.7494006006006	187.24980020020018	-382.88960040040035	178.8598002002002	187.24980020020018	-187.24980020020018	187.24980020020018	187.24980020020018	-748.9992008008007	382.88960040040035	187.24980020020018	382.88960040040035	187.24980020020018	-187.24980020020018	382.88960040040035	-382.88960040040035	-178.8598002002002	8.39	-178.8598002002002	178.8598002002002	187.24980020020018
10	849.1988000008005	636.8991000006005	212.29970000020018	-432.98940000040034	203.9097000002002	212.29970000020018	-212.29970000020018	212.29970000020018	212.29970000020018	-849.1988000008005	432.98940000040034	212.29970000020018	432.98940000040034	212.29970000020018	-212.29970000020018	432.98940000040034	-432.98940000040034	-203.90970000020013	8.39	-203.9097000002002	203.9097000002002	212.29970000020023
11	449.00080079920065	336.7506005994005	112.25020019980016	-232.8904003996003	103.86020019980016	112.25020019980016	-112.25020019980016	112.25020019980016	112.25020019980016	-449.00080079920065	232.8904003996003	112.25020019980016	232.8904003996003	112.25020019980016	-112.25020019980016	232.8904003996003	-232.8904003996003	-103.8602001998002	8.39	-103.86020019980016	103.86020019980016	112.25020019980016
12	349.20119999920036	261.9008999994003	87.30029999980007	-182.99059999960016	78.91029999980007	87.30029999980007	-87.30029999980007	87.30029999980007	87.30029999980007	-349.20119999920036	182.99059999960016	87.30029999980007	182.99059999960016	87.30029999980007	-87.30029999980007	182.99059999960016	-182.99059999960016	-78.91029999980012	8.39	-78.91029999980007	78.91029999980007	87.30029999980009
13	649.000000799201	486.7500005994007	162.25000019980024	-332.89000039960047	153.86000019980025	162.25000019980024	-162.25000019980024	162.25000019980024	162.25000019980024	-649.000000799201	332.89000039960047	162.25000019980024	332.89000039960047	162.25000019980024	-162.25000019980024	332.89000039960047	-332.89000039960047	-153.86000019980025	8.39	-153.86000019980025	153.86000019980025	162.25000019980024
14	249.60119840080017	187.20089880060013	62.400299600200036	-133.19059920040007	54.01029960020004	62.400299600200036	-62.400299600200036	62.400299600200036	62.400299600200036	-249.60119840080017	133.19059920040007	62.400299600200036	133.19059920040007	62.400299600200036	-62.400299600200036	133.19059920040007	-133.19059920040007	-54.01029960020006	8.39	-54.01029960020004	54.01029960020004	62.40029960020003
15	974.7489979979994	731.0617484984996	243.68724949949987	-495.7644989989997	235.29724949949986	243.68724949949987	-243.68724949949987	243.68724949949987	243.68724949949987	-974.7489979979994	495.7644989989997	243.68724949949987	495.7644989989997	243.68724949949987	-243.68724949949987	495.7644989989997	-495.7644989989997	-235.2972494994999	8.39	-235.29724949949986	235.29724949949986	243.68724949949984
16	924.4485988004014	693.336449100301	231.11214970010036	-470.6142994002007	222.72214970010035	231.11214970010036	-231.11214970010036	231.11214970010036	231.11214970010036	-924.4485988004014	470.6142994002007	231.11214970010036	470.6142994002007	231.11214970010036	-231.11214970010036	470.6142994002007	-470.6142994002007	-222.72214970010032	8.39	-222.72214970010035	222.72214970010035	231.11214970010036
17	574.0498004012018	430.5373503009013	143.51245010030044	-295.41490020060087	135.12245010030043	143.51245010030044	-143.51245010030044	143.51245010030044	143.51245010030044	-574.0498004012018	295.41490020060087	143.51245010030044	295.41490020060087	143.51245010030044	-143.51245010030044	295.41490020060087	-295.41490020060087	-135.12245010030045	8.39	-135.12245010030043	135.12245010030043	143.51245010030044
18	874.2485996012014	655.686449700901	218.56214990030034	-445.51429980060067	210.17214990030033	218.56214990030034	-218.56214990030034	218.56214990030034	218.56214990030034	-874.2485996012014	445.51429980060067	218.56214990030034	445.51429980060067	218.56214990030034	-218.56214990030034	445.51429980060067	-445.51429980060067	-210.17214990030035	8.39	-210.17214990030033	210.17214990030033	218.56214990030028
19	774.0490004012015	580.5367503009011	193.51225010030038	-395.41450020060074	185.1222501003004	193.51225010030038	-193.51225010030038	193.51225010030038	193.51225010030038	-774.0490004012015	395.41450020060074	193.51225010030038	395.41450020060074	193.51225010030038	-193.51225010030038	395.41450020060074	-395.41450020060074	-185.12225010030033	8.39	-185.1222501003004	185.1222501003004	193.51225010030038
20	374.15100039959964	280.61325029969976	93.53775009989991	-195.4655001997998	85.14775009989991	93.53775009989991	-93.53775009989991	93.53775009989991	93.53775009989991	-374.15100039959964	195.4655001997998	93.53775009989991	195.4655001997998	93.53775009989991	-93.53775009989991	195.4655001997998	-195.4655001997998	-85.14775009989995	8.39	-85.14775009989991	85.14775009989991	93.5377500998999
21	473.9506011996	355.4629508997	118.4876502999	-245.36530059979998	110.0976502999	118.4876502999	-118.4876502999	118.4876502999	118.4876502999	-473.9506011996	245.36530059979998	118.4876502999	245.36530059979998	118.4876502999	-118.4876502999	245.36530059979998	-245.36530059979998	-110.09765029990001	8.39	-110.0976502999	110.0976502999	118.4876502999
22	523.9502012004001	392.9626509003001	130.98755030010003	-270.36510060020004	122.59755030010002	130.98755030010003	-130.98755030010003	130.98755030010003	130.98755030010003	-523.9502012004001	270.36510060020004	130.98755030010003	270.36510060020004	130.98755030010003	-130.98755030010003	270.36510060020004	-270.36510060020004	-122.59755030010004	8.39	-122.59755030010002	122.59755030010002	130.98755030010008
23	824.1490004004002	618.1117503003002	206.03725010010004	-420.46450020020006	197.64725010010005	206.03725010010004	-206.03725010010004	206.03725010010004	206.03725010010004	-824.1490004004002	420.46450020020006	206.03725010010004	420.46450020020006	206.03725010010004	-206.03725010010004	420.46450020020006	-420.46450020020006	-197.6472501001001	8.39	-197.64725010010005	197.64725010010005	206.0372501001
24	673.9498011996002	505.46235089970014	168.48745029990005	-345.3649005998001	160.09745029990006	168.48745029990005	-168.48745029990005	168.48745029990005	168.48745029990005	-673.9498011996002	345.3649005998001	168.48745029990005	345.3649005998001	168.48745029990005	-168.48745029990005	345.3649005998001	-345.3649005998001	-160.09745029990006	8.39	-160.09745029990006	160.09745029990006	168.48745029990005
25	723.9494012004	542.9620509003	180.9873503001	-370.36470060019997	172.5973503001	180.9873503001	-180.9873503001	180.9873503001	180.9873503001	-723.9494012004	370.36470060019997	180.9873503001	370.36470060019997	180.9873503001	-180.9873503001	370.36470060019997	-370.36470060019997	-172.59735030010006	8.39	-172.5973503001	172.5973503001	180.9873503001
26	424.0510003988014	318.0382502991011	106.01275009970036	-220.41550019940073	97.62275009970035	106.01275009970036	-106.01275009970036	106.01275009970036	106.01275009970036	-424.0510003988014	220.41550019940073	106.01275009970036	220.41550019940073	106.01275009970036	-106.01275009970036	220.41550019940073	-220.41550019940073	-97.62275009970037	8.39	-97.62275009970035	97.62275009970035	106.01275009970033
27	274.45139879960107	205.8385490997008	68.61284969990025	-145.61569939980052	60.22284969990025	68.61284969990025	-68.61284969990025	68.61284969990025	68.61284969990025	-274.45139879960107	145.61569939980052	68.61284969990025	145.61569939980052	68.61284969990025	-68.61284969990025	145.61569939980052	-145.61569939980052	-60.22284969990028	8.39	-60.22284969990025	60.22284969990025	68.61284969990027
28	324.2513995988012	243.18854969910086	81.0628498997003	-170.51569979940058	72.6728498997003	81.0628498997003	-81.0628498997003	81.0628498997003	81.0628498997003	-324.2513995988012	170.51569979940058	81.0628498997003	170.51569979940058	81.0628498997003	-81.0628498997003	170.51569979940058	-170.51569979940058	-72.6728498997003	8.39	-72.6728498997003	72.6728498997003	81.06284989970028
29	624.0502003988017	468.0376502991013	156.01255009970043	-320.41510019940085	147.62255009970045	156.01255009970043	-156.01255009970043	156.01255009970043	156.01255009970043	-624.0502003988017	320.41510019940085	156.01255009970043	320.41510019940085	156.01255009970043	-156.01255009970043	320.41510019940085	-320.41510019940085	-147.62255009970045	8.39	-147.62255009970045	147.62255009970045	156.01255009970043
