	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
0	-466.26666666666665	699.3999999999999	233.1333333333333	466.26666666666665	-699.3999999999999	-466.26666666666665	8.389999999999986	8.389999999999986	233.1333333333333	-8.389999999999986	699.3999999999999	224.74333333333328	8.389999999999986	699.3999999999999	-233.1333333333333	699.3999999999999	-699.3999999999999	8.39	233.13333333333327
1	-566.2662666666668	849.3994000000001	283.1331333333334	566.2662666666668	-849.3994000000001	-566.2662666666668	8.389999999999986	8.389999999999986	283.1331333333334	-8.389999999999986	849.3994000000001	274.7431333333334	8.389999999999986	849.3994000000001	-283.1331333333334	849.3994000000001	-849.3994000000001	8.39	283.1331333333334
2	-366.2670666666666	549.4005999999999	183.1335333333333	366.2670666666666	-549.4005999999999	-366.2670666666666	8.389999999999986	8.389999999999986	183.1335333333333	-8.389999999999986	549.4005999999999	174.7435333333333	8.389999999999986	549.4005999999999	-183.1335333333333	549.4005999999999	-549.4005999999999	8.39	183.13353333333333
3	-616.3660662666666	924.5490993999999	308.1830331333333	616.3660662666666	-924.5490993999999	-616.3660662666666	8.389999999999986	8.389999999999986	308.1830331333333	-8.389999999999986	924.5490993999999	299.7930331333333	8.389999999999986	924.5490993999999	-308.1830331333333	924.5490993999999	-924.5490993999999	8.39	308.18303313333337
4	-516.1664670666667	774.2497006	258.0832335333333	516.1664670666667	-774.2497006	-516.1664670666667	8.389999999999986	8.389999999999986	258.0832335333333	-8.389999999999986	774.2497006	249.69323353333334	8.389999999999986	774.2497006	-258.0832335333333	774.2497006	-774.2497006	8.39	258.0832335333333
5	-416.1668670666666	624.2503005999998	208.08343353333328	416.1668670666666	-624.2503005999998	-416.1668670666666	8.389999999999986	8.389999999999986	208.08343353333328	-8.389999999999986	624.2503005999998	199.6934335333333	8.389999999999986	624.2503005999998	-208.08343353333328	624.2503005999998	-624.2503005999998	8.39	208.08343353333328
6	-316.36726626666655	474.5508993999998	158.18363313333327	316.36726626666655	-474.5508993999998	-316.36726626666655	8.389999999999986	8.389999999999986	158.18363313333327	-8.389999999999986	474.5508993999998	149.7936331333333	8.389999999999986	474.5508993999998	-158.18363313333327	474.5508993999998	-474.5508993999998	8.39	158.18363313333327
7	-641.4660658662667	962.1990987994001	320.73303293313336	641.4660658662667	-962.1990987994001	-641.4660658662667	8.389999999999986	8.389999999999986	320.73303293313336	-8.389999999999986	962.1990987994001	312.3430329331334	8.389999999999986	962.1990987994001	-320.73303293313336	962.1990987994001	-962.1990987994001	8.39	320.73303293313336
8	-541.1662670670667	811.7494006006	270.5831335335333	541.1662670670667	-811.7494006006	-541.1662670670667	8.389999999999986	8.389999999999986	270.5831335335333	-8.389999999999986	811.7494006006	262.19313353353334	8.389999999999986	811.7494006006	-270.5831335335333	811.7494006006	-811.7494006006	8.39	270.5831335335333
9	-441.1666670670666	661.7500006006	220.5833335335333	441.1666670670666	-661.7500006006	-441.1666670670666	8.389999999999986	8.389999999999986	220.5833335335333	-8.389999999999986	661.7500006006	212.1933335335333	8.389999999999986	661.7500006006	-220.5833335335333	661.7500006006	-661.7500006006	8.39	220.58333353353333
10	-591.2660666670668	886.8991000006001	295.6330333335334	591.2660666670668	-886.8991000006001	-591.2660666670668	8.389999999999986	8.389999999999986	295.6330333335334	-8.389999999999986	886.8991000006001	287.2430333335334	8.389999999999986	886.8991000006001	-295.6330333335334	886.8991000006001	-886.8991000006001	8.39	295.6330333335334
11	-491.16666706626665	736.7500005994	245.58333353313333	491.16666706626665	-736.7500005994	-491.16666706626665	8.389999999999986	8.389999999999986	245.58333353313333	-8.389999999999986	736.7500005994	237.1933335331333	8.389999999999986	736.7500005994	-245.58333353313333	736.7500005994	-736.7500005994	8.39	245.58333353313333
12	-341.26726666626666	511.9008999994	170.63363333313333	341.26726666626666	-511.9008999994	-341.26726666626666	8.389999999999986	8.389999999999986	170.63363333313333	-8.389999999999986	511.9008999994	162.24363333313332	8.389999999999986	511.9008999994	-170.63363333313333	511.9008999994	-511.9008999994	8.39	170.6336333331333
13	-391.16706706626655	586.7506005993998	195.58353353313328	391.16706706626655	-586.7506005993998	-391.16706706626655	8.389999999999986	8.389999999999986	195.58353353313328	-8.389999999999986	586.7506005993998	187.1935335331333	8.389999999999986	586.7506005993998	-195.58353353313328	586.7506005993998	-586.7506005993998	8.39	195.58353353313328
14	-291.46726586706654	437.2008988005998	145.73363293353327	291.46726586706654	-437.2008988005998	-291.46726586706654	8.389999999999986	8.389999999999986	145.73363293353327	-8.389999999999986	437.2008988005998	137.34363293353329	8.389999999999986	437.2008988005998	-145.73363293353327	437.2008988005998	-437.2008988005998	8.39	145.73363293353327
15	-654.0411656656663	981.0617484984995	327.02058283283316	654.0411656656663	-981.0617484984995	-654.0411656656663	8.389999999999986	8.389999999999986	327.02058283283316	-8.389999999999986	981.0617484984995	318.63058283283317	8.389999999999986	981.0617484984995	-327.02058283283316	981.0617484984995	-981.0617484984995	8.39	327.02058283283316
16	-553.6911668672672	830.5367503009007	276.8455834336336	553.6911668672672	-830.5367503009007	-553.6911668672672	8.389999999999986	8.389999999999986	276.8455834336336	-8.389999999999986	830.5367503009007	268.4555834336336	8.389999999999986	830.5367503009007	-276.8455834336336	830.5367503009007	-830.5367503009007	8.39	276.8455834336336
17	-628.8909660668671	943.3364491003007	314.44548303343356	628.8909660668671	-943.3364491003007	-628.8909660668671	8.389999999999986	8.389999999999986	314.44548303343356	-8.389999999999986	943.3364491003007	306.0554830334336	8.389999999999986	943.3364491003007	-314.44548303343356	943.3364491003007	-943.3364491003007	8.39	314.44548303343356
18	-453.691566867267	680.5373503009005	226.8457834336335	453.691566867267	-680.5373503009005	-453.691566867267	8.389999999999986	8.389999999999986	226.8457834336335	-8.389999999999986	680.5373503009005	218.45578343363348	8.389999999999986	680.5373503009005	-226.8457834336335	680.5373503009005	-680.5373503009005	8.39	226.84578343363347
19	-603.790966467267	905.6864497009005	301.8954832336335	603.790966467267	-905.6864497009005	-603.790966467267	8.389999999999986	8.389999999999986	301.8954832336335	-8.389999999999986	905.6864497009005	293.5054832336335	8.389999999999986	905.6864497009005	-301.8954832336335	905.6864497009005	-905.6864497009005	8.39	301.89548323363357
20	-428.6417672668663	642.9626509002994	214.32088363343314	428.6417672668663	-642.9626509002994	-428.6417672668663	8.389999999999986	8.389999999999986	214.32088363343314	-8.389999999999986	642.9626509002994	205.93088363343313	8.389999999999986	642.9626509002994	-214.32088363343314	642.9626509002994	-642.9626509002994	8.39	214.3208836334331
21	-503.64156726646627	755.4623508996995	251.82078363323313	503.64156726646627	-755.4623508996995	-503.64156726646627	8.389999999999986	8.389999999999986	251.82078363323313	-8.389999999999986	755.4623508996995	243.43078363323315	8.389999999999986	755.4623508996995	-251.82078363323313	755.4623508996995	-755.4623508996995	8.39	251.8207836332332
22	-353.7421668664663	530.6132502996994	176.87108343323314	353.7421668664663	-530.6132502996994	-353.7421668664663	8.389999999999986	8.389999999999986	176.87108343323314	-8.389999999999986	530.6132502996994	168.48108343323312	8.389999999999986	530.6132502996994	-176.87108343323314	530.6132502996994	-530.6132502996994	8.39	176.87108343323314
23	-403.64196726646617	605.4629508996993	201.8209836332331	403.64196726646617	-605.4629508996993	-403.64196726646617	8.389999999999986	8.389999999999986	201.8209836332331	-8.389999999999986	605.4629508996993	193.4309836332331	8.389999999999986	605.4629508996993	-201.8209836332331	605.4629508996993	-605.4629508996993	8.39	201.82098363323308
24	-528.6413672668663	792.9620509002995	264.32068363343313	528.6413672668663	-792.9620509002995	-528.6413672668663	8.389999999999986	8.389999999999986	264.32068363343313	-8.389999999999986	792.9620509002995	255.93068363343315	8.389999999999986	792.9620509002995	-264.32068363343313	792.9620509002995	-792.9620509002995	8.39	264.3206836334332
25	-578.7411668668664	868.1117503002996	289.3705834334332	578.7411668668664	-868.1117503002996	-578.7411668668664	8.389999999999986	8.389999999999986	289.3705834334332	-8.389999999999986	868.1117503002996	280.9805834334332	8.389999999999986	868.1117503002996	-289.3705834334332	868.1117503002996	-868.1117503002996	8.39	289.3705834334332
26	-328.79236646606694	493.18854969910046	164.3961832330335	328.79236646606694	-493.18854969910046	-328.79236646606694	8.389999999999986	8.389999999999986	164.3961832330335	-8.389999999999986	493.18854969910046	156.00618323303348	8.389999999999986	493.18854969910046	-164.3961832330335	493.18854969910046	-493.18854969910046	8.39	164.39618323303347
27	-478.69176686606704	718.0376502991005	239.34588343303352	478.69176686606704	-718.0376502991005	-478.69176686606704	8.389999999999986	8.389999999999986	239.34588343303352	-8.389999999999986	718.0376502991005	230.9558834330335	8.389999999999986	718.0376502991005	-239.34588343303352	718.0376502991005	-718.0376502991005	8.39	239.3458834330335
28	-303.8923660664669	455.83854909970034	151.94618303323347	303.8923660664669	-455.83854909970034	-303.8923660664669	8.389999999999986	8.389999999999986	151.94618303323347	-8.389999999999986	455.83854909970034	143.55618303323348	8.389999999999986	455.83854909970034	-151.94618303323347	455.83854909970034	-455.83854909970034	8.39	151.9461830332334
29	-378.69216686606694	568.0382502991004	189.34608343303347	378.69216686606694	-568.0382502991004	-378.69216686606694	8.389999999999986	8.389999999999986	189.34608343303347	-8.389999999999986	568.0382502991004	180.95608343303348	8.389999999999986	568.0382502991004	-189.34608343303347	568.0382502991004	-568.0382502991004	8.39	189.3460834330334
30	-279.0421656676661	418.5632485014992	139.52108283383308	279.0421656676661	-418.5632485014992	-279.0421656676661	8.389999999999986	8.389999999999986	139.52108283383308	-8.389999999999986	418.5632485014992	131.1310828338331	8.389999999999986	418.5632485014992	-139.52108283383308	418.5632485014992	-418.5632485014992	8.39	139.52108283383302
31	-660.3412906651654	990.5119359977481	330.1706453325827	660.3412906651654	-990.5119359977481	-660.3412906651654	8.389999999999986	8.389999999999986	330.1706453325827	-8.389999999999986	990.5119359977481	321.7806453325827	8.389999999999986	990.5119359977481	-330.1706453325827	990.5119359977481	-990.5119359977481	8.39	330.17064533258275
32	-459.96654166716746	689.9498125007512	229.98327083358376	459.96654166716746	-689.9498125007512	-459.96654166716746	8.389999999999986	8.389999999999986	229.98327083358376	-8.389999999999986	689.9498125007512	221.59327083358374	8.389999999999986	689.9498125007512	-229.98327083358376	689.9498125007512	-689.9498125007512	8.39	229.98327083358373
33	-559.9661416671674	839.9492125007513	279.9830708335838	559.9661416671674	-839.9492125007513	-559.9661416671674	8.389999999999986	8.389999999999986	279.9830708335838	-8.389999999999986	839.9492125007513	271.5930708335838	8.389999999999986	839.9492125007513	-279.9830708335838	839.9492125007513	-839.9492125007513	8.39	279.9830708335837
34	-610.0659412671674	915.0989119007512	305.0329706335837	610.0659412671674	-915.0989119007512	-610.0659412671674	8.389999999999986	8.389999999999986	305.0329706335837	-8.389999999999986	915.0989119007512	296.64297063358373	8.389999999999986	915.0989119007512	-305.0329706335837	915.0989119007512	-915.0989119007512	8.39	305.0329706335837
