opt_fraction	R_value	p_value
0.1	0.18789471763753257	0.4147174857234104
0.2	0.18809156915054395	0.41421984065854733
0.3	0.18809156915054395	0.41421984065854733
0.4	0.18789471763753257	0.4147174857234104
0.5	0.1261581558289682	0.5758637218997682
0.6	-0.03304969020668942	0.8037508691966136
0.7	0.09762534335339192	0.4391322073388202
0.8	0.05484373908601346	0.6449101463201561
0.9	-0.02350580524072292	0.8424273758554759
0.15	0.1923152230065892	0.40362079948020113
0.25	0.2330699073707032	0.30927212611275884
0.225	0.18848713545318577	0.4132208218411848
0.175	0.18809156915054395	0.41421984065854733
0.187	0.18848713545318577	0.4132208218411848
0.213	0.18796026611942804	0.4145517416419542
