"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"1","PA14_00020",690.807859394379,0.68529286904284,0.124303755133825,5.51305041673968,3.52667152912122e-08,7.4606671130819e-07,"T24T0"
"2","PA14_00050",1178.21488079228,0.673446572464495,0.0793959036246548,8.48213247434304,2.21103616587709e-17,2.14845259982599e-15,"T24T0"
"3","PA14_00090",495.104486802126,1.3790991462854,0.279434089628085,4.93532892898258,8.0015789894677e-07,1.33351896356449e-05,"T24T0"
"4","PA14_00190",1106.43304293892,0.681106658044728,0.154955565987417,4.39549656512524,1.10519811773988e-05,0.000136553896745748,"T24T0"
"5","PA14_00240",1359.66616613924,0.219992559274077,0.055533309075766,3.96145237759799,7.44952413167352e-05,0.000738894841641597,"T24T0"
"6","PA14_00290",1117.76352026123,0.332768974349556,0.101954474416035,3.26389769802215,0.00109890836696585,0.00754496008121582,"T24T0"
"7","PA14_00400",716.480834082916,0.785349564857554,0.198524586551812,3.95593099322532,7.62371670650107e-05,0.000752267949713781,"T24T0"
"8","PA14_00450",1336.56934008877,0.329336078866406,0.0441265120181563,7.46345142192289,8.42849605668568e-14,4.69131727116301e-12,"T24T0"
"9","PA14_00760",1254.61624774475,0.270360321396469,0.0602220669876235,4.48938960285159,7.14275532677783e-06,9.3407086527909e-05,"T24T0"
"10","PA14_00820",1204.36611439782,0.5537704155158,0.0792933304602149,6.98382086238201,2.87258304774679e-12,1.23823448216033e-10,"T24T0"
"11","PA14_00960",1441.76569854431,0.262168191097894,0.080788082632067,3.24513446236725,0.0011739517638295,0.00798370754689739,"T24T0"
"12","PA14_01020",1339.11028570192,0.254191563234343,0.0672963459878687,3.77719710487945,0.00015860321179291,0.00141410919628111,"T24T0"
"13","PA14_01100",1485.80540635521,0.230605647498598,0.0560757736925841,4.11239350459635,3.91578117197637e-05,0.000418827863039936,"T24T0"
"14","PA14_01140",375.400469102523,1.01298061257975,0.300373016796785,3.37240882480824,0.000745137527687041,0.00546275376755729,"T24T0"
"15","PA14_01270",1016.76087563145,0.550640362573722,0.102947506832677,5.34874888683503,8.85643218906104e-08,1.7388330732838e-06,"T24T0"
"16","PA14_01320",858.589537952993,2.54441650099026,0.660364258170763,3.8530499940115,0.000116655559968045,0.00109457663714698,"T24T0"
"17","PA14_01480",687.804182866896,0.808704557288275,0.133084964669125,6.07660346380127,1.22754812658981e-09,3.53644894961778e-08,"T24T0"
"18","PA14_01550",525.047721430259,1.33060570871681,0.298011948589631,4.46494080191759,8.0090893385574e-06,0.000103503771707174,"T24T0"
"19","PA14_01640",872.283853430867,0.559063342687829,0.148625973877213,3.76154536184703,0.000168866787421719,0.0014940019942727,"T24T0"
"20","PA14_01790",1261.35366482898,0.325314428066789,0.0673891709150668,4.82739917481393,1.38327681321235e-06,2.20333268271713e-05,"T24T0"
"21","PA14_01890",758.00735527618,0.523185793735862,0.14575955606543,3.58937559813238,0.0003314709660635,0.00268786852679214,"T24T0"
"22","PA14_01980",1537.36172498616,0.23957158771629,0.0673488392707147,3.5571747087327,0.000374864858218228,0.0029931758108149,"T24T0"
"23","PA14_02020",893.675555718821,0.578566160387046,0.111891171452622,5.17079366384171,2.33101840901822e-07,4.2290280186397e-06,"T24T0"
"24","PA14_02050",985.657563586204,0.40217228250137,0.0909617415891188,4.42133445859044,9.80932008749389e-06,0.000122787842929263,"T24T0"
"25","PA14_02630",801.84845117774,1.27151445685909,0.327763599072896,3.87936445796806,0.000104729738895848,0.000994065551473338,"T24T0"
"26","PA14_03580",1306.75620670973,0.577493901619231,0.0674692027211627,8.55937047316096,1.13485487810274e-17,1.18293145748418e-15,"T24T0"
"27","PA14_03900",1203.65148471536,0.951125491309029,0.157405348106947,6.04252334973267,1.5172238329318e-09,4.30606150207821e-08,"T24T0"
"28","PA14_03980",1417.88835539573,0.252925008149339,0.0455507474084086,5.55259842130822,2.81454152314897e-08,6.0660776512079e-07,"T24T0"
"29","PA14_04370",775.7921475271,0.742628265548156,0.215176135943346,3.4512575583367,0.000557980812412394,0.0042938308692084,"T24T0"
"30","PA14_04490",1039.15431709602,0.404491829385315,0.0924466778362252,4.37540687077902,1.21206182598668e-05,0.000148795512813311,"T24T0"
"31","PA14_04630",460.704662304785,1.49444425888865,0.468815966004707,3.18769915543713,0.00143409660802362,0.00952685498702132,"T24T0"
