term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
starch and sucrose metabolism	0	20	16	5976	1.0	1.0
streptomycin biosynthesis	0	20	8	5976	1.0	1.0
styrene degradation	0	20	11	5976	1.0	1.0
sulfur metabolism	0	20	49	5976	1.0	1.0
sulfur relay system	0	20	18	5976	1.0	1.0
synthesis and degradation of ketone bodies	1	20	10	5976	0.03299212787674894	0.7600063329462944
taurine and hypotaurine metabolism	0	20	9	5976	1.0	1.0
terpenoid backbone biosynthesis	1	20	16	5976	0.05228824042408634	0.7600063329462944
thiamine metabolism	0	20	13	5976	1.0	1.0
toluene degradation	0	20	3	5976	1.0	1.0
tryptophan metabolism	1	20	26	5976	0.08363800393472437	0.7600063329462944
two-component system	3	20	203	5976	0.02875080462758301	0.7600063329462944
tyrosine metabolism	0	20	27	5976	1.0	1.0
ubiquinone and other terpenoid-quinone biosynthesis	0	20	17	5976	1.0	1.0
valine, leucine and isoleucine biosynthesis	0	20	19	5976	1.0	1.0
valine, leucine and isoleucine degradation	1	20	47	5976	0.14629557193372084	0.8082114035916428
vancomycin resistance	0	20	9	5976	1.0	1.0
vitamin b6 metabolism	0	20	9	5976	1.0	1.0
xylene degradation	0	20	5	5976	1.0	1.0
