term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
synthesis and degradation of ketone bodies	0	23	10	5976	1.0	1.0
taurine and hypotaurine metabolism	0	23	9	5976	1.0	1.0
terpenoid backbone biosynthesis	0	23	16	5976	1.0	1.0
thiamine metabolism	0	23	13	5976	1.0	1.0
toluene degradation	0	23	3	5976	1.0	1.0
tryptophan metabolism	1	23	26	5976	0.095588401972856	1.0
two-component system	1	23	203	5976	0.5490336950355134	1.0
tyrosine metabolism	0	23	27	5976	1.0	1.0
ubiquinone and other terpenoid-quinone biosynthesis	0	23	17	5976	1.0	1.0
valine, leucine and isoleucine biosynthesis	0	23	19	5976	1.0	1.0
valine, leucine and isoleucine degradation	0	23	47	5976	1.0	1.0
vancomycin resistance	0	23	9	5976	1.0	1.0
vitamin b6 metabolism	0	23	9	5976	1.0	1.0
xylene degradation	0	23	5	5976	1.0	1.0
