term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	0	275	30	5976	1.0	1.0
abc transporters	7	275	191	5976	0.784131163426727	1.0
acarbose and validamycin biosynthesis	0	275	2	5976	1.0	1.0
alanine, aspartate and glutamate metabolism	2	275	36	5976	0.49865204908294825	1.0
alpha-linolenic acid metabolism	0	275	3	5976	1.0	1.0
amino sugar and nucleotide sugar metabolism	3	275	31	5976	0.16915432549035525	0.8394864026736204
aminoacyl-trna biosynthesis	3	275	27	5976	0.12536839028110552	0.8357892685407036
aminobenzoate degradation	1	275	17	5976	0.5515541257849046	1.0
arachidonic acid metabolism	0	275	4	5976	1.0	1.0
arginine and proline metabolism	4	275	46	5976	0.15980931121782904	0.8394864026736204
arginine biosynthesis	1	275	29	5976	0.7457592202948136	1.0
ascorbate and aldarate metabolism	0	275	6	5976	1.0	1.0
bacterial chemotaxis	8	275	46	5976	0.0010300964767435772	0.061805788604614637
bacterial secretion system	4	275	92	5976	0.6178550227125164	1.0
base excision repair	0	275	13	5976	1.0	1.0
benzoate degradation	2	275	35	5976	0.48366347542493615	1.0
beta-alanine metabolism	0	275	27	5976	1.0	1.0
beta-lactam resistance	1	275	27	5976	0.7205153080560416	1.0
biofilm formation - pseudomonas aeruginosa	6	275	103	5976	0.33689189962354943	0.9727614481363802
biosynthesis of amino acids	4	275	141	5976	0.8957676204565026	1.0
biosynthesis of antibiotics	13	275	247	5976	0.3485728522488696	0.9727614481363802
biosynthesis of secondary metabolites	15	275	335	5976	0.5836363656570056	1.0
biosynthesis of siderophore group nonribosomal peptides	1	275	8	5976	0.3141559454609892	0.9727614481363802
biosynthesis of unsaturated fatty acids	1	275	13	5976	0.4583084573808634	1.0
biotin metabolism	1	275	21	5976	0.6287968924705684	1.0
butanoate metabolism	3	275	40	5976	0.27903372382798997	0.9727614481363802
c5-branched dibasic acid metabolism	0	275	13	5976	1.0	1.0
caprolactam degradation	0	275	8	5976	1.0	1.0
carbapenem biosynthesis	0	275	2	5976	1.0	1.0
carbon metabolism	10	275	128	5976	0.06966398319030973	0.8115500689370531
cationic antimicrobial peptide (camp) resistance	2	275	28	5976	0.3716879693967892	0.9942312083396034
chloroalkane and chloroalkene degradation	1	275	8	5976	0.3141559454609892	0.9727614481363802
chlorocyclohexane and chlorobenzene degradation	0	275	5	5976	1.0	1.0
citrate cycle (tca cycle)	0	275	33	5976	1.0	1.0
cyanoamino acid metabolism	1	275	11	5976	0.4046779923863532	1.0
cysteine and methionine metabolism	0	275	39	5976	1.0	1.0
d-alanine metabolism	1	275	4	5976	0.17178943334536	0.8394864026736204
d-arginine and d-ornithine metabolism	0	275	2	5976	1.0	1.0
d-glutamine and d-glutamate metabolism	0	275	5	5976	1.0	1.0
degradation of aromatic compounds	0	275	26	5976	1.0	1.0
dna replication	2	275	17	5976	0.18277937434153266	0.8394864026736204
ether lipid metabolism	0	275	3	5976	1.0	1.0
fatty acid biosynthesis	2	275	26	5976	0.33784757459973314	0.9727614481363802
fatty acid degradation	1	275	33	5976	0.7896332516785944	1.0
fatty acid metabolism	3	275	49	5976	0.3937642097686868	1.0
flagellar assembly	11	275	35	5976	2.498245282068497e-07	2.997894338482196e-05
fluorobenzoate degradation	0	275	8	5976	1.0	1.0
folate biosynthesis	0	275	25	5976	1.0	1.0
fructose and mannose metabolism	4	275	18	5976	0.008048430183130072	0.32193720732520287
galactose metabolism	0	275	4	5976	1.0	1.0
geraniol degradation	2	275	16	5976	0.16605399611298644	0.8394864026736204
glutathione metabolism	1	275	26	5976	0.706971996992678	1.0
glycerolipid metabolism	1	275	14	5976	0.48329003950735383	1.0
glycerophospholipid metabolism	3	275	28	5976	0.1358991286748699	0.8394864026736204
glycine, serine and threonine metabolism	4	275	50	5976	0.19675035712689476	0.8394864026736204
glycolysis / gluconeogenesis	4	275	37	5976	0.08832849021482846	0.8128272401208398
glyoxylate and dicarboxylate metabolism	6	275	56	5976	0.04248713446537658	0.6962533969924278
histidine metabolism	0	275	23	5976	1.0	1.0
homologous recombination	2	275	24	5976	0.3034810157312312	0.9727614481363802
inositol phosphate metabolism	0	275	7	5976	1.0	1.0
limonene and pinene degradation	0	275	7	5976	1.0	1.0
lipoic acid metabolism	0	275	2	5976	1.0	1.0
lipopolysaccharide biosynthesis	0	275	22	5976	1.0	1.0
lysine biosynthesis	0	275	15	5976	1.0	1.0
lysine degradation	1	275	19	5976	0.5919927560950824	1.0
metabolic pathways	40	275	798	5976	0.3018360498458288	0.9727614481363802
methane metabolism	3	275	25	5976	0.10526682432295104	0.8128272401208398
microbial metabolism in diverse environments	17	275	263	5976	0.09689153763650314	0.8128272401208398
mismatch repair	2	275	19	5976	0.2168673206906853	0.8394864026736204
monobactam biosynthesis	0	275	9	5976	1.0	1.0
naphthalene degradation	0	275	2	5976	1.0	1.0
nicotinate and nicotinamide metabolism	2	275	21	5976	0.25145171627228147	0.9429439360210555
nitrogen metabolism	1	275	36	5976	0.8175101188554532	1.0
nitrotoluene degradation	0	275	2	5976	1.0	1.0
non-homologous end-joining	0	275	2	5976	1.0	1.0
novobiocin biosynthesis	0	275	5	5976	1.0	1.0
nucleotide excision repair	0	275	8	5976	1.0	1.0
one carbon pool by folate	2	275	18	5976	0.19973595797896915	0.8394864026736204
oxidative phosphorylation	1	275	55	5976	0.9259565755700159	1.0
pantothenate and coa biosynthesis	0	275	22	5976	1.0	1.0
pentose and glucuronate interconversions	0	275	7	5976	1.0	1.0
pentose phosphate pathway	3	275	26	5976	0.11515052568378564	0.8128272401208398
peptidoglycan biosynthesis	0	275	21	5976	1.0	1.0
phenylalanine metabolism	3	275	25	5976	0.10526682432295104	0.8128272401208398
phenylalanine, tyrosine and tryptophan biosynthesis	1	275	30	5976	0.7575157722401518	1.0
phosphonate and phosphinate metabolism	0	275	10	5976	1.0	1.0
phosphotransferase system (pts)	1	275	5	5976	0.20992705990765503	0.8394864026736204
polyketide sugar unit biosynthesis	1	275	5	5976	0.20992705990765503	0.8394864026736204
porphyrin and chlorophyll metabolism	0	275	43	5976	1.0	1.0
propanoate metabolism	3	275	48	5976	0.381121963196848	0.9942312083396034
protein export	1	275	17	5976	0.5515541257849046	1.0
purine metabolism	6	275	79	5976	0.15491446313625787	0.8394864026736204
pyrimidine metabolism	1	275	47	5976	0.8917092135588705	1.0
pyruvate metabolism	6	275	61	5976	0.06022563486770665	0.8030084649027553
quorum sensing	7	275	101	5976	0.18237447153382957	0.8394864026736204
riboflavin metabolism	0	275	10	5976	1.0	1.0
ribosome	1	275	55	5976	0.9259565755700159	1.0
rna degradation	0	275	16	5976	1.0	1.0
rna polymerase	0	275	4	5976	1.0	1.0
selenocompound metabolism	1	275	10	5976	0.37591089484747575	0.9942312083396034
sphingolipid metabolism	0	275	2	5976	1.0	1.0
starch and sucrose metabolism	1	275	16	5976	0.5298614933470593	1.0
streptomycin biosynthesis	1	275	8	5976	0.3141559454609892	0.9727614481363802
styrene degradation	3	275	11	5976	0.012076855524952234	0.36230566574856704
sulfur metabolism	1	275	49	5976	0.9015225822747501	1.0
sulfur relay system	0	275	18	5976	1.0	1.0
synthesis and degradation of ketone bodies	2	275	10	5976	0.07439208965256319	0.8115500689370531
taurine and hypotaurine metabolism	1	275	9	5976	0.3457590143279844	0.9727614481363802
terpenoid backbone biosynthesis	1	275	16	5976	0.5298614933470593	1.0
