	rxn13726	rxn08094	rxn10158	rxn05312	rxn05318	rxn00256	rJB00240	rJB00238	rxn00285	rxn00974	rxn05307	rxn00165	rxn13803	rxn00175	rxn05158	rxn00615	rxn05209	rxn13836	rxn00148	rxn13689	rxn05229	rxn10042	rxn12788	rxn09566	rxn00250	rxn00134	rxn13299	rxn13643	rxn05581	rxn00251	rxn00014	rxn10165	rxn10053	rxn05297	rxn00124	rxn01807	rxn05467	rxn05468	rxn05488	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00023_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	rxn00695	EX_cpd00331_e	ATPM	rxn00182	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
0	379.00625842799906	94.75156460699975	-668.7913283930004	1000.0	527.0857860000006	94.75156460699975	668.7913283930004	-94.75156460699975	-94.75156460699975	-94.75156460699975	-94.75156460699978	-94.75156460699978	-189.50312921399953	-94.75156460699975	581.2573580000012	-696.3032839300043	-574.0397637860007	790.2025094629971	432.3342213930008	379.00625842799906	-337.582656786001	758.0125168559981	94.75156460699975	189.50312921399953	337.582656786001	527.0857860000006	94.75156460699955	94.75156460699955	696.3032839300043	432.3342213930008	379.00625842799906	115.04592593000314	337.582656786001	94.75156460699978	-189.50312921399953	189.50312921399953	-189.50312921399956	94.75156460699976	-94.75156460699975	94.75156460699975	-527.0857860000006	189.50312921399956	696.3032839300043	-696.3032839300043	-94.75156460699978	94.75156460699978	-94.75156460699976	-884.9540740699969	94.75156460699975	94.75156460699975	-94.75156460699975	8.39	284.2546938209993	-790.2025094629971	790.2025094629971	527.0857860000002
1	480.96864577119896	120.24216144279974	-573.7894529851981	791.0474216419967	597.015807213999	120.24216144279984	573.7894529851981	-120.24216144279974	-120.24216144279974	-120.24216144279984	-120.24216144279976	-120.24216144279976	-240.48432288559948	-120.24216144279984	1000.0	-1000.0	-453.5472915423983	670.8052601991967	476.77364577119914	480.96864577119896	-356.5314843283993	961.9372915423979	120.24216144279984	240.48432288559948	356.5314843283993	597.015807213999	120.24216144279956	120.24216144279956	1000.0	476.77364577119914	480.96864577119896	0.0	356.5314843283993	120.24216144279976	-240.48432288559948	240.48432288559948	-240.48432288559957	120.24216144279974	-120.24216144279984	120.24216144279984	-597.015807213999	240.48432288559957	1000.0	-1000.0	-120.24216144279976	120.24216144279976	-120.24216144279974	-791.0474216419967	120.24216144279974	120.24216144279984	-120.24216144279984	8.39	360.72648432839924	-670.8052601991967	670.8052601991967	597.0158072139986
2	397.38761442800046	99.34690360700012	-699.1609999999998	1000.0	597.0158072140005	99.34690360700029	699.1609999999998	-99.34690360700012	-99.34690360700012	-99.34690360700029	-99.34690360700029	-99.34690360700029	-198.69380721400023	-99.34690360700029	791.0474216420006	-1000.0	-599.8140963929998	691.7005180350011	497.6689036070002	397.38761442800046	-398.3219999999999	794.7752288560009	99.34690360700029	198.69380721400023	398.3219999999999	597.0158072140005	99.34690360700006	99.34690360700006	1000.0	497.6689036070002	397.38761442800046	208.9525783579994	398.3219999999999	99.34690360700006	-198.69380721400023	198.69380721400023	-198.6938072140004	99.34690360700012	-99.34690360700029	99.34690360700029	-597.0158072140005	198.6938072140004	1000.0	-1000.0	-99.34690360700006	99.34690360700029	-99.34690360700012	-791.0474216420006	99.34690360700012	99.34690360700029	-99.34690360700029	8.39	298.0407108210003	-691.7005180350011	691.7005180350011	597.0158072140002
3	496.27742364828595	124.06935591207149	-684.0065338681072	1000.0	616.1517795603575	124.06935591207144	684.0065338681072	-124.06935591207149	-124.06935591207149	-124.06935591207144	-124.06935591207147	-124.06935591207147	-248.13871182414297	-124.06935591207144	848.4553386810722	-848.4553386810722	-559.9371779560357	875.9306440879286	492.08242364828607	496.27742364828595	-368.0130677362146	992.5548472965719	124.06935591207144	248.13871182414297	368.0130677362146	616.1517795603575	124.06935591207125	124.06935591207125	848.4553386810722	492.08242364828607	496.27742364828595	0.0	368.0130677362146	124.06935591207147	-248.13871182414297	248.13871182414297	-248.13871182414294	124.06935591207149	-124.06935591207144	124.06935591207144	-616.1517795603575	248.13871182414294	848.4553386810722	-848.4553386810722	-124.06935591207147	124.06935591207147	-124.06935591207149	-1000.0	124.06935591207149	124.06935591207144	-124.06935591207144	8.39	372.20806773621445	-875.9306440879286	875.9306440879286	616.151779560357
4	327.5974532564267	81.89936331410668	-699.161	1000.0	562.1207266282137	81.89936331410667	699.161	-81.89936331410668	-81.89936331410668	-81.89936331410667	-81.89936331410667	-81.89936331410667	-163.79872662821336	-81.89936331410667	686.36217988464	-1000.0	-617.2616366858933	604.4628165705337	480.221363314107	327.5974532564267	-398.3219999999999	655.1949065128534	81.89936331410667	163.79872662821336	398.3219999999999	562.1207266282137	81.89936331410627	81.89936331410627	1000.0	480.221363314107	327.5974532564267	313.63782011536	398.3219999999999	81.89936331410667	-163.79872662821336	163.79872662821336	-163.79872662821333	81.89936331410668	-81.89936331410667	81.89936331410667	-562.1207266282137	163.79872662821333	1000.0	-1000.0	-81.89936331410667	81.89936331410667	-81.89936331410668	-686.36217988464	81.89936331410668	81.89936331410667	-81.89936331410667	8.39	245.69808994232002	-604.4628165705337	604.4628165705337	562.1207266282133
5	500.0	125.0	-501.6251303735839	689.9376955603757	563.3125651867921	125.0	501.6251303735839	-125.0	-125.0	-124.99999999999977	-125.0	-125.0	-250.0	-125.0	1000.0	-885.0151303735838	-376.6251303735839	679.9225651867921	438.3125651867921	500.0	-313.3125651867921	1000.0	125.0	250.0	313.3125651867921	563.3125651867921	124.99999999999983	124.99999999999983	885.0151303735838	438.3125651867921	500.0	-114.98486962641618	313.3125651867921	125.0	-250.0	250.0	-250.0	125.0	-125.0	125.0	-563.3125651867921	250.0	885.0151303735838	-885.0151303735838	-125.0	125.0	-125.0	-804.9225651867919	125.0	125.0	-125.0	8.39	375.0	-679.9225651867921	679.9225651867921	563.3125651867917
6	500.0	125.0	-636.6005980396139	895.7326633993563	627.4685326798715	125.0	636.6005980396139	-125.0	-125.0	-124.99999999999977	-125.0	-125.0	-250.0	-125.0	986.6729346402574	-1000.0	-511.60059803961394	757.4055980396142	502.46853267987143	500.0	-377.46853267987143	1000.0	125.0	250.0	377.46853267987143	627.4685326798715	124.99999999999987	124.99999999999987	1000.0	502.46853267987143	500.0	13.327065359742619	377.46853267987143	125.0	-250.0	250.0	-250.0	125.0	-125.0	125.0	-627.4685326798715	250.0	1000.0	-1000.0	-125.0	125.0	-125.0	-882.4055980396137	125.0	125.0	-125.0	8.39	375.0	-757.4055980396142	757.4055980396142	627.4685326798713
7	476.03105689607713	119.00776422401928	-676.4141463360291	1000.0	590.8438211200968	119.0077642240193	676.4141463360291	-119.00776422401928	-119.00776422401928	-119.0077642240193	-119.00776422401933	-119.00776422401933	-238.01552844803857	-119.0077642240193	772.5314633602893	-772.5314633602893	-557.4063821120099	880.9922357759812	471.8360568960775	476.03105689607713	-352.8282926720582	952.0621137921543	119.0077642240193	238.01552844803857	352.8282926720582	590.8438211200968	119.00776422401879	119.00776422401879	772.5314633602893	471.8360568960775	476.03105689607713	0.0	352.8282926720582	119.00776422401933	-238.01552844803857	238.01552844803857	-238.0155284480386	119.00776422401928	-119.0077642240193	119.0077642240193	-590.8438211200968	238.0155284480386	772.5314633602893	-772.5314633602893	-119.00776422401933	119.00776422401933	-119.00776422401928	-1000.0	119.00776422401928	119.0077642240193	-119.0077642240193	8.39	357.0232926720579	-880.9922357759812	880.9922357759812	590.8438211200962
8	481.8242361710827	120.45605904277068	-699.161	1000.0	639.2341180855415	120.45605904277068	699.161	-120.45605904277068	-120.45605904277068	-120.45605904277068	-120.45605904277068	-120.45605904277068	-240.91211808554135	-120.45605904277068	917.7023542566241	-1000.0	-578.7049409572294	797.2462952138535	518.7780590427708	481.8242361710827	-398.3219999999999	963.6484723421654	120.45605904277068	240.91211808554135	398.3219999999999	639.2341180855415	120.45605904277045	120.45605904277045	1000.0	518.7780590427708	481.8242361710827	82.29764574337594	398.3219999999999	120.45605904277068	-240.91211808554135	240.91211808554135	-240.91211808554135	120.45605904277068	-120.45605904277068	120.45605904277068	-639.2341180855415	240.91211808554135	1000.0	-1000.0	-120.45605904277068	120.45605904277068	-120.45605904277068	-917.7023542566241	120.45605904277068	120.45605904277068	-120.45605904277068	8.39	361.368177128312	-797.2462952138535	797.2462952138535	639.2341180855412
9	436.78797910450686	109.19699477612672	-699.161	1000.0	616.7159895522534	109.1969947761267	699.161	-109.19699477612672	-109.19699477612672	-109.1969947761267	-109.19699477612673	-109.19699477612673	-218.39398955225343	-109.1969947761267	850.1479686567603	-1000.0	-589.9640052238732	740.9509738806336	507.5189947761267	436.78797910450686	-398.3219999999999	873.5759582090137	109.1969947761267	218.39398955225343	398.3219999999999	616.7159895522534	109.19699477612683	109.19699477612683	1000.0	507.5189947761267	436.78797910450686	149.85203134323967	398.3219999999999	109.19699477612672	-218.39398955225343	218.39398955225343	-218.3939895522534	109.19699477612672	-109.1969947761267	109.1969947761267	-616.7159895522534	218.3939895522534	1000.0	-1000.0	-109.19699477612672	109.19699477612673	-109.19699477612672	-850.1479686567603	109.19699477612672	109.1969947761267	-109.1969947761267	8.39	327.59098432838016	-740.9509738806336	740.9509738806336	616.7159895522536
